Date,Open,High,Low,Close,Volume
28-Apr-17,29.65,30.31,29.63,30.07,9756840
27-Apr-17,29.59,29.99,29.41,29.99,11312333
26-Apr-17,28.47,30.00,27.92,29.46,25291287
25-Apr-17,28.31,28.42,27.77,27.78,13535449
24-Apr-17,28.14,28.41,28.04,28.27,5327433
21-Apr-17,27.77,27.94,27.76,27.78,3359866
20-Apr-17,27.87,28.00,27.71,27.80,5844277
19-Apr-17,27.78,27.88,27.71,27.73,9401137
18-Apr-17,27.62,27.89,27.62,27.70,6493556
17-Apr-17,27.60,27.76,27.58,27.71,1992450
13-Apr-17,27.70,27.84,27.55,27.56,3459323
12-Apr-17,27.83,27.83,27.50,27.63,2944460
11-Apr-17,27.84,27.86,27.62,27.79,3215398
10-Apr-17,27.95,28.02,27.80,27.88,2347878
7-Apr-17,27.81,28.06,27.76,27.87,3500128
6-Apr-17,27.83,28.02,27.72,27.81,2468696
5-Apr-17,28.05,28.21,27.79,27.82,3312417
4-Apr-17,27.73,28.20,27.72,27.96,4391861
3-Apr-17,27.86,27.93,27.42,27.72,2512392
31-Mar-17,27.68,27.89,27.63,27.83,5097704
30-Mar-17,27.69,27.82,27.64,27.70,4283821
29-Mar-17,27.76,27.85,27.57,27.65,3905131
28-Mar-17,27.75,28.00,27.64,27.79,2277730
27-Mar-17,27.64,27.82,27.52,27.75,2724254
24-Mar-17,27.93,28.10,27.72,27.82,2656137
23-Mar-17,28.00,28.18,27.77,27.84,2707165
22-Mar-17,27.81,28.14,27.70,28.01,2778795
21-Mar-17,28.01,28.19,27.73,27.81,7346387
20-Mar-17,28.28,28.40,28.07,28.18,4389114
17-Mar-17,28.64,28.82,28.52,28.68,4417913
16-Mar-17,28.42,28.56,28.26,28.52,3494819
15-Mar-17,28.22,28.40,28.02,28.30,2887013
14-Mar-17,27.96,28.16,27.83,28.14,2708452
13-Mar-17,28.02,28.13,27.83,27.97,3630495
10-Mar-17,27.89,28.09,27.84,28.01,4549425
9-Mar-17,27.74,27.96,27.65,27.81,2385415
8-Mar-17,28.03,28.03,27.44,27.70,6221634
7-Mar-17,28.10,28.23,27.99,28.15,2645045
6-Mar-17,28.16,28.25,28.01,28.16,3428551
3-Mar-17,28.29,28.33,28.05,28.29,2446367
2-Mar-17,28.13,28.28,27.98,28.26,3701097
1-Mar-17,28.20,28.36,28.14,28.25,2760374
28-Feb-17,28.26,28.29,27.89,28.00,3944861
27-Feb-17,28.37,28.51,28.20,28.33,1489743
24-Feb-17,28.16,28.42,28.05,28.42,1800490
23-Feb-17,28.55,28.72,28.32,28.43,2329519
22-Feb-17,28.59,28.70,28.38,28.53,2817508
21-Feb-17,28.26,28.77,28.26,28.69,2933172
17-Feb-17,28.06,28.43,27.98,28.39,3280644
16-Feb-17,27.95,28.20,27.86,28.09,3302246
15-Feb-17,27.88,28.04,27.80,27.96,2805572
14-Feb-17,27.84,27.97,27.75,27.88,3576483
13-Feb-17,27.70,28.03,27.70,27.93,3700347
10-Feb-17,27.43,27.73,27.38,27.64,2316361
9-Feb-17,27.32,27.62,27.30,27.40,2945850
8-Feb-17,27.20,27.26,27.02,27.24,3036701
7-Feb-17,27.22,27.24,26.98,27.20,5245936
6-Feb-17,27.22,27.36,27.10,27.28,3873689
3-Feb-17,27.40,27.46,27.20,27.35,3521857
2-Feb-17,26.69,27.27,26.57,27.24,6030109
1-Feb-17,26.74,26.89,26.57,26.81,5880131
31-Jan-17,26.45,26.79,26.35,26.78,6013409
30-Jan-17,26.59,26.60,26.20,26.45,5402182
27-Jan-17,25.10,27.04,24.90,26.67,18320362
26-Jan-17,28.24,28.30,27.56,27.72,6920325
25-Jan-17,28.00,28.34,27.90,28.14,3302600
24-Jan-17,27.53,27.96,27.43,27.84,2293642
23-Jan-17,27.37,27.57,27.30,27.50,3083305
20-Jan-17,27.47,27.61,27.11,27.43,3054770
19-Jan-17,27.41,27.61,27.22,27.42,2972253
18-Jan-17,27.55,27.65,27.33,27.34,3229695
17-Jan-17,27.70,27.80,27.29,27.41,2509953
13-Jan-17,27.83,27.98,27.76,27.87,1503771
12-Jan-17,27.87,27.94,27.40,27.80,2502701
11-Jan-17,27.50,27.94,27.32,27.85,4789985
10-Jan-17,28.38,28.54,28.22,28.40,2206908
9-Jan-17,28.62,28.70,28.26,28.39,2217529
6-Jan-17,28.87,28.91,28.61,28.86,1394700
5-Jan-17,28.88,29.10,28.62,28.84,2136674
4-Jan-17,28.45,28.98,28.31,28.90,2778174
3-Jan-17,28.48,28.99,28.40,28.60,5170176
30-Dec-16,28.45,28.45,28.11,28.26,1699834
29-Dec-16,28.43,28.58,28.17,28.37,1590933
28-Dec-16,28.61,28.70,28.30,28.43,1780926
27-Dec-16,28.50,28.74,28.46,28.68,1318478
23-Dec-16,28.30,28.48,28.27,28.46,1313164
22-Dec-16,28.52,28.52,28.10,28.26,1729953
21-Dec-16,28.47,28.60,28.38,28.46,1754710
20-Dec-16,28.57,28.80,28.41,28.50,1415747
19-Dec-16,28.43,28.58,28.33,28.54,2125931
16-Dec-16,28.57,28.69,28.20,28.33,6020880
15-Dec-16,28.38,28.70,28.26,28.57,3613653
14-Dec-16,28.51,28.71,28.31,28.36,4419561
