Date,Open,High,Low,Close,Volume
28-Apr-17,71.06,71.18,70.57,71.00,3897729
27-Apr-17,71.56,71.62,70.78,70.96,2293782
26-Apr-17,72.38,72.43,71.47,71.49,2428653
25-Apr-17,72.81,72.97,72.34,72.35,2218019
24-Apr-17,72.76,73.00,72.54,72.77,1863785
21-Apr-17,72.54,72.78,72.32,72.42,2739164
20-Apr-17,72.60,72.84,72.23,72.79,2164515
19-Apr-17,73.15,73.33,72.47,72.66,1204554
18-Apr-17,72.38,73.38,72.30,72.98,1831730
17-Apr-17,72.08,72.37,72.00,72.31,1264860
13-Apr-17,72.34,72.58,71.91,71.95,1698062
12-Apr-17,72.07,72.59,71.97,72.33,2494405
11-Apr-17,72.30,72.54,71.97,72.15,2045127
10-Apr-17,72.48,72.76,72.13,72.27,1714867
7-Apr-17,72.36,72.73,72.26,72.59,1811150
6-Apr-17,72.59,72.59,72.02,72.41,1777706
5-Apr-17,72.34,72.97,72.18,72.75,1516649
4-Apr-17,72.41,72.67,71.86,72.27,1420956
3-Apr-17,72.59,72.75,72.14,72.37,2156056
31-Mar-17,72.45,72.92,72.45,72.61,2145622
30-Mar-17,72.93,73.13,72.38,72.54,2143605
29-Mar-17,72.67,73.16,72.30,73.08,2055681
28-Mar-17,72.44,72.81,72.20,72.66,1742145
27-Mar-17,72.84,73.00,72.40,72.56,2523285
24-Mar-17,73.29,73.46,72.75,73.00,2932976
23-Mar-17,72.72,73.55,72.38,73.11,3006277
22-Mar-17,73.61,73.63,72.28,72.71,4567944
21-Mar-17,74.06,74.29,73.46,73.60,4262847
20-Mar-17,75.01,75.19,74.66,74.98,2655851
17-Mar-17,75.09,75.31,74.73,75.11,3593631
16-Mar-17,74.65,74.76,74.24,74.76,2111770
15-Mar-17,74.38,75.00,74.23,74.75,1538120
14-Mar-17,73.87,74.48,73.87,74.23,2105320
13-Mar-17,74.04,74.18,73.84,74.15,1345994
10-Mar-17,74.53,74.65,74.03,74.19,1271375
9-Mar-17,74.11,74.29,73.72,74.10,1959934
8-Mar-17,73.94,74.08,73.64,73.86,1370344
7-Mar-17,74.15,74.76,74.08,74.14,1740674
6-Mar-17,74.05,74.40,73.76,74.22,1379483
3-Mar-17,75.03,75.03,74.07,74.47,2688893
2-Mar-17,74.93,75.10,74.49,75.02,3104708
1-Mar-17,74.07,74.84,73.75,74.83,1908500
28-Feb-17,73.90,74.60,73.90,74.07,1789343
27-Feb-17,74.44,74.80,73.73,73.88,1326725
24-Feb-17,74.67,75.23,74.67,75.23,1714667
23-Feb-17,74.57,75.02,74.52,74.80,1404831
22-Feb-17,74.64,75.17,74.11,74.49,2143442
21-Feb-17,74.11,74.88,73.84,74.74,3602762
17-Feb-17,72.99,73.69,72.44,72.90,4179456
16-Feb-17,75.89,76.44,74.37,74.71,3254816
15-Feb-17,75.28,76.30,74.53,76.04,1934353
14-Feb-17,75.50,76.15,75.25,75.92,1871737
13-Feb-17,75.89,76.04,75.33,75.62,2463914
10-Feb-17,76.16,76.56,75.71,76.00,2623176
9-Feb-17,74.60,76.69,74.59,76.44,3654201
8-Feb-17,72.85,73.60,72.68,73.49,2130689
7-Feb-17,72.60,73.07,72.38,72.85,1972664
6-Feb-17,73.16,73.32,72.27,72.33,1061458
3-Feb-17,73.02,73.79,72.57,73.36,1420790
2-Feb-17,72.13,73.43,72.02,72.77,2030739
1-Feb-17,72.31,72.51,71.45,71.90,1448570
31-Jan-17,72.73,72.99,72.61,72.71,1205606
30-Jan-17,73.05,73.05,72.30,72.67,1038458
27-Jan-17,72.13,73.12,71.84,73.00,1911061
26-Jan-17,72.31,72.58,71.95,72.09,1700463
25-Jan-17,72.83,72.83,72.20,72.31,1605502
24-Jan-17,72.30,72.87,72.16,72.61,1955421
23-Jan-17,72.20,72.46,71.66,72.29,1655105
20-Jan-17,71.91,72.65,71.77,72.21,2522399
19-Jan-17,71.91,72.10,71.68,71.78,1538414
18-Jan-17,72.01,72.55,71.83,71.98,1975518
17-Jan-17,71.50,72.05,71.48,72.03,2455852
13-Jan-17,71.79,71.90,71.05,71.38,2150096
12-Jan-17,71.81,72.33,71.67,71.92,1428685
11-Jan-17,71.64,72.21,71.58,71.87,1154059
10-Jan-17,72.28,72.35,71.62,71.66,1198518
9-Jan-17,73.26,73.26,72.03,72.13,1586774
6-Jan-17,72.77,73.42,72.60,73.13,1078310
5-Jan-17,73.04,73.38,72.36,73.11,1576146
4-Jan-17,73.54,73.73,73.13,73.18,1097819
3-Jan-17,73.71,73.71,72.83,73.37,1700599
30-Dec-16,74.00,74.16,73.42,73.71,1041964
29-Dec-16,73.51,74.14,73.33,73.96,1461617
28-Dec-16,73.82,73.90,73.32,73.43,674806
27-Dec-16,73.57,74.06,73.26,73.85,657030
23-Dec-16,73.57,73.65,73.08,73.57,615043
22-Dec-16,73.30,73.83,72.70,73.66,1687268
21-Dec-16,73.21,73.99,72.99,73.15,1714735
20-Dec-16,71.93,73.28,71.83,73.27,1409914
19-Dec-16,73.32,73.47,72.64,72.92,5504583
16-Dec-16,73.46,74.05,73.07,73.29,2421499
15-Dec-16,73.02,73.85,72.84,73.41,1285393
14-Dec-16,74.14,74.38,72.95,73.12,1320644
13-Dec-16,73.80,74.49,73.65,73.95,1685088
12-Dec-16,72.95,73.97,72.88,73.80,1778469
9-Dec-16,72.16,73.33,72.08,73.11,2393599
8-Dec-16,72.33,72.39,71.86,72.09,1128773
7-Dec-16,70.98,72.75,70.98,72.65,1958792
6-Dec-16,71.87,72.16,71.61,71.97,1108155
5-Dec-16,71.23,71.68,71.11,71.67,2075601
2-Dec-16,71.23,71.50,70.79,71.17,1352949
1-Dec-16,71.61,71.85,70.74,70.96,2359688
30-Nov-16,73.26,73.38,71.96,72.00,1854570
29-Nov-16,73.52,73.73,72.83,73.62,959861
28-Nov-16,74.01,74.58,73.68,73.89,1094978
25-Nov-16,73.71,74.48,73.53,74.16,497277
23-Nov-16,74.12,74.60,73.20,73.39,1341164
22-Nov-16,73.61,74.66,73.61,74.49,1281810
21-Nov-16,72.83,73.60,72.83,73.39,1308724
18-Nov-16,73.35,73.54,72.84,73.07,1183170
17-Nov-16,73.06,73.77,72.58,73.44,1196969
16-Nov-16,73.45,73.63,72.96,73.26,1110027
15-Nov-16,72.73,73.50,72.70,73.40,1884270
14-Nov-16,72.43,72.96,71.83,72.53,2320269
11-Nov-16,72.72,73.24,72.05,72.50,1785130
10-Nov-16,74.46,74.63,72.46,72.65,2972702
9-Nov-16,75.42,75.45,73.37,74.88,1923082
8-Nov-16,74.75,78.37,74.75,76.96,3390737
7-Nov-16,74.37,75.06,74.06,74.95,1283586
4-Nov-16,73.94,74.10,73.53,73.67,1324886
3-Nov-16,74.99,75.12,73.75,73.97,1623458
2-Nov-16,75.27,75.82,74.86,75.09,2282552
1-Nov-16,75.62,76.04,74.72,75.21,3057950
31-Oct-16,74.90,75.15,74.65,75.13,2416057
28-Oct-16,74.27,74.98,74.13,74.63,2139912
27-Oct-16,74.07,74.66,74.00,74.16,1928346
26-Oct-16,74.19,74.53,73.96,74.07,1296140
25-Oct-16,74.24,74.49,74.16,74.21,1093071
24-Oct-16,74.54,74.80,73.87,74.28,1728677
21-Oct-16,74.02,74.58,73.66,74.34,1730673
20-Oct-16,74.97,74.97,74.04,74.23,1815777
19-Oct-16,75.37,75.41,74.57,74.93,1309831
18-Oct-16,75.44,75.69,75.12,75.36,1282298
17-Oct-16,75.66,75.67,74.93,74.99,2703422
14-Oct-16,75.99,76.32,75.45,75.49,2295278
13-Oct-16,76.06,76.07,75.11,75.78,1808424
12-Oct-16,76.01,76.72,75.87,76.46,1036906
11-Oct-16,76.47,76.52,75.77,76.05,1617671
10-Oct-16,76.50,77.06,76.23,76.47,1657798
7-Oct-16,76.06,76.85,75.90,76.34,2190804
6-Oct-16,75.94,76.17,75.48,75.97,1688822
