Date,Open,High,Low,Close,Volume
28-Apr-17,18.35,18.56,18.22,18.24,8575025
27-Apr-17,18.69,18.74,18.32,18.37,9381057
26-Apr-17,18.60,18.87,18.56,18.68,8654975
25-Apr-17,18.71,18.88,18.60,18.62,9324885
24-Apr-17,18.77,18.94,18.52,18.55,14744769
21-Apr-17,18.09,18.35,17.91,18.15,13161255
20-Apr-17,17.87,18.47,17.81,18.21,16549104
19-Apr-17,17.32,17.58,17.23,17.37,11069734
18-Apr-17,17.17,17.37,17.02,17.20,10552744
17-Apr-17,17.01,17.38,16.95,17.34,8083349
13-Apr-17,17.07,17.37,16.91,17.00,13661676
12-Apr-17,17.31,17.36,17.06,17.17,8820258
11-Apr-17,17.21,17.34,17.02,17.33,7534336
10-Apr-17,17.40,17.53,17.14,17.31,10017251
7-Apr-17,17.36,17.59,17.30,17.44,7101085
6-Apr-17,17.21,17.56,17.10,17.52,9486626
5-Apr-17,17.90,17.90,17.19,17.20,16060247
4-Apr-17,17.55,17.73,17.50,17.59,8679320
3-Apr-17,17.84,17.87,17.45,17.73,8265695
31-Mar-17,17.85,17.95,17.76,17.78,11159648
30-Mar-17,17.50,18.04,17.49,17.99,14974428
29-Mar-17,17.49,17.58,17.34,17.51,9244895
28-Mar-17,17.14,17.61,17.13,17.49,9128448
27-Mar-17,16.66,17.20,16.54,17.18,10813311
24-Mar-17,17.31,17.40,17.07,17.24,9196163
23-Mar-17,17.08,17.50,17.00,17.25,10054496
22-Mar-17,16.81,17.27,16.55,17.15,19036610
21-Mar-17,18.19,18.20,16.85,16.90,25665425
20-Mar-17,18.28,18.39,18.08,18.08,11919891
17-Mar-17,18.47,18.55,18.25,18.35,18996369
16-Mar-17,18.42,18.60,18.33,18.47,9758344
15-Mar-17,18.56,18.75,18.31,18.33,15198901
14-Mar-17,18.40,18.47,18.12,18.47,9310966
13-Mar-17,18.60,18.67,18.42,18.53,8302478
10-Mar-17,18.97,19.01,18.32,18.58,14500144
9-Mar-17,18.83,19.09,18.80,18.84,8503220
8-Mar-17,19.05,19.14,18.73,18.79,7924626
7-Mar-17,18.99,19.03,18.77,18.79,8112964
6-Mar-17,18.94,19.07,18.74,18.99,10382434
3-Mar-17,18.94,19.12,18.90,19.07,9912814
2-Mar-17,19.47,19.50,18.85,18.88,12370835
1-Mar-17,19.10,19.53,19.10,19.36,14867026
28-Feb-17,18.72,18.82,18.67,18.77,8761400
27-Feb-17,18.78,18.89,18.73,18.84,6799431
24-Feb-17,18.76,18.88,18.56,18.74,16457069
23-Feb-17,18.94,19.07,18.70,19.06,10621827
22-Feb-17,18.91,19.02,18.82,18.93,8672400
21-Feb-17,19.10,19.17,18.95,19.06,7715260
17-Feb-17,18.80,19.00,18.65,18.96,8007180
16-Feb-17,19.10,19.11,18.85,18.99,7250241
15-Feb-17,19.12,19.21,18.88,19.10,14834163
14-Feb-17,18.48,18.93,18.44,18.87,9949359
13-Feb-17,18.39,18.64,18.35,18.46,10405899
10-Feb-17,18.22,18.32,18.12,18.26,8965608
9-Feb-17,17.99,18.18,17.85,18.14,11387193
8-Feb-17,17.93,17.94,17.58,17.83,11922987
7-Feb-17,18.38,18.41,18.03,18.09,7904335
6-Feb-17,18.24,18.44,18.20,18.27,9110324
3-Feb-17,18.11,18.44,17.93,18.37,11745326
2-Feb-17,17.88,17.88,17.67,17.84,12656939
1-Feb-17,18.19,18.33,17.96,18.04,10218177
31-Jan-17,18.07,18.21,17.81,17.97,8012829
30-Jan-17,18.18,18.18,17.78,18.07,10050380
27-Jan-17,18.40,18.45,18.27,18.30,6536901
26-Jan-17,18.43,18.57,18.33,18.45,10799916
25-Jan-17,18.33,18.42,18.14,18.40,9305538
24-Jan-17,17.76,18.08,17.68,18.05,15465370
23-Jan-17,17.86,17.92,17.62,17.69,10613980
20-Jan-17,17.86,18.04,17.75,17.86,12979800
19-Jan-17,18.16,18.21,17.65,17.84,18762949
18-Jan-17,17.84,18.14,17.61,18.13,20128305
17-Jan-17,18.40,18.40,17.69,17.71,25013252
13-Jan-17,18.38,18.77,18.38,18.58,10607461
12-Jan-17,18.49,18.53,18.11,18.29,11324363
11-Jan-17,18.42,18.59,18.22,18.59,10540853
10-Jan-17,18.31,18.60,18.17,18.48,9456453
9-Jan-17,18.24,18.35,18.02,18.26,9481339
6-Jan-17,18.40,18.50,18.29,18.32,9897927
5-Jan-17,18.46,18.59,18.15,18.28,13709244
4-Jan-17,18.35,18.62,18.35,18.51,9966355
3-Jan-17,18.51,18.66,18.16,18.26,13642621
30-Dec-16,18.17,18.43,18.07,18.27,10246046
29-Dec-16,18.27,18.29,17.97,18.11,10072725
28-Dec-16,18.54,18.55,18.23,18.26,7066514
27-Dec-16,18.50,18.62,18.47,18.54,4867678
23-Dec-16,18.38,18.53,18.26,18.47,6766777
22-Dec-16,18.35,18.48,18.24,18.36,9142343
21-Dec-16,18.47,18.50,18.32,18.32,6923949
20-Dec-16,18.32,18.50,18.27,18.46,8635023
19-Dec-16,18.06,18.22,17.92,18.17,13964776
16-Dec-16,18.46,18.49,18.11,18.16,24526626
15-Dec-16,18.21,18.49,18.02,18.37,14944454
14-Dec-16,17.92,18.55,17.72,18.14,20833559
13-Dec-16,18.28,18.44,17.85,18.08,17939927
12-Dec-16,18.37,18.46,18.04,18.20,14298472
9-Dec-16,18.54,18.54,18.19,18.46,11221681
8-Dec-16,18.40,18.61,18.17,18.37,14593387
7-Dec-16,17.97,18.30,17.85,18.25,14123862
6-Dec-16,17.86,17.98,17.58,17.95,12578939
5-Dec-16,17.89,18.01,17.62,17.70,19851784
2-Dec-16,17.88,17.99,17.58,17.90,17003701
1-Dec-16,17.42,17.87,17.42,17.86,15567064
30-Nov-16,17.42,17.59,17.20,17.31,18361320
29-Nov-16,17.03,17.22,16.96,17.01,10081906
28-Nov-16,17.21,17.30,16.94,17.00,12059861
25-Nov-16,17.41,17.44,17.20,17.33,6134531
23-Nov-16,17.33,17.57,17.28,17.52,16881852
22-Nov-16,17.27,17.31,17.07,17.18,13703949
21-Nov-16,17.15,17.29,16.96,17.18,16731373
18-Nov-16,17.05,17.10,16.92,17.01,16480732
17-Nov-16,16.78,17.01,16.72,17.00,25387529
16-Nov-16,16.67,16.97,16.54,16.73,23338603
15-Nov-16,16.63,17.12,16.33,17.09,26637678
14-Nov-16,16.60,17.07,16.46,16.79,32390461
11-Nov-16,15.72,16.35,15.62,16.33,32090770
10-Nov-16,15.50,16.04,15.28,15.79,28197802
9-Nov-16,14.66,15.31,14.56,15.23,33339985
8-Nov-16,14.43,14.51,14.16,14.41,17263257
7-Nov-16,14.34,14.58,14.34,14.54,17217876
4-Nov-16,13.98,14.17,13.85,14.05,13876213
3-Nov-16,13.95,14.19,13.94,13.96,14461845
2-Nov-16,14.10,14.10,13.83,13.95,13887297
1-Nov-16,14.21,14.28,13.95,14.14,15735625
31-Oct-16,14.15,14.24,14.07,14.12,11500494
28-Oct-16,14.29,14.33,14.00,14.07,18812743
27-Oct-16,14.27,14.38,14.16,14.27,15352414
26-Oct-16,13.87,14.27,13.85,14.18,24081102
25-Oct-16,13.31,13.89,13.20,13.87,36703575
24-Oct-16,13.10,13.25,13.09,13.10,12880843
21-Oct-16,12.91,13.06,12.84,13.04,10194614
20-Oct-16,12.92,13.15,12.88,13.02,19806796
19-Oct-16,12.70,12.98,12.67,12.92,15884380
18-Oct-16,12.54,12.65,12.36,12.63,18228829
17-Oct-16,12.54,12.57,12.33,12.35,9379584
14-Oct-16,12.53,12.62,12.42,12.52,14724315
13-Oct-16,12.55,12.57,12.20,12.31,14401533
12-Oct-16,12.75,12.79,12.65,12.70,18754042
11-Oct-16,12.78,12.84,12.63,12.74,15710884
10-Oct-16,12.82,12.90,12.78,12.80,10389560
7-Oct-16,12.71,12.82,12.56,12.68,10867806
6-Oct-16,12.78,12.85,12.68,12.73,10160272
5-Oct-16,12.47,12.79,12.47,12.76,15362282
4-Oct-16,12.21,12.56,12.18,12.41,15709530
3-Oct-16,12.11,12.22,12.06,12.15,11002194
30-Sep-16,12.12,12.22,12.00,12.17,22705265
29-Sep-16,12.20,12.37,11.97,12.05,13195708
28-Sep-16,12.18,12.25,12.05,12.24,11451505
27-Sep-16,11.96,12.18,11.89,12.15,13497281
26-Sep-16,12.20,12.26,11.99,12.01,17728618
23-Sep-16,12.30,12.47,12.26,12.31,11499121
22-Sep-16,12.29,12.37,12.26,12.34,13022922
21-Sep-16,12.24,12.31,12.08,12.24,14128943
20-Sep-16,12.38,12.39,12.14,12.19,8812983
19-Sep-16,12.33,12.39,12.20,12.26,9640304
16-Sep-16,12.24,12.28,12.13,12.26,17026410
15-Sep-16,12.17,12.39,12.15,12.37,14141494
14-Sep-16,12.31,12.40,12.19,12.22,14041629
13-Sep-16,12.45,12.47,12.18,12.32,19901751
12-Sep-16,12.18,12.62,12.08,12.62,26413007
9-Sep-16,12.36,12.54,12.26,12.26,18967736
8-Sep-16,12.40,12.45,12.28,12.40,17418592
7-Sep-16,12.31,12.40,12.24,12.37,11151442
