Date,Open,High,Low,Close,Volume
28-Apr-17,60.06,60.06,58.30,58.50,3722194
27-Apr-17,59.93,60.72,59.58,60.08,2006251
26-Apr-17,58.91,60.48,58.71,59.96,4056398
25-Apr-17,59.98,60.61,58.61,58.74,3043250
24-Apr-17,59.69,59.89,58.84,59.69,2571244
21-Apr-17,58.71,59.13,57.70,58.31,2821382
20-Apr-17,57.51,58.90,57.51,58.80,3301794
19-Apr-17,56.00,57.86,56.00,57.17,3641927
18-Apr-17,55.75,55.94,55.05,55.61,2083282
17-Apr-17,55.58,56.19,55.11,56.13,1687487
13-Apr-17,56.15,56.50,55.37,55.37,1926168
12-Apr-17,57.17,57.24,56.10,56.24,1620257
11-Apr-17,57.10,57.61,56.35,57.24,2400703
10-Apr-17,56.51,57.89,56.49,57.11,3355816
7-Apr-17,57.80,58.17,55.71,56.50,7366324
6-Apr-17,55.08,58.20,54.29,58.00,11001339
5-Apr-17,57.00,58.05,56.50,56.66,7993264
4-Apr-17,56.37,57.00,55.60,55.82,5023417
3-Apr-17,58.20,58.50,56.01,56.67,5489857
31-Mar-17,59.80,59.96,58.13,59.22,3993208
30-Mar-17,59.92,60.73,59.92,60.06,1355031
29-Mar-17,59.94,60.37,59.47,60.05,1489706
28-Mar-17,58.88,59.92,58.64,59.76,2984319
27-Mar-17,58.91,59.18,57.83,58.87,2728579
24-Mar-17,60.21,60.66,59.18,59.60,1410307
23-Mar-17,59.94,60.59,58.99,60.04,1862775
22-Mar-17,59.43,61.01,58.92,60.07,2668898
21-Mar-17,61.34,61.50,58.81,59.47,3509359
20-Mar-17,61.59,62.01,60.93,61.17,2541552
17-Mar-17,63.99,63.99,61.23,61.69,4293336
16-Mar-17,63.57,63.96,62.65,63.54,1756135
15-Mar-17,62.98,63.80,62.03,63.51,2689321
14-Mar-17,63.18,63.39,62.18,62.98,2547892
13-Mar-17,64.16,64.37,63.27,63.39,1667718
10-Mar-17,64.15,64.82,63.85,64.20,1139221
9-Mar-17,64.28,64.98,63.61,63.77,1266559
8-Mar-17,64.05,65.14,63.88,64.61,1348175
7-Mar-17,63.72,64.83,63.60,63.81,1882047
6-Mar-17,64.30,64.54,63.77,63.90,1760199
3-Mar-17,65.24,65.55,64.46,64.87,1946013
2-Mar-17,64.91,66.15,64.80,65.03,1833065
1-Mar-17,65.51,66.44,62.64,65.18,6525526
28-Feb-17,65.72,65.94,64.18,64.54,3043041
27-Feb-17,65.94,66.21,65.60,66.07,1397743
24-Feb-17,65.86,66.24,64.89,65.83,1961204
23-Feb-17,67.47,67.78,65.96,66.07,1368826
22-Feb-17,67.86,68.24,67.31,67.55,1453399
21-Feb-17,67.58,68.57,67.19,68.25,1658161
17-Feb-17,67.63,67.65,66.39,67.02,2383545
16-Feb-17,68.50,69.11,68.20,68.28,1606836
15-Feb-17,67.91,68.86,67.79,68.60,1793110
14-Feb-17,67.50,68.31,67.30,68.22,1308614
13-Feb-17,67.79,67.95,67.03,67.50,1437186
10-Feb-17,67.72,67.91,66.75,67.54,1531024
9-Feb-17,66.84,67.68,66.11,67.44,1432574
8-Feb-17,65.53,66.94,65.50,66.76,2276220
7-Feb-17,65.16,65.85,65.02,65.83,1669370
6-Feb-17,65.37,65.59,64.67,65.11,1340321
3-Feb-17,65.03,66.11,65.03,65.69,1428378
2-Feb-17,65.37,65.77,64.63,65.00,1689935
1-Feb-17,65.00,66.55,64.70,65.19,2931719
31-Jan-17,66.85,66.92,65.74,66.71,3275669
30-Jan-17,67.30,67.47,66.22,66.89,2534460
27-Jan-17,67.87,67.97,67.18,67.46,1084433
26-Jan-17,68.34,68.86,67.56,67.67,1622716
25-Jan-17,68.16,68.38,67.85,68.20,2866913
24-Jan-17,67.51,68.72,67.31,68.21,2608697
23-Jan-17,66.20,67.35,66.13,67.13,1768808
20-Jan-17,66.68,67.11,66.11,66.65,1306557
19-Jan-17,65.67,66.88,65.67,66.47,1994854
18-Jan-17,66.25,66.39,65.22,65.68,2267565
17-Jan-17,67.17,67.32,66.20,66.47,1402518
13-Jan-17,66.82,67.51,66.73,67.17,1063040
12-Jan-17,66.95,67.10,65.48,66.81,1278194
11-Jan-17,67.09,68.06,66.25,66.89,2431931
10-Jan-17,65.01,66.73,65.00,65.68,2462390
9-Jan-17,65.46,65.87,64.85,65.19,1557353
6-Jan-17,66.19,66.51,65.37,65.40,1277429
5-Jan-17,66.17,67.17,65.34,66.38,2052177
4-Jan-17,65.18,67.60,65.08,66.76,3485940
3-Jan-17,65.03,65.92,64.10,64.82,2302606
30-Dec-16,64.20,64.58,63.52,64.39,1811519
29-Dec-16,64.00,64.60,63.50,63.90,1098873
28-Dec-16,64.61,65.95,63.55,63.79,1703273
27-Dec-16,64.22,64.66,63.92,64.31,1216092
23-Dec-16,64.04,64.80,63.44,64.04,1070049
22-Dec-16,65.76,66.07,63.58,64.06,2333813
21-Dec-16,66.02,66.43,65.57,66.00,2365035
20-Dec-16,61.87,66.64,61.73,66.16,4929970
19-Dec-16,62.15,62.78,62.02,62.36,3334664
16-Dec-16,62.93,63.84,61.93,62.15,2806173
15-Dec-16,61.51,62.92,61.51,62.82,1880008
14-Dec-16,61.95,62.32,61.27,61.42,2280887
13-Dec-16,63.15,63.26,61.67,61.93,2328446
12-Dec-16,62.78,63.32,62.08,62.80,3030554
9-Dec-16,63.95,64.06,62.69,62.80,2252321
8-Dec-16,62.87,64.88,62.77,64.16,2630073
7-Dec-16,60.34,62.98,60.34,62.80,2005607
6-Dec-16,58.66,60.56,58.66,60.50,2160323
5-Dec-16,58.55,58.89,58.04,58.08,1956660
2-Dec-16,59.16,59.27,57.90,57.99,2162841
1-Dec-16,58.15,59.38,57.76,59.10,2332673
30-Nov-16,57.56,58.04,57.35,57.79,1408609
29-Nov-16,57.73,58.07,56.96,57.51,1141598
28-Nov-16,58.28,58.61,57.32,57.37,1407885
25-Nov-16,58.36,58.86,58.24,58.38,455528
23-Nov-16,57.62,58.41,57.47,58.40,1383478
22-Nov-16,57.06,57.86,57.00,57.80,1797496
21-Nov-16,55.95,56.85,55.52,56.57,1736887
18-Nov-16,55.66,56.20,55.15,55.23,1697280
17-Nov-16,55.29,56.16,54.17,55.70,1997425
16-Nov-16,56.08,56.31,55.13,56.00,2019277
15-Nov-16,57.21,57.21,55.97,56.24,3479434
14-Nov-16,54.48,58.16,54.41,56.89,4188571
11-Nov-16,52.65,54.97,52.50,54.78,3068070
10-Nov-16,50.89,53.51,50.88,52.73,3013440
9-Nov-16,47.65,50.95,47.50,50.62,3231823
8-Nov-16,49.91,50.40,48.47,48.68,4727840
7-Nov-16,51.35,51.60,50.79,51.51,2654831
4-Nov-16,49.58,51.84,49.38,50.51,3398984
3-Nov-16,48.83,49.83,48.83,49.62,2777144
2-Nov-16,48.48,49.20,48.34,48.73,1743567
1-Nov-16,49.89,49.89,48.02,48.65,2226637
31-Oct-16,49.81,50.07,49.36,49.94,1813181
28-Oct-16,49.69,49.95,48.79,49.77,3640348
27-Oct-16,51.50,51.53,50.51,50.59,2881340
26-Oct-16,50.63,51.89,50.51,51.54,2474659
25-Oct-16,51.13,51.28,50.60,50.93,1877631
24-Oct-16,52.37,52.75,50.51,51.50,4061216
21-Oct-16,50.45,50.54,49.84,50.05,2866737
20-Oct-16,51.58,51.78,50.60,50.83,2469251
19-Oct-16,51.19,51.94,51.03,51.76,1254643
18-Oct-16,51.74,51.93,50.76,51.04,2122544
17-Oct-16,51.25,51.44,50.95,51.11,1432155
14-Oct-16,51.79,52.14,50.93,51.25,2190185
13-Oct-16,51.11,51.62,50.61,51.51,1603959
12-Oct-16,51.37,51.79,50.96,51.60,1689638
11-Oct-16,52.44,52.48,50.93,51.14,1932918
10-Oct-16,52.75,53.33,52.62,52.64,974932
7-Oct-16,53.13,53.17,51.97,52.33,1800514
6-Oct-16,52.77,53.09,52.58,52.78,1361992
5-Oct-16,52.32,53.95,52.00,53.10,2837792
4-Oct-16,52.68,52.84,51.52,51.65,2174396
3-Oct-16,52.84,52.84,51.57,52.52,2194819
30-Sep-16,52.29,53.64,51.85,53.35,2289997
29-Sep-16,52.94,53.30,52.07,52.17,1498735
