Date,Open,High,Low,Close,Volume
28-Apr-17,30.17,30.17,29.49,29.65,8670806
27-Apr-17,29.95,30.33,29.90,30.15,6272711
26-Apr-17,30.00,30.10,29.81,29.86,6331788
25-Apr-17,30.00,30.20,29.66,29.84,6175611
24-Apr-17,30.09,30.22,29.92,30.14,7059801
21-Apr-17,29.64,30.14,29.58,29.95,9179545
20-Apr-17,30.00,30.10,29.68,29.71,9170950
19-Apr-17,29.88,30.10,29.87,29.95,5807834
18-Apr-17,29.98,30.08,29.71,29.82,5886205
17-Apr-17,29.99,30.16,29.88,30.00,5659729
13-Apr-17,30.05,30.38,29.97,29.97,8037038
12-Apr-17,29.52,29.95,29.49,29.86,6412624
11-Apr-17,30.24,30.24,29.52,29.57,10006382
10-Apr-17,29.90,30.40,29.82,30.19,10432493
7-Apr-17,29.38,30.01,29.28,29.86,7552540
6-Apr-17,29.45,29.86,29.40,29.51,8685346
5-Apr-17,29.69,29.76,29.31,29.31,7532240
4-Apr-17,29.30,29.74,29.28,29.69,10489730
3-Apr-17,29.46,29.48,29.22,29.40,8016784
31-Mar-17,29.33,29.75,29.30,29.49,11372269
30-Mar-17,29.32,29.34,29.08,29.20,5863636
29-Mar-17,29.02,29.41,29.01,29.34,5299371
28-Mar-17,28.97,29.17,28.85,29.04,5636988
27-Mar-17,29.00,29.23,28.81,28.93,6658696
24-Mar-17,29.25,29.26,28.94,29.10,8185025
23-Mar-17,29.34,29.64,29.08,29.26,10845131
22-Mar-17,29.00,29.20,28.78,28.96,6730177
21-Mar-17,29.22,29.44,28.88,28.93,7876411
20-Mar-17,29.60,29.88,29.12,29.19,8659874
17-Mar-17,29.53,29.64,29.26,29.55,22193849
16-Mar-17,28.88,29.42,28.88,29.32,12652166
15-Mar-17,28.83,29.08,28.58,28.84,9013115
14-Mar-17,28.61,28.79,28.29,28.70,8266556
13-Mar-17,28.83,29.08,28.53,28.69,9082816
10-Mar-17,28.98,29.08,28.71,28.82,8474938
9-Mar-17,29.01,29.46,28.76,28.83,10445809
8-Mar-17,28.85,29.15,28.82,29.00,11812418
7-Mar-17,29.10,29.25,28.73,28.81,12980008
6-Mar-17,29.62,29.82,29.34,29.37,9252959
3-Mar-17,30.68,30.75,29.43,29.63,18797872
2-Mar-17,30.60,31.38,30.26,30.67,22585541
1-Mar-17,31.93,32.48,31.68,32.06,13137393
28-Feb-17,32.08,32.16,31.58,31.80,12856964
27-Feb-17,32.84,32.90,32.03,32.22,12148739
24-Feb-17,32.82,33.29,32.81,33.29,6847955
23-Feb-17,33.39,33.39,32.65,32.99,7784147
22-Feb-17,34.05,34.05,32.92,33.23,8872713
21-Feb-17,34.10,34.75,34.06,34.22,5313720
17-Feb-17,33.90,34.54,33.77,34.01,7385185
16-Feb-17,33.65,34.27,33.61,33.94,7731097
15-Feb-17,33.20,33.60,33.05,33.51,7743643
14-Feb-17,33.18,33.34,32.67,33.07,13931377
13-Feb-17,33.44,33.67,33.15,33.21,5462159
10-Feb-17,33.50,33.67,33.18,33.48,5974210
9-Feb-17,32.61,33.72,32.47,33.49,9795283
8-Feb-17,33.06,33.12,32.44,32.84,9268413
7-Feb-17,33.65,33.74,33.06,33.08,7939853
6-Feb-17,33.96,34.09,33.64,33.69,4320085
3-Feb-17,34.04,34.32,33.96,34.02,3943953
2-Feb-17,33.71,34.16,33.71,34.10,6391816
1-Feb-17,33.81,33.90,33.28,33.44,5005866
31-Jan-17,33.62,33.97,33.42,33.96,5847437
30-Jan-17,33.24,33.62,33.10,33.60,4091332
27-Jan-17,33.74,33.74,32.98,33.36,5338665
26-Jan-17,33.62,34.03,33.57,33.74,5547335
25-Jan-17,33.57,33.94,33.22,33.47,6571719
24-Jan-17,33.45,33.64,33.29,33.39,6923665
23-Jan-17,34.08,34.14,33.45,33.53,5209667
20-Jan-17,34.43,34.60,34.02,34.09,6841283
19-Jan-17,34.74,34.99,34.26,34.26,6844953
18-Jan-17,34.89,34.99,34.34,34.91,5396282
17-Jan-17,34.10,34.94,34.00,34.84,7246694
13-Jan-17,33.73,34.43,33.60,34.10,6886880
12-Jan-17,33.00,33.64,32.93,33.52,6170505
11-Jan-17,32.95,33.28,32.90,33.07,4616021
10-Jan-17,32.84,33.45,32.82,33.19,7138543
9-Jan-17,33.17,33.19,32.80,32.92,5922574
6-Jan-17,33.12,33.18,32.72,33.11,9289687
5-Jan-17,33.14,33.26,32.69,33.21,9937850
4-Jan-17,33.78,33.84,33.22,33.24,9158528
3-Jan-17,34.50,34.51,33.42,33.72,9555658
30-Dec-16,34.63,34.83,34.41,34.51,3897023
29-Dec-16,34.67,34.88,34.54,34.59,3358929
28-Dec-16,35.16,35.24,34.48,34.68,4948767
27-Dec-16,34.97,35.27,34.87,35.17,3434492
23-Dec-16,35.06,35.42,34.96,35.08,3398876
22-Dec-16,35.15,35.46,34.75,34.98,6412111
21-Dec-16,35.40,35.58,35.21,35.21,6086420
20-Dec-16,35.88,35.98,35.48,35.49,7672171
19-Dec-16,36.03,36.44,35.78,35.88,8985739
16-Dec-16,36.02,36.09,35.66,35.94,10860855
15-Dec-16,34.77,36.05,34.60,35.96,12898469
14-Dec-16,34.70,35.38,34.60,34.72,10175179
13-Dec-16,34.02,34.52,33.84,34.42,6665962
12-Dec-16,34.66,34.88,34.10,34.22,10584910
9-Dec-16,34.19,34.80,33.99,34.78,6904090
8-Dec-16,33.87,34.36,33.50,34.19,7239223
7-Dec-16,33.06,33.75,32.96,33.63,7551382
6-Dec-16,32.83,33.09,32.47,33.07,8558498
5-Dec-16,33.13,33.22,32.70,32.93,10636678
2-Dec-16,33.30,33.83,32.87,33.30,16221727
1-Dec-16,31.16,33.40,31.09,33.36,18820989
30-Nov-16,32.81,32.81,31.95,32.30,13713004
29-Nov-16,33.71,33.75,33.06,33.10,8261898
28-Nov-16,33.88,34.10,33.37,33.66,4940720
25-Nov-16,33.91,34.15,33.80,33.88,2669717
23-Nov-16,33.36,33.88,33.33,33.70,5616864
22-Nov-16,33.68,33.73,33.41,33.47,5829079
21-Nov-16,33.37,33.84,33.34,33.53,5448140
18-Nov-16,33.51,33.88,33.23,33.45,5340260
17-Nov-16,32.97,33.59,32.59,33.52,10182541
16-Nov-16,34.75,34.77,33.59,33.70,10316489
15-Nov-16,34.62,34.95,34.04,34.86,10259798
14-Nov-16,33.55,34.95,33.55,34.64,15593355
11-Nov-16,32.90,33.54,32.57,33.52,11575589
10-Nov-16,32.19,33.44,32.13,32.87,14255939
9-Nov-16,30.53,32.46,30.44,32.29,12681975
8-Nov-16,31.15,31.22,30.60,30.90,7260197
7-Nov-16,31.19,31.43,30.99,31.24,5808369
4-Nov-16,30.96,31.53,30.74,30.92,7978712
3-Nov-16,32.22,32.22,30.93,31.02,8920337
2-Nov-16,30.85,32.48,30.83,32.22,13547150
1-Nov-16,31.09,31.11,30.69,30.79,8519991
31-Oct-16,31.30,31.56,30.83,30.98,7550939
28-Oct-16,30.98,31.43,30.90,31.26,6797331
27-Oct-16,30.96,31.20,30.68,31.02,7766954
26-Oct-16,30.79,31.13,30.75,30.90,4870377
25-Oct-16,31.06,31.06,30.86,30.91,4300317
24-Oct-16,30.85,31.29,30.84,31.18,5321973
21-Oct-16,30.98,31.09,30.65,30.76,8730258
20-Oct-16,31.03,31.16,30.78,30.92,8740766
19-Oct-16,30.49,31.06,30.26,31.01,10212131
18-Oct-16,30.86,30.94,30.50,30.64,9959466
17-Oct-16,31.33,31.34,30.69,30.83,10576518
14-Oct-16,31.17,31.58,31.01,31.27,14820078
13-Oct-16,31.07,31.17,30.60,31.13,14246330
12-Oct-16,30.24,31.44,29.97,31.19,31126490
11-Oct-16,29.31,30.21,29.24,30.11,17782839
10-Oct-16,29.00,29.38,28.94,29.05,7665741
7-Oct-16,29.37,29.59,29.00,29.00,11322790
6-Oct-16,28.75,29.60,28.71,29.37,17280799
5-Oct-16,28.97,29.11,28.76,28.84,27597928
4-Oct-16,29.25,29.39,28.88,29.00,11173236
3-Oct-16,29.57,29.69,29.25,29.28,7800207
30-Sep-16,29.51,29.99,29.51,29.68,26199603
29-Sep-16,29.84,29.86,29.48,29.50,12814470
28-Sep-16,29.97,30.12,29.68,29.84,10820068
27-Sep-16,30.05,30.17,29.84,29.90,9877324
26-Sep-16,30.38,30.47,30.06,30.08,7379816
23-Sep-16,30.79,30.90,30.44,30.45,8599347
22-Sep-16,30.86,31.01,30.67,30.75,12273875
21-Sep-16,31.17,31.25,30.62,30.84,12447064
20-Sep-16,30.95,31.38,30.93,31.09,6114251
19-Sep-16,31.06,31.26,30.75,30.79,10627974
16-Sep-16,31.30,31.35,30.84,31.08,11413877
15-Sep-16,30.76,31.27,30.46,31.25,10403720
14-Sep-16,30.95,31.11,30.66,30.71,9833988
13-Sep-16,30.81,31.16,30.45,30.95,14350870
12-Sep-16,31.41,31.52,30.70,30.89,20385024
9-Sep-16,31.05,31.91,31.05,31.51,19170199
8-Sep-16,31.00,31.73,30.70,31.31,18294901
7-Sep-16,31.66,31.75,31.10,31.32,19365459
6-Sep-16,32.58,32.71,32.16,32.67,6778418
2-Sep-16,32.14,32.81,32.00,32.50,7452939
1-Sep-16,32.10,32.15,31.81,31.96,7468377
31-Aug-16,32.16,32.29,31.91,31.99,9102822
30-Aug-16,32.40,32.50,32.09,32.16,5044566
29-Aug-16,32.46,32.72,32.17,32.33,7667324
26-Aug-16,32.77,32.94,32.46,32.68,6549126
25-Aug-16,32.85,33.06,32.67,32.76,7845454
24-Aug-16,32.25,33.24,32.21,32.99,12246480
23-Aug-16,32.58,32.98,32.25,32.25,11039624
22-Aug-16,32.64,32.89,32.45,32.86,7744649
19-Aug-16,32.47,32.80,32.35,32.61,8885793
18-Aug-16,31.96,32.62,31.87,32.46,12233101
17-Aug-16,32.12,32.21,31.45,31.88,9413301
16-Aug-16,32.54,32.54,32.06,32.10,11198173
15-Aug-16,32.63,32.97,32.46,32.73,9027511
12-Aug-16,32.42,32.62,32.23,32.58,7395168
11-Aug-16,32.55,32.85,32.02,32.30,9605632
10-Aug-16,32.38,32.63,32.26,32.50,12735411
9-Aug-16,32.38,32.86,32.26,32.29,11696393
8-Aug-16,32.62,32.71,32.27,32.31,11837880
5-Aug-16,32.65,32.91,32.42,32.62,10343217
4-Aug-16,33.20,33.28,32.11,32.55,12247270
3-Aug-16,32.69,33.53,32.64,33.20,10630558
2-Aug-16,33.45,33.80,32.49,32.61,18255367
1-Aug-16,34.20,34.34,33.88,34.01,9742438
29-Jul-16,34.30,34.40,33.80,34.19,19149521
28-Jul-16,35.23,35.24,34.38,34.40,14382932
27-Jul-16,36.32,36.37,35.54,35.57,6228834
26-Jul-16,36.16,36.46,35.80,36.42,6968302
25-Jul-16,35.73,35.79,35.42,35.79,5385384
22-Jul-16,36.13,36.20,35.80,35.98,3295681
21-Jul-16,36.29,36.32,35.82,35.96,3735697
20-Jul-16,36.39,36.55,36.09,36.40,4127015
19-Jul-16,36.30,36.45,36.05,36.21,4820360
18-Jul-16,36.69,36.85,36.30,36.34,8563976
15-Jul-16,37.05,37.26,36.44,36.71,7754061
14-Jul-16,37.48,37.62,37.10,37.30,6840358
13-Jul-16,37.34,37.64,37.16,37.48,5704656
12-Jul-16,37.56,37.57,36.98,37.39,4572984
11-Jul-16,37.87,37.97,37.48,37.54,5871190
8-Jul-16,37.56,37.88,37.50,37.86,5792452
7-Jul-16,37.51,37.72,37.18,37.32,8280638
6-Jul-16,37.31,37.65,37.28,37.58,9419287
5-Jul-16,36.60,37.40,36.55,37.33,8543423
1-Jul-16,36.89,36.99,36.54,36.55,7120961
30-Jun-16,36.45,36.79,36.04,36.79,10256336
29-Jun-16,36.35,36.65,36.24,36.45,7589547
28-Jun-16,36.81,37.00,35.88,36.05,11941527
27-Jun-16,34.88,36.86,34.75,36.62,19495772
24-Jun-16,34.00,35.50,33.90,35.14,14689510
23-Jun-16,34.54,34.67,34.35,34.67,8560659
22-Jun-16,34.50,34.54,34.08,34.22,16952518
21-Jun-16,34.75,34.82,34.28,34.47,13322825
20-Jun-16,35.30,35.67,34.71,34.71,9017936
17-Jun-16,35.37,35.50,34.52,35.18,16578186
16-Jun-16,36.98,36.98,35.35,35.47,19033986
15-Jun-16,35.48,36.00,35.14,35.71,13499785
14-Jun-16,35.96,36.18,35.41,35.76,8840455
13-Jun-16,36.45,36.56,35.92,36.14,9025251
10-Jun-16,36.38,37.00,36.17,36.81,7768815
9-Jun-16,36.50,36.80,36.32,36.58,7083524
8-Jun-16,36.31,36.70,36.17,36.52,5173352
7-Jun-16,36.11,36.52,35.92,36.29,3577233
6-Jun-16,36.22,36.42,35.99,36.02,3684296
3-Jun-16,36.20,36.35,36.00,36.25,4697144
2-Jun-16,36.30,36.52,36.08,36.44,5361404
1-Jun-16,35.79,36.46,35.68,36.42,7869284
31-May-16,35.72,36.05,35.62,35.76,9953485
27-May-16,35.73,35.73,35.37,35.71,5270978
26-May-16,34.99,35.71,34.95,35.59,6630767
25-May-16,35.55,35.69,34.83,34.94,6992427
24-May-16,34.82,35.55,34.79,35.52,7772257
23-May-16,34.65,34.94,34.62,34.80,5939694
20-May-16,34.95,34.95,34.46,34.62,6173753
19-May-16,34.49,34.91,34.30,34.83,8330173
18-May-16,34.30,34.49,33.62,34.37,9777906
17-May-16,34.64,34.82,34.31,34.46,5442932
16-May-16,34.79,35.04,34.42,34.76,5932785
13-May-16,34.72,35.20,34.69,34.86,6251105
12-May-16,34.77,35.10,34.51,34.89,4971571
11-May-16,34.98,35.19,34.70,34.71,5609082
10-May-16,35.44,35.57,34.97,35.24,7805397
9-May-16,34.80,35.89,34.56,35.84,8405533
6-May-16,34.89,34.99,34.22,34.55,5042527
5-May-16,34.48,34.99,34.22,34.92,11364239
4-May-16,35.03,35.08,34.19,35.00,8046086
3-May-16,35.18,35.39,35.09,35.20,6461091
2-May-16,35.52,35.56,35.16,35.43,9011094
29-Apr-16,35.67,35.71,34.78,35.39,8252926
28-Apr-16,36.13,36.64,35.80,35.92,5911690
27-Apr-16,36.48,36.71,36.18,36.31,4874228
26-Apr-16,36.74,37.11,36.29,36.40,6246331
25-Apr-16,35.45,36.86,35.39,36.77,9598843
22-Apr-16,36.36,36.54,35.13,35.58,12970926
21-Apr-16,36.95,37.01,36.32,36.47,7699489
20-Apr-16,36.37,37.34,36.27,36.95,8844644
19-Apr-16,36.78,36.78,36.10,36.23,11238887
18-Apr-16,36.61,36.74,36.25,36.68,8483531
15-Apr-16,37.17,37.32,36.71,36.91,7505189
14-Apr-16,37.49,37.58,37.01,37.07,5952644
13-Apr-16,37.39,37.88,37.30,37.86,5481764
12-Apr-16,37.20,37.32,36.90,37.16,6000522
11-Apr-16,38.00,38.09,37.12,37.17,7044378
8-Apr-16,38.20,38.35,37.93,37.99,7831490
7-Apr-16,38.86,39.15,38.03,38.17,6914760
6-Apr-16,38.22,39.22,38.22,39.08,9143488
5-Apr-16,37.70,38.37,37.59,38.22,9840091
4-Apr-16,38.32,38.46,37.91,38.03,7241387
1-Apr-16,37.94,38.42,37.91,38.32,6621915
31-Mar-16,38.08,38.39,37.97,38.25,6888277
30-Mar-16,38.05,38.28,37.81,38.09,6974477
29-Mar-16,37.81,38.15,37.74,38.03,5780322
28-Mar-16,37.64,38.09,37.53,38.06,6758996
24-Mar-16,37.20,37.69,37.10,37.65,9526082
23-Mar-16,37.92,38.02,37.36,37.59,9176155
22-Mar-16,38.18,38.32,37.69,37.95,8045108
21-Mar-16,38.38,38.60,38.09,38.13,5964400
18-Mar-16,38.14,38.88,38.00,38.56,9851227
17-Mar-16,38.45,38.56,37.98,38.09,9684086
16-Mar-16,37.87,38.69,37.82,38.61,6224716
15-Mar-16,38.01,38.46,37.66,38.14,5596001
14-Mar-16,38.43,38.85,37.98,38.39,6308003
11-Mar-16,37.90,38.68,37.88,38.64,8835823
10-Mar-16,37.81,37.96,37.25,37.73,9143123
9-Mar-16,37.10,38.06,37.09,37.81,9265996
8-Mar-16,36.93,37.68,36.85,37.02,8947200
7-Mar-16,36.59,37.65,36.54,37.05,12430327
4-Mar-16,37.62,37.70,36.46,36.84,20803698
3-Mar-16,37.81,38.44,36.88,37.80,40651686
2-Mar-16,40.68,40.91,40.45,40.65,9583743
1-Mar-16,40.36,40.74,39.91,40.62,8990021
29-Feb-16,39.70,40.46,39.60,39.91,10795034
26-Feb-16,39.55,39.95,39.20,39.45,6367511
25-Feb-16,38.88,39.50,38.75,39.46,7623292
24-Feb-16,38.44,38.77,38.10,38.70,6925531
23-Feb-16,38.12,38.97,37.93,38.78,5988431
22-Feb-16,38.10,38.43,37.85,38.27,5546678
19-Feb-16,37.79,38.12,37.42,37.82,6890024
18-Feb-16,39.00,39.25,37.70,38.06,11510865
17-Feb-16,38.50,39.55,38.40,39.42,7743129
16-Feb-16,38.64,39.02,38.13,38.49,6770713
12-Feb-16,37.14,38.34,36.91,38.33,7434289
11-Feb-16,36.42,36.99,35.78,36.43,9555162
10-Feb-16,36.74,37.76,36.66,36.85,9104317
9-Feb-16,36.26,37.10,36.26,36.73,11349616
8-Feb-16,37.08,37.15,35.42,36.82,15701470
