Date,Open,High,Low,Close,Volume
28-Apr-17,39.83,39.99,38.88,39.03,3749654
27-Apr-17,39.63,40.22,39.28,39.88,3066955
26-Apr-17,39.46,39.94,39.32,39.52,3855785
25-Apr-17,39.80,40.09,39.13,39.38,3285249
24-Apr-17,40.47,40.66,39.46,39.71,4357712
21-Apr-17,40.61,40.85,39.87,40.07,2804958
20-Apr-17,39.72,41.09,39.64,40.76,4866839
19-Apr-17,39.12,39.91,38.92,39.18,3736978
18-Apr-17,38.84,39.14,38.58,38.83,2767897
17-Apr-17,39.53,39.58,38.32,38.91,4336320
13-Apr-17,40.24,40.30,39.16,39.45,2905792
12-Apr-17,40.21,40.50,39.66,40.15,4092753
11-Apr-17,40.00,40.25,39.46,40.23,3107532
10-Apr-17,39.41,40.61,39.33,39.83,3424264
7-Apr-17,39.43,39.69,39.02,39.20,3886412
6-Apr-17,37.97,40.29,37.75,39.59,8272624
5-Apr-17,37.89,38.48,37.47,37.51,3519199
4-Apr-17,38.59,38.74,37.44,37.69,5292893
3-Apr-17,39.82,40.13,38.67,39.15,4082516
31-Mar-17,40.46,40.97,39.80,39.81,3946302
30-Mar-17,39.97,40.45,39.64,40.43,2867005
29-Mar-17,38.50,40.53,38.41,40.19,5488748
28-Mar-17,37.35,38.54,37.33,38.45,3022209
27-Mar-17,37.16,37.99,37.10,37.56,2650745
24-Mar-17,37.41,37.58,37.00,37.41,3432302
23-Mar-17,37.86,38.40,37.44,37.51,2924935
22-Mar-17,37.62,37.77,37.04,37.73,3089286
21-Mar-17,38.62,38.69,36.66,37.64,5625432
20-Mar-17,40.55,40.80,38.22,38.56,5530589
17-Mar-17,40.69,41.07,40.11,40.49,11172910
16-Mar-17,39.65,40.62,39.24,40.49,3875558
15-Mar-17,39.72,39.93,38.88,39.72,3886782
14-Mar-17,39.54,40.20,39.54,39.85,3233698
13-Mar-17,40.40,40.63,39.57,39.81,5104710
10-Mar-17,40.09,40.78,39.82,40.46,4043486
9-Mar-17,40.50,40.74,39.53,39.78,3386034
8-Mar-17,39.64,40.94,39.57,40.51,4001135
7-Mar-17,39.38,39.83,39.27,39.51,4970792
6-Mar-17,40.55,40.74,39.01,39.40,4548776
3-Mar-17,42.22,42.47,41.10,41.34,3921533
2-Mar-17,42.25,42.76,42.03,42.13,4946545
1-Mar-17,42.92,43.25,41.65,41.98,4035339
28-Feb-17,43.04,43.09,41.74,42.62,6484859
27-Feb-17,43.05,44.50,42.87,43.79,4468594
24-Feb-17,40.91,43.45,40.73,42.99,7221424
23-Feb-17,41.95,42.91,40.76,40.91,7289471
22-Feb-17,41.74,42.20,41.19,41.78,3578296
21-Feb-17,42.06,42.40,41.53,41.78,4800032
17-Feb-17,41.50,41.99,41.02,41.97,3499183
16-Feb-17,42.71,43.00,41.38,41.53,3808540
15-Feb-17,42.64,43.24,42.33,42.85,3782946
14-Feb-17,41.49,42.72,41.38,42.64,4051484
13-Feb-17,42.42,42.50,40.93,41.34,3163483
10-Feb-17,42.31,43.45,41.21,42.04,4763974
9-Feb-17,40.73,42.50,40.63,42.10,6333240
8-Feb-17,39.27,41.22,39.13,40.84,4555174
7-Feb-17,39.18,39.67,39.01,39.15,3689220
6-Feb-17,40.22,40.56,39.18,39.22,4099248
3-Feb-17,39.96,41.70,39.75,40.17,5985412
2-Feb-17,39.56,39.99,39.24,39.80,3132921
1-Feb-17,39.75,39.80,38.87,39.48,3341722
31-Jan-17,39.33,39.90,38.60,39.83,4169010
30-Jan-17,38.92,39.75,38.81,39.71,3357805
27-Jan-17,40.43,40.52,38.48,39.00,5042893
26-Jan-17,40.35,40.72,40.21,40.25,2963928
25-Jan-17,40.26,40.63,40.05,40.23,4203926
24-Jan-17,40.16,40.64,40.03,40.26,3176380
23-Jan-17,40.44,40.69,39.98,40.11,3193691
20-Jan-17,40.20,40.92,40.08,40.53,3549805
19-Jan-17,41.22,41.37,40.07,40.23,4708301
18-Jan-17,40.44,41.29,39.00,41.21,7110047
17-Jan-17,41.23,42.47,41.16,41.38,5727573
13-Jan-17,41.27,41.44,40.70,40.79,3726709
12-Jan-17,40.59,41.40,40.59,41.31,3537616
11-Jan-17,41.21,41.36,40.39,40.88,5003341
10-Jan-17,40.79,41.89,40.70,41.21,5230747
9-Jan-17,41.35,41.38,40.70,40.96,4938749
6-Jan-17,41.74,42.10,41.17,41.43,10338773
5-Jan-17,43.56,44.00,41.25,42.01,26849624
4-Jan-17,50.17,51.98,50.09,51.88,6633591
3-Jan-17,49.75,49.96,48.81,49.78,3773077
30-Dec-16,50.02,50.41,49.12,49.38,2046112
29-Dec-16,49.74,50.30,49.54,50.06,1741114
28-Dec-16,50.05,50.45,49.52,49.81,2601558
27-Dec-16,50.01,50.55,49.55,49.80,2819108
23-Dec-16,50.22,51.16,49.72,49.86,3048034
22-Dec-16,52.55,52.60,49.77,49.94,5028110
21-Dec-16,53.66,53.78,52.51,52.55,2148526
20-Dec-16,52.47,54.45,52.12,53.58,4080282
19-Dec-16,51.23,52.69,51.23,52.08,3875079
16-Dec-16,55.15,55.19,50.89,51.14,8516105
15-Dec-16,55.35,55.90,55.01,55.57,2927790
14-Dec-16,55.32,55.96,54.61,55.51,3235157
13-Dec-16,55.52,55.96,54.90,55.31,3577208
12-Dec-16,57.06,57.26,55.41,55.63,3667034
9-Dec-16,59.50,59.50,57.01,57.50,4169034
8-Dec-16,57.96,59.67,57.82,59.43,5313455
