Date,Open,High,Low,Close,Volume
28-Apr-17,47.23,47.41,46.61,46.62,1253577
27-Apr-17,47.45,47.52,47.14,47.33,619781
26-Apr-17,47.31,47.93,47.12,47.45,820406
25-Apr-17,47.37,47.50,47.22,47.34,850527
24-Apr-17,46.60,47.08,46.59,47.05,1262556
21-Apr-17,46.02,46.22,45.89,45.95,712406
20-Apr-17,46.03,46.15,45.71,46.06,942502
19-Apr-17,46.41,46.48,45.78,45.88,737212
18-Apr-17,46.18,46.37,45.90,46.16,1013469
17-Apr-17,46.31,46.64,46.17,46.48,1723738
13-Apr-17,46.55,46.64,46.06,46.13,883595
12-Apr-17,47.09,47.09,46.66,46.72,989746
11-Apr-17,47.27,47.46,46.94,47.21,471766
10-Apr-17,47.24,47.55,47.17,47.46,647807
7-Apr-17,47.21,47.36,47.02,47.24,835768
6-Apr-17,46.94,47.36,46.80,47.30,800646
5-Apr-17,46.93,47.46,46.77,47.00,1295161
4-Apr-17,46.69,47.10,46.64,47.09,688027
3-Apr-17,46.78,46.93,46.28,46.74,705532
31-Mar-17,46.77,47.07,46.71,46.77,850996
30-Mar-17,46.31,46.90,46.26,46.86,559949
29-Mar-17,46.39,46.56,46.32,46.35,720226
28-Mar-17,45.78,46.56,45.78,46.49,1170865
27-Mar-17,45.45,45.98,45.25,45.92,515913
24-Mar-17,46.32,46.48,45.79,46.04,781437
23-Mar-17,46.20,46.76,46.09,46.34,483218
22-Mar-17,46.28,46.41,46.01,46.23,956048
21-Mar-17,47.11,47.12,46.32,46.47,999072
20-Mar-17,47.12,47.21,46.75,46.88,504754
17-Mar-17,47.42,47.43,46.99,47.21,1008115
16-Mar-17,47.58,47.74,47.30,47.37,561890
15-Mar-17,47.24,47.62,47.07,47.54,940573
14-Mar-17,46.97,47.30,46.75,47.20,692425
13-Mar-17,47.14,47.28,47.04,47.15,836418
10-Mar-17,47.43,47.43,47.01,47.20,608536
9-Mar-17,47.32,47.52,47.00,47.14,853745
8-Mar-17,47.64,47.73,47.24,47.26,730308
7-Mar-17,47.47,47.57,47.27,47.45,620334
6-Mar-17,47.51,47.70,47.30,47.51,593767
3-Mar-17,47.31,47.78,47.17,47.68,820224
2-Mar-17,47.88,47.88,47.21,47.25,741601
1-Mar-17,47.70,47.87,47.42,47.82,1225590
28-Feb-17,46.98,47.19,46.91,46.98,1068684
27-Feb-17,47.23,47.29,47.01,47.08,624442
24-Feb-17,47.22,47.34,47.01,47.23,620304
23-Feb-17,47.22,47.43,47.01,47.42,713345
22-Feb-17,46.93,47.22,46.91,47.12,783976
21-Feb-17,46.98,47.34,46.97,47.12,766941
17-Feb-17,46.91,47.00,46.57,46.98,996796
16-Feb-17,47.36,47.37,46.97,47.05,1425023
15-Feb-17,46.82,47.25,46.71,47.25,771854
14-Feb-17,46.83,47.16,46.67,46.96,820055
13-Feb-17,46.42,46.87,46.28,46.81,890678
10-Feb-17,46.50,46.56,46.30,46.48,820255
9-Feb-17,46.24,46.45,46.08,46.24,765915
8-Feb-17,46.21,46.42,45.98,46.25,624677
7-Feb-17,46.59,46.84,46.15,46.42,744818
6-Feb-17,46.30,47.00,45.98,46.50,846117
3-Feb-17,46.68,47.03,46.32,46.61,921836
2-Feb-17,46.14,46.27,45.89,46.27,864317
1-Feb-17,46.75,46.90,46.08,46.20,989239
31-Jan-17,46.43,46.63,45.94,46.58,1550461
30-Jan-17,46.56,46.63,45.92,46.42,923082
27-Jan-17,47.18,47.20,46.61,46.70,643348
26-Jan-17,47.01,47.19,46.93,47.15,781508
25-Jan-17,46.97,47.12,46.64,47.09,854203
24-Jan-17,46.16,46.86,46.11,46.74,915508
23-Jan-17,45.98,46.05,45.62,45.93,522628
20-Jan-17,45.96,46.20,45.81,46.03,646897
19-Jan-17,46.25,46.30,45.54,45.70,759776
18-Jan-17,45.85,46.31,45.68,46.26,819612
17-Jan-17,45.86,46.06,45.60,45.68,813625
13-Jan-17,46.18,46.62,46.02,46.10,628193
12-Jan-17,46.28,46.30,45.81,46.15,662885
11-Jan-17,46.42,46.57,46.10,46.43,854461
10-Jan-17,46.29,46.57,46.09,46.47,643615
9-Jan-17,46.50,46.62,46.28,46.29,543785
6-Jan-17,46.62,46.99,46.50,46.75,725392
5-Jan-17,46.76,46.96,46.38,46.54,774118
4-Jan-17,47.33,47.48,46.88,46.90,1075736
3-Jan-17,47.23,47.48,46.96,47.20,725186
30-Dec-16,47.10,47.10,46.74,46.83,933415
29-Dec-16,47.27,47.41,46.91,46.95,511225
28-Dec-16,47.51,47.61,47.12,47.19,462040
27-Dec-16,47.51,47.59,47.34,47.44,533225
23-Dec-16,47.77,47.77,47.44,47.51,356919
22-Dec-16,47.82,47.82,47.58,47.68,698661
21-Dec-16,47.73,48.05,47.59,47.90,586794
20-Dec-16,47.61,47.73,47.41,47.72,772395
19-Dec-16,47.56,47.58,47.04,47.43,683661
16-Dec-16,47.51,47.64,47.27,47.49,1950547
