Date,Open,High,Low,Close,Volume
28-Apr-17,54.88,54.97,52.34,52.54,3856054
27-Apr-17,54.15,54.15,53.33,53.59,2204900
26-Apr-17,53.70,54.38,53.31,54.04,1307549
25-Apr-17,53.17,53.67,52.99,53.54,1050027
24-Apr-17,52.78,53.00,52.64,52.95,1197007
21-Apr-17,52.18,52.48,51.92,52.47,811928
20-Apr-17,51.65,52.30,51.36,52.22,812184
19-Apr-17,51.37,51.49,51.16,51.26,739951
18-Apr-17,51.05,51.25,50.96,51.10,1016258
17-Apr-17,50.93,51.30,50.75,51.26,1328581
13-Apr-17,50.98,51.10,50.63,50.67,629344
12-Apr-17,51.62,51.72,50.82,51.10,1195295
11-Apr-17,51.11,51.56,50.91,51.53,816942
10-Apr-17,51.03,51.47,51.01,51.08,792261
7-Apr-17,50.79,51.23,50.79,50.91,795068
6-Apr-17,50.84,51.21,50.68,50.90,1138606
5-Apr-17,50.56,51.35,50.49,50.81,1147444
4-Apr-17,50.49,50.68,50.25,50.49,800385
3-Apr-17,50.50,50.90,50.24,50.59,928190
31-Mar-17,50.38,50.48,50.27,50.32,627170
30-Mar-17,50.18,50.50,50.18,50.41,489753
29-Mar-17,49.96,50.44,49.96,50.35,652661
28-Mar-17,49.70,50.17,49.56,50.07,624407
27-Mar-17,49.58,49.91,49.42,49.82,686467
24-Mar-17,50.40,50.54,49.92,50.09,647281
23-Mar-17,50.00,50.75,49.96,50.36,902344
22-Mar-17,49.90,49.94,49.44,49.87,1523091
21-Mar-17,50.55,50.63,49.80,50.00,1099902
20-Mar-17,50.70,50.89,50.24,50.47,745610
17-Mar-17,50.34,50.65,50.19,50.58,2039886
16-Mar-17,49.99,50.45,49.89,50.17,1198900
15-Mar-17,49.44,50.09,49.19,49.94,988677
14-Mar-17,48.92,49.47,48.77,49.22,782462
13-Mar-17,48.52,49.06,48.34,49.05,1439678
10-Mar-17,48.30,48.86,48.30,48.84,989533
9-Mar-17,48.71,48.81,48.08,48.20,603677
8-Mar-17,48.90,48.98,48.35,48.71,999391
7-Mar-17,49.03,49.14,48.67,48.83,1212435
6-Mar-17,49.34,49.39,48.90,49.03,650986
3-Mar-17,49.44,49.74,49.32,49.48,513899
2-Mar-17,49.84,49.84,49.34,49.49,600499
1-Mar-17,49.65,50.00,49.44,49.92,803448
28-Feb-17,49.32,49.50,49.02,49.18,849451
27-Feb-17,49.35,49.69,49.21,49.50,567141
24-Feb-17,48.93,49.43,48.61,49.43,870687
23-Feb-17,49.18,49.29,48.78,49.16,840178
22-Feb-17,49.20,49.39,48.87,48.99,1039250
21-Feb-17,48.66,49.11,48.53,49.07,852648
17-Feb-17,48.25,48.62,48.25,48.62,700829
16-Feb-17,48.39,48.59,47.98,48.34,777219
15-Feb-17,48.11,48.30,47.96,48.26,865269
14-Feb-17,48.67,48.79,48.12,48.20,1172563
13-Feb-17,49.04,49.18,48.59,48.68,830265
10-Feb-17,48.96,49.14,48.68,48.92,1107125
9-Feb-17,48.23,49.17,48.03,48.96,963943
8-Feb-17,48.65,48.70,47.90,48.19,1173954
7-Feb-17,48.74,49.10,48.53,48.61,944229
6-Feb-17,48.60,48.76,48.37,48.55,861456
3-Feb-17,48.42,48.84,48.19,48.74,1274161
2-Feb-17,48.75,48.78,47.90,48.18,1168325
1-Feb-17,49.40,50.16,48.24,48.56,2243407
31-Jan-17,47.87,49.36,47.21,47.72,3434676
30-Jan-17,47.37,47.37,46.24,47.19,1327755
27-Jan-17,48.19,48.26,47.33,47.39,976034
26-Jan-17,48.08,48.67,47.61,48.08,1084453
25-Jan-17,48.75,48.87,48.47,48.60,853349
24-Jan-17,47.69,48.67,47.55,48.46,1761860
23-Jan-17,47.52,47.69,46.87,47.44,847667
20-Jan-17,47.69,47.91,47.54,47.71,1089013
19-Jan-17,47.35,47.65,47.18,47.49,1063031
18-Jan-17,47.27,47.54,47.04,47.45,994549
17-Jan-17,46.93,47.37,46.60,47.22,664018
13-Jan-17,46.94,47.44,46.86,47.00,576496
12-Jan-17,47.26,47.28,46.45,46.99,987654
11-Jan-17,47.85,48.08,47.42,47.46,689311
10-Jan-17,47.98,48.40,47.91,48.01,622632
9-Jan-17,48.50,48.50,47.91,47.91,826733
6-Jan-17,49.03,49.04,48.44,48.53,861225
5-Jan-17,49.66,49.70,48.76,49.03,760115
4-Jan-17,49.57,50.09,49.36,49.98,793181
3-Jan-17,49.25,49.72,49.09,49.35,1004629
30-Dec-16,49.78,49.78,48.74,48.88,612409
29-Dec-16,49.54,49.79,49.53,49.60,461615
28-Dec-16,49.91,50.06,49.46,49.51,496000
27-Dec-16,49.68,49.95,49.63,49.91,286521
23-Dec-16,49.56,49.68,49.38,49.68,312687
22-Dec-16,49.83,50.05,49.38,49.50,708281
21-Dec-16,49.95,50.17,49.63,49.63,619923
20-Dec-16,49.91,50.18,49.59,49.93,661800
19-Dec-16,49.70,50.10,49.47,49.94,558469
16-Dec-16,49.75,50.16,49.54,49.76,1379732
15-Dec-16,49.94,50.09,49.39,49.56,675291
14-Dec-16,50.30,50.79,49.69,49.79,1106950
13-Dec-16,50.17,50.44,50.09,50.40,1007089
12-Dec-16,49.76,50.17,49.76,50.17,846681
9-Dec-16,49.87,49.89,49.58,49.82,682127
8-Dec-16,49.51,49.98,49.38,49.97,585967
7-Dec-16,48.78,49.70,48.61,49.70,798742
6-Dec-16,48.45,48.70,48.17,48.63,454438
5-Dec-16,48.22,48.52,48.22,48.49,507295
2-Dec-16,47.74,48.29,47.74,48.04,439925
1-Dec-16,48.12,48.50,47.49,47.69,698718
30-Nov-16,48.55,48.59,48.06,48.06,1128909
29-Nov-16,48.62,48.84,48.39,48.57,548556
28-Nov-16,49.38,49.45,48.49,48.54,772924
25-Nov-16,49.19,49.53,49.10,49.53,281335
23-Nov-16,49.17,49.50,48.81,49.08,650167
22-Nov-16,49.21,49.38,49.01,49.25,612580
21-Nov-16,48.96,49.20,48.52,49.20,560975
18-Nov-16,48.82,49.15,48.71,48.86,480266
17-Nov-16,48.93,49.44,48.77,48.79,815570
16-Nov-16,48.95,49.10,48.55,48.79,542330
15-Nov-16,49.43,49.81,48.74,48.99,1038088
14-Nov-16,48.21,49.45,48.21,49.44,1368544
11-Nov-16,47.51,48.09,47.51,47.88,960671
10-Nov-16,46.99,47.76,46.53,47.62,987455
9-Nov-16,45.83,47.03,45.16,46.80,1233762
8-Nov-16,45.66,46.68,45.30,46.49,1002475
7-Nov-16,45.66,45.98,45.42,45.72,810525
4-Nov-16,44.97,45.56,44.93,45.05,959052
3-Nov-16,45.27,45.48,44.77,44.89,1029507
2-Nov-16,45.56,45.69,44.91,45.06,944628
1-Nov-16,45.99,46.38,45.20,45.55,1209929
31-Oct-16,45.90,46.03,45.41,45.88,2765120
28-Oct-16,44.58,46.30,44.58,45.67,2002797
27-Oct-16,45.13,45.20,44.02,44.39,1927210
26-Oct-16,44.77,45.35,44.77,44.84,1129699
25-Oct-16,44.85,45.14,44.06,45.10,1628232
24-Oct-16,45.21,45.59,44.99,45.04,801350
21-Oct-16,44.88,45.09,44.68,44.93,1411947
20-Oct-16,45.53,45.69,44.75,45.38,1033993
19-Oct-16,45.97,46.11,45.48,46.00,581862
18-Oct-16,46.06,46.11,45.70,45.77,593544
17-Oct-16,45.75,46.02,45.61,45.65,565647
14-Oct-16,45.93,46.15,45.68,45.73,652626
13-Oct-16,45.40,45.86,45.34,45.72,617771
12-Oct-16,45.70,46.00,45.56,45.78,659947
11-Oct-16,45.87,45.90,45.39,45.59,959765
10-Oct-16,46.06,46.18,45.71,45.91,905462
7-Oct-16,46.25,46.38,45.66,45.75,828212
6-Oct-16,45.63,46.22,45.46,46.07,1053103
5-Oct-16,45.22,45.91,45.22,45.82,1811453
4-Oct-16,45.37,45.78,45.04,45.17,1109112
3-Oct-16,45.44,46.05,44.90,45.43,2069779
30-Sep-16,45.72,45.88,45.11,45.58,2911906
29-Sep-16,46.42,46.60,45.69,45.71,1193572
28-Sep-16,47.75,47.91,45.86,46.58,2481500
27-Sep-16,48.14,48.61,48.06,48.32,700757
26-Sep-16,48.30,48.34,47.54,48.10,1189897
23-Sep-16,49.26,49.45,48.63,48.65,700349
22-Sep-16,49.89,50.04,49.20,49.36,588323
21-Sep-16,48.78,49.62,48.62,49.53,886521
20-Sep-16,48.85,49.11,48.42,48.51,646918
19-Sep-16,48.62,49.09,48.57,48.81,666037
16-Sep-16,49.03,49.06,48.40,48.53,961568
15-Sep-16,49.06,49.35,48.79,49.26,687428
14-Sep-16,49.04,49.45,48.98,49.06,581156
13-Sep-16,49.18,49.67,48.86,49.14,897080
12-Sep-16,49.02,50.20,49.01,50.06,1053142
9-Sep-16,51.74,51.74,49.41,49.41,1251621
8-Sep-16,52.41,52.65,52.01,52.04,558300
7-Sep-16,52.36,52.65,52.19,52.63,500042
6-Sep-16,52.02,52.34,51.77,52.34,447675
2-Sep-16,52.04,52.17,51.62,51.84,494031
1-Sep-16,52.56,52.58,51.60,51.79,754256
31-Aug-16,52.32,52.65,52.15,52.48,1143427
30-Aug-16,52.22,52.45,52.04,52.39,491644
29-Aug-16,51.73,52.35,51.73,52.26,554473
26-Aug-16,52.46,52.53,51.55,51.70,657065
25-Aug-16,52.10,52.73,51.84,52.49,738322
24-Aug-16,51.92,52.17,51.62,52.15,1381200
23-Aug-16,52.48,52.75,52.06,52.14,1170474
22-Aug-16,52.51,52.52,52.12,52.41,713546
19-Aug-16,52.09,53.00,52.09,52.46,1617107
18-Aug-16,51.71,52.38,51.71,52.25,550093
17-Aug-16,51.91,51.93,51.50,51.73,1122139
16-Aug-16,52.18,52.18,51.77,51.97,562206
15-Aug-16,52.86,52.99,52.26,52.28,593164
12-Aug-16,52.80,52.86,52.44,52.86,748581
11-Aug-16,52.88,53.10,52.50,52.90,495679
10-Aug-16,52.66,52.77,52.35,52.63,488523
9-Aug-16,52.50,52.60,52.23,52.49,663180
8-Aug-16,52.26,52.81,52.15,52.51,751528
5-Aug-16,53.04,53.24,51.83,52.02,1242713
4-Aug-16,51.80,52.80,51.65,52.77,930487
3-Aug-16,51.29,52.14,51.24,51.63,1067708
2-Aug-16,51.90,52.23,51.01,51.17,2042857
1-Aug-16,51.80,52.27,51.61,51.87,1306802
29-Jul-16,53.53,53.89,52.17,52.57,2367208
28-Jul-16,53.50,54.62,53.27,54.53,1461976
27-Jul-16,54.03,54.16,53.18,53.54,635458
26-Jul-16,53.58,53.81,53.35,53.77,520518
25-Jul-16,53.44,53.63,53.08,53.49,500115
22-Jul-16,53.04,53.49,52.82,53.47,497200
21-Jul-16,53.61,53.68,52.68,52.92,567180
20-Jul-16,53.33,53.72,53.14,53.54,457388
19-Jul-16,53.00,53.37,52.96,53.25,514728
18-Jul-16,52.98,53.18,52.81,53.17,398797
15-Jul-16,52.85,53.02,52.71,52.89,555518
14-Jul-16,53.00,53.05,52.60,52.66,502660
13-Jul-16,52.74,52.80,52.41,52.53,498346
12-Jul-16,52.71,52.76,52.37,52.59,691187
11-Jul-16,52.19,52.48,51.94,52.23,460306
8-Jul-16,51.67,52.03,51.36,52.03,713401
7-Jul-16,51.11,51.48,50.75,51.15,666832
6-Jul-16,50.14,51.18,49.97,51.12,998540
5-Jul-16,50.39,50.52,49.86,50.47,801696
1-Jul-16,51.11,51.40,50.55,50.83,574542
30-Jun-16,50.04,51.12,49.91,51.11,922200
29-Jun-16,49.88,50.13,49.66,49.97,553337
28-Jun-16,48.42,49.29,48.38,49.29,736255
27-Jun-16,48.14,48.18,47.44,47.89,797351
24-Jun-16,49.42,49.90,48.52,48.74,998496
23-Jun-16,50.95,51.20,50.70,51.11,541896
22-Jun-16,50.57,50.81,50.31,50.60,508023
21-Jun-16,50.61,50.66,50.16,50.41,516943
20-Jun-16,50.59,50.86,50.41,50.46,523636
17-Jun-16,49.88,50.27,49.86,50.07,928068
16-Jun-16,49.64,50.04,49.29,49.96,524411
15-Jun-16,49.64,50.16,49.50,49.75,503436
14-Jun-16,49.22,49.50,49.00,49.45,468319
13-Jun-16,49.87,50.20,49.33,49.39,781623
10-Jun-16,50.31,50.35,49.86,50.16,596692
9-Jun-16,50.55,50.95,50.35,50.87,358091
8-Jun-16,50.80,51.04,50.68,50.96,497296
7-Jun-16,50.62,50.97,50.46,50.73,551995
6-Jun-16,50.32,50.95,50.04,50.66,950995
3-Jun-16,50.75,51.00,50.15,50.26,765864
2-Jun-16,50.53,51.02,50.39,51.01,959589
1-Jun-16,50.08,50.66,49.80,50.63,1053757
31-May-16,49.74,50.32,49.50,50.26,1223262
27-May-16,49.26,49.90,49.26,49.79,445560
26-May-16,49.59,49.72,49.28,49.39,415899
25-May-16,49.85,50.23,49.48,49.51,486339
24-May-16,49.04,50.00,48.99,49.89,572326
23-May-16,48.80,48.93,48.63,48.78,372007
20-May-16,48.87,48.94,48.43,48.86,497176
19-May-16,48.27,48.63,47.95,48.52,460766
18-May-16,48.45,49.06,48.20,48.51,677808
17-May-16,48.94,49.22,48.44,48.54,869116
16-May-16,48.90,49.30,48.84,49.09,747668
13-May-16,49.25,49.48,48.71,48.81,749320
12-May-16,49.36,49.56,49.14,49.43,492459
11-May-16,49.60,49.77,49.00,49.07,592751
10-May-16,49.70,50.46,49.64,49.75,823906
9-May-16,49.14,49.64,49.03,49.59,1201455
