Date,Open,High,Low,Close,Volume
28-Apr-17,139.50,140.46,139.20,140.15,937564
27-Apr-17,138.93,140.09,138.69,139.68,691756
26-Apr-17,138.83,140.17,137.70,138.69,1272879
25-Apr-17,138.87,140.35,134.19,138.89,2698089
24-Apr-17,144.63,145.15,143.88,144.61,725902
21-Apr-17,145.37,145.42,143.03,143.29,839059
20-Apr-17,143.34,146.63,143.34,145.66,1184202
19-Apr-17,142.54,142.91,141.84,142.80,828347
18-Apr-17,141.81,142.49,141.09,142.19,511355
17-Apr-17,142.34,143.14,141.92,142.51,788317
13-Apr-17,142.34,142.75,141.81,142.10,495833
12-Apr-17,143.45,143.64,142.35,142.57,509820
11-Apr-17,143.12,143.72,142.44,143.34,510575
10-Apr-17,143.44,144.53,143.21,143.49,407086
7-Apr-17,143.82,143.98,142.46,143.39,542649
6-Apr-17,143.70,144.02,142.75,144.02,1375083
5-Apr-17,144.01,145.64,143.28,143.55,527000
4-Apr-17,144.27,144.51,143.29,143.51,489890
3-Apr-17,142.75,144.70,142.75,144.55,763351
31-Mar-17,144.00,144.23,143.15,143.47,412248
30-Mar-17,142.30,144.37,142.13,143.98,430844
29-Mar-17,142.69,143.61,142.46,143.19,430457
28-Mar-17,142.12,143.11,141.29,142.91,591456
27-Mar-17,141.35,142.57,141.07,142.53,835246
24-Mar-17,141.74,142.60,141.48,142.00,872371
23-Mar-17,142.38,143.14,141.06,141.50,798576
22-Mar-17,142.82,143.32,141.65,142.30,896697
21-Mar-17,143.91,144.38,141.93,142.47,659503
20-Mar-17,143.99,144.40,143.07,143.64,767953
17-Mar-17,144.30,144.43,143.28,143.75,639040
16-Mar-17,144.30,145.00,143.88,144.18,560335
15-Mar-17,143.65,144.63,143.07,144.27,453254
14-Mar-17,143.89,143.90,142.64,143.09,521228
13-Mar-17,144.08,144.45,142.87,144.24,678750
10-Mar-17,143.57,144.28,142.89,143.94,605033
9-Mar-17,142.07,143.27,141.86,143.13,714566
8-Mar-17,142.10,142.71,141.62,142.11,562172
7-Mar-17,142.10,142.79,141.51,142.09,497659
6-Mar-17,141.96,142.81,141.29,142.43,777652
3-Mar-17,141.83,142.51,141.06,142.29,643792
2-Mar-17,142.61,142.81,141.85,141.93,481868
1-Mar-17,143.15,143.15,141.61,142.74,850466
28-Feb-17,142.27,143.03,141.80,142.26,709321
27-Feb-17,143.00,143.70,142.31,142.82,619910
24-Feb-17,140.20,143.14,140.00,142.89,1294069
23-Feb-17,139.54,140.80,138.94,140.27,1079792
22-Feb-17,139.26,139.87,138.90,139.02,1000040
21-Feb-17,139.00,140.36,138.74,139.64,929397
17-Feb-17,138.68,140.19,138.28,139.59,895298
16-Feb-17,138.55,140.98,137.09,139.13,1578917
15-Feb-17,135.18,137.19,134.10,136.37,1009505
14-Feb-17,135.19,136.21,134.14,135.88,748755
13-Feb-17,135.17,136.64,134.67,134.93,797679
10-Feb-17,133.84,135.76,133.65,135.01,1091030
9-Feb-17,131.47,134.07,130.29,133.83,917357
8-Feb-17,131.00,131.84,130.49,131.49,645893
7-Feb-17,129.63,130.69,129.42,130.60,933986
6-Feb-17,135.66,135.66,128.00,129.86,3670295
3-Feb-17,136.47,137.86,136.28,137.69,502151
2-Feb-17,136.07,136.59,135.43,136.49,684304
1-Feb-17,134.70,136.68,134.63,136.37,765340
31-Jan-17,132.48,134.34,131.37,134.21,832398
30-Jan-17,132.92,133.25,131.44,132.50,575031
27-Jan-17,134.28,134.88,133.14,133.63,748424
26-Jan-17,135.09,135.60,133.82,133.83,874589
25-Jan-17,133.24,135.78,132.94,135.09,1227448
24-Jan-17,132.38,133.18,131.48,133.04,538615
23-Jan-17,131.78,132.91,131.59,132.54,879900
20-Jan-17,132.93,133.42,131.93,132.40,525795
19-Jan-17,133.96,134.00,132.56,132.74,641530
18-Jan-17,134.69,135.27,133.84,134.39,781880
