Date,Open,High,Low,Close,Volume
28-Apr-17,31.31,31.78,31.11,31.24,3272438
27-Apr-17,31.70,32.47,30.99,31.19,4552775
26-Apr-17,29.80,30.52,29.74,30.19,4891034
25-Apr-17,29.57,29.82,29.43,29.77,2656590
24-Apr-17,29.30,29.52,28.98,29.43,2980813
21-Apr-17,28.96,29.02,28.80,29.01,1594379
20-Apr-17,28.54,29.02,28.54,28.98,1954155
19-Apr-17,28.33,28.60,28.26,28.49,1404836
18-Apr-17,27.98,28.29,27.96,28.22,1536032
17-Apr-17,27.99,28.23,27.89,28.08,1537503
13-Apr-17,28.11,28.34,27.93,27.94,1643161
12-Apr-17,28.50,28.62,28.04,28.14,2889540
11-Apr-17,28.27,28.62,28.22,28.62,2416836
10-Apr-17,28.04,28.44,28.02,28.31,2348768
7-Apr-17,28.09,28.16,27.85,28.06,2547147
6-Apr-17,28.04,28.24,27.88,28.11,3351592
5-Apr-17,28.50,28.70,27.89,27.95,3036583
4-Apr-17,28.69,28.78,28.28,28.35,3092262
3-Apr-17,29.14,29.39,28.60,28.70,2959946
31-Mar-17,29.62,29.79,29.24,29.27,3239232
30-Mar-17,29.56,29.89,29.52,29.60,1613589
29-Mar-17,29.61,29.82,29.53,29.65,1781731
28-Mar-17,29.27,29.65,29.09,29.62,3832139
27-Mar-17,29.18,29.45,29.03,29.39,4330486
24-Mar-17,29.54,29.70,29.26,29.39,1853872
23-Mar-17,29.70,29.81,29.50,29.54,2160026
22-Mar-17,29.72,29.82,29.46,29.67,1926930
21-Mar-17,30.13,30.28,29.64,29.65,2304367
20-Mar-17,30.31,30.40,29.97,29.99,1364187
17-Mar-17,30.59,30.67,30.14,30.31,3093992
16-Mar-17,30.23,30.54,30.22,30.41,2102404
15-Mar-17,30.18,30.31,29.96,30.18,2559862
14-Mar-17,29.48,30.23,29.48,30.15,1629760
13-Mar-17,30.00,30.26,29.93,30.23,2381256
10-Mar-17,30.68,30.69,29.95,30.00,4782169
9-Mar-17,30.63,30.76,30.37,30.44,2752285
8-Mar-17,30.92,31.26,30.69,30.70,2129085
7-Mar-17,31.29,31.40,30.82,30.89,2234585
6-Mar-17,31.58,31.74,31.30,31.31,2783085
3-Mar-17,31.59,31.73,31.42,31.71,3160053
2-Mar-17,32.14,32.29,31.53,31.56,3171923
