Date,Open,High,Low,Close,Volume
28-Apr-17,81.37,82.25,81.20,82.06,3161763
27-Apr-17,80.97,81.60,80.70,81.33,3219208
26-Apr-17,81.34,81.71,80.93,80.96,4421743
25-Apr-17,82.71,82.71,80.50,81.20,9221052
24-Apr-17,82.82,83.73,82.72,83.42,4813568
21-Apr-17,81.82,82.24,81.67,81.89,3204044
20-Apr-17,81.19,82.20,80.75,81.94,3267398
19-Apr-17,81.12,81.71,79.88,80.89,5504500
18-Apr-17,81.91,82.10,80.89,81.20,8210809
17-Apr-17,81.30,82.99,81.11,82.38,12424515
13-Apr-17,86.03,86.32,85.78,85.88,2172543
12-Apr-17,85.74,86.34,85.67,86.25,2545120
11-Apr-17,85.47,86.14,85.32,85.93,2699165
10-Apr-17,85.46,85.85,85.23,85.47,1994875
7-Apr-17,85.34,85.66,84.91,85.32,2808455
6-Apr-17,85.47,85.90,85.12,85.36,2684638
5-Apr-17,85.92,86.72,85.57,85.63,4056330
4-Apr-17,84.53,86.39,84.29,86.09,4624956
3-Apr-17,84.13,84.81,84.07,84.45,2429899
31-Mar-17,84.40,84.94,84.08,84.11,3151938
30-Mar-17,84.57,84.95,84.08,84.76,3204818
29-Mar-17,84.55,84.76,84.32,84.44,2066642
28-Mar-17,84.27,85.00,84.04,84.75,2754994
27-Mar-17,83.90,84.44,83.74,84.24,2340927
24-Mar-17,84.30,84.98,83.86,84.18,2479097
23-Mar-17,83.92,85.05,83.92,84.42,3021071
22-Mar-17,84.09,84.55,83.47,84.36,2850296
21-Mar-17,84.34,84.95,83.63,83.73,4066180
20-Mar-17,84.60,84.86,83.96,84.06,3121865
17-Mar-17,84.44,84.75,83.83,83.96,5786941
16-Mar-17,85.54,85.54,83.80,84.99,4742834
15-Mar-17,84.43,86.14,84.37,85.88,4883922
14-Mar-17,84.00,84.55,83.92,84.46,2839052
13-Mar-17,84.51,84.55,83.83,84.14,2248486
10-Mar-17,84.50,84.55,83.90,84.36,3629914
9-Mar-17,83.67,84.77,83.51,84.55,5861915
8-Mar-17,82.74,83.98,82.67,83.41,4491834
7-Mar-17,82.95,83.14,81.37,82.74,5570598
6-Mar-17,83.25,84.28,82.95,83.83,3960055
3-Mar-17,82.70,83.90,82.60,83.78,2649606
2-Mar-17,83.87,83.94,82.84,82.91,3371556
1-Mar-17,83.44,84.14,82.97,83.85,3420566
28-Feb-17,82.82,83.48,82.58,82.81,3672034
27-Feb-17,82.83,83.40,82.66,83.06,3104235
24-Feb-17,82.42,83.24,82.24,82.87,4016045
23-Feb-17,81.37,82.88,81.14,82.55,6193454
22-Feb-17,80.42,81.21,80.33,81.07,3468784
21-Feb-17,80.17,80.87,80.11,80.36,3178822
17-Feb-17,80.14,81.00,80.07,80.39,3111144
16-Feb-17,80.05,80.38,79.41,80.04,3630059
15-Feb-17,78.34,80.54,78.05,80.25,4272836
14-Feb-17,77.50,78.83,77.25,78.81,3311161
13-Feb-17,77.57,78.06,77.53,77.77,2097796
10-Feb-17,77.87,78.25,77.60,77.79,2598619
9-Feb-17,78.12,78.59,77.69,77.70,2962614
8-Feb-17,77.44,78.65,77.19,78.11,2821567
7-Feb-17,77.68,78.01,77.32,77.70,3346800
6-Feb-17,76.92,77.84,76.76,77.83,2835509
3-Feb-17,77.47,77.88,76.71,77.23,3836275
2-Feb-17,76.99,77.91,76.55,77.39,3830939
1-Feb-17,77.89,78.57,76.91,77.60,4959227
31-Jan-17,74.25,77.28,74.00,77.03,6964087
30-Jan-17,75.09,75.18,74.25,74.70,5909555
27-Jan-17,74.92,75.40,74.50,75.38,3132793
26-Jan-17,74.98,75.35,74.54,74.58,3748027
25-Jan-17,75.12,75.60,74.27,74.85,4830841
24-Jan-17,76.20,76.43,74.17,74.85,6594265
23-Jan-17,76.24,76.88,76.16,76.32,5055071
20-Jan-17,77.02,77.41,76.47,76.81,4371196
19-Jan-17,77.47,77.62,76.76,76.84,4439238
18-Jan-17,77.32,77.71,76.88,77.53,3360339
17-Jan-17,77.06,77.06,75.87,76.85,4913272
13-Jan-17,76.92,78.12,76.38,77.40,5602614
12-Jan-17,74.85,77.50,74.76,77.15,11901134
11-Jan-17,76.51,76.92,74.00,75.26,7701738
10-Jan-17,76.44,76.56,75.81,76.27,3559403
9-Jan-17,75.67,76.62,75.51,76.27,3204202
6-Jan-17,75.46,76.06,75.03,75.67,2296679
5-Jan-17,74.93,77.87,74.43,75.59,3310765
4-Jan-17,74.95,75.00,74.38,74.72,3021617
3-Jan-17,73.94,74.67,73.54,74.60,3623461
30-Dec-16,73.47,73.75,73.23,73.55,2934286
29-Dec-16,73.39,73.87,73.24,73.56,3031926
28-Dec-16,73.66,73.78,72.97,73.06,3256811
27-Dec-16,74.06,74.46,73.68,73.81,2786711
23-Dec-16,73.48,74.00,73.26,73.79,2570475
22-Dec-16,73.16,73.48,72.68,73.26,4827505
21-Dec-16,73.33,73.89,73.10,73.25,5054141
20-Dec-16,73.65,74.10,73.00,73.38,6001496
19-Dec-16,73.48,74.49,73.30,73.42,6102447
16-Dec-16,72.86,73.71,71.76,73.31,17584655
15-Dec-16,70.37,71.59,69.66,71.37,14321496
14-Dec-16,68.42,68.92,67.54,67.67,6140299
13-Dec-16,67.99,68.89,67.99,68.64,6010936
12-Dec-16,67.98,68.54,67.42,67.61,5273718
9-Dec-16,67.38,68.17,67.22,67.85,4350764
8-Dec-16,67.05,67.27,66.39,67.19,4811371
7-Dec-16,67.25,67.38,66.56,67.38,5835882
6-Dec-16,67.20,67.92,67.13,67.80,4617182
5-Dec-16,68.16,68.31,66.74,67.26,7285951
2-Dec-16,66.30,68.39,65.96,67.71,12272207
1-Dec-16,67.29,67.30,65.66,65.97,7168068
