Date,Open,High,Low,Close,Volume
28-Apr-17,66.58,66.88,65.88,65.93,1151263
27-Apr-17,66.82,66.82,65.82,66.53,1239251
26-Apr-17,67.14,67.60,66.42,66.50,1769731
25-Apr-17,67.67,67.98,67.17,67.29,1614842
24-Apr-17,66.48,67.22,66.15,66.72,1671970
21-Apr-17,64.77,65.32,64.43,64.72,1633308
20-Apr-17,64.47,65.36,63.95,65.06,1811827
19-Apr-17,64.06,64.78,63.54,63.83,1836043
18-Apr-17,63.21,63.90,62.67,63.31,1601244
17-Apr-17,63.67,64.24,63.02,64.09,1348011
13-Apr-17,63.48,64.32,63.05,63.23,1527141
12-Apr-17,65.30,65.47,63.60,63.97,1747620
11-Apr-17,64.86,65.49,64.48,65.35,1690239
10-Apr-17,65.57,66.10,64.95,65.31,1671132
7-Apr-17,64.99,65.98,64.61,65.61,1621275
6-Apr-17,64.80,66.02,64.15,65.70,2143368
5-Apr-17,65.96,66.38,64.45,64.54,2364371
4-Apr-17,64.95,65.48,64.68,65.17,1280615
3-Apr-17,65.41,65.64,63.96,65.23,2032480
31-Mar-17,64.96,65.86,64.73,65.45,2912439
30-Mar-17,63.97,65.68,63.90,65.43,2164412
29-Mar-17,63.83,64.26,63.26,63.94,2243372
28-Mar-17,63.03,64.68,62.00,64.18,2498452
27-Mar-17,62.02,63.67,61.45,63.47,2451520
24-Mar-17,64.21,64.73,63.28,63.81,2201590
23-Mar-17,62.98,64.65,62.85,63.82,2389100
22-Mar-17,62.91,64.17,61.80,63.34,2929025
21-Mar-17,67.59,67.73,63.27,63.50,3527134
20-Mar-17,67.71,67.92,66.98,67.04,1586119
17-Mar-17,69.45,69.47,67.84,67.96,2666919
16-Mar-17,69.40,69.98,69.13,69.33,1320155
15-Mar-17,69.23,69.53,68.44,68.97,2281204
14-Mar-17,68.68,68.97,67.85,68.95,1330360
13-Mar-17,69.11,69.55,68.71,69.09,1434799
10-Mar-17,69.23,69.68,68.23,69.01,1546526
9-Mar-17,69.45,69.74,68.74,69.07,1441272
8-Mar-17,70.23,70.71,69.19,69.25,1329013
7-Mar-17,69.64,69.87,68.95,69.25,2587620
6-Mar-17,70.36,70.67,69.56,69.75,2300328
3-Mar-17,70.62,71.50,70.50,71.15,1438381
2-Mar-17,72.70,72.72,70.51,70.62,2315592
1-Mar-17,72.25,72.93,71.79,72.33,2891145
28-Feb-17,70.57,70.80,69.87,70.16,2362062
27-Feb-17,71.01,71.02,70.40,70.84,2007308
24-Feb-17,70.68,70.92,70.13,70.82,1786996
23-Feb-17,71.75,72.04,71.03,71.69,1534096
22-Feb-17,71.67,72.12,71.10,71.70,1825340
21-Feb-17,72.05,72.69,71.91,72.27,1452981
17-Feb-17,71.88,72.28,71.19,71.69,1829664
16-Feb-17,72.71,73.31,72.01,72.66,2158210
15-Feb-17,72.55,73.14,71.88,73.08,1499997
14-Feb-17,70.92,72.52,70.87,72.13,2236610
13-Feb-17,70.85,71.61,70.62,71.08,1746172
10-Feb-17,70.47,70.87,70.11,70.37,1588433
9-Feb-17,68.86,70.20,68.71,70.05,1307800
8-Feb-17,68.75,68.79,67.98,68.36,1789844
7-Feb-17,69.44,69.99,68.80,69.34,1409404
6-Feb-17,68.83,70.00,68.69,69.09,1549320
3-Feb-17,69.92,70.35,69.16,69.50,2396025
2-Feb-17,68.88,69.56,66.62,68.53,2040136
1-Feb-17,68.50,69.33,68.01,68.92,2362237
31-Jan-17,68.06,68.98,66.83,67.51,1898362
30-Jan-17,68.64,68.79,67.30,68.49,1424149
27-Jan-17,69.78,69.85,69.10,69.30,1307361
26-Jan-17,69.30,70.37,68.94,69.65,1274043
25-Jan-17,68.50,69.24,68.36,69.01,1368308
24-Jan-17,67.08,68.52,66.85,67.80,1190119
23-Jan-17,66.67,67.44,66.03,66.70,824903
20-Jan-17,67.13,68.00,66.28,66.93,1248857
19-Jan-17,67.30,67.87,66.08,66.69,1704092
18-Jan-17,65.91,67.10,65.28,67.06,1708324
17-Jan-17,66.40,66.70,65.29,65.50,1454999
13-Jan-17,67.29,68.29,66.96,67.21,1133903
12-Jan-17,66.69,67.33,65.18,66.54,948089
11-Jan-17,67.21,67.69,66.69,67.63,1327797
10-Jan-17,66.80,67.91,66.15,67.16,968217
9-Jan-17,66.07,67.18,66.07,66.52,1116773
6-Jan-17,66.83,67.55,66.47,67.35,1096738
5-Jan-17,67.41,67.82,65.81,66.82,1462777
4-Jan-17,67.38,68.10,67.00,67.76,1394586
3-Jan-17,66.91,68.00,65.87,66.91,1578206
30-Dec-16,66.55,66.72,66.01,66.27,854063
29-Dec-16,66.76,67.25,65.70,66.12,685417
28-Dec-16,67.64,67.82,66.46,66.60,623188
27-Dec-16,67.72,67.89,67.44,67.59,421581
23-Dec-16,67.35,67.72,66.80,67.59,1047927
22-Dec-16,67.67,67.67,66.76,67.43,690103
21-Dec-16,67.55,68.25,67.04,67.78,1503131
20-Dec-16,67.43,68.30,67.21,67.72,1034817
19-Dec-16,66.47,67.11,65.64,66.67,1035682
16-Dec-16,67.61,68.08,66.03,66.39,3668820
15-Dec-16,66.72,68.24,66.63,67.47,1937302
14-Dec-16,65.55,67.55,65.04,66.23,2221885
13-Dec-16,67.28,67.66,66.03,67.04,1255137
12-Dec-16,67.71,67.96,66.24,67.18,2107860
9-Dec-16,69.30,69.49,67.61,68.13,3067461
8-Dec-16,67.63,69.30,67.24,68.48,1713617
7-Dec-16,66.09,67.19,66.09,67.15,1453302
6-Dec-16,65.52,66.39,65.24,66.15,1589222
5-Dec-16,65.60,66.13,64.36,65.01,2775137
2-Dec-16,65.81,66.00,64.38,65.12,1453312
1-Dec-16,64.87,66.61,64.77,66.15,1813583
30-Nov-16,64.70,64.82,63.77,64.10,2046571
29-Nov-16,63.48,63.80,63.04,63.32,1313139
28-Nov-16,63.41,64.22,62.93,63.15,1578160
25-Nov-16,64.10,64.17,63.52,64.15,540925
23-Nov-16,64.00,64.71,63.45,64.15,1109482
22-Nov-16,63.38,63.95,63.10,63.65,1505692
21-Nov-16,62.85,63.39,62.16,63.19,1403022
18-Nov-16,62.46,63.08,61.83,62.24,2033101
17-Nov-16,61.58,62.62,61.01,62.62,2543266
16-Nov-16,61.59,62.12,60.79,61.48,1725872
15-Nov-16,61.12,62.77,60.31,62.43,2835659
14-Nov-16,60.95,62.86,60.52,61.40,3003605
11-Nov-16,58.25,60.22,58.14,60.11,1936697
10-Nov-16,58.44,60.71,57.87,59.02,4352403
9-Nov-16,54.05,58.00,53.86,57.51,4953277
8-Nov-16,51.98,52.93,51.23,52.66,2200834
7-Nov-16,51.42,52.16,51.42,52.14,2414432
4-Nov-16,51.37,51.67,50.23,50.28,2730799
3-Nov-16,50.47,52.45,50.04,51.37,3469691
2-Nov-16,48.49,48.91,47.90,48.46,2182563
1-Nov-16,49.39,49.76,48.12,48.83,1644268
31-Oct-16,49.72,49.97,49.06,49.09,1283492
28-Oct-16,49.61,50.33,49.02,49.43,1449588
27-Oct-16,49.50,50.16,49.14,49.71,1477340
26-Oct-16,47.97,49.00,47.97,48.93,922213
25-Oct-16,48.78,48.99,48.08,48.24,952442
24-Oct-16,48.89,49.15,48.57,48.77,816896
21-Oct-16,48.15,48.56,47.71,48.48,1018511
20-Oct-16,48.91,49.17,48.49,48.83,992984
19-Oct-16,49.02,49.33,48.87,49.14,1159307
18-Oct-16,49.67,49.71,48.78,48.82,1669272
17-Oct-16,48.80,49.31,48.58,48.82,1689876
