Date,Open,High,Low,Close,Volume
28-Apr-17,39.59,39.74,39.21,39.32,1910863
27-Apr-17,39.50,39.99,39.50,39.72,1730065
26-Apr-17,39.65,39.67,39.37,39.48,1943754
25-Apr-17,39.94,40.08,39.71,40.01,1496368
24-Apr-17,40.03,40.12,39.55,40.07,1351631
21-Apr-17,39.70,40.14,39.69,39.96,1219772
20-Apr-17,39.76,39.78,39.34,39.72,1248526
19-Apr-17,40.13,40.22,39.68,39.81,970954
18-Apr-17,39.85,40.22,39.84,40.15,1276850
17-Apr-17,39.72,39.91,39.68,39.88,912016
13-Apr-17,39.87,39.90,39.44,39.62,1173269
12-Apr-17,39.59,39.93,39.53,39.89,1445073
11-Apr-17,39.69,39.79,39.36,39.70,850879
10-Apr-17,39.71,39.97,39.44,39.71,739027
7-Apr-17,40.01,40.07,39.65,39.70,1063385
6-Apr-17,39.85,39.99,39.70,39.87,657104
5-Apr-17,39.73,40.01,39.55,39.98,1186147
4-Apr-17,39.54,39.99,39.54,39.87,1020528
3-Apr-17,39.63,39.63,39.27,39.59,1045807
31-Mar-17,39.55,39.84,39.54,39.61,1026697
30-Mar-17,39.89,39.89,39.49,39.57,847383
29-Mar-17,40.04,40.10,39.78,39.98,988989
28-Mar-17,40.01,40.16,39.87,40.12,915397
27-Mar-17,40.24,40.32,39.82,40.06,1156604
24-Mar-17,39.86,40.22,39.73,40.10,777914
23-Mar-17,39.71,40.25,39.70,39.84,877154
22-Mar-17,39.94,40.20,39.72,39.78,1151104
21-Mar-17,39.03,39.77,39.02,39.70,1250541
20-Mar-17,39.62,39.68,39.08,39.10,917687
17-Mar-17,39.36,39.78,39.29,39.56,5360207
16-Mar-17,39.33,39.62,39.02,39.13,1612398
15-Mar-17,39.03,39.81,38.93,39.58,1537103
14-Mar-17,38.81,38.94,38.62,38.87,1061896
13-Mar-17,38.61,38.84,38.41,38.75,1656580
10-Mar-17,38.49,38.68,38.35,38.61,1102479
9-Mar-17,38.36,38.67,38.24,38.30,1121875
8-Mar-17,38.98,39.00,38.39,38.39,1019296
7-Mar-17,39.20,39.52,39.00,39.28,1147039
6-Mar-17,39.12,39.37,39.10,39.18,1039086
3-Mar-17,39.26,39.26,38.87,39.19,1175505
2-Mar-17,38.90,39.51,38.87,39.25,1183871
1-Mar-17,38.95,39.41,38.54,39.08,1454760
28-Feb-17,39.06,39.59,38.99,39.48,1927283
27-Feb-17,39.46,39.56,38.99,39.05,1746125
24-Feb-17,39.59,39.64,38.97,39.52,1538820
23-Feb-17,38.84,39.15,38.65,39.11,1103622
22-Feb-17,38.40,38.72,38.25,38.65,1323811
21-Feb-17,37.90,38.48,37.80,38.43,1184277
17-Feb-17,37.97,38.16,37.74,38.08,1254972
16-Feb-17,37.55,37.95,37.55,37.93,1478744
15-Feb-17,37.23,37.58,37.05,37.54,1144488
14-Feb-17,37.89,37.97,37.42,37.67,887494
13-Feb-17,37.89,37.99,37.64,37.99,979097
10-Feb-17,37.65,37.89,37.58,37.86,904021
9-Feb-17,38.06,38.20,37.63,37.65,1060808
8-Feb-17,37.89,38.15,37.76,38.15,1542862
7-Feb-17,37.72,37.80,37.52,37.80,758533
6-Feb-17,37.99,37.99,37.57,37.66,852561
3-Feb-17,37.53,37.90,37.52,37.82,1520614
2-Feb-17,36.99,37.52,36.91,37.51,748549
1-Feb-17,37.37,37.52,36.80,36.98,1191065
31-Jan-17,36.88,37.71,36.81,37.65,1666782
30-Jan-17,37.07,37.08,36.64,36.86,911611
27-Jan-17,36.84,36.90,36.56,36.89,1124044
26-Jan-17,36.88,37.20,36.77,36.95,750516
25-Jan-17,36.87,37.01,36.62,36.89,1015704
24-Jan-17,36.82,37.09,36.71,36.95,1370726
23-Jan-17,37.37,37.55,37.01,37.03,1096091
20-Jan-17,37.43,37.48,37.16,37.36,718901
19-Jan-17,37.49,37.72,37.22,37.28,723689
18-Jan-17,37.70,37.82,37.59,37.70,937706
17-Jan-17,37.62,37.99,37.53,37.75,1111619
13-Jan-17,37.58,37.70,37.32,37.49,949624
