Date,Open,High,Low,Close,Volume
28-Apr-17,26.07,26.26,25.37,25.39,1895718
27-Apr-17,26.22,26.28,25.87,26.14,1267336
26-Apr-17,26.13,26.34,26.02,26.15,1302141
25-Apr-17,26.13,26.39,26.04,26.17,1319936
24-Apr-17,26.01,26.30,25.86,25.96,1369050
21-Apr-17,25.78,25.84,25.43,25.51,1071904
20-Apr-17,25.60,25.85,25.49,25.80,1058859
19-Apr-17,25.43,25.61,25.31,25.45,1574189
18-Apr-17,25.48,25.58,25.11,25.21,3093338
17-Apr-17,25.55,25.64,25.42,25.64,1934134
13-Apr-17,25.82,26.06,25.51,25.52,1137387
12-Apr-17,26.15,26.16,25.80,25.93,1206605
11-Apr-17,26.06,26.18,25.89,26.18,1429851
10-Apr-17,26.29,26.46,26.03,26.24,1006869
7-Apr-17,26.19,26.44,26.10,26.29,920590
6-Apr-17,26.03,26.43,25.88,26.36,1570865
5-Apr-17,26.28,26.56,26.04,26.06,1990779
4-Apr-17,25.89,26.07,25.88,26.03,1237406
3-Apr-17,26.08,26.10,25.76,26.00,2046567
31-Mar-17,26.13,26.20,26.00,26.00,1406404
30-Mar-17,26.12,26.33,26.08,26.27,1727010
29-Mar-17,26.03,26.32,25.99,26.10,1473083
28-Mar-17,25.60,26.32,25.52,26.10,2058804
27-Mar-17,25.30,25.72,25.12,25.62,2378489
24-Mar-17,25.92,26.01,25.56,25.72,1794293
23-Mar-17,25.77,26.04,25.68,25.78,2086905
22-Mar-17,25.73,26.12,25.56,25.77,1941372
21-Mar-17,26.38,26.44,25.75,25.85,2288993
20-Mar-17,26.29,26.48,26.14,26.28,1968101
17-Mar-17,26.67,26.69,26.27,26.34,2844042
16-Mar-17,27.00,27.12,26.52,26.66,1888536
15-Mar-17,26.87,27.07,26.75,26.94,1901243
14-Mar-17,26.93,26.93,26.36,26.79,1893449
13-Mar-17,26.77,27.04,26.67,26.93,1777073
10-Mar-17,26.90,26.99,26.46,26.75,1515121
9-Mar-17,26.85,26.99,26.64,26.75,1910785
8-Mar-17,26.88,26.91,26.66,26.74,2011958
7-Mar-17,26.60,26.76,26.48,26.66,2278360
6-Mar-17,26.46,26.62,26.26,26.53,2309962
3-Mar-17,26.49,26.99,26.40,26.67,2980981
2-Mar-17,27.20,27.20,26.53,26.55,3381066
1-Mar-17,27.04,27.34,27.00,27.20,3604084
28-Feb-17,26.14,26.64,26.03,26.62,3116667
27-Feb-17,25.82,26.33,25.75,26.14,2467119
24-Feb-17,25.41,25.72,25.29,25.69,1645604
23-Feb-17,25.76,25.90,25.46,25.72,1673492
22-Feb-17,25.58,25.76,25.45,25.71,2357510
21-Feb-17,25.57,25.85,25.45,25.71,1517461
17-Feb-17,25.25,25.58,24.88,25.56,2498122
16-Feb-17,25.00,25.37,24.95,25.33,2444695
15-Feb-17,25.00,25.02,24.74,25.00,2224185
14-Feb-17,24.18,24.94,24.18,24.91,3362079
13-Feb-17,24.19,24.46,24.19,24.28,1045914
10-Feb-17,24.09,24.16,23.88,24.01,914165
9-Feb-17,23.54,24.04,23.49,23.90,1577349
8-Feb-17,23.50,23.54,23.19,23.42,1429295
7-Feb-17,24.56,24.60,23.41,23.64,3145760
6-Feb-17,24.17,24.52,24.12,24.41,1144400
3-Feb-17,24.20,24.48,24.02,24.35,1392391
2-Feb-17,23.73,23.94,23.59,23.73,1545851
1-Feb-17,24.03,24.22,23.79,23.94,1212038
31-Jan-17,23.62,23.89,23.48,23.85,1272338
30-Jan-17,23.86,23.87,23.42,23.74,996229
27-Jan-17,24.28,24.28,23.79,23.92,867648
26-Jan-17,24.03,24.28,23.96,24.25,1633582
25-Jan-17,23.62,24.04,23.58,24.01,1813129
24-Jan-17,23.08,23.52,23.04,23.38,1274477
23-Jan-17,22.98,23.12,22.73,22.91,868433
20-Jan-17,23.05,23.20,22.98,23.13,959173
19-Jan-17,23.25,23.34,22.87,22.93,1418511
18-Jan-17,22.91,23.22,22.69,23.20,1319239
17-Jan-17,23.31,23.31,22.75,22.85,1159809
13-Jan-17,23.49,23.60,23.30,23.46,1070561
12-Jan-17,23.64,23.69,23.14,23.34,1124167
11-Jan-17,23.50,23.80,23.41,23.79,1372804
10-Jan-17,23.25,23.65,23.23,23.61,1287727
9-Jan-17,23.43,23.46,23.18,23.22,1055485
6-Jan-17,23.53,23.64,23.30,23.53,1218116
5-Jan-17,23.60,23.66,23.23,23.45,1243247
4-Jan-17,23.44,23.72,23.43,23.65,1522989
3-Jan-17,23.36,23.50,23.13,23.30,2115901
30-Dec-16,23.18,23.27,23.12,23.25,1393217
29-Dec-16,23.20,23.38,23.12,23.20,720606
28-Dec-16,23.50,23.54,23.17,23.22,1003112
27-Dec-16,23.66,23.71,23.47,23.49,922699
23-Dec-16,23.55,23.60,23.44,23.54,1062437
22-Dec-16,23.68,23.73,23.42,23.50,1430382
21-Dec-16,23.86,23.87,23.63,23.78,971506
20-Dec-16,23.55,23.89,23.55,23.89,1144668
19-Dec-16,23.41,23.57,23.15,23.38,1130788
16-Dec-16,23.62,23.73,23.40,23.46,2827380
15-Dec-16,23.61,23.86,23.48,23.59,1415799
14-Dec-16,23.36,23.85,23.27,23.52,1780293
13-Dec-16,23.97,24.05,23.36,23.49,1733109
12-Dec-16,23.95,24.02,23.77,23.88,1370957
9-Dec-16,23.87,24.04,23.65,24.00,1772473
8-Dec-16,23.55,24.16,23.38,23.91,1858541
7-Dec-16,22.98,23.41,22.85,23.41,2308025
6-Dec-16,23.00,23.12,22.75,22.98,2369527
5-Dec-16,22.72,22.98,22.64,22.96,2533990
2-Dec-16,22.69,22.71,22.44,22.55,2060007
1-Dec-16,22.13,22.78,22.11,22.77,2991118
30-Nov-16,21.69,22.05,21.62,22.02,2419356
29-Nov-16,21.13,21.44,21.12,21.33,1328177
28-Nov-16,21.18,21.30,21.05,21.10,1105085
25-Nov-16,21.38,21.42,21.19,21.35,503108
23-Nov-16,21.00,21.31,20.94,21.30,1583419
22-Nov-16,21.10,21.19,20.88,21.03,1057902
21-Nov-16,21.00,21.11,20.96,21.06,1407334
18-Nov-16,20.75,21.06,20.61,20.99,1236154
17-Nov-16,20.75,20.86,20.68,20.78,1245918
16-Nov-16,20.67,20.83,20.64,20.75,1274196
15-Nov-16,20.62,20.88,20.44,20.87,1602655
14-Nov-16,20.83,21.04,20.54,20.76,2912646
11-Nov-16,20.20,20.79,20.17,20.78,3396709
10-Nov-16,19.84,20.46,19.83,20.20,3883341
9-Nov-16,18.67,19.79,18.64,19.65,3540925
8-Nov-16,18.66,18.96,18.48,18.81,2869319
7-Nov-16,18.27,18.79,18.27,18.66,2546468
4-Nov-16,18.13,18.20,17.87,17.91,1749582
3-Nov-16,18.44,18.50,18.09,18.10,1753939
2-Nov-16,18.50,18.50,18.31,18.32,1365418
1-Nov-16,18.79,18.79,18.40,18.58,1443982
31-Oct-16,18.81,18.83,18.66,18.67,1474408
28-Oct-16,18.77,18.89,18.53,18.71,1646787
27-Oct-16,18.92,18.92,18.68,18.71,1427610
26-Oct-16,18.58,18.90,18.45,18.80,2169693
25-Oct-16,18.82,18.87,18.64,18.66,1260298
24-Oct-16,18.89,18.92,18.67,18.83,1425346
21-Oct-16,18.63,18.82,18.61,18.76,1115498
20-Oct-16,18.75,18.97,18.74,18.80,1743934
19-Oct-16,19.01,19.03,18.78,18.80,1708126
18-Oct-16,18.89,19.00,18.74,18.96,1526237
17-Oct-16,19.01,19.01,18.62,18.63,1660654
14-Oct-16,19.08,19.14,18.86,18.97,1798197
13-Oct-16,19.18,19.18,18.80,18.90,1942971
12-Oct-16,19.30,19.46,19.17,19.40,2627596
11-Oct-16,19.45,19.54,19.22,19.27,2501890
10-Oct-16,19.67,19.70,19.48,19.51,1765790
7-Oct-16,19.60,19.74,19.45,19.55,4069175
6-Oct-16,19.35,19.56,19.21,19.55,2710582
5-Oct-16,19.00,19.40,18.94,19.30,2427031
4-Oct-16,18.97,19.04,18.82,18.86,1425406
3-Oct-16,18.98,19.09,18.88,18.94,1070201
30-Sep-16,18.90,19.20,18.84,19.04,3049251
29-Sep-16,18.85,18.95,18.38,18.74,2405304
28-Sep-16,18.80,18.92,18.61,18.86,1306928
27-Sep-16,18.58,18.81,18.47,18.76,1139750
26-Sep-16,18.68,18.79,18.54,18.61,1478467
23-Sep-16,19.02,19.12,18.83,18.84,1382453
22-Sep-16,19.24,19.28,19.00,19.07,1161529
21-Sep-16,19.04,19.31,18.97,19.15,1848399
20-Sep-16,19.07,19.13,18.91,18.92,1431980
19-Sep-16,19.06,19.28,18.94,18.96,940756
16-Sep-16,18.93,19.04,18.80,18.97,2591910
15-Sep-16,18.77,19.15,18.76,19.08,1053694
14-Sep-16,18.96,19.08,18.76,18.85,1110501
13-Sep-16,19.13,19.13,18.51,19.01,1642276
12-Sep-16,18.83,19.46,18.63,19.38,2011111
9-Sep-16,19.32,19.41,18.97,18.98,1590010
8-Sep-16,19.20,19.49,19.10,19.47,1721875
7-Sep-16,18.77,19.21,18.73,19.20,1240680
