Date,Open,High,Low,Close,Volume
28-Apr-17,29.47,29.51,29.03,29.22,4259615
27-Apr-17,29.47,29.63,29.20,29.51,2959266
26-Apr-17,29.38,29.72,29.31,29.43,3009055
25-Apr-17,29.35,29.54,29.01,29.28,4465105
24-Apr-17,29.79,29.84,29.05,29.19,4288603
21-Apr-17,29.85,30.05,29.32,29.48,3549439
20-Apr-17,29.32,30.18,29.32,30.01,5348654
19-Apr-17,28.80,29.46,28.80,29.09,4257574
18-Apr-17,28.77,28.84,28.46,28.71,3459596
17-Apr-17,29.17,29.23,28.57,28.82,4144049
13-Apr-17,29.27,29.40,28.82,29.17,4184298
12-Apr-17,29.65,29.78,29.10,29.17,5431079
11-Apr-17,29.56,29.75,29.14,29.71,3316103
10-Apr-17,29.28,29.80,29.11,29.52,4849522
7-Apr-17,29.37,29.62,29.05,29.10,4897667
6-Apr-17,28.97,30.08,28.97,29.42,5994476
5-Apr-17,28.97,29.56,28.71,28.82,6649267
4-Apr-17,29.48,29.49,28.54,28.89,6905048
3-Apr-17,29.60,29.82,29.16,29.64,5185953
31-Mar-17,29.46,29.90,29.45,29.64,5931670
30-Mar-17,29.14,29.64,29.06,29.46,4662809
29-Mar-17,28.55,29.50,28.40,29.27,6315503
28-Mar-17,27.75,28.58,27.74,28.55,4538714
27-Mar-17,27.82,28.29,27.72,27.93,5857743
24-Mar-17,28.02,28.31,27.82,28.17,4292479
23-Mar-17,28.40,28.96,28.20,28.27,5434531
22-Mar-17,28.39,28.44,27.83,28.37,6532502
21-Mar-17,29.33,29.40,27.84,28.42,11558153
20-Mar-17,30.59,30.59,29.31,29.37,7840370
17-Mar-17,30.56,30.68,30.22,30.54,11769077
16-Mar-17,30.00,30.58,29.75,30.41,6385561
15-Mar-17,30.78,30.78,29.89,30.32,8595619
14-Mar-17,31.07,31.75,30.50,30.95,4737058
13-Mar-17,31.32,31.44,30.80,30.90,6127422
10-Mar-17,31.76,31.97,31.46,31.73,3914649
9-Mar-17,31.81,31.87,31.34,31.53,4471724
8-Mar-17,30.84,32.16,30.74,31.77,7859794
7-Mar-17,30.76,31.02,30.56,30.81,6091991
6-Mar-17,31.32,31.35,30.20,30.69,10976066
3-Mar-17,32.94,33.17,31.18,31.77,13210246
2-Mar-17,33.13,33.32,32.96,33.22,4489398
1-Mar-17,33.48,33.67,32.88,32.95,6063343
28-Feb-17,33.00,33.24,32.66,33.22,10276353
27-Feb-17,33.15,33.73,33.11,33.57,6298928
24-Feb-17,32.48,33.56,32.27,33.17,8149239
23-Feb-17,32.48,33.09,32.27,32.44,8962227
22-Feb-17,32.30,32.84,32.11,32.36,9381632
21-Feb-17,33.09,33.49,32.13,32.29,16118493
17-Feb-17,31.96,32.31,31.86,32.30,8197221
16-Feb-17,32.70,32.87,31.72,31.82,8813671
15-Feb-17,32.89,33.02,32.41,32.74,7324994
14-Feb-17,32.61,32.99,32.50,32.68,7542160
13-Feb-17,33.07,33.23,32.43,32.58,14054991
10-Feb-17,32.44,32.88,31.55,31.99,7894939
9-Feb-17,31.89,32.65,31.64,32.37,7609562
8-Feb-17,31.05,31.98,30.81,31.98,6918209
7-Feb-17,31.74,32.15,31.02,31.20,10415505
6-Feb-17,32.64,32.79,31.64,31.79,14485846
3-Feb-17,30.69,34.37,30.11,32.69,47958389
2-Feb-17,30.32,31.06,29.90,30.72,16462848
1-Feb-17,29.32,29.57,29.12,29.21,5061199
31-Jan-17,28.85,29.58,28.74,29.54,9050676
30-Jan-17,29.07,29.53,29.03,29.52,5403592
27-Jan-17,29.95,29.97,28.70,29.11,9945448
26-Jan-17,30.18,30.34,29.81,29.92,4353916
25-Jan-17,30.16,30.40,29.93,30.15,6088329
24-Jan-17,29.52,30.03,29.52,29.98,5049677
23-Jan-17,29.48,29.92,29.35,29.63,4666007
20-Jan-17,29.57,29.85,29.46,29.70,7018816
19-Jan-17,29.50,29.83,29.27,29.45,7456093
18-Jan-17,30.01,30.01,28.55,29.44,13242207
17-Jan-17,29.91,30.60,29.87,29.90,8772950
13-Jan-17,29.92,30.00,29.66,29.88,5858026
12-Jan-17,29.83,30.19,29.70,29.98,6352366
11-Jan-17,30.50,30.53,29.75,29.95,8963993
10-Jan-17,30.64,30.68,30.12,30.30,10683650
9-Jan-17,30.88,30.99,30.35,30.46,9250337
6-Jan-17,30.82,31.52,30.55,30.82,11484816
5-Jan-17,31.57,31.85,30.51,30.86,29249122
4-Jan-17,35.51,36.40,35.48,35.84,9508705
3-Jan-17,36.13,36.20,34.79,35.23,9777618
30-Dec-16,36.36,36.50,35.61,35.81,3788295
29-Dec-16,36.24,36.60,35.92,36.29,3121602
28-Dec-16,36.61,36.93,36.12,36.28,3521569
27-Dec-16,36.67,37.23,36.26,36.53,4671261
23-Dec-16,36.28,36.93,36.26,36.48,4269404
22-Dec-16,37.53,37.67,36.05,36.17,6756141
21-Dec-16,37.86,37.97,37.48,37.51,2991224
20-Dec-16,37.25,38.16,37.25,37.95,6167077
19-Dec-16,37.36,37.88,36.94,37.00,7911111
16-Dec-16,39.77,39.78,37.32,37.47,12889767
15-Dec-16,40.09,40.66,40.05,40.14,6317024
14-Dec-16,40.58,40.92,40.14,40.16,4294584
13-Dec-16,40.25,40.92,39.99,40.71,5360146
12-Dec-16,42.24,42.30,40.37,40.46,8359123
9-Dec-16,43.04,43.08,42.17,42.44,3613151
8-Dec-16,43.21,43.79,42.67,43.07,4230558
7-Dec-16,42.56,43.23,42.35,43.18,4518899
6-Dec-16,41.80,42.68,41.33,42.40,6825860
5-Dec-16,42.62,43.00,41.52,41.91,7201829
2-Dec-16,42.49,43.04,42.25,42.48,3662473
1-Dec-16,42.01,43.45,41.90,42.42,5248235
30-Nov-16,42.39,42.66,41.58,42.20,6986774
29-Nov-16,43.27,43.61,42.39,42.49,5770546
28-Nov-16,43.75,44.00,42.86,43.13,7049142
25-Nov-16,45.15,45.41,44.09,44.14,3061509
