Date,Open,High,Low,Close,Volume
28-Apr-17,97.29,99.25,97.29,99.21,1085667
27-Apr-17,98.69,99.36,96.20,98.00,1625094
26-Apr-17,101.54,101.91,100.65,101.00,960009
25-Apr-17,101.42,101.63,100.91,101.47,670616
24-Apr-17,101.93,102.65,99.80,101.33,586325
21-Apr-17,101.49,101.82,101.09,101.27,450120
20-Apr-17,101.62,101.69,101.02,101.56,511663
19-Apr-17,101.93,102.04,101.07,101.39,541922
18-Apr-17,101.67,102.39,101.54,101.90,746695
17-Apr-17,101.38,101.73,101.21,101.72,1131003
13-Apr-17,101.81,102.05,100.80,101.09,728513
12-Apr-17,102.69,103.48,101.63,101.83,1128779
11-Apr-17,102.09,103.08,101.74,102.85,872044
10-Apr-17,101.86,102.81,101.40,102.74,564208
7-Apr-17,102.90,103.37,101.90,101.93,535934
6-Apr-17,102.61,103.10,101.97,102.79,380084
5-Apr-17,102.32,102.89,101.77,102.73,505888
4-Apr-17,101.75,103.55,101.57,102.55,638955
3-Apr-17,101.70,102.03,101.13,101.77,490064
31-Mar-17,101.54,102.59,101.22,101.74,534700
30-Mar-17,101.82,102.01,100.80,101.78,609565
29-Mar-17,100.98,102.04,100.62,102.03,733469
28-Mar-17,101.09,101.39,99.75,101.02,599099
27-Mar-17,101.82,102.75,100.61,101.16,641301
24-Mar-17,102.20,102.81,101.81,101.91,350759
23-Mar-17,101.27,102.47,101.10,101.91,659927
22-Mar-17,101.68,101.68,100.46,101.27,629289
21-Mar-17,101.58,102.21,100.86,101.15,763958
20-Mar-17,101.91,101.93,100.89,101.16,386384
17-Mar-17,101.32,102.74,100.72,101.78,2075913
16-Mar-17,101.00,102.17,100.62,101.22,921616
15-Mar-17,98.87,101.54,98.02,101.13,993409
14-Mar-17,98.75,99.92,98.13,98.89,1073640
13-Mar-17,97.38,97.95,96.71,97.76,1116200
10-Mar-17,98.88,99.66,96.27,97.15,1067829
9-Mar-17,100.08,100.80,98.11,98.13,790611
8-Mar-17,100.49,100.71,99.61,99.96,653464
7-Mar-17,100.75,100.83,99.63,100.78,537169
6-Mar-17,100.70,101.15,100.13,100.74,545588
3-Mar-17,101.22,101.32,100.34,101.09,950248
2-Mar-17,102.64,103.02,101.20,101.38,1269187
1-Mar-17,103.00,103.64,102.18,102.57,864822
28-Feb-17,102.78,102.97,102.18,102.73,665991
27-Feb-17,102.32,103.05,101.78,102.71,612440
24-Feb-17,102.00,102.09,100.68,102.05,698030
23-Feb-17,100.72,101.78,100.02,101.56,542803
22-Feb-17,100.71,100.97,99.65,100.35,668130
21-Feb-17,99.26,100.73,99.02,100.55,579050
17-Feb-17,99.80,100.22,99.14,99.62,1069560
16-Feb-17,98.33,99.90,98.24,99.47,544415
15-Feb-17,97.89,98.62,97.41,98.21,572336
14-Feb-17,98.46,98.93,97.44,98.79,747630
13-Feb-17,98.56,98.83,97.54,98.41,531196
10-Feb-17,97.58,98.59,97.30,98.51,393192
9-Feb-17,97.58,98.19,97.43,97.90,545947
8-Feb-17,97.47,99.00,97.22,97.73,616519
7-Feb-17,97.64,98.19,97.11,97.37,661873
6-Feb-17,97.80,98.08,96.69,97.82,680351
3-Feb-17,98.19,98.77,97.27,97.98,1054464
2-Feb-17,93.59,97.80,92.50,97.66,1624223
1-Feb-17,94.97,95.25,93.29,93.78,824659
31-Jan-17,94.90,96.40,94.64,94.95,1000628
30-Jan-17,95.52,96.60,94.43,94.80,619617
27-Jan-17,97.24,97.48,95.42,95.73,502694
26-Jan-17,96.64,97.37,96.16,96.81,698620
25-Jan-17,96.82,96.90,95.65,96.68,1028973
24-Jan-17,95.93,96.75,95.46,96.65,1032789
23-Jan-17,96.18,96.69,95.65,95.94,403292
20-Jan-17,95.35,95.97,94.20,95.87,495685
19-Jan-17,96.17,96.54,94.64,95.26,508659
18-Jan-17,96.88,97.23,96.06,96.32,638059
17-Jan-17,95.17,96.77,95.17,96.71,843858
13-Jan-17,95.95,96.08,94.87,95.12,404701
12-Jan-17,94.73,96.21,94.40,96.11,670275
11-Jan-17,96.30,96.98,94.77,94.98,907884
10-Jan-17,97.11,98.03,96.60,97.50,743946
9-Jan-17,97.95,98.00,96.52,97.40,991069
6-Jan-17,98.16,98.49,97.43,98.00,933798
5-Jan-17,98.11,98.65,96.67,98.08,897936
4-Jan-17,97.70,98.67,97.30,98.21,890078
3-Jan-17,98.29,98.60,96.16,97.32,1006107
30-Dec-16,96.77,98.35,96.10,97.92,847758
29-Dec-16,96.00,97.08,95.37,96.59,513457
28-Dec-16,96.55,96.85,95.36,95.89,600497
27-Dec-16,95.68,96.86,95.41,96.33,596228
23-Dec-16,95.70,96.41,94.88,95.53,670240
22-Dec-16,94.50,95.59,94.08,95.39,831408
21-Dec-16,97.16,97.94,94.22,94.33,1374410
20-Dec-16,96.84,97.44,96.32,97.43,922802
19-Dec-16,97.50,97.74,96.29,96.89,1196636
16-Dec-16,96.39,97.95,96.02,96.71,4634189
15-Dec-16,94.19,96.85,93.88,95.46,1542320
14-Dec-16,95.72,95.72,94.35,94.70,1687266
13-Dec-16,95.26,96.31,94.72,95.63,1432207
12-Dec-16,92.62,94.89,92.24,94.76,1243365
9-Dec-16,92.40,94.04,91.94,93.23,1371179
8-Dec-16,88.83,92.67,88.65,92.13,1272011
