Date,Open,High,Low,Close,Volume
28-Apr-17,37.20,37.32,36.95,37.02,4057008
27-Apr-17,37.45,37.45,37.08,37.25,3459831
26-Apr-17,37.05,37.58,36.90,37.45,6001602
25-Apr-17,36.51,37.01,36.13,36.90,8220052
24-Apr-17,34.78,35.09,34.66,35.03,4320489
21-Apr-17,33.93,34.58,33.86,34.34,4432322
20-Apr-17,33.96,34.25,33.82,33.93,4588213
19-Apr-17,33.51,34.03,33.51,33.72,3703681
18-Apr-17,33.26,33.48,33.07,33.38,3024918
17-Apr-17,33.20,33.53,33.16,33.49,1886408
13-Apr-17,33.24,33.50,33.05,33.09,2467614
12-Apr-17,33.84,33.92,33.30,33.31,3083802
11-Apr-17,33.52,33.97,33.47,33.96,2494655
10-Apr-17,33.49,33.94,33.49,33.57,2415931
7-Apr-17,33.72,33.87,33.49,33.50,3972746
6-Apr-17,33.59,34.16,33.46,33.83,3773931
5-Apr-17,33.48,33.84,32.96,33.08,5413742
4-Apr-17,33.38,33.51,33.21,33.27,3122046
3-Apr-17,34.03,34.19,33.06,33.41,3193849
31-Mar-17,33.80,34.12,33.64,33.99,3437123
30-Mar-17,33.96,34.12,33.70,33.82,1916691
29-Mar-17,33.83,34.20,33.79,33.97,2616255
28-Mar-17,33.60,34.18,33.58,33.97,2226900
27-Mar-17,33.56,33.86,33.28,33.74,2381279
24-Mar-17,34.20,34.42,33.85,33.99,1653638
23-Mar-17,33.88,34.32,33.80,34.21,2064663
22-Mar-17,33.88,34.02,33.62,33.92,1973609
21-Mar-17,34.60,34.61,33.76,33.83,2800952
20-Mar-17,34.70,34.70,34.35,34.49,1715431
17-Mar-17,34.65,34.77,34.38,34.66,4146420
16-Mar-17,34.46,34.76,34.37,34.65,3186435
15-Mar-17,33.91,34.52,33.78,34.38,3735125
14-Mar-17,33.51,33.85,33.40,33.68,2372046
13-Mar-17,33.87,34.06,33.52,33.68,2928867
10-Mar-17,33.65,34.13,33.61,33.93,1870871
9-Mar-17,33.78,34.19,33.63,33.71,2560903
8-Mar-17,33.29,33.93,33.24,33.82,3222919
7-Mar-17,33.47,33.63,33.07,33.25,3391507
6-Mar-17,33.87,33.96,33.09,33.46,8926943
3-Mar-17,34.39,34.48,34.02,34.06,3360979
2-Mar-17,34.54,34.54,34.04,34.33,3231069
1-Mar-17,34.33,34.92,34.32,34.56,3527383
28-Feb-17,34.34,34.41,33.76,33.78,3244152
27-Feb-17,34.00,34.46,33.94,34.43,2018914
24-Feb-17,33.88,34.02,33.61,34.02,3782271
23-Feb-17,34.00,34.30,33.68,34.11,4360016
22-Feb-17,34.03,34.21,33.78,33.85,2805153
21-Feb-17,33.63,34.16,33.58,34.03,2559909
17-Feb-17,33.60,33.60,33.21,33.52,2072921
16-Feb-17,33.47,33.75,33.31,33.67,3012393
15-Feb-17,33.06,33.52,33.04,33.44,2477684
14-Feb-17,33.40,33.46,32.88,33.11,3425448
13-Feb-17,33.98,34.12,33.46,33.50,3789285
10-Feb-17,33.15,33.99,33.07,33.75,4714585
9-Feb-17,31.52,33.54,31.29,33.06,10892620
8-Feb-17,33.57,33.81,33.34,33.79,4793484
7-Feb-17,33.27,33.63,33.16,33.61,2989978
6-Feb-17,33.14,33.47,32.99,33.18,5896090
3-Feb-17,33.16,33.54,33.15,33.23,3837302
2-Feb-17,33.20,33.27,32.90,33.00,3447120
1-Feb-17,32.93,33.52,32.85,33.26,3089017
31-Jan-17,33.19,33.32,32.71,32.95,3024252
30-Jan-17,33.23,33.31,32.71,33.31,2157186
27-Jan-17,33.72,33.72,33.18,33.32,2228107
26-Jan-17,33.84,34.05,33.50,33.64,3732564
25-Jan-17,33.18,33.72,33.18,33.62,4217380
24-Jan-17,32.28,33.04,32.26,32.92,2648446
23-Jan-17,31.99,32.21,31.68,32.03,2648617
20-Jan-17,32.04,32.18,31.70,31.98,3139724
19-Jan-17,32.11,32.47,31.89,31.93,2160488
18-Jan-17,32.17,32.31,31.85,32.10,2248583
17-Jan-17,31.93,32.21,31.70,32.03,1614011
13-Jan-17,32.10,32.34,31.99,32.05,2417008
12-Jan-17,32.32,32.32,31.59,32.05,3490544
11-Jan-17,32.21,32.50,32.10,32.46,2602213
10-Jan-17,32.16,32.45,32.06,32.21,2705707
9-Jan-17,32.46,32.60,32.16,32.18,2573842
6-Jan-17,32.88,33.06,32.50,32.53,3157648
5-Jan-17,32.84,33.19,32.52,32.66,2513259
4-Jan-17,32.35,33.11,32.27,32.94,3589850
3-Jan-17,31.89,32.29,31.70,32.23,2660933
30-Dec-16,32.08,32.08,31.50,31.62,1546073
29-Dec-16,31.85,32.08,31.80,31.89,1188474
28-Dec-16,32.38,32.45,31.74,31.83,1736393
27-Dec-16,32.21,32.26,32.08,32.24,1160066
23-Dec-16,32.11,32.13,31.94,32.06,1626447
22-Dec-16,32.87,32.88,32.01,32.03,2422405
21-Dec-16,32.56,32.90,32.48,32.79,2370904
20-Dec-16,32.43,32.53,32.19,32.46,1676866
19-Dec-16,31.99,32.70,31.99,32.40,2865718
16-Dec-16,31.59,32.01,31.54,31.93,6221886
15-Dec-16,32.50,32.71,31.50,31.54,3815499
14-Dec-16,32.56,33.20,32.44,32.50,3766363
13-Dec-16,32.50,33.08,32.49,32.67,3519490
12-Dec-16,32.34,32.45,32.10,32.40,3121767
9-Dec-16,32.46,32.63,32.30,32.61,4031880
8-Dec-16,32.21,32.67,32.09,32.54,2536728
7-Dec-16,31.22,32.23,31.22,32.13,4257509
6-Dec-16,31.29,31.37,31.01,31.24,3614443
5-Dec-16,30.65,31.20,30.52,31.19,4770447
2-Dec-16,30.24,30.55,30.08,30.32,4515443
1-Dec-16,31.67,31.67,30.26,30.33,5397030
30-Nov-16,32.32,32.47,31.54,31.65,3935982
29-Nov-16,32.13,32.37,32.03,32.21,2533111
28-Nov-16,32.60,32.72,32.00,32.16,3928171
25-Nov-16,32.41,32.72,32.25,32.71,1103028
23-Nov-16,32.53,32.70,32.25,32.39,2456018
22-Nov-16,32.58,32.70,32.26,32.56,4247194
21-Nov-16,32.70,32.75,32.06,32.49,4288534
18-Nov-16,32.16,32.56,32.10,32.46,4256459
17-Nov-16,31.56,32.42,31.54,32.25,4471037
16-Nov-16,31.72,31.90,31.18,31.38,4017168
15-Nov-16,32.11,32.58,31.46,31.93,3837783
14-Nov-16,31.38,31.72,31.26,31.65,4742287
11-Nov-16,31.23,31.68,30.90,31.27,4032926
10-Nov-16,31.01,31.86,31.01,31.45,5005253
9-Nov-16,30.38,31.20,30.04,30.93,3559267
8-Nov-16,30.24,30.58,30.07,30.46,3050783
