Date,Open,High,Low,Close,Volume
28-Apr-17,76.72,76.72,75.41,75.58,2217785
27-Apr-17,76.55,77.32,76.46,76.75,2070403
26-Apr-17,76.73,76.80,75.75,76.15,2319241
25-Apr-17,76.00,76.80,75.76,76.73,2741204
24-Apr-17,75.48,76.10,75.11,75.95,1611895
21-Apr-17,74.76,75.00,73.87,74.43,2963886
20-Apr-17,75.51,75.96,75.15,75.63,3209247
19-Apr-17,74.54,75.43,74.47,74.86,3279068
18-Apr-17,72.60,74.31,72.56,74.13,2330433
17-Apr-17,72.55,73.18,72.36,73.02,1431066
13-Apr-17,72.02,72.89,71.91,72.24,2721986
12-Apr-17,72.63,72.70,71.71,72.15,3231723
11-Apr-17,73.04,73.13,71.40,72.66,3510998
10-Apr-17,74.06,74.37,73.28,73.41,1908303
7-Apr-17,73.56,74.26,73.27,74.06,2489022
6-Apr-17,72.90,73.81,72.12,73.52,2064997
5-Apr-17,73.53,74.47,72.81,73.02,1945676
4-Apr-17,73.76,74.60,73.24,73.45,2198898
3-Apr-17,73.94,74.46,72.46,73.21,2101700
31-Mar-17,73.71,74.33,73.00,73.78,2373069
30-Mar-17,73.63,74.37,73.50,73.88,1326106
29-Mar-17,73.14,73.88,73.01,73.68,2546298
28-Mar-17,72.81,74.04,72.62,73.50,2031243
27-Mar-17,72.60,73.42,71.88,72.82,1899805
24-Mar-17,73.59,74.12,72.95,73.15,2015657
23-Mar-17,73.38,73.38,72.48,72.75,1786447
22-Mar-17,72.51,73.69,72.35,73.50,2236946
21-Mar-17,74.63,74.82,72.23,72.34,2579338
20-Mar-17,74.40,74.78,74.21,74.35,1430613
17-Mar-17,74.48,74.86,74.14,74.28,3404495
16-Mar-17,74.75,74.90,73.84,74.12,1696804
15-Mar-17,74.17,74.65,73.68,74.52,2247355
14-Mar-17,74.31,74.31,73.71,73.99,1786644
13-Mar-17,74.08,74.58,73.87,74.50,1616403
10-Mar-17,74.11,74.39,73.75,73.95,1530945
9-Mar-17,73.43,73.62,73.02,73.48,1715395
8-Mar-17,74.12,74.63,73.39,73.53,3535920
7-Mar-17,73.85,74.48,73.40,73.84,4417168
6-Mar-17,72.87,74.20,72.62,73.92,3590023
3-Mar-17,73.12,73.37,72.71,73.30,2373561
2-Mar-17,73.31,73.83,72.75,73.01,3085181
1-Mar-17,73.24,73.80,72.23,73.64,5526434
28-Feb-17,72.94,73.22,72.10,72.52,5667408
27-Feb-17,72.71,73.15,72.42,73.13,3338946
24-Feb-17,72.24,72.90,71.84,72.83,2793551
23-Feb-17,73.04,73.10,72.34,72.71,4276506
22-Feb-17,72.51,73.13,72.24,73.04,4322987
21-Feb-17,71.89,72.53,71.75,72.48,3901027
17-Feb-17,71.54,71.70,71.06,71.68,2295182
16-Feb-17,71.55,71.75,70.97,71.71,3261731
15-Feb-17,70.96,72.06,70.72,71.90,5638432
14-Feb-17,70.63,71.32,70.18,70.78,5396933
13-Feb-17,71.04,71.53,70.41,70.66,7496230
10-Feb-17,70.54,71.02,69.76,70.90,17639819
9-Feb-17,72.10,73.50,70.62,70.93,30441149
8-Feb-17,76.50,76.50,73.02,73.80,11809394
7-Feb-17,69.28,69.65,69.03,69.62,2322197
6-Feb-17,69.15,69.43,68.83,69.17,2244125
3-Feb-17,69.22,69.73,68.49,69.43,1849592
2-Feb-17,67.83,68.83,67.44,68.78,1760664
1-Feb-17,67.71,68.52,67.37,68.41,1937986
31-Jan-17,68.83,68.86,66.85,67.35,2398735
30-Jan-17,68.65,69.09,67.77,69.06,1652640
27-Jan-17,67.95,68.78,67.83,68.76,1420391
26-Jan-17,68.94,68.94,67.58,67.63,2653948
25-Jan-17,68.40,69.02,68.25,68.82,2127920
24-Jan-17,67.34,67.96,67.06,67.90,1752435
23-Jan-17,66.72,67.20,66.37,67.03,1758848
20-Jan-17,65.96,66.97,65.85,66.93,1952148
19-Jan-17,66.30,67.19,65.60,65.69,1595269
18-Jan-17,65.21,66.65,65.03,66.50,3159702
17-Jan-17,66.02,66.13,64.68,64.95,1485877
13-Jan-17,66.62,66.70,66.23,66.34,1382101
