Date,Open,High,Low,Close,Volume
28-Apr-17,119.26,119.33,118.22,118.32,669044
27-Apr-17,119.00,119.67,118.82,119.43,416914
26-Apr-17,117.97,119.09,117.97,118.75,567533
25-Apr-17,116.76,118.88,116.57,118.07,823516
24-Apr-17,116.61,118.12,116.45,117.70,1097044
21-Apr-17,115.39,115.82,114.28,115.02,682800
20-Apr-17,114.71,115.91,114.47,115.36,563588
19-Apr-17,114.43,114.90,114.15,114.38,556854
18-Apr-17,113.87,114.75,113.29,114.14,677767
17-Apr-17,113.14,114.42,112.85,114.27,709547
13-Apr-17,112.70,113.55,112.41,112.43,515006
12-Apr-17,112.64,113.34,111.94,112.98,748728
11-Apr-17,112.55,113.39,112.47,113.38,672622
10-Apr-17,113.29,113.49,112.58,112.94,589531
7-Apr-17,112.90,113.98,112.90,113.28,873750
6-Apr-17,112.92,113.68,111.99,113.34,936508
5-Apr-17,111.95,114.07,111.50,113.07,1515409
4-Apr-17,111.52,111.75,110.82,111.38,659632
3-Apr-17,112.14,113.17,110.93,111.90,1030866
31-Mar-17,111.16,112.70,110.92,112.04,888733
30-Mar-17,111.39,111.92,110.84,111.62,857706
29-Mar-17,110.91,111.70,110.28,111.45,1068283
28-Mar-17,111.30,111.74,110.88,111.26,915916
27-Mar-17,111.06,112.12,110.81,111.41,654603
24-Mar-17,112.43,113.48,112.06,112.47,907172
23-Mar-17,111.17,112.95,111.04,112.17,972443
22-Mar-17,110.84,111.23,110.11,111.13,1058991
21-Mar-17,112.85,113.11,110.56,110.88,838463
20-Mar-17,111.90,113.06,111.66,112.26,647163
17-Mar-17,113.61,113.75,111.92,111.94,967744
16-Mar-17,113.01,113.80,112.95,113.54,765246
15-Mar-17,112.71,113.30,111.96,112.89,846750
14-Mar-17,112.00,112.34,111.43,112.11,605908
13-Mar-17,112.07,112.50,111.45,112.15,961826
10-Mar-17,112.82,112.94,111.83,111.93,1010930
9-Mar-17,112.99,113.00,112.13,112.48,864970
8-Mar-17,112.76,113.15,112.33,112.68,938191
7-Mar-17,111.88,113.00,111.88,112.66,737699
6-Mar-17,111.78,112.71,111.62,112.27,733588
3-Mar-17,112.47,112.88,112.16,112.62,814903
2-Mar-17,112.60,112.78,111.92,112.47,870459
1-Mar-17,112.65,113.51,112.31,113.20,1208685
28-Feb-17,111.91,112.31,111.02,111.37,1387398
27-Feb-17,113.29,113.29,110.77,112.05,1958434
24-Feb-17,112.77,113.29,111.15,113.29,923774
23-Feb-17,113.74,114.02,112.66,113.23,1117481
22-Feb-17,112.43,114.03,112.43,113.56,1476985
21-Feb-17,112.14,113.14,111.59,112.87,1870730
17-Feb-17,109.64,112.98,109.55,112.90,2024112
16-Feb-17,109.93,110.36,109.27,110.22,1031616
15-Feb-17,109.03,110.04,109.00,109.85,661416
14-Feb-17,108.24,109.26,108.12,109.26,741324
13-Feb-17,108.66,109.17,108.22,109.03,579987
10-Feb-17,107.50,108.31,107.26,108.00,693858
9-Feb-17,107.37,107.65,106.67,107.58,782440
8-Feb-17,107.15,107.46,106.48,106.82,995429
7-Feb-17,107.86,109.57,106.92,107.06,1847667
6-Feb-17,105.55,106.99,105.55,106.76,1033420
3-Feb-17,104.99,106.63,104.92,106.17,1061821
2-Feb-17,98.25,104.58,98.25,104.42,798757
1-Feb-17,103.96,104.13,103.03,103.55,1352388
31-Jan-17,103.51,103.79,102.96,103.67,1046671
30-Jan-17,103.99,103.99,103.13,103.76,1075241
27-Jan-17,104.12,104.25,103.56,103.98,790396
26-Jan-17,103.62,104.63,103.62,104.07,1355830
25-Jan-17,102.79,103.98,102.26,103.73,1334660
24-Jan-17,101.93,102.45,101.26,101.95,1039228
23-Jan-17,100.77,101.86,100.66,101.77,1322632
20-Jan-17,100.42,101.17,100.13,101.02,1491512
19-Jan-17,99.06,100.28,99.06,99.96,1755331
18-Jan-17,99.63,99.69,97.88,99.33,1242445
17-Jan-17,97.10,100.75,96.98,99.15,1928906
13-Jan-17,96.87,98.02,96.70,96.96,847464
12-Jan-17,94.52,97.19,93.87,96.50,1472598
11-Jan-17,94.43,95.38,94.30,95.02,1122197
10-Jan-17,94.52,95.50,93.51,94.67,1423022
9-Jan-17,97.97,98.33,96.82,96.86,682216
6-Jan-17,98.02,98.76,97.96,98.30,1065246
5-Jan-17,96.80,97.96,96.70,97.86,1274502
4-Jan-17,95.55,97.24,95.34,97.09,859865
3-Jan-17,95.01,96.63,94.75,95.47,1181283
30-Dec-16,94.64,94.69,93.85,94.27,519536
29-Dec-16,94.80,95.11,94.26,94.29,536645
28-Dec-16,95.75,96.03,94.65,94.69,609281
27-Dec-16,95.81,95.94,95.40,95.70,369256
23-Dec-16,95.84,96.35,95.37,95.42,644389
22-Dec-16,96.45,96.67,95.45,95.86,854603
21-Dec-16,96.57,97.06,96.13,96.49,750568
20-Dec-16,96.67,96.96,96.27,96.75,636359
19-Dec-16,96.47,97.03,95.11,95.92,1211726
16-Dec-16,96.90,97.26,96.31,96.47,1628929
15-Dec-16,97.79,98.51,96.64,96.76,1284203
14-Dec-16,99.19,100.27,97.25,97.45,810825
13-Dec-16,98.39,99.73,97.03,99.50,675021
12-Dec-16,99.31,99.71,98.10,98.27,819140
9-Dec-16,97.99,100.19,97.74,99.77,956354
8-Dec-16,97.80,98.62,97.28,98.07,1150050
7-Dec-16,97.18,98.44,96.43,97.90,2022207
6-Dec-16,97.29,97.45,96.08,96.91,1286914
5-Dec-16,98.39,98.75,96.70,96.83,1270217
2-Dec-16,97.12,97.98,96.22,97.62,1053743
1-Dec-16,100.68,101.13,97.01,97.25,1266178
30-Nov-16,101.65,102.06,100.46,100.50,861752
29-Nov-16,101.04,101.50,100.31,101.09,714458
28-Nov-16,100.49,101.55,100.35,100.89,862719
25-Nov-16,100.87,101.57,100.87,101.02,307288
23-Nov-16,101.23,101.96,100.36,100.86,556271
22-Nov-16,101.21,101.82,100.51,101.66,673380
21-Nov-16,100.90,101.25,100.62,101.13,545061
18-Nov-16,100.97,101.46,99.75,100.56,1029271
17-Nov-16,98.45,101.20,98.32,101.20,1305519
16-Nov-16,98.65,99.12,98.10,98.68,1137495
15-Nov-16,99.73,99.97,98.53,99.29,1013682
14-Nov-16,100.92,101.18,99.56,100.06,1220516
11-Nov-16,99.69,100.65,99.69,100.44,818445
10-Nov-16,101.39,102.66,99.20,100.27,1142790
9-Nov-16,99.67,101.45,98.73,100.67,1792747
8-Nov-16,99.55,100.38,98.87,99.68,744488
7-Nov-16,99.68,100.00,99.04,99.58,888253
4-Nov-16,98.33,98.67,97.58,97.61,1253602
3-Nov-16,98.11,98.82,97.73,98.06,1556119
2-Nov-16,99.04,99.36,97.85,97.96,755155
1-Nov-16,101.02,101.12,98.62,99.04,1467664
31-Oct-16,101.35,101.66,100.41,100.52,1216056
28-Oct-16,102.56,102.86,100.79,101.17,816638
27-Oct-16,102.69,103.19,101.96,102.16,1350366
26-Oct-16,102.45,103.17,101.63,102.13,1271762
25-Oct-16,102.92,103.58,102.54,102.77,1017119
24-Oct-16,102.98,103.51,102.65,102.84,1619046
21-Oct-16,104.61,105.81,101.94,102.24,3985071
20-Oct-16,108.23,108.98,107.86,108.09,1401137
19-Oct-16,108.21,108.75,107.54,108.40,744130
18-Oct-16,107.87,108.28,106.96,107.80,1252523
17-Oct-16,106.96,107.38,106.50,106.70,657663
14-Oct-16,107.84,108.31,106.96,107.08,692509
13-Oct-16,106.88,107.25,105.83,106.61,938619
12-Oct-16,107.70,108.52,107.51,108.26,553329
11-Oct-16,109.00,109.00,106.95,107.58,632484
10-Oct-16,109.33,109.98,109.05,109.15,429409
7-Oct-16,108.93,108.95,107.85,108.26,515218
6-Oct-16,108.24,108.92,107.70,108.86,580162
5-Oct-16,108.46,109.50,108.46,108.49,718574
4-Oct-16,109.66,110.00,107.92,108.38,722286
3-Oct-16,107.92,109.47,107.30,109.28,1455645
30-Sep-16,108.37,109.03,108.09,108.28,1672339
29-Sep-16,109.53,110.45,107.46,107.75,1475252
28-Sep-16,110.10,110.16,108.24,109.57,1040222
27-Sep-16,108.64,110.03,108.39,109.99,1054623
26-Sep-16,108.80,109.83,106.21,108.99,877120
23-Sep-16,109.78,110.00,109.18,109.27,770896
22-Sep-16,110.49,110.53,109.87,110.16,634630
21-Sep-16,108.95,109.60,107.96,109.46,954559
20-Sep-16,109.29,109.70,107.68,107.95,1074553
19-Sep-16,108.38,109.85,108.06,108.48,570540
16-Sep-16,108.09,108.69,107.06,108.48,1120734
15-Sep-16,106.98,108.95,106.78,108.70,928317
14-Sep-16,107.32,108.11,106.97,107.32,563083
13-Sep-16,107.19,107.91,106.50,107.32,902963
12-Sep-16,105.67,108.80,105.41,108.61,1061601
9-Sep-16,109.20,109.54,106.62,106.62,918595
8-Sep-16,110.10,110.66,109.52,109.94,665562
7-Sep-16,109.68,110.83,109.59,110.15,1418406
6-Sep-16,109.38,110.34,109.20,110.09,899018
2-Sep-16,109.14,109.58,108.81,109.43,547607
1-Sep-16,108.70,108.98,107.35,108.55,667962
31-Aug-16,108.17,108.98,107.44,108.69,927288
30-Aug-16,107.40,108.70,107.14,108.24,757245
29-Aug-16,106.36,107.43,106.36,107.16,512061
26-Aug-16,106.01,106.86,105.39,106.22,519034
25-Aug-16,105.21,106.02,104.89,105.70,687891
24-Aug-16,105.48,106.15,105.31,105.56,593191
23-Aug-16,105.06,106.28,105.06,105.63,579190
22-Aug-16,104.28,104.80,103.79,104.50,414761
19-Aug-16,103.69,104.81,103.61,104.58,490496
18-Aug-16,103.97,104.26,103.74,104.23,388321
17-Aug-16,104.12,104.36,103.60,104.15,520778
16-Aug-16,104.50,104.58,104.07,104.11,467794
15-Aug-16,103.92,105.47,103.90,105.07,633455
12-Aug-16,103.90,104.39,102.87,103.46,1233654
11-Aug-16,104.21,105.00,104.15,104.51,605672
10-Aug-16,104.50,104.70,103.45,103.71,547567
9-Aug-16,104.48,105.03,104.06,104.24,438429
8-Aug-16,104.76,105.15,104.33,104.50,461480
5-Aug-16,104.51,105.13,104.41,105.05,989389
4-Aug-16,104.71,105.03,103.69,103.91,831995
3-Aug-16,104.26,104.68,103.80,104.59,683964
2-Aug-16,105.00,105.30,103.48,104.19,1114179
1-Aug-16,106.14,106.49,104.88,105.27,927510
29-Jul-16,106.08,106.58,105.33,106.01,775877
28-Jul-16,104.45,106.58,104.45,106.18,698848
27-Jul-16,106.26,106.57,105.01,105.12,1114517
26-Jul-16,105.70,106.54,104.79,106.19,1359621
25-Jul-16,105.35,105.91,105.12,105.70,911167
22-Jul-16,103.97,105.50,101.71,105.29,1343208
21-Jul-16,103.92,104.42,103.71,104.31,1005318
20-Jul-16,104.00,104.44,103.12,104.23,772252
19-Jul-16,103.44,103.99,102.99,103.59,702632
18-Jul-16,103.40,104.12,102.98,103.96,546963
15-Jul-16,103.38,103.91,102.87,103.34,793959
14-Jul-16,102.76,103.79,102.25,103.01,1349996
13-Jul-16,100.00,101.85,99.78,101.72,1353591
12-Jul-16,98.20,100.55,97.98,100.17,965911
11-Jul-16,97.12,98.26,97.04,97.85,778899
8-Jul-16,95.47,97.05,94.94,96.73,1007395
7-Jul-16,93.33,94.94,93.33,94.23,966908
6-Jul-16,92.25,93.15,90.98,92.97,1300769
5-Jul-16,93.43,93.61,91.87,92.58,947015
1-Jul-16,93.50,95.00,93.36,94.08,994252
30-Jun-16,91.94,93.72,91.32,93.71,1656282
29-Jun-16,90.00,91.68,89.31,91.58,1399716
28-Jun-16,89.27,89.54,88.19,89.10,1714697
27-Jun-16,93.66,93.66,87.30,87.88,3521100
24-Jun-16,96.84,97.49,93.57,93.66,3749711
23-Jun-16,99.62,101.70,99.38,101.70,718630
22-Jun-16,98.80,99.08,98.20,98.26,635238
21-Jun-16,98.90,99.23,98.11,98.47,878927
20-Jun-16,98.26,99.76,98.22,98.65,851827
17-Jun-16,96.98,98.67,96.58,96.69,1582064
16-Jun-16,97.48,97.48,96.25,96.97,2692469
15-Jun-16,98.64,99.50,98.14,98.35,1384546
14-Jun-16,97.90,98.58,97.48,98.24,1138500
13-Jun-16,99.00,99.49,98.31,98.32,1589296
10-Jun-16,99.97,100.14,98.89,99.44,1210616
9-Jun-16,100.47,101.21,100.13,101.07,519796
8-Jun-16,100.12,101.25,99.61,101.07,718803
7-Jun-16,101.30,101.47,100.17,100.19,594198
6-Jun-16,98.81,101.36,98.81,101.00,1383766
3-Jun-16,98.66,98.94,97.79,98.76,904908
2-Jun-16,98.72,99.59,98.35,99.59,971282
1-Jun-16,97.84,98.95,97.68,98.86,712822
31-May-16,99.20,99.34,98.26,98.64,809222
27-May-16,97.87,98.74,97.87,98.73,486058
26-May-16,98.00,98.22,97.32,97.56,496900
25-May-16,98.02,98.61,97.94,98.12,885546
24-May-16,94.56,98.04,94.43,97.80,1274445
23-May-16,93.80,94.18,93.25,93.71,1084320
20-May-16,93.61,94.29,93.50,93.83,832767
19-May-16,93.96,94.09,92.40,93.07,1070726
18-May-16,93.37,94.92,92.96,94.16,2156465
17-May-16,94.29,95.01,93.54,93.70,890192
16-May-16,94.00,95.25,93.78,94.77,795822
13-May-16,94.54,95.25,93.42,93.82,927446
12-May-16,95.55,95.97,93.90,94.74,1368330
11-May-16,95.86,96.52,94.88,94.90,1053323
10-May-16,94.98,96.41,94.56,96.29,860860
9-May-16,94.51,94.90,94.04,94.66,902913
6-May-16,93.00,94.84,93.00,94.46,992164
5-May-16,93.80,94.42,93.14,93.29,851236
4-May-16,93.75,94.15,92.90,93.67,1368152
3-May-16,95.25,95.76,93.82,94.57,1171045
2-May-16,95.79,96.40,94.60,96.01,1202731
29-Apr-16,95.80,95.89,92.12,95.72,4464011
28-Apr-16,99.54,100.82,98.82,99.10,1010914
27-Apr-16,99.10,100.13,98.88,99.80,667573
26-Apr-16,98.34,99.91,98.00,99.69,787070
25-Apr-16,98.70,99.35,98.42,98.88,913706
22-Apr-16,98.88,99.85,98.50,98.78,1372692
21-Apr-16,100.45,100.99,99.62,99.63,837836
20-Apr-16,99.55,100.97,99.15,100.77,1016157
