Date,Open,High,Low,Close,Volume
28-Apr-17,52.09,52.24,51.77,51.81,5635613
27-Apr-17,52.01,52.35,51.72,52.14,5616235
26-Apr-17,52.37,52.65,51.81,51.89,7364299
25-Apr-17,52.50,53.00,52.35,52.37,7326085
24-Apr-17,52.44,52.77,51.92,52.02,7096758
21-Apr-17,51.64,51.85,51.19,51.27,7470012
20-Apr-17,51.52,52.00,51.24,51.78,4468401
19-Apr-17,51.56,51.92,51.00,51.16,5341141
18-Apr-17,51.39,51.56,50.75,51.19,6369530
17-Apr-17,51.26,52.05,51.09,51.90,5612262
13-Apr-17,51.69,52.06,51.08,51.12,6518576
12-Apr-17,52.49,52.62,51.72,51.97,4524688
11-Apr-17,52.43,52.84,52.02,52.77,4536582
10-Apr-17,52.60,53.19,52.50,52.79,5215948
7-Apr-17,52.21,52.91,51.97,52.61,6548103
6-Apr-17,51.91,52.82,51.55,52.67,6307530
5-Apr-17,52.72,53.02,51.83,51.90,4891153
4-Apr-17,52.29,52.45,51.88,52.32,4983890
3-Apr-17,52.90,53.08,51.58,52.40,5253820
31-Mar-17,52.90,53.17,52.79,52.82,4519142
30-Mar-17,52.17,53.43,52.11,53.12,6826078
29-Mar-17,52.27,52.64,52.05,52.18,4899323
28-Mar-17,51.40,52.83,51.34,52.48,5252216
27-Mar-17,50.89,51.79,50.25,51.69,6254885
24-Mar-17,52.24,52.72,51.66,52.01,4987576
23-Mar-17,51.60,52.65,51.38,52.05,5034991
22-Mar-17,51.34,52.04,50.88,51.77,5288684
21-Mar-17,53.43,53.55,51.81,51.92,6332712
20-Mar-17,53.19,53.43,52.87,53.13,3934540
17-Mar-17,54.21,54.21,53.12,53.36,6909679
16-Mar-17,53.75,54.33,53.73,54.02,4891835
15-Mar-17,54.09,54.18,53.42,53.68,5908746
14-Mar-17,53.85,53.97,53.41,53.89,3865190
13-Mar-17,54.03,54.40,53.88,54.16,5358646
10-Mar-17,53.93,54.26,53.69,54.02,5302152
9-Mar-17,53.63,54.00,53.42,53.62,5026814
8-Mar-17,53.94,54.27,53.42,53.46,5312105
7-Mar-17,53.72,53.81,53.16,53.35,5285531
6-Mar-17,53.63,54.24,53.44,53.93,6571912
3-Mar-17,53.67,55.06,53.62,54.83,8365972
2-Mar-17,54.39,54.55,53.35,53.43,6564076
1-Mar-17,53.39,54.84,53.30,54.33,10909438
28-Feb-17,52.44,52.74,52.25,52.44,7491977
27-Feb-17,52.65,52.80,52.42,52.66,7325699
24-Feb-17,52.81,53.03,52.40,52.49,6718392
23-Feb-17,53.58,53.72,53.27,53.56,5594394
22-Feb-17,52.97,53.69,52.93,53.48,5460877
21-Feb-17,53.40,53.70,53.13,53.35,5717407
17-Feb-17,53.21,53.35,52.67,52.97,7975887
16-Feb-17,53.93,54.19,53.54,53.65,7509080
15-Feb-17,54.09,54.15,53.57,53.93,6785537
14-Feb-17,53.30,54.09,53.18,53.88,4936590
13-Feb-17,53.33,54.11,53.33,53.50,4940116
