Date,Open,High,Low,Close,Volume
28-Apr-17,230.00,236.37,227.99,234.79,1745923
27-Apr-17,238.46,241.02,237.06,238.88,860215
26-Apr-17,239.10,240.08,238.02,238.35,618600
25-Apr-17,236.83,240.20,236.83,238.42,550929
24-Apr-17,237.75,238.16,234.74,235.78,499430
21-Apr-17,236.43,237.02,234.77,234.93,708839
20-Apr-17,235.38,237.58,234.95,236.29,447706
19-Apr-17,233.14,234.99,231.80,234.22,519264
18-Apr-17,231.26,232.27,229.95,231.66,330419
17-Apr-17,230.38,232.49,229.43,232.48,301830
13-Apr-17,229.95,230.92,228.84,229.75,358171
12-Apr-17,232.05,233.86,228.93,230.46,389856
11-Apr-17,228.79,230.08,227.06,229.93,308968
10-Apr-17,228.31,229.55,227.98,228.68,291502
7-Apr-17,228.26,229.00,227.50,228.35,364281
6-Apr-17,227.45,229.86,226.57,228.39,351783
5-Apr-17,228.87,230.38,226.82,227.15,331145
4-Apr-17,228.13,229.29,226.81,227.85,425069
3-Apr-17,229.92,231.08,226.66,228.33,423045
31-Mar-17,228.87,230.29,227.67,229.49,401244
30-Mar-17,229.84,232.14,228.84,228.91,397167
29-Mar-17,226.82,230.21,226.42,229.96,473676
28-Mar-17,227.32,228.85,226.03,227.99,438659
27-Mar-17,224.74,228.07,223.84,227.63,330598
24-Mar-17,229.57,230.06,225.53,227.02,732175
23-Mar-17,228.30,230.81,227.95,229.38,296274
22-Mar-17,227.45,228.17,224.01,227.92,693963
21-Mar-17,232.18,232.20,229.07,229.42,341554
20-Mar-17,230.83,231.99,228.97,231.90,848131
17-Mar-17,231.23,231.55,229.20,230.20,665193
16-Mar-17,231.00,233.57,230.16,231.40,626731
15-Mar-17,231.00,231.62,228.53,231.00,525177
14-Mar-17,229.46,231.19,228.94,229.92,267495
13-Mar-17,230.27,231.47,229.28,231.07,308531
10-Mar-17,229.51,230.98,228.94,230.39,344504
9-Mar-17,229.20,230.55,226.74,228.13,332978
8-Mar-17,227.90,230.89,227.00,229.57,360129
7-Mar-17,227.93,229.36,226.24,227.30,345104
6-Mar-17,227.78,229.76,226.74,228.04,396890
3-Mar-17,230.57,232.45,229.25,229.67,368804
2-Mar-17,230.40,232.46,229.71,230.15,354921
1-Mar-17,229.31,233.70,228.26,231.53,546969
28-Feb-17,228.02,228.52,226.06,226.36,489079
27-Feb-17,225.26,228.30,224.33,228.08,461006
24-Feb-17,224.92,226.22,223.37,225.96,343668
23-Feb-17,226.17,226.58,224.45,225.31,394802
22-Feb-17,225.02,226.15,223.56,225.05,532562
21-Feb-17,222.08,224.88,219.53,224.54,603479
17-Feb-17,221.37,222.00,219.22,221.55,470703
16-Feb-17,223.20,224.01,220.24,221.78,421657
15-Feb-17,224.00,224.98,222.41,222.98,459025
14-Feb-17,223.39,224.30,222.19,224.23,540692
13-Feb-17,224.41,225.53,222.68,223.80,688412
10-Feb-17,212.50,224.16,209.90,222.72,2023906
9-Feb-17,213.23,215.37,211.13,214.77,999180
8-Feb-17,214.27,215.50,213.47,214.10,458141
7-Feb-17,214.46,216.18,213.75,214.00,566719
6-Feb-17,214.46,216.48,212.77,213.38,749001
3-Feb-17,216.31,217.51,214.83,215.39,455780
2-Feb-17,215.58,216.98,214.80,216.03,558626
1-Feb-17,215.85,217.25,213.07,215.87,493414
31-Jan-17,215.63,216.42,213.43,215.84,558078
30-Jan-17,213.42,216.08,212.13,215.46,485257
27-Jan-17,214.88,215.29,214.04,215.17,334973
26-Jan-17,215.33,216.52,213.89,215.45,417836
25-Jan-17,215.63,217.96,215.19,215.38,942908
24-Jan-17,210.63,215.99,210.63,214.87,1027693
23-Jan-17,207.08,210.30,206.74,209.52,892028
20-Jan-17,206.40,208.01,206.40,207.14,617529
19-Jan-17,204.51,210.21,204.51,205.90,863297
18-Jan-17,202.17,204.60,201.53,204.09,777658
17-Jan-17,201.73,202.67,200.74,201.81,457560
13-Jan-17,201.62,203.13,201.11,202.41,387872
12-Jan-17,200.96,202.04,199.90,201.74,468566
11-Jan-17,203.82,204.16,200.84,202.20,494400
10-Jan-17,203.14,205.52,203.00,203.18,520080
9-Jan-17,205.28,205.77,203.52,203.73,458323
6-Jan-17,204.55,206.37,203.32,204.44,590923
5-Jan-17,205.45,206.18,203.09,204.35,540523
4-Jan-17,202.00,206.41,202.00,205.88,544649
3-Jan-17,201.68,204.15,200.08,201.75,492807
30-Dec-16,203.16,203.16,198.45,199.68,440418
29-Dec-16,201.71,202.52,201.18,202.14,210523
28-Dec-16,204.77,204.77,201.61,201.77,224989
27-Dec-16,204.50,205.13,203.12,203.73,283206
23-Dec-16,203.60,204.11,202.78,203.71,247986
22-Dec-16,205.13,205.90,202.40,202.99,353465
21-Dec-16,201.61,205.91,201.61,204.87,577204
20-Dec-16,200.06,202.10,199.47,201.16,469547
19-Dec-16,198.01,200.96,197.05,199.61,478330
16-Dec-16,198.24,199.47,196.50,197.00,760173
15-Dec-16,199.88,202.40,197.46,197.74,614402
14-Dec-16,201.22,202.94,198.96,199.64,529894
13-Dec-16,201.98,202.89,200.65,201.26,573261
12-Dec-16,199.29,199.54,196.59,198.64,436284
