Date,Open,High,Low,Close,Volume
28-Apr-17,88.75,88.80,88.68,88.72,3621295
27-Apr-17,88.79,88.94,88.75,88.75,2735095
26-Apr-17,88.85,88.90,88.75,88.78,2656831
25-Apr-17,88.98,88.98,88.75,88.80,2854375
24-Apr-17,88.83,88.97,88.79,88.96,2344219
21-Apr-17,88.77,88.82,88.75,88.76,1373878
20-Apr-17,88.78,88.84,88.75,88.78,863330
19-Apr-17,88.83,88.86,88.74,88.74,1807802
18-Apr-17,88.79,88.89,88.74,88.75,1496792
17-Apr-17,88.73,88.85,88.72,88.83,654072
13-Apr-17,88.70,88.80,88.65,88.67,3296740
12-Apr-17,88.69,88.85,88.65,88.69,2596463
11-Apr-17,88.80,88.98,88.52,88.73,4323448
10-Apr-17,89.35,89.38,89.32,89.32,1414504
7-Apr-17,89.37,89.40,89.26,89.33,1411863
6-Apr-17,89.39,89.43,89.30,89.32,1067804
5-Apr-17,89.40,89.45,89.26,89.30,1440293
4-Apr-17,89.10,89.43,89.08,89.40,2599582
3-Apr-17,89.10,89.26,89.04,89.19,2058286
31-Mar-17,89.05,89.19,89.00,89.08,2338833
30-Mar-17,89.01,89.10,88.97,89.00,6538361
29-Mar-17,88.33,88.49,88.24,88.38,1055969
28-Mar-17,88.44,88.48,88.31,88.31,1495348
27-Mar-17,88.31,88.51,88.28,88.44,1733396
24-Mar-17,88.32,88.45,88.26,88.36,1268573
23-Mar-17,88.26,88.50,88.21,88.29,1505323
22-Mar-17,88.11,88.32,87.99,88.21,1869558
21-Mar-17,87.85,88.19,87.78,88.15,1986665
20-Mar-17,87.65,87.90,87.65,87.87,1641285
17-Mar-17,87.78,87.82,87.63,87.63,2175421
16-Mar-17,87.75,87.87,87.72,87.75,1638648
15-Mar-17,87.75,87.84,87.69,87.73,2156493
14-Mar-17,87.77,87.82,87.68,87.70,2531695
13-Mar-17,87.80,87.88,87.70,87.80,2652725
10-Mar-17,87.89,87.89,87.64,87.73,2441735
9-Mar-17,87.83,87.85,87.67,87.69,2044846
8-Mar-17,88.33,88.36,87.98,88.04,4286755
7-Mar-17,88.08,88.41,88.08,88.33,7872826
6-Mar-17,87.96,88.35,87.89,88.34,3277572
3-Mar-17,87.99,88.19,87.85,88.10,2504187
2-Mar-17,88.00,88.15,87.93,87.98,2511183
1-Mar-17,87.80,88.22,87.75,88.11,2350244
