Date,Open,High,Low,Close,Volume
28-Apr-17,100.00,100.04,99.52,99.90,660460
27-Apr-17,99.92,100.46,99.61,100.02,330770
26-Apr-17,100.73,100.90,99.71,99.72,604378
25-Apr-17,101.09,101.20,100.18,100.68,568227
24-Apr-17,100.77,101.12,100.38,101.08,794993
21-Apr-17,100.36,100.58,100.26,100.40,472506
20-Apr-17,100.51,100.79,100.27,100.44,529389
19-Apr-17,100.67,100.97,100.13,100.52,489658
18-Apr-17,100.16,101.35,100.16,100.69,621977
17-Apr-17,99.42,100.13,99.05,100.11,690349
13-Apr-17,99.74,100.17,99.11,99.19,466377
12-Apr-17,99.70,100.56,99.33,99.84,1274516
11-Apr-17,99.44,99.94,98.98,99.67,882677
10-Apr-17,99.66,100.11,99.30,99.77,613162
7-Apr-17,100.28,100.28,99.56,99.59,888625
6-Apr-17,100.52,100.52,99.71,100.08,885487
5-Apr-17,99.21,100.88,99.06,100.64,1396561
4-Apr-17,98.27,98.47,97.34,98.42,859951
3-Apr-17,98.20,98.92,97.61,98.15,982963
31-Mar-17,97.37,97.91,97.25,97.55,864724
30-Mar-17,97.75,97.98,97.10,97.53,864125
29-Mar-17,98.01,98.68,97.66,98.05,1457565
28-Mar-17,100.00,100.92,98.24,98.43,1527492
27-Mar-17,100.59,101.52,100.49,101.36,871175
24-Mar-17,101.43,101.69,100.91,101.01,527134
23-Mar-17,101.27,101.89,101.07,101.22,504311
22-Mar-17,101.63,102.04,100.78,101.36,593088
21-Mar-17,101.84,102.42,101.51,101.67,709309
20-Mar-17,101.98,102.22,101.63,102.02,566247
17-Mar-17,101.69,102.27,101.30,102.00,864141
16-Mar-17,101.91,102.08,101.23,101.48,567626
15-Mar-17,100.80,102.08,100.61,101.87,742010
14-Mar-17,100.14,100.78,100.14,100.66,494079
13-Mar-17,100.05,100.39,99.88,100.38,620239
10-Mar-17,100.48,100.80,99.91,100.32,593089
9-Mar-17,99.18,100.12,99.08,99.99,658148
8-Mar-17,98.71,99.31,98.55,98.95,595620
7-Mar-17,99.24,99.68,98.94,99.00,547007
6-Mar-17,99.02,99.46,98.70,99.24,515645
3-Mar-17,99.32,99.46,98.84,99.43,516858
2-Mar-17,98.96,99.68,98.65,99.36,565151
1-Mar-17,98.34,99.34,97.52,99.06,690445
28-Feb-17,97.59,98.83,97.59,98.42,809114
27-Feb-17,99.23,99.66,97.36,97.50,884860
24-Feb-17,98.90,99.46,98.45,99.33,771201
23-Feb-17,98.17,99.41,97.88,98.91,1315208
22-Feb-17,98.13,98.37,97.74,98.01,669804
21-Feb-17,97.83,98.73,97.54,98.52,1055170
17-Feb-17,95.87,97.79,95.67,97.59,1288120
16-Feb-17,96.73,97.50,95.88,96.44,888693
15-Feb-17,96.67,97.07,95.08,97.04,915488
14-Feb-17,97.07,97.28,96.25,96.85,560775
13-Feb-17,97.25,97.52,96.76,97.28,720026
10-Feb-17,96.97,97.86,96.41,97.25,638944
9-Feb-17,96.14,97.55,96.14,97.05,691467
8-Feb-17,95.45,96.79,95.45,96.50,942378
7-Feb-17,94.61,95.82,94.61,95.56,739069
6-Feb-17,95.78,95.78,94.49,94.51,747058
3-Feb-17,95.72,96.46,95.28,95.86,584305
2-Feb-17,94.78,95.58,94.60,95.08,766487
1-Feb-17,95.27,95.65,94.25,94.55,902849
31-Jan-17,95.54,95.80,94.97,95.55,1230283
30-Jan-17,95.84,95.95,94.84,95.48,822953
27-Jan-17,96.05,96.12,95.21,95.88,896966
26-Jan-17,95.76,96.14,95.35,95.60,954890
25-Jan-17,93.83,96.22,93.67,95.79,1388876
24-Jan-17,93.22,94.49,93.21,94.05,1223093
23-Jan-17,93.30,93.31,92.80,93.17,461626
20-Jan-17,93.44,93.80,92.84,93.31,586534
19-Jan-17,92.94,93.11,92.75,93.01,779926
18-Jan-17,92.82,93.11,92.65,93.06,465295
17-Jan-17,91.34,92.68,91.01,92.68,737087
13-Jan-17,90.54,91.69,90.54,91.37,1024601
12-Jan-17,90.01,90.77,89.84,90.70,707951
11-Jan-17,89.81,90.57,89.65,90.23,500812
10-Jan-17,89.84,90.17,89.75,89.79,934371
9-Jan-17,91.41,91.63,89.96,90.14,836094
6-Jan-17,91.55,91.87,91.04,91.40,1280218
5-Jan-17,93.24,93.32,91.43,91.49,1394900
4-Jan-17,93.86,93.96,93.26,93.32,667863
3-Jan-17,93.76,93.80,93.04,93.59,513876
30-Dec-16,93.54,93.71,93.05,93.33,572210
29-Dec-16,92.91,93.79,92.91,93.67,579404
28-Dec-16,92.68,93.62,92.54,92.79,514374
27-Dec-16,93.18,93.63,92.87,93.05,352545
23-Dec-16,92.85,93.39,92.52,93.05,343388
22-Dec-16,93.26,93.79,92.70,92.86,711549
21-Dec-16,92.85,93.82,92.85,93.22,417404
20-Dec-16,92.44,92.97,91.53,92.77,470910
19-Dec-16,92.50,93.27,91.86,92.63,495076
16-Dec-16,92.60,93.56,92.17,92.44,1152039
15-Dec-16,92.17,93.24,91.83,92.35,760768
14-Dec-16,93.88,94.20,91.92,92.09,668031
13-Dec-16,93.62,94.19,93.41,93.70,490004
12-Dec-16,92.33,93.54,92.32,93.37,476563
9-Dec-16,91.30,92.50,91.30,92.43,889639
8-Dec-16,91.96,92.14,91.11,91.42,551304
7-Dec-16,90.61,92.00,90.28,91.92,773774
6-Dec-16,90.87,91.36,89.26,90.38,842212
5-Dec-16,89.06,90.12,89.03,89.59,917924
2-Dec-16,89.08,89.70,88.79,89.05,711671
1-Dec-16,90.86,91.27,88.64,88.78,1383665
30-Nov-16,92.76,93.01,91.16,91.20,934477
29-Nov-16,92.41,93.31,92.17,93.13,551432
28-Nov-16,92.17,92.91,92.00,92.38,562943
25-Nov-16,91.28,92.30,91.28,92.30,328454
23-Nov-16,92.20,92.85,90.95,91.08,489205
22-Nov-16,92.41,92.99,92.06,92.84,837793
21-Nov-16,91.12,92.26,91.10,91.88,550146
18-Nov-16,91.30,91.88,91.04,91.20,579638
17-Nov-16,91.98,91.98,90.82,91.40,717413
16-Nov-16,91.83,92.44,91.62,91.87,480174
15-Nov-16,92.37,92.97,91.80,92.06,615628
14-Nov-16,91.40,92.44,90.78,91.91,564108
11-Nov-16,91.56,92.15,90.66,91.52,602325
10-Nov-16,94.19,94.41,91.46,91.57,888707
9-Nov-16,93.52,94.85,91.53,94.55,790013
8-Nov-16,94.24,96.13,94.24,95.77,742709
7-Nov-16,94.10,94.27,92.92,94.24,760253
4-Nov-16,94.76,95.02,93.34,93.35,521380
3-Nov-16,94.84,95.00,94.56,94.86,562217
2-Nov-16,94.77,95.24,94.52,94.80,465698
1-Nov-16,95.89,96.43,94.59,94.81,675697
31-Oct-16,95.60,96.03,95.19,95.87,864702
28-Oct-16,94.55,95.83,94.54,95.40,520837
27-Oct-16,95.38,95.69,94.36,94.53,511842
26-Oct-16,95.81,95.88,95.23,95.44,499073
25-Oct-16,97.42,97.42,95.53,95.91,1213171
24-Oct-16,93.77,94.40,93.39,93.88,574718
21-Oct-16,93.59,93.77,92.86,93.54,503495
20-Oct-16,94.37,94.37,93.43,93.65,888034
19-Oct-16,95.00,95.33,93.95,94.21,564012
18-Oct-16,94.91,95.26,94.63,94.85,593210
17-Oct-16,94.43,94.66,94.08,94.33,364589
14-Oct-16,94.72,95.12,94.41,94.44,392539
13-Oct-16,94.11,94.91,93.98,94.61,568109
12-Oct-16,94.01,94.68,94.01,94.41,479114
11-Oct-16,94.96,95.45,93.89,94.16,598471
10-Oct-16,95.75,96.79,95.09,95.32,684416
7-Oct-16,95.41,95.95,94.73,95.56,1100113
6-Oct-16,94.98,95.32,94.28,95.23,851288
5-Oct-16,96.44,96.63,95.59,95.83,1890822
4-Oct-16,97.98,97.98,96.17,96.47,1036455
3-Oct-16,98.16,99.90,96.93,96.93,1391074
30-Sep-16,100.04,100.83,98.69,99.92,2215726
29-Sep-16,97.54,98.32,97.12,97.39,801458
28-Sep-16,97.42,97.88,97.22,97.77,531967
27-Sep-16,97.12,97.74,96.61,97.55,708996
26-Sep-16,96.47,96.83,96.10,96.66,478678
23-Sep-16,97.13,97.30,96.52,96.71,488264
