Date,Open,High,Low,Close,Volume
28-Apr-17,223.15,223.89,219.79,220.19,542334
27-Apr-17,221.00,223.99,218.87,223.35,528997
26-Apr-17,223.55,223.81,220.80,221.15,487773
25-Apr-17,224.04,224.82,222.07,223.50,655722
24-Apr-17,221.48,223.57,218.91,222.81,553729
21-Apr-17,217.58,219.99,216.45,218.89,561114
20-Apr-17,212.63,218.84,211.97,217.29,474467
19-Apr-17,211.75,213.87,210.73,211.16,484320
18-Apr-17,211.07,213.17,209.43,210.73,310113
17-Apr-17,210.57,212.85,210.16,212.69,456585
13-Apr-17,212.31,213.31,210.09,210.11,496345
12-Apr-17,218.80,218.80,211.75,212.79,786345
11-Apr-17,219.84,220.21,214.07,219.59,533834
10-Apr-17,221.54,222.03,219.55,220.31,398016
7-Apr-17,218.70,223.55,218.70,221.41,874186
6-Apr-17,214.84,218.36,214.10,218.21,848411
5-Apr-17,216.40,218.98,214.64,214.98,833158
4-Apr-17,214.30,216.13,212.65,216.01,450333
3-Apr-17,218.20,218.63,212.79,214.43,634271
31-Mar-17,214.00,219.07,213.08,218.25,927580
30-Mar-17,213.66,216.79,210.94,211.56,705983
29-Mar-17,211.15,214.73,210.00,214.27,591755
28-Mar-17,206.50,212.03,206.50,209.92,767976
27-Mar-17,203.84,208.22,201.77,207.04,718870
24-Mar-17,213.15,213.24,206.49,207.24,812123
23-Mar-17,212.38,214.67,210.19,213.49,672157
22-Mar-17,208.50,213.09,207.00,212.54,715596
21-Mar-17,212.08,212.60,207.59,209.09,526301
20-Mar-17,212.03,212.03,209.50,211.11,365046
17-Mar-17,211.00,213.13,209.60,211.95,572326
16-Mar-17,214.52,214.63,209.19,210.37,658087
15-Mar-17,212.45,215.22,209.63,214.02,553465
14-Mar-17,212.91,213.50,209.31,211.67,500646
13-Mar-17,212.36,215.17,211.75,214.93,567395
10-Mar-17,209.37,213.14,208.59,212.81,708009
9-Mar-17,210.41,212.89,205.86,208.16,610832
8-Mar-17,209.59,212.28,209.59,210.85,577163
7-Mar-17,214.52,214.96,209.00,209.93,839170
6-Mar-17,215.93,217.70,213.58,214.68,754045
3-Mar-17,218.91,221.85,215.95,217.69,677526
2-Mar-17,221.91,221.97,217.60,219.02,710919
1-Mar-17,223.02,224.98,219.83,222.27,1166911
28-Feb-17,215.65,219.33,213.92,215.95,1167833
27-Feb-17,210.49,219.70,208.95,215.26,825399
24-Feb-17,207.08,211.32,206.10,210.05,985751
23-Feb-17,219.70,220.25,206.34,208.68,1913454
22-Feb-17,219.89,221.37,218.72,218.94,749239
21-Feb-17,218.25,221.69,218.05,219.98,727138
17-Feb-17,220.82,221.00,215.26,217.55,835054
16-Feb-17,221.95,222.72,220.00,221.53,772553
15-Feb-17,224.65,226.29,219.96,222.00,1739565
14-Feb-17,226.62,229.11,221.36,226.41,1557078
13-Feb-17,232.66,234.43,230.03,231.39,664374
10-Feb-17,226.89,231.16,226.45,230.32,519689
9-Feb-17,227.00,227.33,224.85,225.32,520109
8-Feb-17,226.62,228.65,223.33,226.25,500439
7-Feb-17,223.87,229.00,221.33,226.62,1086699
6-Feb-17,230.86,231.56,229.69,230.58,524170
3-Feb-17,229.86,233.33,228.61,230.91,491136
2-Feb-17,229.48,230.37,227.06,228.59,602927
1-Feb-17,231.29,232.23,228.55,230.50,649322
31-Jan-17,234.89,236.69,226.74,229.60,1151143
30-Jan-17,238.00,238.00,233.28,235.31,606820
27-Jan-17,242.57,242.74,238.73,239.78,420399
26-Jan-17,242.02,243.98,239.83,241.62,796069
25-Jan-17,237.57,243.29,237.56,242.00,1432844
24-Jan-17,229.20,235.57,228.39,234.50,727481
23-Jan-17,228.60,229.86,225.51,227.36,607310
20-Jan-17,227.12,229.15,226.48,227.75,612657
19-Jan-17,225.93,227.32,225.02,225.76,727553
18-Jan-17,220.15,225.89,219.40,225.36,622901
17-Jan-17,220.95,220.95,217.11,219.86,635397
13-Jan-17,219.62,221.61,219.05,220.67,478796
12-Jan-17,222.14,222.50,216.80,219.92,611699
11-Jan-17,221.64,222.24,219.79,221.95,415827
10-Jan-17,220.07,222.47,219.24,220.56,587951
9-Jan-17,219.88,221.60,218.50,219.36,643739
6-Jan-17,226.08,226.24,219.53,219.84,818360
5-Jan-17,226.15,229.64,225.11,226.52,649765
4-Jan-17,223.24,227.68,222.81,226.36,664936
3-Jan-17,223.49,225.64,219.50,223.33,752929
30-Dec-16,226.34,226.61,220.78,221.53,422591
29-Dec-16,226.00,227.55,224.21,224.84,436677
28-Dec-16,230.30,233.76,225.05,226.17,486850
27-Dec-16,226.48,230.57,226.48,229.19,409546
23-Dec-16,224.97,226.21,221.78,225.11,254242
22-Dec-16,224.48,225.87,223.36,224.15,383293
21-Dec-16,226.04,227.50,224.71,225.45,532575
20-Dec-16,222.34,228.23,221.04,226.04,507809
19-Dec-16,220.37,223.17,218.72,222.68,522383
16-Dec-16,222.00,224.30,219.97,220.39,763313
15-Dec-16,222.00,223.80,219.96,221.41,588177
14-Dec-16,221.86,225.62,219.98,221.81,576095
13-Dec-16,224.78,226.99,219.87,222.20,647184
12-Dec-16,230.30,230.68,223.03,223.69,725991
9-Dec-16,231.44,232.55,228.13,231.16,482047
8-Dec-16,230.22,232.26,228.70,230.72,605837
7-Dec-16,226.00,230.03,224.48,229.85,690892
6-Dec-16,224.21,225.64,220.57,225.33,476225
5-Dec-16,224.64,224.82,222.12,223.54,681784
2-Dec-16,220.58,223.78,219.68,223.25,823034
1-Dec-16,220.15,221.52,219.00,220.90,918261
30-Nov-16,220.58,223.63,218.67,219.45,671982
29-Nov-16,215.50,219.52,215.43,218.50,864362
28-Nov-16,224.98,225.16,216.12,216.32,1157461
25-Nov-16,224.43,226.63,224.11,225.31,239606
23-Nov-16,220.48,224.64,218.85,224.22,570922
22-Nov-16,224.13,224.50,219.68,221.28,820205
21-Nov-16,220.71,223.15,219.82,222.82,748118
18-Nov-16,220.80,221.88,218.69,219.67,576877
17-Nov-16,220.78,223.00,217.65,221.07,1216835
16-Nov-16,225.05,226.19,220.13,220.85,1682092
15-Nov-16,229.90,231.97,225.65,229.18,1446044
14-Nov-16,232.00,236.41,229.02,231.50,1611510
11-Nov-16,234.50,235.40,223.60,229.74,1861219
10-Nov-16,228.30,234.83,226.05,233.52,1892141
9-Nov-16,213.64,228.04,213.64,225.39,3888673
8-Nov-16,198.27,202.20,196.87,202.01,979167
7-Nov-16,195.37,198.40,193.68,198.27,880246
4-Nov-16,189.00,194.50,188.59,192.33,716374
3-Nov-16,190.62,190.92,186.89,188.48,644015
2-Nov-16,192.38,195.32,189.81,190.45,1292072
1-Nov-16,188.41,194.99,188.41,192.88,2244912
31-Oct-16,182.21,186.72,181.52,185.38,1459328
28-Oct-16,177.30,182.47,176.22,181.32,905583
27-Oct-16,178.77,179.05,175.16,176.89,627677
26-Oct-16,179.37,179.52,176.23,178.02,684446
25-Oct-16,179.99,180.36,177.88,178.03,517171
24-Oct-16,180.75,181.11,179.47,180.34,482276
21-Oct-16,176.89,180.00,175.89,179.73,532805
20-Oct-16,176.97,179.48,174.83,178.30,523113
19-Oct-16,179.15,179.15,175.05,177.34,542098
18-Oct-16,178.83,178.83,177.10,178.21,678570
17-Oct-16,173.58,177.92,172.38,177.19,874206
14-Oct-16,173.00,174.18,172.76,173.38,626548
13-Oct-16,168.50,172.69,167.06,171.97,624463
12-Oct-16,169.02,170.05,167.59,169.89,631132
11-Oct-16,168.48,170.23,168.31,169.19,1033205
10-Oct-16,170.70,172.61,169.87,171.25,873414
7-Oct-16,178.45,178.98,169.86,170.12,1218392
6-Oct-16,175.14,178.82,175.10,178.45,658873
5-Oct-16,176.69,178.39,174.71,175.76,855695
4-Oct-16,176.44,178.30,175.43,175.70,712744
3-Oct-16,178.98,180.31,176.26,176.90,731681
30-Sep-16,182.50,183.48,178.69,179.11,1117760
29-Sep-16,184.00,184.36,179.90,182.50,996289
28-Sep-16,184.34,186.00,182.62,185.10,517861
27-Sep-16,183.32,183.79,180.43,183.58,656853
26-Sep-16,180.79,184.81,180.79,183.25,864734
23-Sep-16,181.50,182.83,180.67,181.29,831667
22-Sep-16,180.06,182.48,180.06,181.92,954329
21-Sep-16,176.01,178.98,174.81,178.91,726529
20-Sep-16,176.23,176.23,172.49,174.76,582288
19-Sep-16,175.59,176.78,174.09,174.97,487679
16-Sep-16,177.15,178.21,173.54,173.95,770380
15-Sep-16,177.38,178.50,174.78,177.83,808776
14-Sep-16,178.47,180.03,176.28,177.38,689142
13-Sep-16,178.43,179.67,177.12,178.50,650658
12-Sep-16,174.82,180.35,174.09,179.89,1013686
9-Sep-16,178.61,178.70,173.51,175.00,1192982
8-Sep-16,180.91,181.76,179.33,179.94,399577
7-Sep-16,180.95,183.43,180.02,180.90,620162
6-Sep-16,184.72,185.29,179.70,180.95,774638
2-Sep-16,184.74,185.06,182.22,184.63,642358
1-Sep-16,182.62,184.42,180.63,183.53,631403
31-Aug-16,187.50,187.50,181.63,183.03,1004839
30-Aug-16,189.60,190.14,187.69,188.83,482429
29-Aug-16,188.69,191.16,188.69,189.61,448432
26-Aug-16,191.45,192.38,187.35,188.28,596598
25-Aug-16,195.69,195.77,190.80,191.23,602323
24-Aug-16,194.27,195.89,193.36,195.45,338776
23-Aug-16,195.72,196.73,194.42,195.15,437211
22-Aug-16,191.70,195.54,189.36,195.08,576185
19-Aug-16,193.61,194.52,191.03,192.25,637963
18-Aug-16,194.00,195.75,192.25,194.28,377977
17-Aug-16,196.80,196.86,190.50,193.89,654179
16-Aug-16,199.42,199.42,196.00,196.83,364294
15-Aug-16,196.47,201.10,195.88,199.46,538828
12-Aug-16,198.96,199.04,195.86,196.46,510882
11-Aug-16,200.47,201.10,198.15,198.54,507014
10-Aug-16,200.53,201.18,199.15,200.25,258461
9-Aug-16,200.35,201.38,198.15,199.85,337773
8-Aug-16,198.50,201.33,197.59,200.43,419161
5-Aug-16,198.94,199.27,197.20,198.31,269724
4-Aug-16,199.80,199.80,197.22,198.47,371350
3-Aug-16,197.98,200.99,197.98,200.14,525984
2-Aug-16,193.70,199.51,192.51,198.50,886754
1-Aug-16,199.43,199.43,193.61,196.31,1127825
29-Jul-16,205.36,206.24,202.15,202.65,820921
28-Jul-16,201.25,206.36,200.80,205.70,624410
27-Jul-16,202.10,203.72,200.58,201.52,413528
26-Jul-16,198.69,201.96,197.56,201.86,465524
25-Jul-16,198.23,198.82,196.66,198.69,244069
22-Jul-16,195.94,198.77,195.94,198.25,399130
