Date,Open,High,Low,Close,Volume
28-Apr-17,74.35,74.54,74.06,74.13,1862726
27-Apr-17,73.56,74.82,73.50,74.25,4044206
26-Apr-17,73.10,73.66,72.86,73.42,2439527
25-Apr-17,73.40,73.49,73.02,73.06,1722701
24-Apr-17,73.12,73.20,72.30,73.03,2248962
21-Apr-17,73.14,73.34,71.79,71.88,3067654
20-Apr-17,72.92,73.49,72.47,73.29,2274296
19-Apr-17,73.11,73.15,72.45,72.65,1461902
18-Apr-17,72.42,72.82,72.32,72.62,1098501
17-Apr-17,72.15,72.73,72.02,72.71,1948442
13-Apr-17,72.63,72.83,72.04,72.07,1682201
12-Apr-17,73.05,73.24,72.41,72.72,2147151
11-Apr-17,73.06,73.40,72.92,73.39,1525562
10-Apr-17,73.46,73.84,73.29,73.38,1348537
7-Apr-17,73.11,73.71,73.04,73.42,1352382
6-Apr-17,73.38,73.65,73.00,73.27,1646500
5-Apr-17,73.42,74.11,73.20,73.38,2581637
4-Apr-17,73.36,73.78,73.20,73.42,1765349
3-Apr-17,74.03,74.19,73.23,73.32,2428526
31-Mar-17,73.97,74.27,73.62,73.89,3018174
30-Mar-17,74.19,74.59,74.05,74.11,1833566
29-Mar-17,74.80,74.90,74.37,74.40,1644002
28-Mar-17,74.38,75.15,74.18,74.92,3454368
27-Mar-17,73.80,74.80,73.63,74.61,1321929
24-Mar-17,74.72,75.00,74.39,74.57,2273986
23-Mar-17,74.33,75.13,74.11,74.61,1725878
22-Mar-17,74.23,74.71,73.78,74.44,1064973
21-Mar-17,75.46,75.52,74.12,74.20,1664370
20-Mar-17,75.00,75.24,74.90,75.03,1719345
17-Mar-17,74.87,75.23,74.59,75.14,2466080
16-Mar-17,74.26,74.73,74.26,74.68,1546648
15-Mar-17,74.25,74.55,73.88,74.35,1376108
14-Mar-17,73.91,74.50,73.89,74.25,1411403
13-Mar-17,73.51,74.27,73.51,74.23,1532194
10-Mar-17,73.47,73.78,73.05,73.67,1363922
9-Mar-17,73.18,73.34,72.85,73.10,1745870
8-Mar-17,73.89,73.89,72.91,72.95,2038852
7-Mar-17,73.59,73.93,73.48,73.62,1261248
6-Mar-17,73.82,74.27,73.65,73.82,1197874
3-Mar-17,74.11,74.34,73.87,74.22,1014915
2-Mar-17,74.52,74.59,74.10,74.13,1248796
1-Mar-17,74.06,74.76,73.93,74.65,1677264
28-Feb-17,73.23,73.72,73.05,73.48,1825566
27-Feb-17,73.65,73.90,72.66,73.47,868775
24-Feb-17,73.18,73.74,72.95,73.51,1908356
23-Feb-17,73.15,73.57,72.87,73.54,2203063
22-Feb-17,72.51,73.18,72.50,72.93,1502901
21-Feb-17,73.38,73.67,72.72,72.93,1729613
17-Feb-17,72.93,73.52,72.73,73.52,2029848
16-Feb-17,72.50,73.29,72.44,73.26,2173657
15-Feb-17,71.88,72.72,71.67,72.63,1609015
14-Feb-17,71.55,71.99,71.43,71.94,1492129
13-Feb-17,71.25,71.73,71.03,71.48,1414345
10-Feb-17,70.69,71.29,70.45,71.08,2866507
9-Feb-17,70.58,70.87,70.46,70.58,1641454
8-Feb-17,69.38,70.44,69.33,70.41,2278201
7-Feb-17,70.19,70.26,69.71,69.77,1127867
6-Feb-17,70.20,70.64,69.86,69.91,1654894
3-Feb-17,70.25,70.60,69.69,70.52,2986389
2-Feb-17,67.78,69.78,67.61,69.55,2931520
1-Feb-17,68.12,68.41,67.32,67.41,2126318
31-Jan-17,68.26,68.47,67.70,68.02,2191438
30-Jan-17,68.56,68.79,67.94,68.34,1874926
27-Jan-17,68.94,69.18,68.67,68.85,1956768
26-Jan-17,68.69,69.00,68.55,68.75,1418142
25-Jan-17,68.52,68.80,68.41,68.66,2163994
24-Jan-17,67.80,68.36,67.74,68.23,1813272
23-Jan-17,67.58,67.72,67.33,67.56,1235073
20-Jan-17,67.62,67.99,67.49,67.99,2107167
19-Jan-17,68.32,68.32,67.33,67.45,1577612
18-Jan-17,67.85,68.27,67.58,68.17,1750220
17-Jan-17,67.40,68.02,67.16,67.64,1384844
13-Jan-17,67.69,68.10,67.68,67.73,1221958
12-Jan-17,67.14,67.66,66.75,67.58,2110344
11-Jan-17,67.40,67.68,66.96,67.44,2162076
10-Jan-17,67.84,68.32,67.46,67.51,1781966
9-Jan-17,68.42,68.43,67.78,67.80,1167978
6-Jan-17,68.40,68.83,68.25,68.68,1842520
5-Jan-17,68.28,68.53,68.06,68.31,1562293
4-Jan-17,67.92,68.52,67.92,68.29,1715110
3-Jan-17,67.85,68.04,67.31,67.87,2318664
30-Dec-16,67.92,67.93,67.39,67.59,1397051
29-Dec-16,67.91,68.08,67.64,67.75,920141
28-Dec-16,68.39,68.54,67.72,67.72,1180458
27-Dec-16,68.55,68.61,68.16,68.20,1214800
23-Dec-16,68.50,68.73,68.37,68.52,1796582
22-Dec-16,68.24,68.56,68.07,68.41,1268190
21-Dec-16,68.31,68.80,68.22,68.31,1762695
20-Dec-16,68.93,68.95,68.16,68.39,2433719
19-Dec-16,68.56,69.05,68.38,68.68,3181830
16-Dec-16,68.35,68.96,68.10,68.46,4240768
15-Dec-16,68.69,69.23,68.38,68.56,2446386
14-Dec-16,69.22,69.57,68.39,68.54,3207759
13-Dec-16,69.55,69.74,69.13,69.32,3797707
12-Dec-16,69.35,69.58,69.14,69.46,2953021
9-Dec-16,69.25,69.66,69.09,69.47,3119180
8-Dec-16,69.57,69.64,68.92,69.33,2622548
7-Dec-16,68.91,69.56,68.65,69.43,2677315
6-Dec-16,68.76,68.94,68.36,68.78,2675016
5-Dec-16,68.94,69.41,68.49,68.69,1894084
2-Dec-16,69.13,69.13,68.23,68.39,1560533
1-Dec-16,69.39,69.47,68.64,68.90,2267353
30-Nov-16,69.38,69.76,69.00,69.31,2927113
29-Nov-16,69.12,69.22,68.83,68.98,1772373
28-Nov-16,69.33,69.74,68.87,68.91,2043053
25-Nov-16,69.42,69.77,69.21,69.77,928184
23-Nov-16,69.51,69.60,68.87,69.46,1967969
22-Nov-16,69.32,69.58,69.03,69.40,1876559
21-Nov-16,69.41,69.69,68.95,69.21,1924604
18-Nov-16,69.05,69.43,68.83,69.23,2058586
17-Nov-16,67.75,69.16,67.75,69.07,1960739
16-Nov-16,67.56,68.03,67.42,67.70,1789487
15-Nov-16,67.42,67.83,67.32,67.73,1777412
14-Nov-16,68.10,68.34,67.26,67.61,2803903
11-Nov-16,67.65,68.34,67.38,67.78,2424910
10-Nov-16,67.48,68.28,66.85,67.80,3746610
9-Nov-16,65.79,67.14,64.50,66.91,4302414
8-Nov-16,65.04,65.68,64.85,65.38,2020880
7-Nov-16,64.91,65.11,64.50,65.09,2202190
4-Nov-16,63.96,64.27,63.47,63.90,2361480
3-Nov-16,63.21,64.00,63.15,63.64,1963409
2-Nov-16,62.95,63.43,62.87,62.96,3108312
1-Nov-16,63.60,63.65,62.61,62.86,2652123
31-Oct-16,63.69,63.78,63.04,63.39,1804173
28-Oct-16,63.37,64.22,63.25,63.45,2350215
27-Oct-16,63.42,63.57,62.86,63.18,2804517
26-Oct-16,62.46,63.50,62.41,63.22,3427322
25-Oct-16,64.22,64.56,62.33,62.70,5327185
24-Oct-16,65.38,65.59,64.91,64.97,1748986
21-Oct-16,64.66,65.17,64.37,65.03,1617385
20-Oct-16,65.55,65.57,65.04,65.22,1585393
19-Oct-16,65.34,65.81,65.16,65.80,2297071
18-Oct-16,66.00,66.03,65.09,65.14,2493340
17-Oct-16,66.13,66.13,65.28,65.33,1803177
14-Oct-16,66.17,66.69,65.99,65.99,1914442
13-Oct-16,65.80,66.10,65.44,65.68,1866749
12-Oct-16,65.70,66.34,65.66,66.17,1503569
11-Oct-16,66.10,66.37,65.39,65.53,1596000
10-Oct-16,67.00,67.23,66.41,66.43,1499308
7-Oct-16,66.49,66.87,66.22,66.65,2029271
6-Oct-16,65.97,66.61,65.60,66.39,2253729
5-Oct-16,66.53,66.92,66.19,66.32,2128696
4-Oct-16,66.92,66.96,66.11,66.33,2244489
3-Oct-16,67.02,67.10,66.64,66.96,1392513
30-Sep-16,66.57,67.48,66.57,67.25,2597202
29-Sep-16,67.27,67.43,66.28,66.40,1832274
28-Sep-16,67.50,67.50,66.74,67.23,1836719
27-Sep-16,67.01,67.72,66.86,67.40,2364670
26-Sep-16,66.97,67.25,66.75,67.01,1616571
23-Sep-16,67.56,68.02,67.35,67.35,1436413
22-Sep-16,68.09,68.31,67.87,68.21,1662377
21-Sep-16,67.02,67.70,66.86,67.63,1735427
20-Sep-16,66.74,66.94,66.50,66.80,1841644
19-Sep-16,66.27,66.50,66.02,66.27,1203661
16-Sep-16,66.10,66.16,65.48,65.91,2409093
15-Sep-16,65.80,66.57,65.71,66.40,1450600
14-Sep-16,66.17,66.35,65.59,65.83,2014168
13-Sep-16,66.56,66.81,66.12,66.13,2726186
12-Sep-16,65.69,67.31,65.65,67.20,2300481
9-Sep-16,67.53,67.54,65.99,65.99,2600816
8-Sep-16,67.97,68.12,67.82,67.94,1750923
7-Sep-16,67.93,68.19,67.92,68.08,1779054
6-Sep-16,68.30,68.33,67.60,68.18,1869442
2-Sep-16,68.06,68.32,67.82,68.30,970658
1-Sep-16,67.77,68.10,67.36,67.79,1570607
31-Aug-16,67.74,67.82,67.29,67.63,1930595
30-Aug-16,68.06,68.09,67.37,67.72,1510800
29-Aug-16,67.23,68.14,67.23,67.92,1255853
26-Aug-16,67.32,68.05,66.90,67.19,1811562
25-Aug-16,66.94,67.82,66.94,67.61,1884004
24-Aug-16,67.03,67.30,66.83,67.17,1308851
23-Aug-16,67.43,67.68,67.06,67.13,1165601
22-Aug-16,66.89,67.47,66.84,67.30,876842
19-Aug-16,66.86,67.09,66.62,67.05,1481049
18-Aug-16,67.12,67.20,66.92,67.11,1341836
17-Aug-16,66.98,67.45,66.78,67.13,1285993
16-Aug-16,67.12,67.37,67.04,67.05,1229968
15-Aug-16,67.40,67.60,67.26,67.37,1791406
12-Aug-16,67.56,67.56,67.26,67.39,1436354
11-Aug-16,67.28,67.50,67.06,67.37,1253597
10-Aug-16,66.95,67.29,66.89,67.15,1489309
9-Aug-16,66.98,67.25,66.92,66.98,1309214
8-Aug-16,66.58,67.12,66.52,67.07,2586533
5-Aug-16,66.80,66.84,66.49,66.63,1816822
4-Aug-16,66.19,66.65,66.19,66.30,2182365
3-Aug-16,66.18,66.22,65.94,66.17,3051398
2-Aug-16,65.72,66.18,65.72,66.09,1901302
1-Aug-16,65.78,66.21,65.69,65.94,2254807
29-Jul-16,66.32,66.48,65.68,65.75,2802545
28-Jul-16,66.42,66.74,65.82,66.55,2532327
27-Jul-16,66.72,66.78,66.27,66.47,2524900
26-Jul-16,66.34,66.67,66.24,66.64,2289205
25-Jul-16,66.53,66.53,66.19,66.24,1705951
22-Jul-16,66.19,66.55,66.05,66.48,1602593
21-Jul-16,66.34,66.42,65.80,65.96,1160812
20-Jul-16,66.63,66.69,66.34,66.43,1478617
19-Jul-16,66.34,66.44,66.09,66.35,1757580
18-Jul-16,66.68,66.71,66.36,66.46,1736355
15-Jul-16,67.14,67.14,66.48,66.52,3539835
14-Jul-16,67.57,67.90,66.95,66.96,3036412
13-Jul-16,67.48,67.60,66.99,67.05,1884425
12-Jul-16,67.61,67.71,67.11,67.30,2860304
11-Jul-16,67.59,67.61,67.15,67.15,2163369
8-Jul-16,67.21,67.37,66.74,67.17,7379685
7-Jul-16,67.05,67.56,66.57,66.80,3740473
6-Jul-16,67.19,67.40,66.82,67.11,5602126
5-Jul-16,67.78,67.97,67.41,67.59,2210774
1-Jul-16,68.44,68.69,67.98,68.11,3143509
30-Jun-16,67.06,68.57,66.88,68.46,3668525
29-Jun-16,66.21,66.78,66.01,66.77,2241835
28-Jun-16,64.14,65.61,64.06,65.59,2195304
27-Jun-16,64.13,64.24,63.39,63.73,2697277
24-Jun-16,65.57,65.97,64.76,64.88,5085997
23-Jun-16,67.46,67.91,67.34,67.91,1592144
22-Jun-16,66.68,67.26,66.61,66.81,1497739
21-Jun-16,66.82,66.89,66.54,66.74,1804680
20-Jun-16,66.64,66.96,66.39,66.47,1581783
17-Jun-16,66.03,66.08,65.40,65.86,2034718
16-Jun-16,64.95,66.03,64.85,66.01,2192906
15-Jun-16,65.81,65.81,65.29,65.34,1569920
14-Jun-16,65.55,65.84,65.42,65.70,1577919
13-Jun-16,66.26,66.49,65.77,65.81,1675616
10-Jun-16,66.19,66.56,66.13,66.35,1362805
9-Jun-16,66.39,66.74,65.97,66.63,1267066
8-Jun-16,66.47,66.71,66.32,66.58,1360992
7-Jun-16,66.76,66.84,66.45,66.60,1803718
6-Jun-16,66.14,66.44,66.02,66.30,1233265
3-Jun-16,66.03,66.31,65.53,66.17,1372869
