Date,Open,High,Low,Close,Volume
28-Apr-17,196.15,197.12,195.54,195.83,2467076
27-Apr-17,195.43,196.54,195.11,196.11,1770896
26-Apr-17,195.70,196.90,194.99,195.00,2641226
25-Apr-17,193.99,195.61,192.36,195.13,4182229
24-Apr-17,193.00,194.45,192.93,194.23,2709554
21-Apr-17,191.15,191.62,190.59,191.50,2584194
20-Apr-17,190.02,192.11,189.90,191.16,1748179
19-Apr-17,190.80,191.13,189.52,189.83,1340386
18-Apr-17,189.76,190.84,189.51,190.22,1176884
17-Apr-17,189.31,190.36,189.29,190.36,1543558
13-Apr-17,189.25,189.86,188.62,188.65,1274376
12-Apr-17,190.31,190.49,189.40,189.70,1416141
11-Apr-17,189.13,190.09,188.99,190.07,1459582
10-Apr-17,190.16,190.52,189.31,189.71,1682689
7-Apr-17,190.03,190.56,189.52,189.99,1025166
6-Apr-17,190.41,191.02,189.50,189.89,1627375
5-Apr-17,190.70,192.42,190.04,190.24,1448737
4-Apr-17,190.57,190.98,189.78,190.19,1349899
3-Apr-17,191.87,192.17,189.95,190.72,1546695
31-Mar-17,191.30,192.40,190.99,191.33,1730048
30-Mar-17,190.74,191.49,190.10,191.28,1835414
29-Mar-17,190.59,191.28,190.26,190.68,1692204
28-Mar-17,189.94,191.49,189.60,190.99,2330159
27-Mar-17,190.70,191.00,189.16,190.43,1984622
24-Mar-17,192.12,192.62,190.90,191.51,1435374
23-Mar-17,192.12,192.97,191.23,192.14,1481951
22-Mar-17,192.30,192.88,190.46,192.22,1627326
21-Mar-17,193.49,193.49,191.51,192.13,1895059
20-Mar-17,192.52,193.50,192.28,193.01,2085593
17-Mar-17,190.82,192.36,190.35,192.36,4228102
16-Mar-17,191.06,191.64,189.64,190.31,1937139
15-Mar-17,190.18,191.86,189.72,191.20,2046978
14-Mar-17,190.93,191.44,189.11,190.33,1893619
13-Mar-17,191.77,191.96,190.46,191.52,1972733
10-Mar-17,190.64,191.24,190.03,191.21,2514991
9-Mar-17,189.25,190.39,189.17,189.90,1556675
8-Mar-17,189.72,190.21,188.97,189.51,1565272
7-Mar-17,188.29,189.26,188.25,189.09,1662286
6-Mar-17,188.93,189.24,188.27,188.90,1668743
3-Mar-17,189.85,190.24,188.54,189.31,1627706
2-Mar-17,189.46,190.10,189.03,189.89,1763962
1-Mar-17,188.08,190.54,188.01,189.86,2226206
28-Feb-17,186.73,187.50,186.31,186.35,1932120
27-Feb-17,187.50,187.55,186.38,186.91,1393808
24-Feb-17,186.82,188.41,186.30,187.41,2126326
23-Feb-17,185.91,187.46,185.71,187.19,2401641
22-Feb-17,183.40,186.12,183.08,186.04,2850946
21-Feb-17,182.79,183.62,182.04,183.37,1736345
17-Feb-17,183.43,183.60,182.53,182.95,1961456
16-Feb-17,181.75,183.46,181.62,183.41,2164045
15-Feb-17,180.30,181.83,180.15,181.70,1762914
14-Feb-17,180.86,182.00,180.65,181.60,2036188
13-Feb-17,179.86,181.38,179.26,181.02,1929821
10-Feb-17,178.30,179.58,178.19,179.00,1392438
9-Feb-17,176.87,178.55,176.87,178.18,2009742
8-Feb-17,175.62,177.60,175.49,177.07,2145683
7-Feb-17,176.08,176.40,175.15,175.76,1247389
6-Feb-17,174.12,176.20,173.90,175.10,1622756
3-Feb-17,174.02,175.30,173.85,175.04,2820960
2-Feb-17,174.13,174.78,173.55,174.18,3106798
1-Feb-17,175.17,175.80,174.30,175.17,2272854
31-Jan-17,174.74,175.46,173.81,174.82,1845543
30-Jan-17,177.25,177.73,174.87,175.42,1823128
27-Jan-17,177.48,177.98,176.83,177.48,1623666
26-Jan-17,176.31,177.23,176.04,176.82,2235889
25-Jan-17,177.09,178.63,176.57,176.73,3462633
24-Jan-17,177.50,177.76,174.42,175.97,3473183
23-Jan-17,177.91,178.99,177.13,178.51,1986788
20-Jan-17,179.20,179.46,177.83,178.49,1761850
19-Jan-17,179.25,179.80,177.76,178.68,1464364
18-Jan-17,177.90,179.44,177.38,178.49,1804904
17-Jan-17,177.00,177.68,176.25,177.26,1557453
13-Jan-17,177.58,177.91,176.83,177.39,1265593
12-Jan-17,176.97,177.70,175.75,177.44,1321766
11-Jan-17,176.63,178.45,176.39,177.89,1579593
10-Jan-17,177.36,177.49,176.31,176.58,2030149
9-Jan-17,178.37,178.38,177.20,177.27,1622625
6-Jan-17,177.29,178.60,175.80,178.23,1625049
5-Jan-17,178.26,179.14,176.89,177.71,1447848
4-Jan-17,178.03,178.90,177.61,178.32,1541985
3-Jan-17,178.83,180.00,177.22,178.05,2510055
30-Dec-16,179.00,179.48,178.28,178.57,1594248
29-Dec-16,178.29,179.14,178.03,178.41,1101983
28-Dec-16,178.88,179.45,178.02,178.08,1287918
27-Dec-16,178.66,179.20,178.57,178.92,651007
23-Dec-16,179.09,179.29,178.53,178.75,731194
22-Dec-16,178.89,179.46,177.98,179.20,1225630
21-Dec-16,178.60,179.53,178.42,178.43,1556047
20-Dec-16,178.34,179.33,178.06,178.65,1378216
19-Dec-16,177.61,178.67,177.32,178.16,1381974
16-Dec-16,176.56,178.50,176.55,177.45,3889730
15-Dec-16,177.26,177.58,175.05,176.02,2055610
14-Dec-16,179.16,179.39,176.41,176.60,2234172
13-Dec-16,179.57,180.06,176.77,178.83,2708604
12-Dec-16,178.25,179.81,177.57,179.64,2296090
9-Dec-16,175.36,178.87,175.30,178.49,2650644
8-Dec-16,176.08,176.35,174.77,175.88,1790705
7-Dec-16,172.38,176.06,171.97,176.05,3164316
6-Dec-16,171.82,172.03,171.23,171.80,1467548
5-Dec-16,172.63,172.95,171.08,171.62,2181327
2-Dec-16,172.53,173.69,172.24,172.43,1871524
1-Dec-16,171.64,172.74,171.45,172.63,1756890
30-Nov-16,172.20,173.19,171.59,171.74,2595787
29-Nov-16,172.54,173.29,172.15,172.77,1483189
28-Nov-16,173.56,173.77,172.28,172.50,1677696
25-Nov-16,172.21,173.99,172.21,173.49,945845
23-Nov-16,172.08,172.75,171.76,172.25,1477958
22-Nov-16,171.67,172.08,171.28,171.91,1553303
21-Nov-16,171.42,171.98,170.72,171.52,1993936
18-Nov-16,172.51,173.28,172.29,172.96,1711068
17-Nov-16,172.01,173.25,172.01,172.77,1782191
16-Nov-16,173.13,173.23,171.57,172.01,2022623
15-Nov-16,173.16,174.25,171.91,174.24,2177504
14-Nov-16,175.23,175.51,171.90,172.91,2607032
11-Nov-16,174.05,175.13,173.73,175.08,1868162
10-Nov-16,170.16,174.67,169.79,174.28,3280034
9-Nov-16,165.84,171.00,165.84,170.39,3659314
8-Nov-16,169.90,172.05,169.78,171.03,1956187
7-Nov-16,168.15,169.89,167.98,169.74,1930929
4-Nov-16,167.21,167.85,166.42,166.48,1927527
3-Nov-16,166.14,167.64,165.26,166.83,2504984
2-Nov-16,164.70,166.37,163.91,165.73,2233414
1-Nov-16,165.40,165.81,163.85,164.25,2455784
31-Oct-16,166.46,166.54,165.18,165.30,2289132
28-Oct-16,166.55,167.18,165.14,165.77,1934281
27-Oct-16,166.87,166.95,165.28,165.76,1486376
26-Oct-16,165.69,167.79,165.41,166.51,2174852
25-Oct-16,169.47,169.89,165.11,166.23,3826166
24-Oct-16,172.65,173.44,170.90,171.27,2668523
21-Oct-16,168.11,169.56,167.72,169.50,2013555
20-Oct-16,169.57,170.34,168.99,169.86,1210539
