Date,Open,High,Low,Close,Volume
28-Apr-17,71.40,71.80,71.16,71.78,4089931
27-Apr-17,71.50,71.73,71.32,71.53,4857278
26-Apr-17,72.40,72.40,71.47,71.51,7477875
25-Apr-17,72.54,72.60,72.32,72.43,6748003
24-Apr-17,71.89,72.69,71.78,72.55,5590225
21-Apr-17,71.35,71.98,71.35,71.47,6814877
20-Apr-17,71.56,71.70,71.23,71.41,5736783
19-Apr-17,72.28,72.44,72.03,72.11,3374297
18-Apr-17,72.30,72.75,72.25,72.34,5010452
17-Apr-17,71.33,72.33,71.33,72.31,4781808
13-Apr-17,71.94,72.09,71.28,71.30,5120571
12-Apr-17,72.25,72.30,71.91,72.16,5131487
11-Apr-17,71.78,72.30,71.78,72.08,4472754
10-Apr-17,71.98,72.03,71.61,71.76,5576763
7-Apr-17,71.48,72.20,71.48,71.71,4331142
6-Apr-17,71.90,71.90,71.22,71.42,6398942
5-Apr-17,72.26,72.32,71.76,71.93,7092361
4-Apr-17,71.72,71.97,71.48,71.95,5218465
3-Apr-17,71.60,71.98,70.78,71.62,7508282
31-Mar-17,72.03,72.18,71.42,71.42,9145956
30-Mar-17,72.89,72.95,72.05,72.05,7907875
29-Mar-17,73.12,73.17,72.78,72.96,4211134
28-Mar-17,72.97,73.28,72.84,73.19,5587269
27-Mar-17,72.72,73.46,72.44,73.20,6421294
24-Mar-17,73.67,73.72,73.03,73.17,11785992
23-Mar-17,73.92,74.70,73.54,74.02,10714382
22-Mar-17,76.07,76.38,75.06,75.07,7679961
21-Mar-17,75.72,76.20,75.63,75.93,6487965
20-Mar-17,75.26,75.85,75.26,75.58,5793132
17-Mar-17,75.42,75.87,75.15,75.16,9946963
16-Mar-17,75.83,75.84,75.17,75.30,5706822
15-Mar-17,75.58,75.82,75.11,75.67,8470799
14-Mar-17,75.71,75.80,75.14,75.34,8255535
13-Mar-17,75.94,76.20,75.39,75.65,6836239
10-Mar-17,76.42,76.54,76.13,76.45,6877458
9-Mar-17,75.99,76.44,75.90,76.19,5344947
8-Mar-17,75.79,76.12,75.56,75.84,4863056
7-Mar-17,75.27,76.30,75.27,76.10,6108348
6-Mar-17,75.55,75.61,74.96,75.58,5762373
3-Mar-17,75.80,75.80,74.96,75.57,6044148
2-Mar-17,75.52,76.04,75.27,75.72,7491110
1-Mar-17,74.98,75.75,74.67,75.60,6044058
28-Feb-17,74.32,75.14,74.30,74.92,7160929
27-Feb-17,74.48,74.76,74.44,74.59,6319978
24-Feb-17,74.36,74.71,74.26,74.43,4959965
23-Feb-17,73.81,74.55,73.69,74.46,4116768
22-Feb-17,73.55,73.76,73.29,73.60,4401162
21-Feb-17,72.79,73.73,72.75,73.65,5329322
17-Feb-17,72.40,72.98,72.38,72.97,5568728
16-Feb-17,72.17,72.71,72.00,72.71,5593983
15-Feb-17,71.72,72.27,71.53,72.17,5222302
14-Feb-17,72.00,72.21,71.68,71.88,5120224
13-Feb-17,72.47,72.59,71.99,72.04,5175932
10-Feb-17,72.39,72.58,72.17,72.42,4154904
9-Feb-17,72.07,72.55,71.91,72.49,5183179
8-Feb-17,72.11,72.59,72.04,72.15,4848465
7-Feb-17,71.53,72.27,71.49,72.20,5239941
6-Feb-17,71.40,71.80,71.29,71.29,5192543
3-Feb-17,71.49,71.96,71.07,71.49,6817367
2-Feb-17,71.66,72.08,71.33,71.45,8108466
1-Feb-17,69.96,72.00,68.80,71.39,11416270
31-Jan-17,71.33,71.44,70.97,71.18,11463030
30-Jan-17,70.98,71.39,70.82,71.30,8574650
27-Jan-17,70.85,71.05,70.60,71.03,5915750
26-Jan-17,71.07,71.10,70.64,70.85,5969712
25-Jan-17,71.04,71.22,70.77,70.96,6112694
24-Jan-17,70.55,70.79,70.40,70.76,6510514
23-Jan-17,70.22,70.63,70.00,70.55,6508808
20-Jan-17,69.66,70.11,69.65,70.01,10188176
19-Jan-17,69.14,69.60,69.01,69.55,7853618
18-Jan-17,68.56,69.20,68.55,69.16,8063446
17-Jan-17,67.82,68.52,67.54,68.48,9012470
13-Jan-17,67.48,67.69,67.28,67.58,4073116
12-Jan-17,67.47,67.69,67.28,67.51,5006974
11-Jan-17,67.78,68.08,67.54,67.65,5618686
10-Jan-17,68.14,68.17,67.55,67.72,5226839
9-Jan-17,68.23,68.33,67.86,67.95,4815853
6-Jan-17,67.94,68.32,67.78,68.23,4925919
5-Jan-17,67.97,68.27,67.49,67.93,8173433
4-Jan-17,68.17,68.79,67.76,67.85,7552957
3-Jan-17,67.74,68.04,67.25,67.63,5799537
30-Dec-16,67.97,68.03,67.50,67.62,5369193
29-Dec-16,67.27,68.00,67.12,67.85,3662775
28-Dec-16,67.57,67.75,67.39,67.51,5333297
27-Dec-16,67.80,68.00,67.60,67.82,3346382
23-Dec-16,67.74,67.80,67.51,67.72,3226438
22-Dec-16,67.10,67.74,67.08,67.68,4858794
21-Dec-16,67.47,67.89,67.24,67.27,4643367
20-Dec-16,66.91,67.34,66.33,67.34,6976536
19-Dec-16,67.37,67.86,67.21,67.76,6987587
16-Dec-16,66.25,67.24,65.82,67.04,9694191
15-Dec-16,65.69,66.38,65.55,66.26,6465189
14-Dec-16,66.86,67.19,65.83,65.94,6359156
13-Dec-16,66.50,67.16,66.46,66.69,6968012
12-Dec-16,66.30,66.78,66.20,66.49,5590277
9-Dec-16,65.48,66.57,65.41,66.27,7464496
