Date,Open,High,Low,Close,Volume
28-Apr-17,116.50,116.78,116.43,116.61,1275002
27-Apr-17,116.63,116.84,116.47,116.50,2148265
26-Apr-17,116.50,117.33,116.37,116.74,2477950
25-Apr-17,115.98,117.15,115.71,116.94,2865720
24-Apr-17,116.00,116.19,115.86,116.02,1939748
21-Apr-17,115.57,115.89,115.40,115.50,2055280
20-Apr-17,115.80,116.09,115.70,115.72,1699903
19-Apr-17,115.95,116.11,115.71,115.76,1477977
18-Apr-17,116.00,116.13,115.82,115.94,1287367
17-Apr-17,115.86,116.29,115.75,116.19,1219102
13-Apr-17,116.20,116.60,115.77,115.77,1553137
12-Apr-17,116.45,116.59,116.10,116.27,1735792
11-Apr-17,115.91,116.21,115.86,116.00,1684001
10-Apr-17,116.38,116.50,115.91,115.93,1524228
7-Apr-17,115.87,116.27,115.81,116.16,2595349
6-Apr-17,115.59,116.56,115.47,116.00,3188345
5-Apr-17,116.05,116.37,115.13,115.31,5465078
4-Apr-17,113.89,114.75,113.75,114.75,2413964
3-Apr-17,113.30,113.97,113.27,113.93,4874172
31-Mar-17,113.20,113.79,113.15,113.20,2302114
30-Mar-17,113.70,114.17,113.24,113.35,1620943
29-Mar-17,114.00,114.18,113.77,113.90,2101351
28-Mar-17,113.92,114.45,113.79,114.16,1761712
27-Mar-17,113.21,114.52,113.20,114.09,2367071
24-Mar-17,113.09,113.80,113.09,113.67,1602881
23-Mar-17,113.43,113.78,112.75,113.16,1932876
22-Mar-17,112.78,113.45,112.41,113.37,1364307
21-Mar-17,113.29,114.30,112.49,112.80,2537118
20-Mar-17,112.94,114.07,112.56,113.81,2172164
17-Mar-17,112.75,113.06,111.92,112.76,4992756
16-Mar-17,113.32,113.74,112.38,112.51,3102275
15-Mar-17,113.80,113.90,113.18,113.37,3021063
14-Mar-17,113.90,114.20,113.51,113.97,1740176
13-Mar-17,114.12,114.45,113.85,114.14,1330470
10-Mar-17,114.08,114.63,113.80,114.06,1289113
9-Mar-17,114.18,114.97,113.51,113.79,2265543
8-Mar-17,115.02,115.07,114.09,114.17,1777012
7-Mar-17,114.53,115.35,114.49,115.06,1573185
6-Mar-17,114.85,115.29,114.51,114.65,1140162
3-Mar-17,115.00,115.50,114.93,114.97,1851084
2-Mar-17,115.20,115.50,114.70,114.87,1478834
1-Mar-17,114.24,116.04,114.01,115.51,3857124
28-Feb-17,113.49,113.96,113.22,113.83,1944222
27-Feb-17,113.00,113.66,112.73,113.59,1831949
24-Feb-17,112.22,113.06,111.83,112.96,1894157
23-Feb-17,112.00,113.11,111.80,112.33,2567857
22-Feb-17,111.03,112.45,110.81,111.38,2500280
21-Feb-17,109.61,111.99,109.61,110.57,3818263
17-Feb-17,108.76,109.13,108.51,109.00,2225280
16-Feb-17,109.33,109.35,108.38,108.49,2365350
15-Feb-17,108.88,109.47,108.65,108.80,1864962
14-Feb-17,107.50,107.86,107.44,107.63,1386373
13-Feb-17,107.69,107.85,107.27,107.67,1371856
10-Feb-17,107.50,107.94,106.97,107.57,911166
9-Feb-17,107.58,108.26,107.40,107.53,1184242
8-Feb-17,107.65,108.10,106.98,107.34,1494490
7-Feb-17,108.29,108.44,107.44,107.57,1263619
6-Feb-17,108.67,108.75,107.88,108.31,1199435
3-Feb-17,109.00,109.37,108.60,108.87,1045549
2-Feb-17,108.49,109.15,107.91,108.97,1728507
1-Feb-17,108.28,109.33,108.20,108.46,1190221
31-Jan-17,108.08,108.84,107.90,108.31,1415859
30-Jan-17,109.00,109.76,108.09,108.57,1522143
27-Jan-17,109.73,110.17,108.51,109.40,1747255
26-Jan-17,110.50,110.92,109.75,109.80,1475183
25-Jan-17,109.07,111.06,108.86,110.84,3119611
24-Jan-17,108.75,109.38,108.03,108.84,1596936
23-Jan-17,108.22,108.57,107.42,108.44,1841931
20-Jan-17,108.37,108.61,108.03,108.58,2291236
19-Jan-17,108.01,108.43,107.95,108.12,1022913
18-Jan-17,108.47,108.55,107.89,108.10,1218409
17-Jan-17,107.80,108.70,107.66,108.17,2836249
13-Jan-17,107.31,107.90,107.05,107.62,1819448
12-Jan-17,108.45,108.50,106.74,107.33,2594237
11-Jan-17,108.58,108.84,107.70,108.45,1618033
10-Jan-17,108.50,108.95,108.24,108.44,1626804
9-Jan-17,108.00,109.05,107.40,108.95,2720377
6-Jan-17,105.56,108.13,105.56,108.13,4047421
5-Jan-17,105.70,106.13,104.91,105.21,2142144
4-Jan-17,105.23,105.32,104.83,105.05,1254124
3-Jan-17,105.45,105.75,104.77,105.31,1487684
30-Dec-16,105.50,105.50,104.89,105.21,1302680
29-Dec-16,105.19,105.59,105.10,105.10,743547
28-Dec-16,105.75,105.80,104.98,105.20,1039358
27-Dec-16,105.05,105.79,105.04,105.69,1029769
23-Dec-16,105.06,105.35,104.80,105.26,622610
22-Dec-16,105.32,105.74,104.94,105.33,1191468
21-Dec-16,105.45,105.74,105.03,105.21,1289260
20-Dec-16,105.79,105.79,105.23,105.49,1009780
19-Dec-16,105.50,106.15,105.22,105.58,1358182
16-Dec-16,105.23,105.60,104.98,105.50,3237637
15-Dec-16,104.10,105.60,104.08,105.38,2486999
14-Dec-16,104.75,105.19,104.10,104.32,2346456
13-Dec-16,105.68,105.68,104.45,104.52,2476402
12-Dec-16,104.50,105.34,104.43,104.59,1955764
9-Dec-16,104.91,105.32,104.34,104.59,2423728
8-Dec-16,105.64,105.84,104.42,104.70,2221668
7-Dec-16,105.72,105.79,105.01,105.41,2921850
6-Dec-16,104.66,105.99,104.49,105.80,2900702
5-Dec-16,104.19,105.38,104.05,104.27,2549106
2-Dec-16,103.08,103.98,103.08,103.91,1929023
1-Dec-16,102.71,103.63,102.70,103.50,2348796
30-Nov-16,102.44,103.29,102.21,102.71,3730392
29-Nov-16,101.91,102.59,101.56,102.39,1261307
28-Nov-16,102.30,102.56,101.52,102.03,1630755
25-Nov-16,102.11,102.61,102.02,102.56,964523
23-Nov-16,101.37,102.44,100.87,102.42,1375158
22-Nov-16,101.88,102.14,101.39,101.75,1727782
21-Nov-16,101.00,101.50,100.90,101.32,1458273
18-Nov-16,100.60,101.27,100.29,101.21,1368350
17-Nov-16,100.68,101.16,100.25,100.66,1928710
16-Nov-16,99.46,101.99,99.38,100.73,3627931
15-Nov-16,97.87,99.71,97.65,99.09,3894156
14-Nov-16,97.68,98.53,97.44,98.09,1721536
11-Nov-16,97.62,98.20,97.35,97.90,3138504
10-Nov-16,99.21,99.40,97.75,97.93,3367798
9-Nov-16,98.25,99.57,98.10,98.94,3115929
8-Nov-16,99.32,99.71,98.61,99.44,1561848
7-Nov-16,99.05,99.49,98.56,99.19,1692944
4-Nov-16,98.81,99.40,98.36,98.52,1948389
3-Nov-16,99.74,99.78,98.60,98.81,3254091
2-Nov-16,100.55,100.85,99.68,99.78,2514790
1-Nov-16,100.63,101.00,100.24,100.69,1878706
31-Oct-16,100.93,101.53,100.50,100.77,1660683
28-Oct-16,101.15,101.58,100.51,100.98,1546366
27-Oct-16,101.52,101.60,100.88,101.02,1533766
26-Oct-16,101.26,101.74,100.99,101.33,1688596
25-Oct-16,102.00,102.00,101.14,101.40,2187509
24-Oct-16,101.63,102.61,101.40,102.00,3744383
21-Oct-16,102.34,102.46,101.62,102.07,2857501
20-Oct-16,102.09,102.96,101.72,102.86,1777270
19-Oct-16,103.00,103.20,102.32,102.49,1443959
18-Oct-16,102.89,103.00,102.10,102.67,2022257
17-Oct-16,102.02,102.38,101.62,102.17,1729583
14-Oct-16,102.68,102.80,101.64,102.11,3217128
13-Oct-16,101.80,102.80,101.54,102.54,2187386
12-Oct-16,103.36,103.40,102.31,102.32,1601222
11-Oct-16,102.70,103.49,102.27,103.33,1803877
10-Oct-16,103.77,103.89,102.90,102.97,989674
7-Oct-16,103.75,103.89,103.25,103.36,2391704
6-Oct-16,103.25,103.77,103.20,103.50,3371163
5-Oct-16,101.09,103.36,101.09,103.18,4512000
4-Oct-16,102.82,102.88,102.10,102.15,3305007
3-Oct-16,102.25,102.55,101.99,102.47,1945370
30-Sep-16,102.28,102.49,101.57,102.20,3664539
29-Sep-16,102.52,102.60,101.34,101.79,2670656
28-Sep-16,102.89,102.89,101.65,102.56,3103305
27-Sep-16,102.57,102.92,102.06,102.25,3109860
26-Sep-16,103.72,104.43,102.01,102.13,4070529
23-Sep-16,104.12,104.17,103.40,103.50,2083537
22-Sep-16,104.86,104.97,104.10,104.20,4251741
21-Sep-16,103.80,104.73,103.80,104.36,5719552
20-Sep-16,102.75,103.10,102.01,102.88,3568996
19-Sep-16,103.93,104.22,101.66,101.80,5620739
16-Sep-16,104.44,104.52,103.20,103.45,7717221
15-Sep-16,106.70,106.78,103.94,104.22,10629645
14-Sep-16,107.01,107.75,106.35,106.76,25716946
13-Sep-16,106.93,109.50,105.01,106.10,7589490
12-Sep-16,106.98,107.24,106.50,106.99,2714624
9-Sep-16,108.35,109.07,106.67,106.78,9126749
8-Sep-16,106.90,108.34,106.17,108.05,5174332
7-Sep-16,106.77,106.95,105.76,106.57,3063598
6-Sep-16,108.17,108.40,105.85,106.07,9005216
2-Sep-16,107.22,107.56,106.71,107.44,1361248
1-Sep-16,106.49,107.23,106.12,106.91,2376404
31-Aug-16,107.18,107.44,104.83,106.50,3713066
30-Aug-16,107.50,108.35,106.74,107.44,2503480
29-Aug-16,107.86,108.26,107.35,107.54,2426569
26-Aug-16,107.52,107.76,106.63,107.40,4005600
25-Aug-16,107.14,107.50,106.67,106.99,2074676
24-Aug-16,107.87,107.87,106.80,107.00,3593587
23-Aug-16,108.71,109.00,106.91,107.10,7480549
22-Aug-16,104.27,105.39,103.65,104.50,1937870
19-Aug-16,103.70,104.83,103.51,104.15,2119785
18-Aug-16,104.60,104.88,103.75,103.99,1695608
17-Aug-16,105.66,105.75,102.18,104.23,4461474
16-Aug-16,106.04,106.74,105.42,105.44,2623061
15-Aug-16,105.66,106.00,104.96,104.98,1141816
12-Aug-16,105.92,106.35,104.44,105.25,1249560
11-Aug-16,106.61,106.61,104.96,105.92,1731642
10-Aug-16,106.63,106.63,105.68,105.94,1204190
9-Aug-16,107.05,107.14,105.66,106.50,1628272
8-Aug-16,107.50,107.66,106.41,106.75,1366678
5-Aug-16,106.48,107.48,106.48,106.93,2195770
4-Aug-16,104.36,106.94,103.00,106.42,4951389
3-Aug-16,105.54,106.41,104.17,104.36,3607316
2-Aug-16,105.94,106.39,105.15,105.62,2347777
1-Aug-16,106.77,107.02,105.43,105.80,1391603
29-Jul-16,106.09,107.07,105.61,106.77,1961914
28-Jul-16,106.23,106.94,106.01,106.12,1374756
27-Jul-16,106.20,106.94,106.00,106.75,1778424
26-Jul-16,105.50,106.21,104.96,106.02,1933429
25-Jul-16,105.80,106.21,105.11,105.26,1449496
22-Jul-16,106.54,106.72,105.56,105.68,1823419
21-Jul-16,106.97,107.29,105.83,106.10,1254443
20-Jul-16,106.94,107.64,106.70,106.76,2711013
19-Jul-16,105.89,109.00,105.41,106.87,8683349
18-Jul-16,103.66,107.79,102.97,106.44,6940548
15-Jul-16,104.77,104.77,100.00,103.45,6719043
14-Jul-16,101.18,107.72,100.61,104.22,13555649
13-Jul-16,102.10,102.62,101.02,101.13,3291217
12-Jul-16,102.53,103.52,102.18,102.33,2047902
11-Jul-16,102.90,103.38,101.38,102.58,2278226
8-Jul-16,101.00,103.19,100.80,102.68,3424394
7-Jul-16,100.15,101.14,99.90,100.64,2377524
6-Jul-16,99.84,101.26,99.39,99.40,3463924
5-Jul-16,101.32,101.48,100.22,100.25,3084752
1-Jul-16,103.92,103.98,100.99,101.32,6025194
30-Jun-16,102.79,104.23,102.39,103.41,4247122
29-Jun-16,104.21,104.49,100.75,103.52,7390650
28-Jun-16,101.55,101.99,99.84,101.09,5132231
27-Jun-16,102.86,103.77,98.92,99.98,6433138
24-Jun-16,105.83,106.61,103.92,104.07,7471552
23-Jun-16,108.17,109.20,107.74,109.15,2623120
22-Jun-16,107.65,108.16,106.72,107.16,3038100
21-Jun-16,108.94,109.15,107.00,107.68,2616821
20-Jun-16,109.40,109.63,108.58,108.71,2225207
17-Jun-16,108.56,109.71,108.17,109.35,3497991
16-Jun-16,107.28,109.08,106.85,108.90,2094691
15-Jun-16,107.46,107.98,106.82,107.64,3970509
14-Jun-16,106.93,108.00,106.59,106.75,2494679
13-Jun-16,108.48,109.04,106.97,107.05,4687951
10-Jun-16,110.09,114.26,108.01,109.20,5203788
9-Jun-16,107.61,110.13,107.45,109.99,4456909
8-Jun-16,107.44,109.43,106.58,108.26,4287140
7-Jun-16,108.50,109.00,107.34,107.40,4004888
6-Jun-16,109.39,110.66,108.60,108.76,4557032
3-Jun-16,110.65,111.61,109.69,111.00,4982162
2-Jun-16,111.53,111.53,109.65,110.36,5844951
1-Jun-16,112.24,112.45,110.25,110.98,4463586
31-May-16,110.56,113.22,109.94,112.47,10817342
27-May-16,109.59,110.22,108.10,109.49,4806026
26-May-16,111.90,112.02,109.47,109.62,5008263
25-May-16,111.42,113.00,110.32,111.68,12851190
24-May-16,106.80,109.54,106.67,109.30,18047739
23-May-16,108.44,109.37,105.90,106.00,13534018
