Date,Open,High,Low,Close,Volume
28-Apr-17,27.55,27.61,26.88,26.93,5411670
27-Apr-17,27.56,27.89,27.38,27.45,4214651
26-Apr-17,27.37,27.52,26.85,27.42,5188884
25-Apr-17,27.39,27.71,27.29,27.54,4322643
24-Apr-17,27.06,27.25,26.93,27.09,4856226
21-Apr-17,27.04,27.13,26.67,26.67,3539715
20-Apr-17,26.97,27.26,26.89,27.10,3432959
19-Apr-17,27.11,27.21,26.72,26.83,3063908
18-Apr-17,27.16,27.18,26.82,27.04,3874602
17-Apr-17,27.48,27.56,27.20,27.36,4467607
13-Apr-17,28.08,28.16,27.42,27.46,4231723
12-Apr-17,28.56,28.66,28.11,28.15,3797424
11-Apr-17,28.93,29.05,28.27,28.69,3736005
10-Apr-17,28.95,29.13,28.67,28.94,2918885
7-Apr-17,29.05,29.13,28.81,28.85,2480339
6-Apr-17,29.00,29.33,28.86,29.19,3258014
5-Apr-17,29.36,29.51,28.97,29.00,5330429
4-Apr-17,28.89,29.17,28.58,29.16,4588679
3-Apr-17,29.25,29.43,28.41,28.91,3958722
31-Mar-17,29.24,29.48,28.93,29.18,4223356
30-Mar-17,29.37,29.56,29.02,29.35,2997284
29-Mar-17,29.18,29.80,29.04,29.48,2737884
28-Mar-17,28.65,29.37,28.65,29.17,2860631
27-Mar-17,28.46,28.90,28.38,28.64,3073120
24-Mar-17,28.98,29.08,28.58,28.75,2158625
23-Mar-17,28.79,29.18,28.66,29.00,1969071
22-Mar-17,28.64,28.88,28.34,28.75,2676034
21-Mar-17,29.25,29.59,28.62,28.64,3534592
20-Mar-17,29.22,29.57,29.00,29.25,3050754
17-Mar-17,29.08,29.29,28.93,29.17,4827977
16-Mar-17,29.32,29.40,28.94,28.99,2716627
15-Mar-17,28.78,29.26,28.55,29.14,3678045
14-Mar-17,28.83,28.95,28.46,28.60,3282632
13-Mar-17,29.30,29.44,28.98,29.12,2801137
10-Mar-17,29.03,29.43,28.85,29.19,5809645
9-Mar-17,29.21,30.49,28.78,29.00,11897009
8-Mar-17,29.25,29.44,28.64,28.67,8117124
7-Mar-17,29.67,29.71,28.96,29.18,9147370
6-Mar-17,30.01,30.14,29.63,29.65,4017083
3-Mar-17,30.30,30.38,29.93,30.22,6561116
2-Mar-17,31.09,31.17,30.41,30.42,5348703
1-Mar-17,31.60,31.90,30.94,31.03,6733194
28-Feb-17,31.24,31.86,31.08,31.19,8541961
27-Feb-17,31.38,31.65,31.20,31.54,4690039
24-Feb-17,31.47,31.56,31.04,31.42,4386010
23-Feb-17,33.31,33.31,31.47,31.83,6941133
22-Feb-17,33.37,33.59,33.09,33.13,2382093
21-Feb-17,33.90,33.90,33.45,33.64,3024563
17-Feb-17,33.14,33.60,32.76,33.59,2771476
16-Feb-17,33.68,33.80,32.93,33.15,3699384
15-Feb-17,34.01,34.04,33.36,33.78,4173485
14-Feb-17,33.65,34.04,33.41,34.02,3403208
13-Feb-17,33.13,34.36,33.10,33.75,5985625
10-Feb-17,32.08,33.04,32.08,32.86,4617034
9-Feb-17,32.39,32.57,31.59,31.83,5003591
8-Feb-17,32.23,32.59,31.60,32.21,4806074
7-Feb-17,31.10,33.02,30.66,32.23,7328088
6-Feb-17,31.77,32.14,31.60,32.03,5790505
3-Feb-17,31.53,31.95,31.51,31.85,4943349
2-Feb-17,31.59,31.68,30.76,31.45,2807858
1-Feb-17,31.38,31.96,31.06,31.68,3910936
31-Jan-17,31.04,31.39,30.71,31.37,5095303
30-Jan-17,31.15,31.15,30.70,30.97,3627098
27-Jan-17,31.82,31.99,31.12,31.42,4891632
26-Jan-17,32.01,32.34,31.42,31.84,8222283
25-Jan-17,33.50,33.93,32.93,33.26,7093257
24-Jan-17,31.89,33.99,31.89,33.45,9688176
23-Jan-17,31.33,31.63,31.05,31.55,3544878
