Date,Open,High,Low,Close,Volume
28-Apr-17,43.60,43.81,43.34,43.37,9049132
27-Apr-17,44.16,44.21,43.39,43.54,9041320
26-Apr-17,44.17,44.86,44.14,44.37,12938395
25-Apr-17,43.98,44.45,43.92,44.27,13857588
24-Apr-17,43.39,43.73,43.19,43.56,16188120
21-Apr-17,42.21,42.61,41.70,41.80,12951314
20-Apr-17,42.61,42.76,42.10,42.50,13816214
19-Apr-17,42.31,42.94,41.96,42.04,19850262
18-Apr-17,40.99,41.55,40.75,41.21,13872360
17-Apr-17,40.78,41.54,40.58,41.49,7959724
13-Apr-17,40.83,41.68,40.50,40.69,10516537
12-Apr-17,41.50,41.52,41.00,41.07,10440641
11-Apr-17,41.56,41.78,40.99,41.58,10318445
10-Apr-17,41.90,42.15,41.39,41.91,8677226
7-Apr-17,41.62,42.25,41.42,41.95,9319573
6-Apr-17,41.63,42.37,41.43,42.09,9520900
5-Apr-17,43.01,43.10,41.61,41.74,12455149
4-Apr-17,42.54,42.84,42.35,42.51,7837106
3-Apr-17,42.81,42.99,42.08,42.71,12531806
31-Mar-17,43.25,43.25,42.66,42.84,11203334
30-Mar-17,42.85,43.71,42.80,43.43,11264835
29-Mar-17,43.09,43.25,42.54,42.80,14543860
28-Mar-17,41.58,42.76,41.57,42.49,12944939
27-Mar-17,40.66,41.72,40.06,41.58,21631062
24-Mar-17,42.78,43.00,42.15,42.46,10815346
23-Mar-17,41.98,42.98,41.78,42.59,14888825
22-Mar-17,42.16,42.75,41.64,42.21,19046586
21-Mar-17,44.77,44.93,42.42,42.66,20018395
20-Mar-17,44.74,44.96,44.33,44.59,9734236
17-Mar-17,46.26,46.36,44.93,45.02,13474517
16-Mar-17,46.17,46.59,46.02,46.33,9284106
15-Mar-17,46.26,46.63,45.68,45.85,10796050
14-Mar-17,46.26,46.26,45.73,46.19,6916173
13-Mar-17,46.68,46.74,46.23,46.26,7160442
10-Mar-17,47.04,47.09,46.21,46.49,8579366
9-Mar-17,46.60,47.12,46.54,46.68,11135441
8-Mar-17,46.97,47.33,46.34,46.39,11464727
7-Mar-17,46.65,46.79,46.21,46.33,9411016
6-Mar-17,46.53,46.64,45.98,46.57,9332616
3-Mar-17,46.27,47.06,46.22,46.83,11405159
2-Mar-17,47.08,47.09,46.04,46.28,8477019
1-Mar-17,46.95,47.17,46.61,46.81,14373722
28-Feb-17,45.60,45.83,45.13,45.67,13789408
27-Feb-17,45.52,46.02,45.46,45.84,7887039
24-Feb-17,45.89,45.95,45.24,45.53,11837243
23-Feb-17,46.58,46.59,46.20,46.58,11877616
22-Feb-17,46.21,46.82,46.14,46.52,7612788
21-Feb-17,46.27,46.70,46.27,46.56,7628447
17-Feb-17,45.55,46.17,45.40,46.15,8310108
16-Feb-17,46.42,46.50,45.80,46.11,10752458
15-Feb-17,46.38,46.75,46.00,46.49,10115099
14-Feb-17,45.19,46.26,45.10,46.04,12958706
13-Feb-17,45.00,45.60,44.94,45.26,13256300
10-Feb-17,45.13,45.15,44.34,44.70,8909448
9-Feb-17,44.35,45.03,43.89,44.85,13166699
8-Feb-17,44.58,44.59,43.62,43.91,10586468
7-Feb-17,44.88,45.03,44.62,44.87,10055682
6-Feb-17,44.26,45.03,44.14,44.63,12577130
3-Feb-17,43.10,44.60,42.92,44.43,16692151
2-Feb-17,42.19,42.51,41.83,42.13,11480959
1-Feb-17,43.30,43.40,42.55,42.70,9731327
31-Jan-17,43.08,43.37,42.32,42.49,10811008
30-Jan-17,43.24,43.29,42.47,43.12,7216178
27-Jan-17,43.75,43.95,43.56,43.65,7635587
26-Jan-17,43.94,44.42,43.75,44.02,10628851
25-Jan-17,43.20,43.90,42.96,43.86,13961040
24-Jan-17,42.08,43.13,42.03,42.73,12164231
23-Jan-17,42.20,42.58,41.78,41.96,12344651
20-Jan-17,42.48,42.86,42.35,42.59,10779621
19-Jan-17,42.57,43.00,41.95,42.45,15040127
18-Jan-17,42.29,43.15,41.98,42.86,15906928
17-Jan-17,43.78,43.84,41.77,42.15,21840380
13-Jan-17,44.02,44.60,43.50,43.81,12904520
12-Jan-17,43.60,43.71,42.84,43.63,8595607
11-Jan-17,43.13,43.67,42.78,43.67,8777107
10-Jan-17,42.98,43.52,42.75,43.06,9074252
9-Jan-17,43.49,43.54,42.68,42.71,11104032
6-Jan-17,43.56,44.13,43.18,43.85,9152750
5-Jan-17,43.53,43.63,42.19,43.22,9883202
4-Jan-17,43.30,43.82,43.04,43.62,7747375
3-Jan-17,43.09,43.63,42.45,43.05,8316914
30-Dec-16,42.17,42.55,41.88,42.25,6943549
29-Dec-16,42.65,42.77,41.73,42.15,7180187
28-Dec-16,43.25,43.29,42.57,42.62,4854540
27-Dec-16,43.27,43.27,42.95,43.12,5926956
23-Dec-16,42.86,43.07,42.75,43.06,6732960
22-Dec-16,43.30,43.39,42.76,42.79,8200299
21-Dec-16,43.64,43.66,43.28,43.37,6859264
20-Dec-16,43.13,43.58,43.13,43.50,8647434
19-Dec-16,42.66,42.86,42.14,42.83,12663474
16-Dec-16,43.12,43.55,42.61,42.71,19076896
15-Dec-16,43.37,43.51,42.89,43.01,15725728
14-Dec-16,42.27,43.65,42.12,42.86,15136470
13-Dec-16,43.12,43.30,42.16,42.56,16674850
12-Dec-16,43.50,43.91,42.66,42.98,12052024
9-Dec-16,43.49,44.04,43.23,43.73,12115063
