Date,Open,High,Low,Close,Volume
28-Apr-17,86.11,86.17,85.31,85.97,1087120
27-Apr-17,85.47,86.21,85.41,86.07,524062
26-Apr-17,85.46,85.98,85.30,85.38,578657
25-Apr-17,84.77,85.64,84.77,85.39,754224
24-Apr-17,84.77,84.97,84.32,84.72,538436
21-Apr-17,84.02,84.08,83.59,83.72,762152
20-Apr-17,83.68,84.25,83.39,84.10,638253
19-Apr-17,82.73,83.48,82.73,83.37,712983
18-Apr-17,82.85,83.18,82.48,82.64,636386
17-Apr-17,82.53,83.14,82.46,83.08,596803
13-Apr-17,83.00,83.15,82.29,82.34,826955
12-Apr-17,83.40,83.47,82.49,82.84,753549
11-Apr-17,83.68,83.68,83.05,83.45,801770
10-Apr-17,84.32,84.38,83.67,83.71,555395
7-Apr-17,84.17,84.58,83.69,84.25,1059152
6-Apr-17,83.90,84.76,83.38,84.20,665638
5-Apr-17,84.78,85.19,83.68,83.83,1022312
4-Apr-17,84.38,85.10,84.25,84.52,1216829
3-Apr-17,86.22,86.39,84.52,84.83,1253920
31-Mar-17,84.60,86.51,84.39,86.22,2114064
30-Mar-17,84.13,84.93,84.10,84.87,1180198
29-Mar-17,84.00,84.37,83.90,84.13,994547
28-Mar-17,84.00,84.48,83.78,84.00,851187
27-Mar-17,83.15,84.20,82.75,84.00,846975
24-Mar-17,83.96,84.30,83.39,83.67,929706
23-Mar-17,83.53,84.24,83.41,83.74,1253133
22-Mar-17,84.13,84.89,83.29,83.59,1868701
21-Mar-17,86.75,87.00,83.56,83.76,2523356
20-Mar-17,84.53,84.77,83.65,84.30,1277471
17-Mar-17,85.30,85.75,84.67,84.72,1485104
16-Mar-17,85.34,86.23,84.80,85.15,1755847
15-Mar-17,83.46,85.43,83.45,85.24,1927922
14-Mar-17,81.40,83.86,81.20,83.36,2022766
13-Mar-17,81.41,82.12,81.12,81.65,1213540
10-Mar-17,81.28,82.45,81.28,82.10,1221380
9-Mar-17,80.13,81.39,80.02,81.37,1209969
8-Mar-17,79.76,80.51,79.64,80.20,1408592
7-Mar-17,79.65,80.17,78.75,79.66,1459936
6-Mar-17,79.97,80.30,79.69,79.97,1292748
3-Mar-17,80.02,80.72,79.57,80.55,1051352
2-Mar-17,79.73,80.10,79.07,80.02,903782
1-Mar-17,79.77,80.27,78.98,79.98,1157977
28-Feb-17,79.00,79.55,78.91,78.97,1427031
27-Feb-17,80.25,80.38,79.19,79.28,874406
24-Feb-17,78.97,80.33,78.42,80.27,1118880
23-Feb-17,80.01,80.36,78.77,79.36,1071312
22-Feb-17,80.07,80.79,79.61,79.65,994732
21-Feb-17,79.23,80.42,79.20,80.15,1073162
17-Feb-17,78.42,79.36,78.23,79.31,796273
16-Feb-17,79.47,79.60,78.44,78.66,1131037
15-Feb-17,78.61,79.59,78.37,79.40,1379371
14-Feb-17,78.27,78.70,77.92,78.68,1271173
13-Feb-17,78.79,79.39,78.42,78.48,1412554
10-Feb-17,77.90,78.52,77.23,78.37,1596090
9-Feb-17,78.50,78.78,77.75,77.81,1740391
8-Feb-17,77.82,79.45,77.82,78.25,2484900
7-Feb-17,81.72,81.98,76.92,77.34,11474969
6-Feb-17,81.37,82.31,80.20,81.73,3032567
3-Feb-17,82.92,83.75,78.95,81.60,3440225
2-Feb-17,79.86,81.06,79.63,81.00,1961604
1-Feb-17,81.16,81.78,79.75,80.03,1528793
31-Jan-17,81.35,81.70,79.90,80.71,1381219
30-Jan-17,82.39,83.07,81.18,81.70,1685585
27-Jan-17,83.38,83.38,81.68,82.98,1238580
26-Jan-17,85.11,85.29,83.35,83.36,1298859
25-Jan-17,84.69,85.44,84.49,85.29,994824
24-Jan-17,82.58,84.82,82.32,84.35,1126392
23-Jan-17,82.64,83.50,81.95,82.44,855697
20-Jan-17,82.07,82.51,81.83,82.36,616416
19-Jan-17,81.69,82.26,81.28,81.86,566706
18-Jan-17,80.97,81.68,80.55,81.65,709339
17-Jan-17,81.81,82.10,80.57,80.73,865736
13-Jan-17,82.39,83.09,82.07,82.27,542541
12-Jan-17,82.61,82.61,81.63,82.18,624444
11-Jan-17,82.30,82.91,82.30,82.88,522754
10-Jan-17,82.96,83.08,82.13,82.63,627094
9-Jan-17,82.89,83.11,82.58,83.02,853340
6-Jan-17,82.88,83.41,82.51,82.89,587858
5-Jan-17,83.24,83.63,82.00,82.64,735134
4-Jan-17,83.55,83.93,83.12,83.49,778225
3-Jan-17,83.39,83.92,83.02,83.60,1028958
30-Dec-16,83.17,83.34,82.56,82.89,500925
29-Dec-16,82.85,83.47,82.54,82.87,414522
28-Dec-16,83.60,83.73,82.74,82.86,329795
27-Dec-16,83.41,84.07,83.39,83.52,477038
23-Dec-16,83.62,83.80,83.21,83.41,399932
22-Dec-16,84.12,84.44,83.26,83.72,639389
21-Dec-16,83.86,87.55,83.71,84.00,2054412
20-Dec-16,84.10,84.41,83.60,83.76,533205
19-Dec-16,83.34,84.26,82.61,83.93,739436
16-Dec-16,83.68,83.86,82.99,83.40,1613158
15-Dec-16,82.90,83.95,82.56,83.46,714567
14-Dec-16,83.35,83.72,82.71,82.90,641443
13-Dec-16,82.24,83.90,82.09,83.24,642019
12-Dec-16,82.63,82.74,81.95,82.60,913574
9-Dec-16,83.31,83.43,82.64,82.79,686375
8-Dec-16,83.32,83.57,82.65,83.30,757530
7-Dec-16,82.34,83.28,82.05,83.27,1240997
6-Dec-16,81.19,82.27,80.79,82.22,1258541
5-Dec-16,79.85,80.92,79.32,80.92,1568626
2-Dec-16,79.16,79.68,78.70,79.50,949253
1-Dec-16,80.25,80.85,78.81,79.19,1158519
30-Nov-16,81.12,81.20,80.10,80.25,1589526
29-Nov-16,80.66,81.30,80.65,81.11,674079
28-Nov-16,80.82,81.07,80.55,80.86,768969
25-Nov-16,80.25,81.20,80.25,80.98,392779
23-Nov-16,80.36,81.01,80.00,80.26,1134359
22-Nov-16,80.04,80.64,79.59,80.31,1083719
21-Nov-16,80.21,80.40,79.06,79.83,1203033
18-Nov-16,80.60,80.60,79.88,79.98,724772
17-Nov-16,80.39,81.43,79.93,80.35,1262523
16-Nov-16,81.79,82.20,80.49,80.51,1395217
15-Nov-16,80.90,81.83,80.69,81.80,1390162
14-Nov-16,80.50,81.37,80.46,80.60,1141155
11-Nov-16,79.13,80.50,79.01,80.38,1340713
10-Nov-16,79.30,79.83,78.57,79.19,918924
9-Nov-16,77.46,79.44,77.09,78.96,1344992
8-Nov-16,77.83,79.08,77.52,78.56,1517229
7-Nov-16,76.78,77.74,76.64,77.71,1407454
4-Nov-16,72.56,76.02,72.54,75.90,2657164
3-Nov-16,71.71,72.30,71.24,71.29,1308751
2-Nov-16,72.29,72.75,71.51,71.57,1075943
1-Nov-16,72.90,72.98,71.82,72.32,648833
31-Oct-16,72.71,73.04,72.05,72.58,1020705
28-Oct-16,73.56,74.23,72.75,72.83,1036786
27-Oct-16,73.67,73.93,73.22,73.48,1016547
26-Oct-16,74.07,74.40,73.55,73.58,651711
25-Oct-16,74.35,74.53,73.74,74.16,946293
24-Oct-16,74.11,74.91,73.87,74.49,591640
21-Oct-16,73.11,73.69,72.98,73.62,586553
