Date,Open,High,Low,Close,Volume
28-Apr-17,156.76,157.63,155.35,155.41,432782
27-Apr-17,158.81,159.44,156.32,156.95,357200
26-Apr-17,157.30,159.57,157.30,158.69,726714
25-Apr-17,158.36,159.91,157.66,157.73,862584
24-Apr-17,157.57,158.87,156.70,156.97,693298
21-Apr-17,153.87,155.25,153.46,153.91,630569
20-Apr-17,152.87,154.83,152.17,154.28,613370
19-Apr-17,153.10,153.76,151.17,151.48,802204
18-Apr-17,153.18,154.49,150.63,151.85,1264928
17-Apr-17,149.51,153.86,149.12,153.71,1406042
13-Apr-17,149.20,150.36,147.55,147.93,1516497
12-Apr-17,150.64,151.55,148.84,149.82,1071228
11-Apr-17,150.77,151.48,149.66,151.48,616014
10-Apr-17,152.75,153.81,150.96,151.55,548176
7-Apr-17,152.38,153.90,151.72,153.02,589266
6-Apr-17,152.37,153.69,151.20,153.37,798075
5-Apr-17,155.68,156.26,152.10,152.38,575316
4-Apr-17,153.81,155.22,153.43,154.19,659930
3-Apr-17,155.27,155.88,152.49,154.49,820714
31-Mar-17,155.89,156.57,154.51,154.73,504668
30-Mar-17,154.13,157.37,154.13,156.64,756205
29-Mar-17,155.26,155.84,154.03,154.43,457089
28-Mar-17,154.30,156.72,153.74,156.06,877433
27-Mar-17,151.29,154.46,149.51,154.17,810952
24-Mar-17,155.93,156.86,153.57,154.97,875472
23-Mar-17,154.65,157.50,153.56,154.97,965669
22-Mar-17,154.28,156.15,151.68,154.76,1004284
21-Mar-17,161.96,162.29,154.80,155.05,1337197
20-Mar-17,161.67,162.98,160.66,160.94,875803
17-Mar-17,164.32,164.87,161.45,162.09,2603070
16-Mar-17,163.75,165.58,163.25,164.49,718157
15-Mar-17,166.53,166.73,163.57,163.75,789506
14-Mar-17,164.91,166.28,163.51,165.96,534467
13-Mar-17,166.09,166.53,165.08,165.48,988841
10-Mar-17,167.63,167.63,164.69,166.19,913456
9-Mar-17,167.29,167.77,165.94,166.53,608358
8-Mar-17,168.07,168.49,166.12,166.66,539344
7-Mar-17,166.79,167.98,165.63,166.73,614586
6-Mar-17,166.56,167.88,165.01,166.97,804980
3-Mar-17,167.26,168.35,167.09,168.01,621768
2-Mar-17,172.01,172.01,166.57,167.12,877890
1-Mar-17,169.64,173.72,169.45,172.21,1050100
28-Feb-17,167.19,168.08,166.10,166.97,1042172
27-Feb-17,168.74,169.16,167.85,167.95,991343
24-Feb-17,168.56,169.13,167.43,168.67,1257583
23-Feb-17,168.35,170.09,167.39,169.78,877627
22-Feb-17,166.88,168.61,166.69,168.03,929017
21-Feb-17,168.25,169.33,167.39,167.93,809448
17-Feb-17,166.48,168.02,166.25,167.91,731495
16-Feb-17,168.87,169.16,166.46,167.58,1182956
15-Feb-17,168.95,170.80,167.98,169.13,950654
14-Feb-17,166.98,169.08,166.47,168.22,1077614
13-Feb-17,166.10,168.29,165.93,166.80,959180
10-Feb-17,165.14,165.98,164.41,165.31,633956
9-Feb-17,162.94,165.17,162.05,164.48,788083
8-Feb-17,161.67,163.19,160.77,162.80,845739
7-Feb-17,164.25,164.25,162.33,162.50,847432
6-Feb-17,162.62,163.98,161.57,163.45,692978
3-Feb-17,163.89,164.47,162.72,163.89,1272589
2-Feb-17,161.41,162.95,160.52,162.11,820304
1-Feb-17,163.99,166.34,162.62,162.72,1136770
31-Jan-17,162.16,163.25,161.39,162.57,982271
30-Jan-17,163.94,163.94,161.39,163.25,708810
27-Jan-17,163.40,164.53,163.02,164.04,640053
26-Jan-17,162.38,163.97,161.89,163.63,894358
25-Jan-17,160.80,162.88,160.07,162.20,1065600
24-Jan-17,156.77,160.22,156.30,159.59,832019
23-Jan-17,155.91,157.14,155.32,155.94,1143752
20-Jan-17,155.74,157.71,155.49,157.03,632860
19-Jan-17,155.00,157.40,152.62,155.35,889980
18-Jan-17,153.54,154.86,152.20,154.64,1065832
17-Jan-17,154.02,154.29,152.46,152.68,1078377
13-Jan-17,156.28,158.75,155.48,156.07,934906
12-Jan-17,156.39,156.39,154.23,155.35,827861
