Date,Open,High,Low,Close,Volume
28-Apr-17,512.52,514.75,511.39,513.42,120002
27-Apr-17,514.96,518.32,512.98,513.30,106247
26-Apr-17,510.01,515.11,507.91,512.99,164931
25-Apr-17,502.58,511.52,499.91,509.44,191056
24-Apr-17,496.51,499.08,494.59,498.73,108457
21-Apr-17,489.91,493.84,487.71,490.47,156850
20-Apr-17,494.73,494.78,489.12,489.79,194315
19-Apr-17,480.69,494.10,478.31,492.87,282361
18-Apr-17,477.07,480.32,474.32,477.88,115170
17-Apr-17,475.01,481.76,473.55,481.18,97713
13-Apr-17,476.46,479.14,472.44,473.87,113613
12-Apr-17,481.69,481.69,475.92,477.02,181976
11-Apr-17,482.07,483.10,477.02,480.04,88906
10-Apr-17,485.69,488.46,480.80,481.14,194492
7-Apr-17,480.69,484.47,480.21,482.89,140519
6-Apr-17,477.40,481.92,476.44,480.54,107270
5-Apr-17,478.22,482.96,476.60,476.88,207274
4-Apr-17,477.90,480.65,475.52,476.57,117596
3-Apr-17,478.32,481.65,476.11,477.87,159469
31-Mar-17,477.51,481.44,477.51,478.91,156277
30-Mar-17,476.30,479.96,476.30,478.69,90534
29-Mar-17,477.48,481.15,476.90,478.14,119965
28-Mar-17,478.26,480.84,476.29,479.54,101465
27-Mar-17,476.83,479.90,474.30,478.94,110916
24-Mar-17,479.30,481.83,476.86,478.59,132483
23-Mar-17,477.10,480.63,475.21,478.27,176764
22-Mar-17,475.12,481.62,471.14,477.38,207606
21-Mar-17,483.25,485.89,472.40,473.36,248338
20-Mar-17,481.88,483.20,479.09,481.07,131961
17-Mar-17,480.79,483.11,478.08,481.83,219112
16-Mar-17,484.32,485.30,479.30,480.16,177622
15-Mar-17,482.18,487.61,481.74,485.50,200869
14-Mar-17,484.99,487.02,478.62,481.37,136462
13-Mar-17,488.04,488.85,483.80,485.45,145891
10-Mar-17,487.44,489.92,483.67,486.90,103612
9-Mar-17,481.44,486.48,481.01,484.04,95034
8-Mar-17,480.78,484.45,480.78,481.91,150908
7-Mar-17,478.97,485.03,475.96,481.30,197382
6-Mar-17,479.30,481.26,478.71,479.59,124728
3-Mar-17,481.13,482.63,478.65,481.71,122806
2-Mar-17,484.42,488.50,480.91,481.49,179000
1-Mar-17,480.00,485.09,477.82,483.65,196312
28-Feb-17,474.15,478.19,473.58,476.22,182431
27-Feb-17,475.90,477.44,474.88,475.35,109725
24-Feb-17,471.96,475.48,470.76,475.46,108126
23-Feb-17,475.98,475.98,470.01,472.62,111599
22-Feb-17,474.20,477.76,472.08,473.47,132994
