Date,Open,High,Low,Close,Volume
28-Apr-17,133.35,134.12,133.07,133.56,1663159
27-Apr-17,132.66,134.20,132.63,133.52,1406036
26-Apr-17,133.00,133.83,132.65,132.83,1491774
25-Apr-17,132.61,133.00,131.86,132.92,1291835
24-Apr-17,132.62,133.11,131.43,132.75,2436145
21-Apr-17,131.26,134.33,131.26,133.02,2620162
20-Apr-17,131.08,131.44,129.22,130.87,2013662
19-Apr-17,131.93,131.99,130.86,131.50,2080008
18-Apr-17,130.90,132.07,130.45,131.94,1955610
17-Apr-17,130.67,131.27,130.47,130.91,1127058
13-Apr-17,130.09,131.50,130.01,130.77,1936626
12-Apr-17,128.61,130.54,128.50,130.51,1468731
11-Apr-17,129.13,129.57,128.31,129.32,1053550
10-Apr-17,128.95,129.64,128.57,129.43,1051939
7-Apr-17,130.03,130.35,128.77,128.93,1766833
6-Apr-17,130.06,130.45,129.40,129.76,1529468
5-Apr-17,129.41,130.84,129.00,130.64,1786559
4-Apr-17,128.93,129.92,128.41,129.54,1359940
3-Apr-17,128.50,128.77,127.09,128.72,1742541
31-Mar-17,128.06,129.28,127.82,128.37,2336537
30-Mar-17,130.04,130.58,127.78,128.13,3398074
29-Mar-17,130.55,131.03,130.22,130.55,1106697
28-Mar-17,130.75,131.56,130.51,131.26,1377774
27-Mar-17,133.05,133.10,130.64,131.10,2040078
24-Mar-17,131.97,133.28,131.72,132.80,1431984
23-Mar-17,132.49,133.12,131.77,132.09,1550231
22-Mar-17,132.01,133.20,131.78,132.41,1383759
21-Mar-17,130.22,132.34,129.59,131.85,2384128
20-Mar-17,130.72,131.18,129.54,129.89,1891696
17-Mar-17,130.12,131.78,130.09,130.23,4662097
16-Mar-17,131.61,131.77,129.58,129.90,2610669
15-Mar-17,130.84,132.62,130.37,131.90,2030305
14-Mar-17,130.33,130.97,130.03,130.57,1342431
13-Mar-17,130.09,130.67,129.45,130.46,1459315
10-Mar-17,129.80,130.17,129.01,130.06,1481280
9-Mar-17,129.66,130.18,128.71,128.75,1261067
8-Mar-17,129.57,130.12,128.88,129.44,1582549
7-Mar-17,130.37,131.12,130.24,130.65,1991144
6-Mar-17,130.50,130.99,129.76,130.64,2052050
3-Mar-17,130.70,131.00,129.81,130.80,1322085
2-Mar-17,129.31,131.64,129.00,130.94,1530144
1-Mar-17,129.56,130.26,128.61,129.41,2268000
28-Feb-17,129.96,131.48,129.55,131.00,2248580
27-Feb-17,131.07,131.07,129.18,129.87,1833239
24-Feb-17,128.85,130.96,128.50,130.96,2567943
23-Feb-17,128.75,129.65,128.20,129.17,1901591
22-Feb-17,127.98,128.68,127.44,128.44,2136064
21-Feb-17,126.42,128.49,126.00,128.26,1576658
17-Feb-17,126.69,126.97,125.96,126.86,2338604
16-Feb-17,125.50,126.21,125.24,126.19,1247494
15-Feb-17,125.05,125.95,124.56,125.29,1765539
14-Feb-17,125.02,126.09,124.52,126.00,1612753
13-Feb-17,125.50,126.12,125.14,126.00,886113
10-Feb-17,124.50,125.55,124.25,125.47,1205957
9-Feb-17,125.70,126.16,124.18,124.65,1606450
8-Feb-17,124.24,126.42,124.24,126.30,2148605
7-Feb-17,124.07,124.64,123.74,124.33,1564723
6-Feb-17,124.40,124.82,123.53,123.86,1048152
3-Feb-17,123.90,124.88,123.55,124.21,2056808
2-Feb-17,122.96,123.52,122.12,123.46,1251242
1-Feb-17,122.72,123.63,122.09,122.62,2055215
31-Jan-17,122.44,124.31,122.16,123.72,2195310
30-Jan-17,121.67,123.62,121.54,122.45,2820032
27-Jan-17,119.96,121.84,119.32,121.37,3135102
26-Jan-17,118.70,119.29,117.91,118.75,1377399
25-Jan-17,118.24,119.09,118.11,119.02,1720120
24-Jan-17,118.74,119.26,118.37,118.81,1212635
23-Jan-17,119.53,119.92,118.66,118.78,2278678
20-Jan-17,119.48,119.63,118.35,119.26,1276496
19-Jan-17,119.37,120.24,118.85,119.28,1181426
18-Jan-17,120.22,120.97,119.84,120.03,1446591
17-Jan-17,119.40,120.29,119.18,120.22,1740471
13-Jan-17,119.30,119.42,117.88,119.05,1443785
12-Jan-17,119.59,119.93,118.86,119.50,1633481
11-Jan-17,118.24,119.61,118.24,119.41,1400045
10-Jan-17,118.13,118.71,117.33,118.58,1593244
9-Jan-17,119.12,119.51,118.10,118.35,1515828
6-Jan-17,118.41,119.13,118.01,118.65,2202542
5-Jan-17,119.78,119.78,117.75,119.00,1538818
4-Jan-17,119.23,119.81,118.58,119.07,2135449
3-Jan-17,119.54,119.65,117.80,118.72,1525797
