Date,Open,High,Low,Close,Volume
28-Apr-17,32.97,33.96,32.89,33.81,9441575
27-Apr-17,32.80,33.13,32.42,32.91,11899009
26-Apr-17,32.85,33.02,32.28,32.98,8771489
25-Apr-17,33.75,33.75,32.03,32.89,16650394
24-Apr-17,33.57,34.18,33.50,33.71,8432485
21-Apr-17,33.59,34.44,33.50,34.13,7208182
20-Apr-17,33.58,34.13,33.36,33.67,6496153
19-Apr-17,34.21,34.29,33.35,33.52,7183680
18-Apr-17,34.55,34.58,34.00,34.32,5122561
17-Apr-17,34.45,34.88,34.38,34.59,4234999
13-Apr-17,35.20,35.21,34.25,34.50,4889442
12-Apr-17,35.15,35.42,34.48,35.08,4701151
11-Apr-17,35.00,35.53,34.54,35.13,6272235
10-Apr-17,34.05,34.69,33.84,34.61,3640173
7-Apr-17,34.97,34.97,34.08,34.31,5300205
6-Apr-17,34.28,34.29,33.84,34.17,3456204
5-Apr-17,33.74,34.58,33.69,34.31,4764791
4-Apr-17,34.03,34.19,33.84,34.19,4432347
3-Apr-17,33.05,33.92,32.95,33.89,4680115
31-Mar-17,32.87,33.40,32.61,32.96,4907407
30-Mar-17,32.92,33.16,32.79,32.93,3199027
29-Mar-17,32.90,33.32,32.80,33.19,3646732
28-Mar-17,34.00,34.21,32.64,33.00,7314405
27-Mar-17,34.05,34.27,33.74,33.91,8041100
24-Mar-17,33.49,33.78,33.28,33.48,3729019
23-Mar-17,33.94,34.17,33.02,33.62,6515675
22-Mar-17,34.23,34.56,33.63,33.84,5400324
21-Mar-17,33.52,34.35,33.52,34.03,7806761
20-Mar-17,32.91,33.56,32.73,33.56,4462366
17-Mar-17,32.98,33.50,32.78,32.84,12153981
16-Mar-17,34.24,34.49,32.69,32.81,9823178
15-Mar-17,32.62,34.22,32.25,34.10,7677220
14-Mar-17,32.95,33.27,32.15,32.40,5640019
13-Mar-17,33.20,33.23,32.69,33.02,5140182
10-Mar-17,32.83,33.17,32.57,32.94,5165446
9-Mar-17,32.81,33.13,32.54,32.60,6002571
8-Mar-17,32.53,33.53,32.48,32.89,6441961
7-Mar-17,32.69,33.35,32.56,32.98,6985485
6-Mar-17,33.73,33.82,32.75,33.01,6954520
3-Mar-17,33.50,34.30,33.33,34.07,7793012
2-Mar-17,33.90,34.15,33.45,33.60,7459037
1-Mar-17,33.74,34.71,33.35,34.42,7990391
28-Feb-17,34.45,35.01,34.01,34.24,9201402
27-Feb-17,35.88,36.24,33.78,33.97,9436225
24-Feb-17,36.31,36.90,35.95,36.08,6940489
23-Feb-17,36.50,36.99,35.83,35.86,6375965
22-Feb-17,36.50,37.09,35.15,36.00,10081934
21-Feb-17,36.51,37.49,36.18,37.44,5838615
17-Feb-17,37.64,37.65,36.81,37.01,5687859
16-Feb-17,37.37,37.69,37.26,37.57,5791343
15-Feb-17,36.73,37.16,36.41,37.03,4339803
14-Feb-17,37.60,37.68,36.76,37.09,5607481
13-Feb-17,37.42,37.57,37.14,37.38,5312389
10-Feb-17,36.96,37.72,36.75,37.65,5166439
9-Feb-17,37.99,38.01,37.07,37.20,5051106
8-Feb-17,37.59,37.87,37.21,37.85,6187731
7-Feb-17,37.73,37.79,37.12,37.32,5430997
