Date,Open,High,Low,Close,Volume
28-Apr-17,24.32,24.33,24.16,24.25,2420869
27-Apr-17,24.10,24.44,24.10,24.36,3862935
26-Apr-17,24.22,24.32,24.05,24.09,2969039
25-Apr-17,24.18,24.44,24.16,24.43,2914967
24-Apr-17,24.00,24.34,23.94,24.26,4274549
21-Apr-17,24.12,24.29,24.11,24.19,5713570
20-Apr-17,24.15,24.16,24.01,24.12,2927820
19-Apr-17,24.20,24.28,24.08,24.23,4656060
18-Apr-17,24.02,24.25,23.95,24.21,3760935
17-Apr-17,23.83,24.03,23.77,24.02,1916024
13-Apr-17,23.93,23.93,23.57,23.78,2077778
12-Apr-17,23.85,23.97,23.70,23.94,1817646
11-Apr-17,23.71,23.89,23.54,23.85,2682704
10-Apr-17,23.73,23.80,23.59,23.74,2275496
7-Apr-17,23.89,23.95,23.67,23.68,5453086
6-Apr-17,23.77,23.94,23.64,23.84,2768984
5-Apr-17,23.65,23.81,23.57,23.78,2952283
4-Apr-17,23.66,23.79,23.57,23.66,2694518
3-Apr-17,23.74,23.77,23.53,23.68,2264312
31-Mar-17,23.58,23.88,23.58,23.79,2072368
30-Mar-17,23.58,23.65,23.48,23.59,2031652
29-Mar-17,23.70,23.73,23.52,23.71,1589020
28-Mar-17,23.80,23.80,23.56,23.71,1973364
27-Mar-17,24.01,24.04,23.65,23.81,2046024
24-Mar-17,23.79,23.94,23.69,23.87,2340129
23-Mar-17,23.77,24.07,23.68,23.75,2432568
22-Mar-17,23.66,23.87,23.66,23.81,3455325
21-Mar-17,23.29,23.69,23.19,23.57,4059287
20-Mar-17,23.45,23.57,23.18,23.22,2362548
17-Mar-17,23.44,23.61,23.37,23.50,3826198
16-Mar-17,23.62,23.62,23.31,23.37,2431462
15-Mar-17,23.47,24.25,23.32,23.71,3931790
14-Mar-17,23.47,23.52,23.32,23.36,2256655
13-Mar-17,23.31,23.52,23.27,23.50,3154568
10-Mar-17,23.16,23.35,23.10,23.33,2448009
9-Mar-17,23.07,23.23,22.96,22.99,3495942
8-Mar-17,23.31,23.35,23.02,23.02,2963367
7-Mar-17,23.59,23.65,23.46,23.50,3056784
6-Mar-17,23.71,23.77,23.53,23.58,3383279
3-Mar-17,24.11,24.11,23.55,23.72,4921918
2-Mar-17,23.81,24.28,23.77,24.09,2920328
1-Mar-17,23.58,24.00,23.56,23.90,6108919
28-Feb-17,23.74,24.03,23.71,23.91,3099322
27-Feb-17,23.98,23.98,23.77,23.80,2080303
24-Feb-17,23.77,24.04,23.76,24.01,3693833
23-Feb-17,23.30,23.82,23.30,23.77,4395805
22-Feb-17,23.04,23.18,22.73,23.17,3573006
21-Feb-17,22.65,23.04,22.53,22.99,4043866
17-Feb-17,22.71,22.73,22.50,22.70,11287198
16-Feb-17,22.25,22.67,22.16,22.67,3382368
