Date,Open,High,Low,Close,Volume
28-Apr-17,248.90,249.36,245.60,245.96,856368
27-Apr-17,248.96,249.82,247.41,248.40,1010655
26-Apr-17,249.80,250.00,243.05,248.06,1753513
25-Apr-17,248.13,249.62,247.38,248.13,1539074
24-Apr-17,248.98,249.75,247.58,249.14,1059949
21-Apr-17,245.12,247.43,244.88,246.33,802995
20-Apr-17,243.86,245.94,243.51,244.85,662703
19-Apr-17,243.55,244.43,242.56,243.74,694749
18-Apr-17,242.64,244.78,242.42,243.18,894274
17-Apr-17,240.32,243.28,240.26,243.10,750510
13-Apr-17,239.04,241.79,239.04,240.20,739076
12-Apr-17,240.95,240.95,239.04,239.36,560033
11-Apr-17,239.22,241.15,238.22,241.05,679367
10-Apr-17,238.64,240.45,237.99,239.34,712823
7-Apr-17,239.72,240.12,237.39,238.81,722673
6-Apr-17,235.99,237.52,235.16,236.67,703996
5-Apr-17,238.00,239.80,235.86,236.10,958157
4-Apr-17,236.99,238.07,236.43,237.64,701926
3-Apr-17,237.58,238.56,236.80,237.81,671460
31-Mar-17,238.72,238.93,237.69,237.84,964883
30-Mar-17,236.28,239.22,235.55,239.06,853133
29-Mar-17,236.66,236.92,235.07,236.52,613165
28-Mar-17,235.11,237.98,234.35,237.19,733014
27-Mar-17,235.78,236.37,233.20,235.83,969058
24-Mar-17,239.25,239.83,236.59,236.88,753172
23-Mar-17,241.00,241.38,239.13,239.50,597170
22-Mar-17,239.73,242.00,239.10,241.14,677464
21-Mar-17,243.70,243.70,239.35,239.72,805683
20-Mar-17,244.77,245.46,242.69,242.99,526970
17-Mar-17,241.12,244.70,240.69,244.25,1224952
16-Mar-17,244.00,244.13,239.72,240.28,1081721
15-Mar-17,243.80,244.45,243.13,243.84,756235
14-Mar-17,243.52,244.37,242.75,243.77,460710
13-Mar-17,243.54,244.73,242.76,244.42,750572
10-Mar-17,244.56,244.83,242.45,243.59,688604
9-Mar-17,244.08,244.74,243.52,244.12,611349
8-Mar-17,244.00,245.08,243.06,243.57,675597
7-Mar-17,242.51,243.92,242.07,243.78,917195
6-Mar-17,242.43,243.66,241.97,242.92,933243
3-Mar-17,243.00,243.76,242.10,242.93,866092
2-Mar-17,245.00,245.39,242.59,243.07,1172492
1-Mar-17,247.87,248.88,245.88,245.93,1899081
28-Feb-17,247.50,248.30,245.52,247.09,1565170
27-Feb-17,245.59,249.43,245.11,248.60,1042146
24-Feb-17,243.59,245.29,242.54,245.05,815095
23-Feb-17,242.32,243.99,241.60,243.86,724945
22-Feb-17,243.35,243.53,242.01,242.98,950109
21-Feb-17,242.27,244.83,241.70,244.12,828898
17-Feb-17,243.39,243.99,241.89,243.58,778205
16-Feb-17,241.60,243.68,240.81,243.53,951062
15-Feb-17,239.14,241.99,238.95,241.59,739729
14-Feb-17,239.01,240.33,238.43,239.62,791000
13-Feb-17,237.05,239.85,236.52,239.08,1029479
10-Feb-17,234.58,236.56,234.07,236.25,949688
9-Feb-17,232.58,235.38,231.98,234.84,1094412
8-Feb-17,232.91,233.41,232.26,232.42,972280
7-Feb-17,232.33,233.87,232.10,232.98,816964
6-Feb-17,231.56,233.43,231.41,232.82,1097647
3-Feb-17,230.06,232.93,229.51,231.36,1298120
2-Feb-17,228.40,230.14,227.92,229.85,916253
1-Feb-17,228.72,230.15,227.73,228.82,1148788
31-Jan-17,227.89,229.72,226.00,229.08,1495815
30-Jan-17,230.10,231.84,227.84,229.48,1270663
27-Jan-17,227.03,234.58,227.03,229.83,1948512
26-Jan-17,229.21,230.84,223.88,226.96,2499191
25-Jan-17,233.19,233.24,230.01,230.84,1073020
24-Jan-17,229.40,232.95,227.49,232.59,1034258
23-Jan-17,233.00,233.34,230.13,231.69,779221
20-Jan-17,233.11,233.16,230.76,232.11,864523
19-Jan-17,231.26,233.79,230.10,232.39,967281
18-Jan-17,228.46,231.08,228.00,230.24,863578
17-Jan-17,230.78,230.78,227.43,228.48,979429
13-Jan-17,229.00,230.99,228.50,230.17,1008072
12-Jan-17,231.38,231.79,227.87,229.15,1159110
11-Jan-17,233.80,234.84,230.14,231.55,1142322
10-Jan-17,235.46,235.79,232.70,233.11,1361203
9-Jan-17,236.84,237.92,235.68,235.81,703655
6-Jan-17,235.90,237.50,235.77,236.73,619169
5-Jan-17,235.21,237.42,234.35,235.99,891188
4-Jan-17,235.24,236.99,234.83,235.25,664108
3-Jan-17,234.10,235.24,233.14,234.89,1179032
30-Dec-16,232.88,233.34,231.71,232.58,741112
29-Dec-16,232.23,233.82,232.10,232.63,538546
28-Dec-16,233.24,233.68,231.56,231.95,500083
27-Dec-16,233.97,234.35,232.33,233.24,479436
23-Dec-16,231.47,234.37,231.24,232.99,852059
22-Dec-16,233.61,234.48,232.51,233.72,891775
21-Dec-16,235.55,235.68,233.09,233.15,919189
20-Dec-16,233.97,235.34,233.55,235.14,850915
19-Dec-16,232.71,234.08,230.64,233.54,1110229
16-Dec-16,232.07,234.07,231.03,231.70,1602985
15-Dec-16,233.02,234.80,231.84,231.99,1043370
14-Dec-16,232.01,235.83,231.63,232.10,1379765
13-Dec-16,232.00,234.24,230.47,231.56,1483090
12-Dec-16,233.64,233.64,220.72,232.07,2922020
9-Dec-16,237.12,239.95,236.77,238.43,1680928
8-Dec-16,247.14,247.24,236.75,237.72,2847835
7-Dec-16,247.38,247.79,245.54,247.14,1349063
6-Dec-16,246.74,248.13,245.14,247.84,1322138
5-Dec-16,251.88,252.02,247.12,247.49,1220956
2-Dec-16,249.62,250.90,248.50,250.87,603882
1-Dec-16,248.85,250.22,247.82,249.07,848347
30-Nov-16,252.17,252.66,249.65,249.65,1277198
29-Nov-16,248.79,253.80,248.56,251.80,1039722
28-Nov-16,246.87,250.85,245.38,248.96,893944
25-Nov-16,247.84,249.08,247.54,248.58,524219
23-Nov-16,248.78,249.10,246.31,247.59,885708
22-Nov-16,247.37,248.57,247.13,248.07,1021717
