Date,Open,High,Low,Close,Volume
28-Apr-17,35.25,35.25,34.70,34.97,2803638
27-Apr-17,35.50,35.76,34.13,34.98,5851040
26-Apr-17,35.57,36.58,35.57,36.15,3963806
25-Apr-17,35.57,35.92,35.30,35.82,4044924
24-Apr-17,35.05,35.60,34.93,35.43,3948249
21-Apr-17,35.13,35.24,34.51,34.65,6336709
20-Apr-17,36.06,36.18,35.54,35.63,3208029
19-Apr-17,37.08,37.16,35.74,35.83,4500365
18-Apr-17,37.22,37.56,36.79,36.90,3092218
17-Apr-17,37.71,37.79,37.28,37.56,2193788
13-Apr-17,37.66,37.90,37.46,37.71,4767929
12-Apr-17,38.84,38.97,37.63,37.78,6093296
11-Apr-17,39.09,39.17,38.36,38.73,3796185
10-Apr-17,39.17,39.36,38.97,39.16,2316956
7-Apr-17,39.40,39.44,38.87,38.89,1925090
6-Apr-17,39.43,39.57,39.09,39.40,2174519
5-Apr-17,39.89,40.25,38.96,39.07,3250424
4-Apr-17,39.65,39.65,39.00,39.51,4135867
3-Apr-17,40.18,40.33,39.53,39.68,3095775
31-Mar-17,40.00,40.49,39.83,40.09,3201928
30-Mar-17,40.53,40.90,40.03,40.07,4451405
29-Mar-17,39.20,40.37,38.96,40.34,2693119
28-Mar-17,38.62,39.48,38.14,39.30,2577720
27-Mar-17,37.84,38.55,37.62,38.42,2854806
24-Mar-17,38.54,38.88,38.29,38.46,2057381
23-Mar-17,38.48,38.84,38.26,38.41,2544472
22-Mar-17,38.72,39.13,38.44,38.71,3335730
21-Mar-17,39.30,39.56,38.32,38.92,3338683
20-Mar-17,38.91,39.35,38.40,39.21,2009005
17-Mar-17,39.26,40.29,39.23,39.31,5460444
16-Mar-17,39.29,39.76,38.63,39.15,3059778
15-Mar-17,38.20,39.23,37.73,39.13,4157484
14-Mar-17,37.39,37.94,36.44,37.76,5227956
13-Mar-17,37.92,38.12,37.63,38.10,3037317
10-Mar-17,37.83,38.01,37.32,37.84,2275096
9-Mar-17,37.54,38.18,36.81,37.69,6054988
8-Mar-17,39.20,39.62,37.76,37.94,7104713
7-Mar-17,39.91,40.07,39.14,39.30,3104623
6-Mar-17,40.11,40.22,39.50,39.87,2768258
3-Mar-17,40.83,41.00,40.14,40.38,2689161
2-Mar-17,41.30,41.90,40.25,40.29,4117448
1-Mar-17,40.89,41.88,40.73,41.74,3273287
28-Feb-17,40.63,41.05,40.28,40.42,3554614
27-Feb-17,39.91,41.54,39.84,41.10,4477690
24-Feb-17,39.22,39.96,39.06,39.79,3146631
23-Feb-17,40.39,40.60,39.38,39.71,4138181
22-Feb-17,39.06,39.41,38.77,38.86,3023949
21-Feb-17,39.84,40.30,39.53,39.56,2407491
17-Feb-17,40.03,40.18,38.93,39.31,3115540
16-Feb-17,40.56,40.80,40.06,40.24,2651375
15-Feb-17,40.19,40.63,40.00,40.42,3163523
14-Feb-17,39.75,40.75,39.51,40.66,3057478
13-Feb-17,39.40,39.90,39.32,39.60,1726784
10-Feb-17,39.49,39.95,39.22,39.42,3120540
9-Feb-17,39.65,39.84,38.94,38.99,3877680
8-Feb-17,39.59,39.59,38.10,39.21,5106861
7-Feb-17,38.02,40.75,37.26,39.29,12138626
6-Feb-17,38.58,38.72,37.40,37.46,4376004
3-Feb-17,37.83,38.71,37.74,38.57,2631716
2-Feb-17,38.45,38.70,37.54,37.80,3455952
1-Feb-17,38.19,39.68,37.70,38.55,14113242
31-Jan-17,37.60,37.89,37.05,37.81,3068650
30-Jan-17,38.51,38.62,37.20,37.55,3175634
27-Jan-17,39.15,39.53,38.69,38.87,1608918
26-Jan-17,39.79,39.94,39.16,39.25,2442943
25-Jan-17,39.07,39.79,39.07,39.72,2418770
24-Jan-17,38.74,39.25,38.35,39.04,1944033
23-Jan-17,38.65,38.73,37.87,38.43,4367511
20-Jan-17,38.33,39.25,38.29,39.08,3677928
19-Jan-17,37.75,38.39,37.71,37.90,3708402
18-Jan-17,37.29,37.51,36.82,37.42,3467047
17-Jan-17,37.66,37.82,37.31,37.67,2917742
13-Jan-17,37.73,38.24,37.36,37.40,2444606
12-Jan-17,38.67,38.72,37.64,38.16,3266472
11-Jan-17,37.84,38.91,37.81,38.53,2484313
10-Jan-17,38.15,38.17,37.62,37.76,2112551
9-Jan-17,38.57,39.14,37.95,38.07,3266864
6-Jan-17,38.67,39.20,38.12,38.99,2916247
5-Jan-17,38.66,38.98,38.32,38.67,2946145
4-Jan-17,37.77,38.80,37.68,38.53,3242043
3-Jan-17,38.12,38.73,37.19,37.81,4086276
30-Dec-16,37.92,38.33,37.32,37.44,2550860
29-Dec-16,37.92,38.17,37.56,37.83,1710058
28-Dec-16,38.59,38.93,37.93,37.96,2218328
27-Dec-16,38.57,39.12,38.40,38.92,1576395
23-Dec-16,38.87,39.21,38.08,38.38,1773814
22-Dec-16,38.80,39.39,38.54,38.90,2993475
21-Dec-16,39.02,39.32,38.62,38.85,2184996
20-Dec-16,38.82,39.15,38.70,38.80,2180499
19-Dec-16,38.79,39.04,38.28,38.49,2762036
16-Dec-16,39.86,40.03,38.00,38.72,9699236
15-Dec-16,39.03,40.36,38.89,39.70,3398143
14-Dec-16,39.83,40.61,39.31,39.48,3773654
13-Dec-16,40.53,40.60,39.90,40.32,3307630
12-Dec-16,41.72,43.63,39.70,40.02,7674810
9-Dec-16,40.00,40.47,39.34,39.78,4135152
8-Dec-16,39.51,39.96,39.25,39.88,2738193
7-Dec-16,39.17,39.87,38.90,39.38,3452095
6-Dec-16,37.84,39.45,37.55,39.37,3745333
5-Dec-16,38.25,39.53,38.02,38.80,4367931
2-Dec-16,37.49,38.05,37.32,37.89,2744612
1-Dec-16,37.98,38.92,37.42,37.59,5071789
30-Nov-16,36.14,37.91,35.85,37.36,8296303
29-Nov-16,34.62,34.84,34.11,34.60,3382826
28-Nov-16,36.04,36.07,35.34,35.53,2583023
25-Nov-16,36.07,36.16,35.52,35.94,1356692
23-Nov-16,36.00,36.53,35.85,36.35,1959822
22-Nov-16,36.60,36.69,36.16,36.35,2697320
21-Nov-16,35.94,36.62,35.93,36.44,3551518
18-Nov-16,35.23,35.52,34.84,35.21,2454466
17-Nov-16,35.55,36.19,35.05,35.31,3299104
16-Nov-16,35.64,35.90,35.04,35.25,2549427
15-Nov-16,35.15,36.21,35.10,36.04,4115580
14-Nov-16,33.23,34.98,33.12,34.90,4545776
11-Nov-16,33.29,33.69,32.82,33.34,3062901
10-Nov-16,32.96,33.94,32.91,33.59,4235461
9-Nov-16,31.96,33.42,31.87,32.95,4583992
8-Nov-16,32.06,32.14,31.41,31.91,3774457
7-Nov-16,32.48,32.54,31.98,32.24,3000965
4-Nov-16,32.22,32.28,31.26,31.88,3144718
3-Nov-16,31.39,32.55,31.39,32.37,5348530
2-Nov-16,31.50,31.86,31.02,31.43,5838659
1-Nov-16,32.43,32.54,31.50,31.93,4377404
31-Oct-16,32.78,32.90,31.96,32.10,5826342
28-Oct-16,33.72,33.89,32.57,32.93,6655163
27-Oct-16,35.88,36.01,33.59,33.70,12731538
26-Oct-16,35.76,36.71,35.56,36.56,5668818
25-Oct-16,36.66,37.26,36.07,36.16,3158473
24-Oct-16,37.00,37.05,36.28,36.76,2268012
21-Oct-16,36.85,37.06,36.50,36.97,2426387
20-Oct-16,36.66,37.68,36.46,37.19,3285836
19-Oct-16,37.07,37.38,36.66,36.98,4557888
18-Oct-16,36.62,36.95,36.26,36.66,2391464
17-Oct-16,36.24,36.52,35.64,36.11,1980868
14-Oct-16,36.60,36.75,35.96,36.14,2009626
13-Oct-16,35.74,36.46,35.53,36.29,3201789
12-Oct-16,36.75,36.85,36.02,36.08,3405592
11-Oct-16,37.40,37.74,36.49,36.96,4468222
10-Oct-16,37.40,37.80,37.18,37.60,4422635
7-Oct-16,37.08,37.34,36.47,36.84,3121546
6-Oct-16,37.03,37.53,36.46,37.01,4345682
5-Oct-16,36.42,37.36,36.13,36.87,4724174
4-Oct-16,36.14,36.49,35.27,35.68,4127515
3-Oct-16,36.01,36.40,35.76,36.16,5464055
30-Sep-16,37.22,37.37,36.70,36.74,5321942
29-Sep-16,36.24,38.55,36.24,36.86,10862267
28-Sep-16,33.56,36.32,33.45,36.27,7441149
27-Sep-16,33.44,33.66,33.04,33.44,4151990
26-Sep-16,34.17,34.31,33.73,33.89,4427241
23-Sep-16,34.05,35.00,33.88,33.89,5053509
22-Sep-16,34.27,34.60,34.03,34.38,3373042
21-Sep-16,32.30,33.70,32.15,33.69,4257669
20-Sep-16,32.35,32.46,31.89,31.91,3336419
19-Sep-16,33.20,33.40,32.35,32.36,2071932
16-Sep-16,32.36,32.90,32.13,32.86,3080964
15-Sep-16,32.54,33.03,32.32,32.89,2316422
14-Sep-16,32.95,33.31,32.08,32.31,4422466
13-Sep-16,33.39,33.66,32.78,33.09,4077278
12-Sep-16,32.66,34.22,32.50,34.07,3721007
9-Sep-16,34.71,34.98,33.15,33.15,4633340
8-Sep-16,34.28,35.49,34.04,35.14,4064809
7-Sep-16,34.31,34.73,33.90,34.03,3868043
6-Sep-16,33.58,34.42,33.58,34.28,3074448
2-Sep-16,33.41,33.85,33.30,33.49,2407708
1-Sep-16,33.40,33.49,32.70,33.04,2928137
31-Aug-16,33.65,33.98,33.33,33.54,2765298
30-Aug-16,34.58,34.67,33.77,33.86,2818431
29-Aug-16,34.44,34.68,34.37,34.45,1795453
26-Aug-16,35.31,35.69,34.24,34.54,2924856
25-Aug-16,35.07,35.33,34.82,35.20,2553405
24-Aug-16,35.15,35.62,34.84,35.05,3083998
23-Aug-16,35.30,35.73,35.18,35.39,2029105
22-Aug-16,35.27,35.41,34.75,35.18,2894643
19-Aug-16,35.59,35.88,35.42,35.74,2817650
18-Aug-16,35.31,36.21,35.28,36.09,4004093
17-Aug-16,35.22,35.49,34.95,35.09,3337766
16-Aug-16,35.01,35.44,34.79,34.97,4158399
15-Aug-16,33.91,35.26,33.91,34.85,3531036
12-Aug-16,33.84,34.19,33.69,33.81,3826494
11-Aug-16,33.41,33.98,33.10,33.67,4010451
10-Aug-16,34.32,34.60,33.29,33.32,4329273
9-Aug-16,34.47,34.76,33.75,34.18,3753371
8-Aug-16,33.69,34.56,33.62,34.40,4060987
5-Aug-16,32.62,33.51,32.46,33.35,4565909
4-Aug-16,32.51,32.92,32.34,32.56,2122434
3-Aug-16,31.93,32.87,31.82,32.66,3979100
2-Aug-16,32.01,32.43,31.00,31.91,5119141
1-Aug-16,32.00,32.10,31.27,31.44,5951783
