Date,Open,High,Low,Close,Volume
28-Apr-17,118.76,119.61,117.28,117.49,1710729
27-Apr-17,118.57,120.74,118.51,118.80,2274073
26-Apr-17,116.13,119.11,115.49,117.82,4000203
25-Apr-17,117.26,117.66,116.59,116.78,1967225
24-Apr-17,118.00,118.18,116.84,117.05,1613891
21-Apr-17,115.85,116.66,115.15,116.37,2081261
20-Apr-17,114.77,117.00,114.77,115.81,2444627
19-Apr-17,113.61,114.10,112.40,112.54,1274956
18-Apr-17,112.26,113.81,111.84,112.85,1899999
17-Apr-17,111.89,113.19,111.38,113.19,1092818
13-Apr-17,111.64,112.81,111.07,111.58,1340634
12-Apr-17,115.45,115.45,111.54,111.79,1774344
11-Apr-17,115.25,115.36,112.86,115.22,1823350
10-Apr-17,115.99,117.00,115.02,115.49,2187310
7-Apr-17,115.97,116.94,115.32,115.90,2126447
6-Apr-17,114.66,116.18,114.66,115.88,1526428
5-Apr-17,115.59,117.63,114.45,114.73,1726477
4-Apr-17,113.73,115.25,113.26,115.19,2089460
3-Apr-17,112.23,113.93,111.90,113.50,2288010
31-Mar-17,113.56,113.73,111.94,111.97,2209564
30-Mar-17,113.40,115.39,113.40,114.25,1283761
29-Mar-17,112.86,113.72,112.52,113.21,1148890
28-Mar-17,111.00,114.38,110.78,113.32,2243779
27-Mar-17,109.51,111.70,109.27,111.13,1776961
24-Mar-17,110.80,111.51,110.14,110.66,1276656
23-Mar-17,110.64,111.94,110.31,110.55,2412645
22-Mar-17,111.74,112.65,111.10,111.77,2378243
21-Mar-17,115.11,115.63,110.69,111.50,3362567
20-Mar-17,114.89,115.52,114.24,114.84,2530167
17-Mar-17,115.42,115.74,114.21,114.71,4796585
16-Mar-17,117.40,117.67,115.13,115.35,3952754
15-Mar-17,116.96,117.92,115.92,117.51,3160283
14-Mar-17,119.58,119.58,117.79,118.35,1665149
13-Mar-17,119.74,120.26,118.92,119.53,1536236
10-Mar-17,119.86,120.79,118.97,119.66,1362916
9-Mar-17,119.88,120.61,118.89,119.40,1658728
8-Mar-17,122.00,122.14,119.64,119.87,1816992
7-Mar-17,122.94,123.17,121.63,122.00,1961203
6-Mar-17,121.34,123.11,121.22,122.93,1542800
3-Mar-17,121.93,122.51,120.83,122.40,1792825
2-Mar-17,123.23,123.28,121.70,121.77,1108061
1-Mar-17,122.20,124.50,121.81,123.35,1582193
28-Feb-17,121.26,122.18,120.58,121.03,1305577
27-Feb-17,120.20,121.22,118.93,121.12,1872125
24-Feb-17,119.00,120.10,118.65,120.08,2370620
23-Feb-17,122.99,123.05,119.16,120.03,2379006
22-Feb-17,122.86,123.09,121.90,122.32,1734849
21-Feb-17,123.09,125.00,122.81,123.53,1485959
17-Feb-17,122.64,123.18,121.77,122.78,1266960
16-Feb-17,122.63,123.32,121.72,122.93,1482536
15-Feb-17,122.44,123.42,121.16,122.71,2285818
14-Feb-17,121.83,123.00,121.62,122.49,1326279
13-Feb-17,121.33,123.30,121.17,122.21,1565002
10-Feb-17,121.00,121.75,119.95,121.12,1930539
9-Feb-17,121.46,121.99,120.51,120.65,1817437
8-Feb-17,120.46,121.10,119.09,120.94,1440814
7-Feb-17,120.16,122.50,120.00,120.88,2004271
6-Feb-17,120.13,120.74,118.60,119.87,2205772
3-Feb-17,119.69,121.22,118.94,120.46,1683921
2-Feb-17,119.12,120.00,117.61,119.47,2305295
1-Feb-17,117.37,120.00,117.25,119.93,2913818
31-Jan-17,119.44,119.75,117.11,117.46,3474908
30-Jan-17,119.27,120.10,117.56,119.63,2510277
27-Jan-17,120.18,120.62,118.95,120.35,2190038
26-Jan-17,118.79,122.17,118.32,119.51,2586717
25-Jan-17,117.41,121.30,116.80,120.53,3833711
24-Jan-17,114.00,117.09,113.30,116.62,3460726
23-Jan-17,113.70,113.91,112.38,113.55,1951223
20-Jan-17,113.68,113.80,111.75,113.59,2656391
19-Jan-17,115.57,116.00,112.56,114.42,5853193
18-Jan-17,106.96,110.04,105.89,109.97,2589626
17-Jan-17,111.18,111.45,108.47,108.90,1876295
13-Jan-17,111.01,111.85,110.55,111.59,1702774
12-Jan-17,110.61,111.44,109.36,111.01,1239557
11-Jan-17,109.35,110.65,108.77,110.55,1180155
10-Jan-17,109.23,110.05,108.33,109.26,1814466
9-Jan-17,110.89,110.89,108.28,109.18,2081833
6-Jan-17,110.18,112.99,109.92,111.66,2009206
5-Jan-17,110.18,111.65,110.16,110.29,3135306
4-Jan-17,107.57,110.98,107.15,110.64,2705481
3-Jan-17,108.91,109.52,106.15,106.99,1770074
30-Dec-16,108.85,108.99,107.50,108.07,1487575
29-Dec-16,108.86,109.32,107.77,108.82,926851
28-Dec-16,109.41,110.26,108.62,108.72,1034319
27-Dec-16,109.34,109.87,109.32,109.45,856003
23-Dec-16,108.66,109.79,108.19,109.28,2118471
22-Dec-16,107.65,108.79,107.46,108.78,1645427
21-Dec-16,108.33,108.98,107.57,108.05,1292154
20-Dec-16,107.25,108.35,107.05,108.17,1197366
19-Dec-16,106.56,107.17,106.17,106.93,1302343
16-Dec-16,108.09,108.18,106.11,106.67,2613969
15-Dec-16,107.23,109.24,106.79,108.11,1374933
14-Dec-16,109.54,110.24,107.46,107.58,1867108
13-Dec-16,110.83,111.39,108.45,109.83,1793171
12-Dec-16,110.78,111.43,109.40,110.69,1854522
9-Dec-16,109.89,110.72,109.13,110.60,1457012
8-Dec-16,109.88,110.38,109.00,110.02,1360617
7-Dec-16,106.64,109.86,106.05,109.75,1920623
6-Dec-16,105.96,106.25,105.16,106.21,1356608
5-Dec-16,106.20,106.92,105.62,105.96,1745376
2-Dec-16,106.65,107.10,105.09,105.60,1782230
1-Dec-16,106.87,107.89,106.58,106.83,2059523
30-Nov-16,105.00,107.32,104.75,106.46,3335070
29-Nov-16,103.82,104.86,103.23,104.37,2261762
28-Nov-16,103.72,104.24,102.77,103.99,1627147
25-Nov-16,104.24,104.56,103.91,104.34,919934
23-Nov-16,103.75,104.77,103.75,104.04,1505306
22-Nov-16,104.93,105.50,103.75,103.92,1827954
21-Nov-16,103.76,105.30,103.62,104.60,1717744
18-Nov-16,102.93,103.98,102.76,103.45,1870167
17-Nov-16,103.00,103.44,102.59,103.14,2566836
16-Nov-16,104.07,104.38,102.70,103.00,2213563
15-Nov-16,103.99,104.78,102.79,104.58,1974232
14-Nov-16,101.00,104.87,100.91,103.99,3119940
11-Nov-16,99.91,100.93,98.92,100.91,2738095
10-Nov-16,99.79,101.19,99.07,100.50,4422260
9-Nov-16,95.71,100.73,95.10,98.80,5764386
8-Nov-16,94.55,96.34,94.09,96.00,1554025
7-Nov-16,92.49,94.99,92.49,94.95,1490151
4-Nov-16,91.79,92.39,91.28,91.62,766855
3-Nov-16,92.21,92.53,91.55,91.76,1295786
