Date,Open,High,Low,Close,Volume
28-Apr-17,39.82,39.94,39.43,39.85,2176694
27-Apr-17,39.73,39.86,39.33,39.76,2315045
26-Apr-17,39.78,39.90,39.42,39.63,2257505
25-Apr-17,40.18,40.19,39.94,39.97,1842838
24-Apr-17,40.09,40.30,39.92,39.94,2286797
21-Apr-17,40.33,40.35,39.48,39.49,1859418
20-Apr-17,39.93,40.40,39.80,40.31,2488670
19-Apr-17,39.85,40.31,39.66,39.75,2283619
18-Apr-17,39.62,39.88,39.41,39.73,1512981
17-Apr-17,39.63,39.85,39.43,39.79,2157886
13-Apr-17,39.65,40.08,39.47,39.49,2768794
12-Apr-17,40.69,40.72,39.61,39.65,3138332
11-Apr-17,40.41,40.66,40.07,40.54,3109563
10-Apr-17,40.89,41.00,40.36,40.41,2287319
7-Apr-17,40.97,41.08,40.74,40.80,3102779
6-Apr-17,41.14,41.27,40.69,41.05,4348062
5-Apr-17,41.33,42.34,40.83,40.90,5029762
4-Apr-17,41.42,41.71,41.06,41.19,3234269
3-Apr-17,41.87,42.07,41.08,41.65,3464912
31-Mar-17,41.85,42.05,41.44,41.85,4608207
30-Mar-17,41.53,42.03,41.40,41.90,3119600
29-Mar-17,40.90,41.60,40.82,41.59,3069244
28-Mar-17,40.80,41.36,40.72,41.15,2309053
27-Mar-17,40.52,41.11,40.30,40.90,2538881
24-Mar-17,41.25,41.60,40.70,40.88,2686549
23-Mar-17,40.96,41.29,40.79,40.90,3417342
22-Mar-17,40.97,41.07,40.63,40.98,2597882
21-Mar-17,42.01,42.09,40.84,40.91,2917869
20-Mar-17,42.20,42.31,41.93,41.95,2330226
17-Mar-17,42.25,42.43,42.06,42.06,4226872
16-Mar-17,42.23,42.44,42.02,42.20,3181239
15-Mar-17,42.31,42.44,41.89,42.22,2210410
14-Mar-17,41.99,42.16,41.74,42.03,2593749
13-Mar-17,42.27,42.39,41.93,41.99,3139779
10-Mar-17,42.03,42.40,41.89,42.15,2301324
9-Mar-17,41.96,42.24,41.75,41.98,2007440
8-Mar-17,42.65,42.83,42.12,42.15,3888550
7-Mar-17,42.43,43.08,42.35,42.66,3476786
6-Mar-17,42.58,42.70,42.25,42.57,2283175
3-Mar-17,42.33,42.83,42.24,42.80,2572248
2-Mar-17,43.13,43.14,42.24,42.26,4063158
1-Mar-17,42.02,43.14,41.83,43.01,4715125
28-Feb-17,41.37,41.96,41.29,41.83,4647802
27-Feb-17,40.87,41.38,40.77,41.27,3203180
24-Feb-17,40.66,41.05,40.47,40.95,3146068
23-Feb-17,40.80,41.11,40.45,40.94,3177104
22-Feb-17,40.40,40.77,40.32,40.70,2839641
21-Feb-17,40.16,40.68,40.11,40.52,3000602
17-Feb-17,40.30,40.98,40.01,40.17,3930630
16-Feb-17,40.80,42.18,40.36,40.56,8173090
15-Feb-17,39.36,39.50,38.85,38.93,4894368
