Date,Open,High,Low,Close,Volume
28-Apr-17,91.52,91.73,89.96,90.00,1216000
27-Apr-17,91.60,92.29,91.07,91.52,1154989
26-Apr-17,90.28,92.18,90.28,91.68,1324721
25-Apr-17,89.91,91.78,88.94,90.58,2062476
24-Apr-17,89.57,89.90,87.74,89.38,1225591
21-Apr-17,87.19,87.79,86.62,87.36,1053733
20-Apr-17,86.31,87.62,85.85,87.45,1133139
19-Apr-17,86.32,86.62,85.76,86.01,579555
18-Apr-17,85.72,86.38,85.22,85.76,762372
17-Apr-17,85.15,86.57,84.93,86.42,752276
13-Apr-17,85.33,86.60,85.00,85.03,703604
12-Apr-17,86.67,86.67,85.14,85.77,849827
11-Apr-17,86.12,86.67,85.02,86.64,1441652
10-Apr-17,85.93,86.63,85.32,85.52,761532
7-Apr-17,85.83,86.77,85.41,86.09,717421
6-Apr-17,85.91,86.44,84.96,86.40,927965
5-Apr-17,87.01,87.74,85.68,85.75,1388007
4-Apr-17,86.03,86.61,85.64,86.28,697394
3-Apr-17,86.47,87.41,84.97,86.22,952250
31-Mar-17,87.01,87.19,86.36,86.58,854365
30-Mar-17,86.00,87.46,85.87,87.19,975617
29-Mar-17,85.82,86.46,85.70,86.12,750228
28-Mar-17,84.92,86.48,84.41,86.19,1411314
27-Mar-17,84.44,85.39,83.17,85.07,1255638
24-Mar-17,86.76,87.61,85.09,85.75,1297073
23-Mar-17,86.74,87.77,86.02,86.74,1008456
22-Mar-17,85.93,86.84,84.93,86.57,1599315
21-Mar-17,88.42,88.75,86.19,86.33,2777170
20-Mar-17,88.52,88.87,87.79,88.02,1217241
17-Mar-17,90.11,90.27,88.58,88.68,1956196
16-Mar-17,89.94,90.67,89.58,89.99,876709
15-Mar-17,90.15,90.16,89.40,89.53,1220943
14-Mar-17,89.54,89.98,88.75,89.72,804055
13-Mar-17,89.23,90.02,88.55,89.81,1048329
10-Mar-17,90.00,90.15,88.78,89.30,831638
9-Mar-17,89.44,89.99,89.08,89.40,1223464
8-Mar-17,89.30,90.20,88.71,88.92,1432852
7-Mar-17,87.81,88.76,87.40,88.39,973544
6-Mar-17,88.06,88.30,87.44,87.71,1033887
3-Mar-17,88.41,89.01,87.89,88.71,934310
2-Mar-17,89.44,89.44,88.27,88.34,880001
1-Mar-17,88.77,90.22,88.76,89.41,1299698
28-Feb-17,87.08,87.54,86.69,87.35,1011640
27-Feb-17,87.18,87.59,86.94,87.53,528445
24-Feb-17,86.85,87.19,85.44,87.05,768113
23-Feb-17,87.90,87.93,86.98,87.69,591206
22-Feb-17,87.42,87.95,87.05,87.50,605277
21-Feb-17,87.62,88.36,87.32,88.06,723093
17-Feb-17,86.60,87.59,85.94,87.20,913571
16-Feb-17,88.60,88.99,87.08,87.34,1132779
15-Feb-17,87.83,88.84,86.55,88.66,952623
14-Feb-17,86.38,87.87,86.14,87.58,1256259
13-Feb-17,85.74,86.87,85.74,86.28,721453
10-Feb-17,85.81,86.04,85.27,85.37,1135396
9-Feb-17,84.25,85.58,83.70,85.51,1283405
8-Feb-17,83.71,84.16,83.21,84.00,1069894
7-Feb-17,84.74,84.78,84.05,84.36,1138272
6-Feb-17,84.10,84.78,83.99,84.55,1304832
3-Feb-17,83.87,84.59,83.60,84.40,1108928
2-Feb-17,82.61,83.26,81.96,82.82,793449
1-Feb-17,83.76,84.43,83.04,83.31,1258853
31-Jan-17,82.83,83.87,82.57,82.96,1335027
30-Jan-17,83.32,83.59,81.92,83.15,898322
27-Jan-17,84.00,84.01,83.10,83.68,845562
26-Jan-17,84.21,84.41,83.12,83.95,1228439
25-Jan-17,84.16,84.53,82.87,84.07,1543994
24-Jan-17,83.02,83.97,82.33,83.49,1247104
23-Jan-17,83.06,83.91,82.46,82.67,1215981
20-Jan-17,83.80,84.34,82.76,83.36,1757109
19-Jan-17,84.10,84.45,83.37,83.52,1872632
18-Jan-17,83.54,84.90,82.48,83.99,3433872
17-Jan-17,89.66,89.82,88.03,88.15,1550678
13-Jan-17,90.15,91.14,89.91,90.19,862573
12-Jan-17,89.64,89.88,88.45,89.79,689584
11-Jan-17,89.22,90.04,88.86,90.02,960344
10-Jan-17,89.24,90.38,88.56,89.27,1053245
9-Jan-17,89.47,90.21,88.74,89.03,830238
6-Jan-17,90.44,90.93,89.59,89.84,1203174
5-Jan-17,90.38,90.85,89.00,90.10,1261490
4-Jan-17,89.99,90.68,88.89,90.49,1338314
3-Jan-17,90.34,90.50,88.95,89.64,1445315
30-Dec-16,89.07,89.25,88.39,89.05,770417
29-Dec-16,89.21,89.60,87.86,88.63,773390
28-Dec-16,90.34,90.49,89.05,89.21,661368
27-Dec-16,89.52,89.98,88.44,89.84,393092
23-Dec-16,89.66,89.66,88.81,89.53,434113
22-Dec-16,90.28,90.42,89.27,89.70,866291
21-Dec-16,89.66,90.27,89.00,90.08,877424
20-Dec-16,89.33,90.69,88.90,90.15,1203916
19-Dec-16,88.54,88.97,87.47,88.67,874055
16-Dec-16,90.30,90.50,88.34,88.46,2301875
15-Dec-16,88.90,90.96,88.40,90.06,1801495
14-Dec-16,88.35,90.40,87.51,88.50,2419245
13-Dec-16,88.78,89.57,88.04,89.00,2055758
12-Dec-16,89.42,89.96,88.09,88.81,1441346
9-Dec-16,89.37,89.50,88.71,89.37,1834004
8-Dec-16,88.81,90.53,88.39,89.77,1841878
7-Dec-16,86.33,89.38,86.33,89.31,3020414
6-Dec-16,85.59,86.40,85.00,86.38,991334
5-Dec-16,85.05,86.19,84.95,85.40,1575966
2-Dec-16,84.96,85.54,83.77,84.51,1718997
1-Dec-16,82.56,85.97,81.62,85.42,2831535
30-Nov-16,81.75,82.90,81.32,82.15,1475814
29-Nov-16,80.86,81.68,80.86,81.14,1181194
28-Nov-16,81.54,82.12,80.49,80.59,1326914
25-Nov-16,82.25,82.50,81.77,82.15,471621
23-Nov-16,82.23,82.59,81.00,82.02,1191514
22-Nov-16,82.13,82.13,81.20,81.91,1033209
21-Nov-16,81.71,82.28,81.01,81.89,1150098
18-Nov-16,81.64,82.15,81.33,81.50,1300105
17-Nov-16,81.10,81.97,80.93,81.50,1469239
16-Nov-16,81.98,82.34,80.55,81.04,1595281
15-Nov-16,82.24,83.09,80.67,82.97,2310439
14-Nov-16,80.62,82.91,80.21,82.82,3620448
11-Nov-16,78.12,80.01,78.06,79.88,2266039
10-Nov-16,77.49,79.78,76.87,78.52,3109624
9-Nov-16,74.97,77.28,74.32,77.15,2389844
8-Nov-16,73.87,74.45,73.16,73.98,1155531
7-Nov-16,73.56,74.00,72.91,74.00,1538548
4-Nov-16,72.58,72.88,71.94,72.08,953478
3-Nov-16,72.35,73.16,72.11,72.38,1060336
2-Nov-16,72.44,72.50,71.62,72.02,1060597
1-Nov-16,72.88,72.92,72.11,72.72,1513195
31-Oct-16,72.72,72.91,72.37,72.42,1170923
28-Oct-16,72.71,72.79,71.77,72.40,1394543
27-Oct-16,71.95,72.77,71.32,72.40,1915766
26-Oct-16,70.12,71.59,69.92,71.46,927640
25-Oct-16,70.97,71.28,70.27,70.32,1124593
24-Oct-16,71.46,71.65,70.94,70.98,885565
21-Oct-16,70.27,71.02,70.00,70.98,1652285
20-Oct-16,71.14,71.98,70.89,70.98,1044637
19-Oct-16,69.93,71.59,69.46,71.13,1696983
18-Oct-16,71.20,71.36,70.84,70.95,814680
17-Oct-16,70.80,71.63,70.01,70.27,935952
14-Oct-16,70.57,71.30,70.31,70.59,951755
13-Oct-16,70.35,70.35,68.78,69.81,994343
12-Oct-16,71.16,71.70,70.78,71.11,639495
11-Oct-16,71.88,72.04,70.60,71.07,887655
10-Oct-16,72.35,72.74,72.00,72.07,643869
7-Oct-16,72.04,72.08,71.31,71.95,1168574
6-Oct-16,71.79,72.08,71.31,72.04,1188152
5-Oct-16,70.25,72.09,70.05,71.90,1686515
4-Oct-16,67.71,69.99,67.58,69.83,1985651
3-Oct-16,67.73,68.45,67.64,68.15,940557
30-Sep-16,67.16,68.28,66.83,67.99,1631282
29-Sep-16,67.80,68.27,66.40,66.70,1036281
28-Sep-16,67.89,67.89,67.05,67.59,1170878
27-Sep-16,67.20,67.68,66.60,67.55,1004126
26-Sep-16,68.73,68.73,67.44,67.46,1077078
23-Sep-16,69.39,69.54,68.95,69.31,993635
22-Sep-16,69.76,69.82,68.98,69.40,795594
21-Sep-16,68.85,69.40,68.62,69.16,677038
20-Sep-16,68.92,69.35,68.56,68.63,527657
19-Sep-16,68.66,69.46,68.27,68.51,871930
16-Sep-16,68.71,68.78,68.11,68.36,1272967
15-Sep-16,68.49,69.51,68.30,69.38,641833
14-Sep-16,68.59,68.90,68.06,68.46,1157863
13-Sep-16,68.91,69.59,68.25,68.78,835685
12-Sep-16,68.86,69.94,68.33,69.72,1211556
9-Sep-16,69.79,70.23,68.95,68.95,1149165
8-Sep-16,69.81,70.11,69.51,69.83,1028634
7-Sep-16,69.61,70.20,69.43,69.69,729314
6-Sep-16,70.78,70.79,69.54,69.86,866760
2-Sep-16,70.54,71.04,70.27,70.65,779677
1-Sep-16,70.97,71.66,69.79,70.41,1294680
31-Aug-16,70.40,71.15,69.96,70.59,1833000
30-Aug-16,69.80,70.82,69.79,70.82,861858
29-Aug-16,69.41,70.15,69.41,69.89,830115
26-Aug-16,68.89,69.58,68.78,69.35,888765
25-Aug-16,68.40,68.84,67.51,68.83,626603
24-Aug-16,68.71,69.03,68.19,68.38,576666
23-Aug-16,68.99,69.24,68.56,68.67,619968
22-Aug-16,68.22,68.72,68.09,68.63,724488
19-Aug-16,68.36,68.82,68.03,68.57,839532
18-Aug-16,68.38,68.55,68.07,68.28,661251
17-Aug-16,68.00,68.48,67.99,68.32,958097
16-Aug-16,67.90,68.61,67.78,68.18,892001
15-Aug-16,68.04,68.50,68.00,68.34,899673
12-Aug-16,67.92,67.97,67.51,67.83,941733
11-Aug-16,68.44,68.82,68.15,68.63,515244
10-Aug-16,69.01,69.48,68.23,68.36,618645
9-Aug-16,69.10,69.82,69.07,69.19,645421
8-Aug-16,69.30,69.72,68.97,69.20,544734
5-Aug-16,67.52,69.16,67.16,69.14,838291
4-Aug-16,66.86,67.17,66.60,66.78,839873
3-Aug-16,66.35,67.19,66.35,67.01,853943
2-Aug-16,66.82,67.25,65.92,66.21,826906
1-Aug-16,67.57,68.01,66.91,67.09,747374
29-Jul-16,67.38,67.78,67.06,67.59,835238
28-Jul-16,68.10,68.31,67.53,67.74,1142744
27-Jul-16,68.40,69.28,68.24,68.48,1559933
26-Jul-16,66.95,68.12,66.95,68.08,1449078
25-Jul-16,66.84,67.23,66.74,67.11,834241
22-Jul-16,67.02,67.19,66.60,67.08,924510
21-Jul-16,67.04,67.46,66.46,66.73,1950788
20-Jul-16,67.75,67.75,65.15,66.47,2774678
19-Jul-16,67.37,67.37,66.58,67.11,2291393
18-Jul-16,67.15,67.64,67.09,67.42,784262
15-Jul-16,67.32,67.37,66.57,67.02,964999
14-Jul-16,67.19,67.53,66.67,66.78,976005
13-Jul-16,66.12,66.57,65.50,65.87,1183361
12-Jul-16,65.79,66.48,65.79,66.29,1134568
11-Jul-16,65.44,66.00,64.75,65.03,1036997
8-Jul-16,64.49,65.40,64.17,64.53,1420680
7-Jul-16,62.96,64.49,62.78,63.52,1426839
6-Jul-16,62.77,63.53,61.86,63.47,1329928
5-Jul-16,64.58,64.68,62.94,63.55,1293138
1-Jul-16,65.76,66.27,65.20,65.23,1254237
30-Jun-16,64.74,66.30,64.30,66.26,2474504
29-Jun-16,64.36,65.50,63.66,65.27,2037289
28-Jun-16,62.84,63.64,61.77,63.57,2125611
27-Jun-16,64.73,65.00,61.32,61.67,2068882
24-Jun-16,68.43,68.43,65.47,65.50,3729457
23-Jun-16,70.39,71.54,70.18,71.54,1225899
22-Jun-16,69.78,70.15,69.33,69.39,1039661
21-Jun-16,69.58,69.95,69.19,69.53,1130204
20-Jun-16,70.73,71.05,69.45,69.49,1299553
17-Jun-16,69.33,69.97,68.85,69.28,1305813
16-Jun-16,68.90,69.32,68.15,69.28,1410444
15-Jun-16,69.57,70.82,69.44,69.73,1190801
14-Jun-16,70.46,71.08,69.08,69.43,901142
13-Jun-16,70.57,71.52,70.49,70.67,1028751
10-Jun-16,71.01,71.50,70.63,70.98,1528375
9-Jun-16,72.24,72.50,71.30,71.87,1190550
8-Jun-16,72.49,73.07,72.33,72.68,895545
7-Jun-16,73.49,73.49,72.55,72.61,805327
6-Jun-16,72.52,73.71,72.35,73.31,1085108
3-Jun-16,72.84,72.99,71.11,72.32,2163528
2-Jun-16,73.57,74.36,73.45,74.35,838520
1-Jun-16,72.78,74.09,72.59,74.02,869295
31-May-16,74.64,74.86,73.78,74.10,1413267
27-May-16,74.00,74.29,73.56,74.24,1031585
26-May-16,73.89,74.16,73.33,73.77,1272093
25-May-16,73.00,74.21,72.69,74.06,1506738
24-May-16,71.96,73.00,71.67,72.63,1106007
23-May-16,71.73,72.45,70.88,71.32,1019961
20-May-16,71.35,72.39,71.35,71.88,1368028
19-May-16,71.75,71.80,70.00,71.00,1922117
18-May-16,68.96,71.55,68.58,71.53,1607484
17-May-16,68.70,69.72,68.21,68.93,1059543
16-May-16,68.66,69.40,68.56,68.99,695117
13-May-16,69.31,70.19,68.26,68.47,1147774
12-May-16,69.96,70.59,68.94,69.46,1062838
11-May-16,70.12,70.67,69.39,69.42,1212035
10-May-16,69.15,70.32,69.15,70.28,950761
9-May-16,68.98,69.38,68.43,68.72,1168809
6-May-16,68.29,69.29,68.04,69.02,1452588
5-May-16,69.64,69.98,68.80,68.99,1332469
4-May-16,69.53,70.08,68.78,69.33,1488478
3-May-16,70.65,70.65,69.19,70.28,1332198
2-May-16,71.75,71.96,70.77,71.86,1004675
29-Apr-16,71.22,71.72,70.41,71.08,1668897
28-Apr-16,71.69,72.51,71.31,71.61,1225481
27-Apr-16,72.18,73.00,71.88,72.27,1733863
26-Apr-16,71.99,72.56,71.81,72.47,1335257
25-Apr-16,72.17,72.25,71.12,71.67,1741499
22-Apr-16,71.66,72.80,71.55,72.36,1778436
21-Apr-16,72.17,73.00,71.47,71.78,2347778
20-Apr-16,71.17,72.43,70.66,72.25,1924620
19-Apr-16,69.05,71.90,68.70,71.84,2271653
18-Apr-16,67.49,68.46,67.03,68.29,1392612
15-Apr-16,67.93,68.19,67.04,67.58,890907
14-Apr-16,65.79,69.03,65.79,67.98,2131519
13-Apr-16,65.62,67.66,65.24,67.61,1200069
12-Apr-16,64.08,65.25,63.99,65.16,909257
11-Apr-16,63.67,64.68,63.49,63.88,918220
8-Apr-16,63.69,64.28,62.97,63.26,953158
7-Apr-16,64.49,64.49,62.67,63.02,1399347
6-Apr-16,64.18,65.27,64.06,65.18,1131585
5-Apr-16,64.91,65.39,64.13,64.56,930562
4-Apr-16,65.87,66.53,65.19,65.68,923895
1-Apr-16,64.52,65.95,64.09,65.85,934352
31-Mar-16,65.40,65.96,65.00,65.17,881104
30-Mar-16,65.74,66.23,65.24,65.48,779948
29-Mar-16,64.65,64.97,63.50,64.97,1268554
28-Mar-16,65.51,65.93,64.74,65.06,874937
24-Mar-16,65.01,65.22,64.27,65.22,681256
23-Mar-16,65.90,66.10,65.41,65.63,619629
22-Mar-16,65.66,66.47,65.34,66.11,646563
21-Mar-16,65.83,66.69,65.53,66.13,641286
18-Mar-16,65.47,66.54,64.16,66.04,1729912
17-Mar-16,64.64,65.33,63.85,65.16,1172908
16-Mar-16,64.71,65.56,63.94,64.69,998172
15-Mar-16,64.85,65.02,63.87,65.00,1013139
14-Mar-16,65.42,65.79,64.79,65.45,1055857
11-Mar-16,64.47,65.75,63.45,65.71,1118222
10-Mar-16,64.38,64.56,62.66,63.60,1390565
9-Mar-16,64.18,64.75,63.34,63.64,1081785
8-Mar-16,65.01,65.44,63.49,63.96,1805762
7-Mar-16,64.81,66.18,64.66,65.89,1591018
4-Mar-16,65.09,66.02,64.86,65.66,2079925
3-Mar-16,63.04,64.67,62.05,64.43,1997363
2-Mar-16,61.92,63.26,61.59,63.23,2179920
1-Mar-16,60.04,62.66,60.04,62.50,1832713
29-Feb-16,60.06,60.52,59.37,59.38,1075484
26-Feb-16,60.00,61.14,59.33,60.24,1718700
25-Feb-16,58.77,59.61,58.26,59.52,1284680
24-Feb-16,58.59,58.85,56.78,58.72,1706980
23-Feb-16,60.54,60.57,58.97,59.74,1649738
22-Feb-16,60.09,61.15,60.09,60.90,1217139
19-Feb-16,58.61,59.58,58.07,59.38,1096597
18-Feb-16,59.81,59.81,58.46,59.08,1586253
17-Feb-16,58.95,60.35,58.95,59.61,1705062
16-Feb-16,57.87,58.83,57.32,58.25,2165719
12-Feb-16,55.81,56.94,54.77,56.85,2071742
11-Feb-16,55.22,55.93,54.38,54.50,3764768
10-Feb-16,58.55,59.05,56.87,56.90,2075723
9-Feb-16,57.08,58.36,56.32,57.99,2295176
8-Feb-16,59.05,60.45,56.97,57.72,2571544
5-Feb-16,60.20,60.86,59.84,60.02,2095926
4-Feb-16,59.21,60.47,59.20,60.34,1548047
3-Feb-16,59.88,59.93,57.45,59.46,1689482
2-Feb-16,60.65,61.88,58.79,59.24,2123815
1-Feb-16,61.57,62.02,60.89,61.25,2092469
29-Jan-16,60.12,62.08,59.33,62.08,1822571
28-Jan-16,60.30,60.81,58.84,59.77,1655345
27-Jan-16,59.91,61.82,59.34,59.81,2039513
26-Jan-16,59.12,60.44,58.86,59.85,2372620
25-Jan-16,59.94,60.28,58.74,58.79,2027344
22-Jan-16,60.59,61.02,59.69,60.42,3467078
21-Jan-16,62.04,62.27,58.98,59.01,3803332
20-Jan-16,63.00,63.00,60.18,61.43,4017433
19-Jan-16,64.88,65.38,63.48,63.93,2273141
15-Jan-16,63.95,65.77,63.43,63.78,2593049
14-Jan-16,65.39,66.55,64.18,65.74,1501723
13-Jan-16,66.58,66.86,64.60,64.75,2017440
12-Jan-16,66.77,66.83,65.33,66.31,1332653
11-Jan-16,66.68,67.60,65.12,65.89,1148881
8-Jan-16,68.01,68.01,65.84,65.93,1275322
7-Jan-16,67.37,68.20,66.81,67.18,1355254
6-Jan-16,69.19,69.58,68.69,69.01,1186560
5-Jan-16,70.86,71.13,70.17,70.69,863841
4-Jan-16,70.29,70.90,69.66,70.59,1774153
31-Dec-15,72.55,73.18,72.08,72.09,985082
30-Dec-15,73.32,73.82,72.82,72.83,590241
29-Dec-15,73.43,74.14,73.16,73.58,647683
28-Dec-15,72.78,72.95,72.22,72.90,674644
24-Dec-15,72.80,73.39,72.74,72.96,382842
23-Dec-15,72.33,73.16,72.24,73.10,750951
22-Dec-15,71.81,72.72,70.96,72.04,946629
21-Dec-15,70.57,71.44,70.53,71.15,769727
18-Dec-15,70.82,71.44,69.98,70.06,2750647
16-Dec-15,73.72,74.59,72.64,74.05,1853683
15-Dec-15,70.75,73.28,70.66,72.68,1647498
14-Dec-15,70.39,70.83,68.50,70.03,2127115
11-Dec-15,71.03,71.46,69.73,70.11,1400047
10-Dec-15,72.32,73.25,72.04,72.13,1574734
9-Dec-15,73.68,74.29,72.09,72.48,1684751
8-Dec-15,75.49,75.77,73.99,74.32,1967257
7-Dec-15,75.40,75.45,74.06,74.61,818962
4-Dec-15,73.44,75.65,72.64,75.53,1653577
3-Dec-15,74.44,74.60,72.49,72.77,1844103
2-Dec-15,74.88,75.14,74.10,74.20,1533656
1-Dec-15,75.45,75.62,74.64,75.02,1842188
30-Nov-15,75.52,75.58,74.87,74.94,1251756
27-Nov-15,75.11,75.67,74.80,75.54,630226
25-Nov-15,75.41,75.81,74.72,75.00,1267251
24-Nov-15,74.68,75.54,74.30,75.10,1207961
23-Nov-15,75.43,75.88,74.90,75.20,955312
20-Nov-15,75.94,76.11,75.13,75.64,903035
19-Nov-15,75.58,75.90,75.01,75.40,720131
18-Nov-15,74.48,75.84,74.12,75.76,1192948
17-Nov-15,74.10,74.79,73.73,73.98,754301
16-Nov-15,73.11,74.01,72.61,74.01,1387345
13-Nov-15,73.91,74.52,73.06,73.23,1389161
12-Nov-15,74.31,74.68,73.93,73.95,1113454
11-Nov-15,74.96,75.47,74.65,74.95,998906
10-Nov-15,73.94,74.83,73.39,74.82,1637481
9-Nov-15,75.00,75.43,73.67,74.04,995806
6-Nov-15,74.40,75.92,74.12,74.97,1730155
5-Nov-15,72.39,73.40,72.06,73.28,1413167
4-Nov-15,71.75,72.46,71.54,72.17,1058794
3-Nov-15,70.89,72.06,70.89,71.73,955038
2-Nov-15,70.80,71.55,70.60,71.29,970721
30-Oct-15,70.97,71.48,70.26,70.39,1659579
29-Oct-15,71.49,72.09,70.76,71.02,1572509
28-Oct-15,68.49,71.69,68.49,71.44,1875677
27-Oct-15,68.58,69.45,68.28,68.93,969578
26-Oct-15,69.30,69.55,68.53,68.90,852083
23-Oct-15,68.60,69.18,67.69,69.17,1770917
22-Oct-15,66.53,68.77,66.52,68.10,2683404
21-Oct-15,68.02,69.48,66.31,66.55,2947280
20-Oct-15,68.60,69.85,68.60,69.57,1780844
19-Oct-15,68.71,69.08,68.26,68.34,1487205
16-Oct-15,69.73,69.84,68.94,69.11,1441133
15-Oct-15,68.03,69.46,68.00,69.45,1670649
14-Oct-15,68.00,68.06,67.05,67.68,1400483
13-Oct-15,68.94,69.00,68.18,68.44,879943
12-Oct-15,68.54,68.96,68.16,68.80,635331
9-Oct-15,69.06,69.39,67.96,68.48,816023
8-Oct-15,68.51,69.32,68.41,69.12,1155175
7-Oct-15,68.75,69.23,68.16,69.00,839249
6-Oct-15,68.61,68.77,68.02,68.35,672736
5-Oct-15,67.95,68.94,67.78,68.78,1369474
2-Oct-15,67.08,67.41,64.77,67.39,1982618
1-Oct-15,68.14,68.78,67.44,68.21,1174973
30-Sep-15,68.04,68.25,67.33,68.16,1096023
