Date,Open,High,Low,Close,Volume
28-Apr-17,61.96,62.09,61.16,61.33,3233362
27-Apr-17,62.02,62.07,61.24,61.61,4399724
26-Apr-17,59.44,62.31,59.16,62.00,4377222
25-Apr-17,61.82,61.83,60.59,60.94,3203999
24-Apr-17,61.12,61.60,60.05,61.18,3325871
21-Apr-17,60.34,60.35,58.95,60.00,3711377
20-Apr-17,58.89,60.78,58.03,60.35,5916216
19-Apr-17,57.75,58.32,57.45,57.62,2456448
18-Apr-17,56.62,57.66,56.42,57.33,2183647
17-Apr-17,57.17,57.43,56.74,57.21,2249549
13-Apr-17,57.84,58.44,56.90,56.96,2822080
12-Apr-17,59.99,59.99,57.78,57.88,2908858
11-Apr-17,59.90,60.56,58.97,60.50,1913279
10-Apr-17,61.00,61.10,59.67,60.08,1441947
7-Apr-17,59.60,61.18,59.56,60.77,1713267
6-Apr-17,59.82,60.63,59.36,60.11,2099656
5-Apr-17,61.09,62.00,59.57,59.72,2730167
4-Apr-17,59.95,60.65,59.59,60.49,1624158
3-Apr-17,60.14,60.89,59.19,60.21,2746193
31-Mar-17,59.93,60.15,59.39,59.72,2609728
30-Mar-17,59.81,60.68,59.81,60.10,2005958
29-Mar-17,59.96,60.25,59.47,59.77,1482387
28-Mar-17,59.28,60.77,59.02,60.21,2887482
27-Mar-17,58.44,59.72,57.97,59.50,2824728
24-Mar-17,61.42,61.78,59.43,59.76,2830698
23-Mar-17,62.16,62.48,60.87,61.26,2182163
22-Mar-17,61.64,62.43,61.19,62.14,2563716
21-Mar-17,64.67,64.88,61.21,61.33,4247118
20-Mar-17,64.58,64.74,63.83,64.67,1794560
17-Mar-17,64.82,65.83,64.40,64.72,6201533
16-Mar-17,65.67,66.00,64.49,64.60,5324620
15-Mar-17,61.25,63.59,61.25,63.45,3792761
14-Mar-17,60.32,60.88,60.01,60.73,1581279
13-Mar-17,61.01,61.34,60.45,60.71,1950322
10-Mar-17,61.06,61.42,60.46,60.62,2554416
9-Mar-17,60.54,61.23,60.01,60.54,2305523
8-Mar-17,60.97,61.44,60.62,60.97,2339922
7-Mar-17,62.78,63.11,60.88,60.93,2637262
6-Mar-17,61.86,63.04,61.65,62.81,2358928
3-Mar-17,62.63,62.96,62.09,62.64,2353727
2-Mar-17,63.85,63.95,62.59,62.64,2578229
1-Mar-17,64.25,64.68,63.72,64.01,3238951
28-Feb-17,62.62,63.11,62.20,62.57,2325099
27-Feb-17,61.03,63.12,61.03,62.64,2651993
24-Feb-17,60.37,61.34,60.17,60.86,2228737
23-Feb-17,63.71,63.84,60.61,60.89,3010402
22-Feb-17,64.00,64.05,63.06,63.24,3090403
21-Feb-17,64.50,65.40,64.26,64.49,2908328
17-Feb-17,63.48,63.97,62.70,63.90,2225042
16-Feb-17,63.89,64.32,63.08,63.61,2174752
15-Feb-17,63.18,64.68,63.11,63.87,2963627
14-Feb-17,63.29,63.50,62.40,63.09,2665145
13-Feb-17,62.36,63.98,62.24,63.59,4343636
10-Feb-17,61.54,61.90,60.66,60.99,5096300
9-Feb-17,58.43,60.98,58.36,60.97,5505541
8-Feb-17,57.57,58.32,57.20,58.28,2407953
7-Feb-17,58.47,58.75,57.53,57.65,2218015
6-Feb-17,57.50,58.20,57.50,57.85,2644029
3-Feb-17,57.39,58.09,56.66,57.35,2570001
2-Feb-17,57.03,57.64,56.71,57.49,3051851
1-Feb-17,58.57,59.29,56.19,56.93,4771610
31-Jan-17,59.81,59.85,57.13,58.09,9225931
30-Jan-17,60.54,60.79,59.03,60.10,4339969
27-Jan-17,60.80,61.23,60.18,61.01,2585248
26-Jan-17,59.64,60.80,59.41,60.71,3239119
25-Jan-17,60.78,60.84,59.02,59.71,6208924
24-Jan-17,61.02,62.34,60.78,60.92,4368671
23-Jan-17,61.18,61.33,59.50,60.06,3026257
20-Jan-17,60.48,61.14,60.21,60.99,2802394
19-Jan-17,62.02,62.25,59.80,60.15,2892582
18-Jan-17,60.29,62.44,60.05,62.38,3744111
17-Jan-17,60.36,60.70,59.72,60.14,1534615
13-Jan-17,60.49,61.28,60.17,60.37,1475100
12-Jan-17,60.76,61.13,59.97,60.61,2469533
11-Jan-17,61.45,61.79,60.54,61.19,2085770
10-Jan-17,60.40,61.47,59.65,61.22,3988168
9-Jan-17,60.88,61.54,59.52,59.64,3590218
6-Jan-17,60.88,61.86,60.28,60.29,3057681
5-Jan-17,61.12,62.60,60.62,60.90,3884626
4-Jan-17,59.76,61.29,59.13,61.25,3568571
3-Jan-17,59.74,60.87,59.02,59.61,3698548
30-Dec-16,61.05,61.25,59.39,59.52,2204055
29-Dec-16,60.91,61.48,60.43,60.93,1217786
28-Dec-16,62.03,62.55,60.87,60.92,1340735
27-Dec-16,61.91,62.38,61.77,61.87,1439614
23-Dec-16,61.55,61.62,61.07,61.49,1266805
22-Dec-16,61.89,62.31,61.46,61.63,1930801
21-Dec-16,62.14,62.95,61.35,62.14,2254734
20-Dec-16,60.60,62.38,60.54,62.12,2629277
19-Dec-16,60.13,61.00,59.63,60.53,2448693
16-Dec-16,62.47,62.78,60.61,60.65,7583720
15-Dec-16,61.80,63.34,61.01,62.87,5294356
14-Dec-16,63.30,64.32,62.90,63.04,2942486
