Date,Open,High,Low,Close,Volume
28-Apr-17,59.36,59.36,58.29,58.35,1489272
27-Apr-17,59.14,59.73,58.95,59.45,1435653
26-Apr-17,59.87,59.94,58.84,59.21,1824185
25-Apr-17,60.20,60.20,59.60,59.83,1862948
24-Apr-17,61.84,62.00,59.76,60.08,2854695
21-Apr-17,61.94,62.10,61.71,61.75,1183637
20-Apr-17,61.86,62.10,61.54,62.07,1328508
19-Apr-17,62.03,62.31,61.80,61.98,1201246
18-Apr-17,61.69,62.14,61.64,62.06,1437066
17-Apr-17,61.73,61.91,61.48,61.81,1350004
13-Apr-17,61.25,61.71,61.21,61.45,1117159
12-Apr-17,61.02,61.59,61.00,61.38,1077133
11-Apr-17,60.84,61.65,60.66,61.41,1788663
10-Apr-17,60.24,60.83,59.99,60.75,885379
7-Apr-17,60.21,60.74,60.21,60.26,1284110
6-Apr-17,59.67,60.41,59.39,60.17,1347004
5-Apr-17,59.80,59.97,59.46,59.75,988181
4-Apr-17,59.70,60.17,59.46,59.72,1347170
3-Apr-17,59.30,59.78,58.95,59.71,1556286
31-Mar-17,58.86,59.63,58.86,59.53,2074651
30-Mar-17,58.81,59.03,58.17,58.93,1284483
29-Mar-17,58.90,59.23,58.59,59.07,1541795
28-Mar-17,59.03,59.17,58.13,58.89,2278939
27-Mar-17,59.43,60.40,58.85,59.07,1996955
24-Mar-17,59.68,60.08,59.20,59.46,1896848
23-Mar-17,59.61,60.41,59.53,59.68,1856761
22-Mar-17,60.38,60.43,59.31,59.94,1504874
21-Mar-17,59.73,60.36,59.50,60.04,1913187
20-Mar-17,59.85,60.06,59.43,59.46,1122690
17-Mar-17,59.26,59.95,58.98,59.86,4593957
16-Mar-17,59.23,59.63,58.97,59.06,1659110
15-Mar-17,58.14,59.69,58.09,59.23,2304753
14-Mar-17,57.67,57.98,57.38,57.74,1698575
13-Mar-17,57.44,58.23,57.40,57.82,1797666
10-Mar-17,57.49,58.26,57.10,57.39,1630708
9-Mar-17,57.71,58.47,56.95,57.15,1941443
8-Mar-17,59.22,59.39,57.62,57.70,2528472
7-Mar-17,59.47,59.89,59.32,59.84,1424573
6-Mar-17,60.14,60.14,58.93,59.67,2482838
3-Mar-17,60.60,60.78,59.25,60.34,2932032
2-Mar-17,60.56,61.27,60.42,60.56,2902958
1-Mar-17,61.06,61.20,60.33,60.60,3427983
28-Feb-17,61.31,61.73,61.24,61.28,9907137
27-Feb-17,63.01,63.60,62.48,63.14,1846341
24-Feb-17,62.85,63.19,62.44,63.19,1658220
23-Feb-17,61.72,62.93,61.22,62.86,1287423
22-Feb-17,61.58,61.83,60.83,61.14,1132470
21-Feb-17,60.85,61.73,60.60,61.52,1256262
17-Feb-17,60.69,61.24,60.43,60.80,1192045
16-Feb-17,60.40,60.86,60.32,60.58,1629417
15-Feb-17,60.49,60.55,59.71,60.32,1436414
14-Feb-17,61.44,61.59,60.23,60.78,1602293
13-Feb-17,61.15,61.78,61.00,61.62,1167322
10-Feb-17,60.40,61.51,60.29,61.28,1091259
9-Feb-17,60.50,60.95,60.27,60.58,891123
8-Feb-17,60.06,60.92,59.97,60.50,1360234
7-Feb-17,59.82,60.50,59.82,60.15,1690443
6-Feb-17,59.91,60.09,59.49,59.82,1271071
3-Feb-17,59.88,60.40,59.46,59.82,1770376
2-Feb-17,58.31,59.56,58.26,59.42,1634646
1-Feb-17,59.43,59.73,58.05,58.31,5653126
31-Jan-17,59.38,60.00,59.09,59.63,4800729
30-Jan-17,59.17,59.66,58.86,59.29,2200928
27-Jan-17,59.95,60.04,59.14,59.44,1933983
26-Jan-17,59.56,60.03,59.46,59.81,1794259
25-Jan-17,59.90,60.09,59.20,59.62,1641644
24-Jan-17,60.11,60.34,59.55,59.78,1593266
23-Jan-17,59.75,60.59,59.64,60.26,1790643
20-Jan-17,59.26,59.81,59.20,59.69,1562299
19-Jan-17,59.56,59.67,58.91,59.18,1442260
18-Jan-17,60.13,60.31,59.64,59.78,1908317
17-Jan-17,59.18,60.32,59.17,60.13,1465159
13-Jan-17,59.55,59.55,58.75,59.07,1041384
12-Jan-17,58.49,59.68,58.26,59.57,1409692
11-Jan-17,58.59,59.32,58.49,58.53,1575322
10-Jan-17,59.39,59.66,58.60,58.69,1753437
9-Jan-17,59.30,59.96,59.19,59.40,1938349
6-Jan-17,59.64,60.31,59.19,59.84,1856824
5-Jan-17,58.16,60.32,57.80,59.92,2276476
4-Jan-17,57.65,58.45,57.40,58.35,1808582
3-Jan-17,57.74,57.77,56.91,57.49,1973258
30-Dec-16,56.66,57.81,56.49,57.48,2024048
29-Dec-16,55.95,56.94,55.60,56.63,1239498
28-Dec-16,56.52,56.61,55.70,56.09,1776993
27-Dec-16,56.44,56.70,56.10,56.43,1024321
23-Dec-16,56.51,56.64,55.92,56.41,1382895
22-Dec-16,56.19,56.38,55.65,56.33,1086053
21-Dec-16,56.88,57.42,56.24,56.24,1476192
20-Dec-16,57.42,57.58,56.28,56.76,1682859
19-Dec-16,55.98,57.52,55.90,57.33,2250379
16-Dec-16,54.45,55.69,54.45,55.47,3159783
15-Dec-16,54.68,54.80,53.83,54.04,2151250
14-Dec-16,56.44,56.52,54.39,54.65,2355999
13-Dec-16,56.63,56.83,55.78,56.11,1630912
12-Dec-16,55.50,56.33,55.47,56.18,1384628
9-Dec-16,55.40,55.88,55.31,55.61,1158519
