Date,Open,High,Low,Close,Volume
28-Apr-17,53.31,53.31,52.26,52.61,2710532
27-Apr-17,53.47,54.07,52.56,53.01,2510966
26-Apr-17,54.50,55.07,54.40,54.50,2039266
25-Apr-17,53.86,54.78,53.69,54.73,1661989
24-Apr-17,54.03,54.24,53.33,53.87,2031517
21-Apr-17,53.74,53.86,52.78,53.53,2865952
20-Apr-17,54.03,54.48,53.71,53.79,1852576
19-Apr-17,54.92,55.03,53.79,53.92,2473351
18-Apr-17,54.41,55.14,54.12,54.82,2564195
17-Apr-17,54.65,55.00,54.22,54.41,2071574
13-Apr-17,55.44,55.51,54.56,54.62,1674281
12-Apr-17,55.72,55.82,55.10,55.33,1802548
11-Apr-17,55.93,56.10,55.36,55.72,1367260
10-Apr-17,56.50,56.50,55.85,55.93,2037523
7-Apr-17,56.28,56.91,55.99,56.19,2158787
6-Apr-17,56.20,56.48,55.86,56.33,2821281
5-Apr-17,56.31,57.16,55.89,55.93,3344503
4-Apr-17,55.34,55.96,54.86,55.94,1762716
3-Apr-17,55.55,55.75,54.41,55.31,2735041
31-Mar-17,54.52,56.00,54.52,55.44,3421178
30-Mar-17,54.97,55.07,54.24,54.92,3402159
29-Mar-17,53.04,54.94,52.99,54.73,2670602
28-Mar-17,53.31,53.61,52.88,53.06,1681461
27-Mar-17,52.53,53.25,52.22,53.09,2186545
24-Mar-17,52.39,53.52,52.37,53.10,2821616
23-Mar-17,52.55,52.78,52.12,52.25,2051793
22-Mar-17,52.23,52.87,51.96,52.70,2180971
21-Mar-17,53.47,53.63,52.03,52.28,2089367
20-Mar-17,52.46,53.35,52.21,53.24,2467083
17-Mar-17,53.47,53.64,52.48,52.82,8199046
16-Mar-17,53.87,54.07,52.71,53.24,2475683
15-Mar-17,52.75,53.86,52.51,53.64,4193790
14-Mar-17,53.50,53.50,51.99,52.20,3880064
13-Mar-17,54.25,54.47,53.75,53.98,3041000
10-Mar-17,55.00,55.06,54.09,54.33,2285799
9-Mar-17,54.62,54.64,53.39,54.51,3147099
8-Mar-17,56.60,56.76,54.71,54.77,2394643
7-Mar-17,56.83,56.95,56.23,56.58,3327722
6-Mar-17,56.18,56.76,55.83,56.61,3469252
3-Mar-17,55.25,56.66,55.06,56.42,3050927
2-Mar-17,55.08,55.51,54.70,55.25,3650674
1-Mar-17,54.43,55.82,54.35,55.39,2965424
28-Feb-17,53.62,55.52,53.25,54.05,6183806
27-Feb-17,53.27,53.60,52.70,53.35,3491516
24-Feb-17,54.43,54.54,52.80,53.16,2479848
23-Feb-17,54.41,54.94,53.77,54.64,2931495
22-Feb-17,53.76,54.09,53.46,53.52,2063195
21-Feb-17,54.07,54.42,53.59,54.22,2163103
17-Feb-17,53.83,53.97,53.32,53.64,1889363
16-Feb-17,54.75,55.09,53.94,54.03,1918102
15-Feb-17,54.67,55.02,54.36,54.49,1822893
14-Feb-17,55.13,55.41,54.17,54.95,2476126
13-Feb-17,55.03,55.25,54.54,55.02,1971412
10-Feb-17,55.73,55.73,54.73,55.31,2728017
9-Feb-17,54.85,55.66,54.70,55.12,2528397
8-Feb-17,53.86,54.68,53.25,54.40,2393929
7-Feb-17,55.17,55.61,53.97,54.37,2804592
6-Feb-17,56.62,56.67,55.09,55.31,3365539
