Date,Open,High,Low,Close,Volume
28-Apr-17,83.06,83.19,81.73,82.12,2701372
27-Apr-17,83.12,83.34,82.19,83.09,2747885
26-Apr-17,83.60,84.14,82.91,82.98,2210284
25-Apr-17,83.54,83.88,83.31,83.54,1461161
24-Apr-17,84.22,84.48,83.13,83.25,2211899
21-Apr-17,83.81,83.81,83.16,83.25,1913105
20-Apr-17,83.93,84.22,83.51,84.08,1425620
19-Apr-17,83.33,83.84,83.13,83.55,2073590
18-Apr-17,84.74,85.00,82.70,83.50,4970914
17-Apr-17,84.88,86.71,84.82,86.17,3318680
13-Apr-17,84.67,85.21,84.44,84.46,1504330
12-Apr-17,84.31,85.24,84.19,84.67,2033341
11-Apr-17,84.98,85.18,84.13,84.77,2133872
10-Apr-17,85.67,86.09,84.98,85.00,1559437
7-Apr-17,85.46,85.96,85.27,85.72,1889304
6-Apr-17,85.44,85.61,84.56,85.56,1844524
5-Apr-17,86.15,86.42,85.48,85.59,1106226
4-Apr-17,85.67,85.93,85.32,85.80,1348438
3-Apr-17,86.27,86.69,85.14,85.70,1731760
31-Mar-17,85.64,86.48,85.64,86.21,1453181
30-Mar-17,85.09,86.11,85.09,85.90,1475454
29-Mar-17,84.99,85.35,84.72,85.11,1036573
28-Mar-17,84.30,85.92,84.30,85.31,1549601
27-Mar-17,84.00,84.52,83.67,84.20,1955026
24-Mar-17,84.69,84.98,83.96,84.33,1785493
23-Mar-17,84.65,85.40,84.24,84.52,1383420
22-Mar-17,84.25,84.78,84.04,84.66,1111526
21-Mar-17,85.08,85.49,84.00,84.35,2155321
20-Mar-17,85.00,85.21,84.28,84.63,958477
17-Mar-17,85.17,85.44,84.64,84.94,1594967
16-Mar-17,84.91,85.37,84.64,84.84,1688498
15-Mar-17,84.57,85.12,84.29,84.86,1429211
14-Mar-17,84.27,84.71,84.01,84.35,1316059
13-Mar-17,84.68,84.80,84.00,84.31,2672943
10-Mar-17,85.20,85.38,84.23,84.49,1805923
9-Mar-17,85.16,85.65,84.64,85.05,1138205
8-Mar-17,85.00,85.75,84.66,85.10,1627332
7-Mar-17,84.00,84.60,83.86,84.09,1682019
6-Mar-17,84.88,84.88,84.17,84.51,2595716
3-Mar-17,85.83,85.83,84.46,85.39,1752794
2-Mar-17,86.15,86.57,85.87,86.30,1111984
1-Mar-17,85.82,86.71,85.71,86.33,1185879
28-Feb-17,86.05,86.05,85.02,85.10,1486552
27-Feb-17,86.22,86.25,85.71,86.18,996087
24-Feb-17,84.88,86.17,84.88,86.16,1218292
23-Feb-17,85.30,85.57,84.92,85.34,765200
22-Feb-17,84.68,85.52,84.24,85.27,1763520
21-Feb-17,85.30,85.93,85.08,85.33,1098268
17-Feb-17,85.27,85.82,84.76,85.34,1090334
16-Feb-17,85.49,85.82,85.16,85.32,1113853
15-Feb-17,85.00,85.72,85.00,85.64,1484244
14-Feb-17,85.24,85.86,84.96,85.03,1771429
13-Feb-17,85.77,86.14,85.32,85.93,1103853
10-Feb-17,85.17,85.71,84.70,85.33,1447751
9-Feb-17,84.39,85.15,84.35,84.65,1921203
8-Feb-17,84.25,85.24,84.23,84.97,1861529
7-Feb-17,84.78,86.21,83.82,84.26,3898453
6-Feb-17,85.54,87.43,85.51,87.39,3227572
3-Feb-17,85.47,86.21,85.20,85.70,1407645
2-Feb-17,84.97,85.60,84.65,85.21,1256292
1-Feb-17,85.67,85.84,84.47,85.03,1748126
31-Jan-17,86.83,87.17,85.39,85.65,1865219
30-Jan-17,87.18,87.18,86.47,87.09,1274611
27-Jan-17,87.18,87.24,86.46,86.98,1423355
26-Jan-17,86.06,87.20,85.80,87.03,988630
25-Jan-17,86.16,86.90,85.91,86.38,1220573
24-Jan-17,85.12,86.23,85.11,85.90,988848
23-Jan-17,85.08,85.19,84.59,84.94,1151859
20-Jan-17,84.85,85.46,84.50,85.13,950432
19-Jan-17,85.05,85.30,84.44,84.56,1206788
18-Jan-17,84.92,85.34,84.82,85.17,1138657
17-Jan-17,84.83,85.54,84.47,84.82,1630011
13-Jan-17,85.49,86.12,85.02,85.31,743899
12-Jan-17,85.30,85.69,84.94,85.45,1253371
11-Jan-17,85.19,85.85,84.96,85.84,756739
10-Jan-17,85.41,85.90,84.78,85.24,971709
9-Jan-17,85.64,85.97,85.19,85.39,1184588
6-Jan-17,85.29,86.35,84.92,85.81,982105
5-Jan-17,85.40,85.68,84.38,85.06,1439791
4-Jan-17,85.54,86.14,84.94,85.70,1622179
3-Jan-17,85.91,85.91,84.57,85.07,2368945
30-Dec-16,85.64,85.79,84.40,85.11,1737326
29-Dec-16,86.22,86.45,85.60,85.68,1348589
28-Dec-16,86.79,87.13,85.92,85.96,1087264
27-Dec-16,86.44,87.36,86.31,86.85,874002
23-Dec-16,86.06,86.56,85.90,86.37,760574
22-Dec-16,85.76,86.33,85.50,86.15,1842578
21-Dec-16,86.06,86.49,85.60,85.94,1368596
20-Dec-16,85.98,86.40,85.40,86.25,1395293
19-Dec-16,85.89,86.82,85.64,85.88,1949502
16-Dec-16,87.93,88.09,85.71,86.18,2226113
15-Dec-16,86.92,88.51,86.92,88.02,1276764
14-Dec-16,88.24,88.69,87.39,87.89,2426021
13-Dec-16,87.67,89.66,87.33,88.32,2673545
12-Dec-16,86.52,87.42,86.24,87.32,1471422
9-Dec-16,85.38,86.90,85.28,86.87,1590381
8-Dec-16,85.22,85.65,84.75,85.43,1731359
7-Dec-16,84.27,85.48,83.49,85.37,2305045
6-Dec-16,86.03,87.51,81.53,84.26,8100333
5-Dec-16,86.77,86.93,85.39,86.05,1903219
2-Dec-16,87.50,88.44,85.98,86.34,2004070
1-Dec-16,86.80,87.77,86.48,87.61,1804525
30-Nov-16,88.21,88.42,86.88,86.94,1967432
29-Nov-16,88.14,88.66,87.99,88.34,1002753
28-Nov-16,88.18,88.73,87.94,88.20,1237875
25-Nov-16,88.04,88.79,87.81,88.47,396156
23-Nov-16,87.75,88.40,87.57,87.75,1221284
22-Nov-16,86.44,88.21,86.44,87.73,1883975
21-Nov-16,85.19,86.37,84.98,86.34,1404592
18-Nov-16,86.80,87.20,84.80,84.85,2195062
17-Nov-16,84.88,87.55,84.70,87.28,2445473
16-Nov-16,83.77,85.05,83.77,84.92,1823346
15-Nov-16,83.36,84.15,83.00,83.93,1662828
14-Nov-16,81.68,83.44,81.67,83.20,2357952
11-Nov-16,80.23,81.50,80.10,81.33,1420350
10-Nov-16,80.67,81.10,79.81,80.37,1809059
9-Nov-16,80.54,81.34,79.23,80.81,2153062
8-Nov-16,80.47,81.65,80.47,81.36,1234930
7-Nov-16,80.53,81.07,80.33,80.59,1337539
4-Nov-16,79.24,80.01,78.70,79.52,1693246
3-Nov-16,79.25,79.73,78.91,79.23,1407526
2-Nov-16,79.28,80.07,78.67,79.00,1577529
1-Nov-16,80.00,80.10,78.76,79.21,1291103
31-Oct-16,80.04,80.10,79.39,79.82,1324186
28-Oct-16,79.24,80.28,79.24,79.65,1168974
27-Oct-16,79.80,79.85,78.83,79.12,1616793
26-Oct-16,79.56,80.37,79.50,79.60,1220515
25-Oct-16,80.38,80.56,80.04,80.08,1513113
24-Oct-16,80.01,80.96,79.74,80.45,1578343
21-Oct-16,79.23,79.88,78.78,79.75,2150021
20-Oct-16,80.19,80.21,79.00,79.63,2835835
19-Oct-16,80.62,80.86,79.91,80.34,4121984
18-Oct-16,80.49,81.78,80.00,80.87,3826558
17-Oct-16,82.73,83.68,82.67,82.83,2699466
14-Oct-16,82.65,83.42,82.62,82.87,1678597
13-Oct-16,82.24,82.60,81.42,82.07,2102434
12-Oct-16,82.12,83.04,81.88,82.68,1312184
11-Oct-16,82.63,82.70,81.74,81.94,1649871
10-Oct-16,82.48,83.14,82.48,82.66,938643
7-Oct-16,83.00,83.33,81.93,82.24,1837949
6-Oct-16,82.86,83.45,82.26,83.06,1512096
5-Oct-16,83.76,83.92,82.88,82.95,1252083
4-Oct-16,84.55,84.85,83.21,83.32,1247981
3-Oct-16,84.46,84.96,84.23,84.44,938778
30-Sep-16,84.49,85.40,84.24,85.00,1353363
29-Sep-16,85.11,85.41,83.90,84.05,825956
28-Sep-16,85.02,85.38,84.58,85.28,777799
27-Sep-16,83.89,85.02,83.65,84.96,1040031
26-Sep-16,83.73,83.98,83.36,83.87,931010
23-Sep-16,84.90,85.03,84.23,84.23,1008344
22-Sep-16,85.23,85.56,84.88,85.36,740362
21-Sep-16,84.21,85.02,83.91,84.90,945657
20-Sep-16,83.96,84.42,83.66,84.05,1200159
19-Sep-16,84.34,84.84,83.91,84.01,1091615
16-Sep-16,84.24,84.34,83.60,83.96,1132975
15-Sep-16,83.49,84.96,83.20,84.61,997926
14-Sep-16,83.90,84.25,83.25,83.56,699434
13-Sep-16,84.59,84.65,83.51,83.75,1365177
12-Sep-16,83.30,85.48,83.14,85.30,1429259
9-Sep-16,85.33,85.47,83.74,83.75,1471301
8-Sep-16,86.81,86.89,86.01,86.06,1054592
7-Sep-16,86.12,87.50,86.12,87.15,1019187
6-Sep-16,86.59,86.69,85.87,86.37,1025395
2-Sep-16,86.69,86.83,86.14,86.70,648155
1-Sep-16,86.25,86.48,85.31,86.25,859835
31-Aug-16,86.15,86.48,85.70,86.13,915530
30-Aug-16,86.04,86.50,85.92,86.36,1649290
29-Aug-16,84.68,86.37,84.62,85.84,1796167
26-Aug-16,84.48,85.37,84.09,84.55,682873
25-Aug-16,84.36,84.63,84.08,84.38,861367
24-Aug-16,86.28,86.28,84.30,84.42,1018690
23-Aug-16,84.75,84.99,84.40,84.67,1019319
22-Aug-16,84.24,84.67,83.95,84.43,892353
19-Aug-16,83.93,84.62,83.61,84.35,1058468
18-Aug-16,84.39,84.62,84.05,84.19,1008608
17-Aug-16,83.87,84.59,83.87,84.57,766672
16-Aug-16,84.89,84.89,83.85,84.05,1266483
15-Aug-16,84.79,85.80,84.40,85.28,2255445
12-Aug-16,83.31,84.42,82.91,84.26,1833537
11-Aug-16,82.25,83.22,82.06,83.15,1104144
10-Aug-16,82.00,82.38,81.83,82.23,718278
9-Aug-16,81.89,82.20,81.54,81.87,649980
8-Aug-16,82.59,82.59,81.82,81.94,829918
5-Aug-16,81.88,82.49,81.74,82.44,790800
4-Aug-16,81.24,81.83,80.92,81.53,1059586
3-Aug-16,81.27,81.41,80.87,81.11,830239
2-Aug-16,82.71,82.84,80.63,81.25,1296475
1-Aug-16,82.45,82.73,81.99,82.60,1415003
29-Jul-16,82.47,82.60,81.85,82.29,1113030
28-Jul-16,82.31,83.00,82.31,82.71,1030333
27-Jul-16,82.60,83.10,82.23,82.36,1772683
26-Jul-16,82.77,82.83,81.79,82.62,980418
25-Jul-16,82.56,83.00,82.39,82.78,1027971
22-Jul-16,82.00,83.01,80.47,82.67,2077419
21-Jul-16,83.35,83.35,81.38,81.83,1913478
20-Jul-16,83.88,83.90,83.15,83.68,1653841
19-Jul-16,82.80,83.39,82.50,83.32,1118174
18-Jul-16,82.72,83.35,82.44,83.04,1043419
15-Jul-16,83.61,83.61,82.36,82.78,1909096
14-Jul-16,83.09,83.90,82.12,83.12,2778548
13-Jul-16,84.57,85.42,84.26,84.96,2508287
12-Jul-16,84.27,85.29,84.07,84.54,2487984
11-Jul-16,83.12,84.24,82.44,83.96,1900823
8-Jul-16,82.88,83.26,82.48,83.12,1308795
7-Jul-16,81.50,82.51,81.17,82.31,1879804
6-Jul-16,82.24,83.20,79.94,81.42,1812318
5-Jul-16,81.21,81.21,80.41,80.74,1622718
1-Jul-16,81.37,81.97,81.34,81.69,1488985
30-Jun-16,80.40,81.49,79.74,81.49,1600623
29-Jun-16,79.12,80.18,75.61,80.10,2292622
28-Jun-16,78.27,78.90,77.87,78.83,1634655
27-Jun-16,79.85,79.88,77.32,77.57,2595518
24-Jun-16,82.17,82.20,80.55,80.69,3364265
23-Jun-16,84.83,84.96,84.32,84.96,1328667
22-Jun-16,83.65,84.09,82.98,83.84,1574105
21-Jun-16,83.28,83.65,82.57,83.28,1343965
20-Jun-16,82.33,83.16,82.21,82.95,1252450
17-Jun-16,81.57,81.59,80.73,81.35,1445032
16-Jun-16,81.39,81.91,80.40,81.71,1374774
15-Jun-16,81.90,82.25,81.52,81.62,1695387
14-Jun-16,82.02,82.13,81.05,81.85,2107609
13-Jun-16,82.79,83.20,79.45,82.15,1430834
10-Jun-16,83.94,84.04,83.23,83.33,1540280
9-Jun-16,84.27,84.65,83.99,84.40,1679943
8-Jun-16,83.46,85.75,83.41,85.37,2527793
7-Jun-16,82.69,83.40,82.39,83.27,1474497
6-Jun-16,81.97,82.64,81.50,82.44,1360024
3-Jun-16,82.70,82.77,81.16,81.94,2028274
2-Jun-16,82.97,83.11,82.52,83.04,1942494
1-Jun-16,83.14,83.16,82.60,82.95,1423693
31-May-16,82.77,83.41,82.40,83.33,1803609
27-May-16,82.42,82.75,82.29,82.64,651199
26-May-16,81.97,82.56,81.81,82.19,2193565
25-May-16,83.01,83.21,81.56,82.06,2143440
24-May-16,82.49,83.04,82.25,82.88,1641655
23-May-16,82.93,83.08,82.13,82.19,1549010
20-May-16,82.80,83.31,82.74,82.79,1626430
19-May-16,82.90,83.00,81.92,82.41,1868475
18-May-16,83.26,83.65,82.73,83.23,1805895
17-May-16,84.05,84.50,83.09,83.30,1266561
16-May-16,83.57,84.63,83.42,84.26,1076645
13-May-16,84.03,84.38,83.34,83.73,1284565
12-May-16,84.36,84.44,83.72,84.26,1875966
11-May-16,84.02,84.27,83.54,84.12,2228377
10-May-16,83.67,84.61,83.50,84.58,1456747
9-May-16,83.69,84.46,83.61,83.67,1044865
6-May-16,83.21,84.20,83.14,83.96,1320329
5-May-16,83.30,83.57,82.83,83.26,1441716
4-May-16,82.96,83.62,82.81,83.35,1313698
3-May-16,83.21,83.59,83.07,83.45,1329276
2-May-16,83.46,83.80,82.97,83.61,1127083
29-Apr-16,83.16,83.19,82.46,82.97,1643588
28-Apr-16,83.63,83.96,83.02,83.18,1199095
27-Apr-16,83.82,84.38,83.18,84.13,1065868
26-Apr-16,83.81,84.27,83.34,83.89,1570219
25-Apr-16,83.50,83.73,82.66,83.52,1824204
22-Apr-16,83.85,85.00,83.49,83.77,1802852
21-Apr-16,83.60,84.36,83.44,84.02,1950770
20-Apr-16,84.37,84.37,82.91,83.41,2273607
19-Apr-16,84.42,85.95,84.07,84.74,3028404
18-Apr-16,83.85,85.54,83.72,85.25,2296285
15-Apr-16,83.63,84.38,83.43,84.30,1488428
14-Apr-16,83.78,83.93,83.27,83.74,2371309
13-Apr-16,84.57,84.78,83.63,84.42,2105174
12-Apr-16,83.34,84.48,83.15,84.34,1164361
11-Apr-16,83.52,84.24,83.25,83.33,1251465
8-Apr-16,83.54,83.66,82.91,83.15,847421
7-Apr-16,83.41,83.66,82.73,82.91,1341353
6-Apr-16,83.47,84.08,83.32,84.00,1131651
5-Apr-16,83.76,83.87,83.15,83.32,1299762
4-Apr-16,83.85,84.29,83.46,83.88,1722192
1-Apr-16,82.29,84.09,82.19,83.90,2003253
31-Mar-16,83.41,84.23,83.00,83.23,1670937
30-Mar-16,82.99,83.86,82.77,83.32,1743136
29-Mar-16,82.20,82.98,81.93,82.80,1158867
28-Mar-16,81.38,82.51,81.23,82.20,1614692
24-Mar-16,80.97,81.40,80.63,81.34,1186625
23-Mar-16,81.57,81.96,80.99,81.29,1708644
22-Mar-16,81.15,81.92,80.89,81.34,1184673
21-Mar-16,80.67,81.74,80.53,81.48,1357218
18-Mar-16,80.58,81.34,80.53,80.98,2245707
17-Mar-16,79.84,80.76,79.75,80.46,1587412
16-Mar-16,78.60,79.84,78.24,79.69,908965
15-Mar-16,78.32,79.19,78.21,78.89,1222372
14-Mar-16,78.57,79.20,77.74,78.97,746048
11-Mar-16,78.28,79.27,78.23,78.95,1603586
10-Mar-16,78.02,78.54,77.15,77.58,1569319
9-Mar-16,78.25,78.28,77.15,77.63,1323236
8-Mar-16,77.93,78.38,77.42,77.86,1318953
7-Mar-16,77.84,78.62,77.47,78.50,1446091
4-Mar-16,78.47,78.97,77.89,78.76,2099633
3-Mar-16,78.53,78.74,77.24,78.39,4042025
2-Mar-16,78.71,79.14,77.98,78.41,2231652
1-Mar-16,78.63,79.23,78.28,79.00,1868321
29-Feb-16,77.72,78.69,77.62,77.81,2020482
26-Feb-16,78.00,78.25,77.35,77.61,1226658
25-Feb-16,77.08,77.85,76.30,77.71,1997041
24-Feb-16,75.92,77.02,75.40,76.90,1911521
23-Feb-16,77.04,77.64,76.72,76.82,1345816
22-Feb-16,76.98,77.60,76.30,77.12,1336966
19-Feb-16,75.99,76.52,75.40,76.52,1466170
18-Feb-16,75.39,76.52,75.25,76.01,2036312
17-Feb-16,76.20,76.53,75.10,75.46,2072377
16-Feb-16,74.05,75.96,73.15,75.75,2097357
12-Feb-16,72.63,73.41,71.25,73.35,1765803
11-Feb-16,72.50,73.38,71.25,71.89,2914993
10-Feb-16,72.39,74.77,72.15,73.47,3855809
9-Feb-16,69.72,72.83,69.72,71.62,4736014
8-Feb-16,70.24,70.41,68.05,69.72,3702245
5-Feb-16,72.58,72.76,70.89,71.21,2643712
4-Feb-16,72.51,73.78,72.07,72.65,1955924
3-Feb-16,72.86,73.24,71.78,72.47,1750366
2-Feb-16,73.08,73.22,72.21,72.37,1574918
1-Feb-16,72.91,74.52,72.65,73.95,1735779
29-Jan-16,72.25,73.47,72.18,73.35,2012996
28-Jan-16,71.84,72.00,70.62,71.89,1921327
27-Jan-16,71.86,72.76,71.01,71.52,2265570
26-Jan-16,70.29,72.07,70.23,71.99,1716023
25-Jan-16,70.25,70.73,69.77,69.88,1349498
22-Jan-16,69.70,71.00,69.25,70.61,1601168
21-Jan-16,68.26,69.23,67.09,68.65,1198735
20-Jan-16,68.01,68.70,66.48,67.94,2176842
19-Jan-16,70.43,70.72,68.69,68.89,1739049
15-Jan-16,68.94,70.04,68.83,69.67,1468276
14-Jan-16,69.56,71.09,69.01,70.75,1359377
13-Jan-16,70.94,71.24,69.14,69.25,1107128
12-Jan-16,70.29,71.11,70.07,70.80,1556161
11-Jan-16,70.23,70.56,68.85,69.65,1714798
8-Jan-16,71.16,71.41,69.71,69.90,1502654
7-Jan-16,70.42,71.71,69.96,70.51,1721749
6-Jan-16,73.18,73.44,71.56,71.94,2415181
5-Jan-16,74.04,74.24,73.17,73.96,1820392
4-Jan-16,74.39,74.44,72.81,73.57,2147983
31-Dec-15,74.90,76.47,74.44,75.66,2015255
30-Dec-15,77.09,77.57,76.58,76.63,1632802
29-Dec-15,76.95,77.24,76.52,77.15,1475427
28-Dec-15,75.82,76.52,75.72,76.51,1251735
24-Dec-15,76.20,76.63,75.80,76.08,900006
23-Dec-15,75.63,76.42,75.36,76.33,1827709
22-Dec-15,74.59,75.58,74.17,75.41,1580186
21-Dec-15,74.26,74.50,73.92,74.39,1281987
18-Dec-15,73.52,74.20,73.29,73.62,2078077
17-Dec-15,74.70,74.74,73.53,73.67,2057037
16-Dec-15,73.98,74.89,73.56,74.73,1906796
15-Dec-15,74.39,74.74,73.77,73.98,1995432
14-Dec-15,74.45,75.20,73.67,74.09,2139291
11-Dec-15,74.48,75.40,73.84,74.20,1985881
10-Dec-15,75.19,76.17,75.07,75.44,1540274
9-Dec-15,75.85,76.59,74.68,75.01,2398392
8-Dec-15,76.12,76.64,75.66,76.31,2424270
7-Dec-15,75.01,77.09,74.62,76.53,3788924
4-Dec-15,74.27,75.66,74.19,75.24,2373868
3-Dec-15,74.17,74.58,73.48,74.10,2056115
2-Dec-15,75.05,75.22,74.06,74.14,1202250
1-Dec-15,74.42,75.16,74.19,75.00,1956677
30-Nov-15,73.95,74.10,73.21,73.92,1636990
27-Nov-15,73.79,74.30,73.11,73.69,545701
25-Nov-15,73.06,74.40,72.69,74.04,1215365
24-Nov-15,73.26,73.26,72.14,73.01,1429861
23-Nov-15,73.75,74.22,73.30,73.88,1360747
20-Nov-15,73.22,73.75,73.22,73.75,1301508
19-Nov-15,72.85,73.49,72.48,73.15,1266831
18-Nov-15,72.21,73.00,71.99,72.89,1691965
17-Nov-15,73.04,73.41,71.82,72.03,1596152
16-Nov-15,71.43,73.06,71.19,72.99,1620085
13-Nov-15,72.54,72.66,71.45,71.53,966644
12-Nov-15,72.60,73.15,72.44,72.63,1182641
11-Nov-15,73.23,73.42,72.83,73.07,2914605
10-Nov-15,72.52,73.23,72.49,73.12,1258481
9-Nov-15,73.46,73.59,72.16,72.52,1530070
6-Nov-15,73.12,73.52,72.42,73.50,1141405
5-Nov-15,73.69,73.88,73.00,73.25,2176626
4-Nov-15,74.89,74.99,73.41,73.53,1506479
3-Nov-15,74.75,75.21,74.27,74.81,1365944
2-Nov-15,74.93,75.31,74.80,75.00,3229804
30-Oct-15,75.37,75.58,74.81,74.92,1221340
29-Oct-15,74.85,75.45,74.39,75.33,1002207
28-Oct-15,75.07,75.26,74.06,74.84,1496584
27-Oct-15,74.27,74.98,73.83,74.92,1608144
26-Oct-15,73.84,74.62,73.43,74.55,1042840
23-Oct-15,74.88,75.12,73.54,73.74,1999221
22-Oct-15,73.02,74.73,73.02,74.35,2564887
21-Oct-15,72.86,73.40,72.47,72.81,1822568
20-Oct-15,72.75,73.80,71.10,72.36,3965844
19-Oct-15,72.00,72.60,71.40,72.23,1655487
16-Oct-15,72.03,72.74,71.81,72.18,1882501
15-Oct-15,70.99,72.21,70.81,71.71,2379807
14-Oct-15,71.00,71.58,70.62,70.87,927793
13-Oct-15,70.81,71.46,70.58,70.92,842280
12-Oct-15,71.12,71.39,70.71,71.10,606956
9-Oct-15,70.88,71.22,70.47,70.94,1104394
8-Oct-15,69.43,71.17,69.43,70.95,1192682
7-Oct-15,69.11,70.03,68.99,69.93,1196697
6-Oct-15,68.90,69.04,68.19,68.68,1523854
5-Oct-15,68.30,68.97,68.30,68.75,1293193
2-Oct-15,64.87,68.04,64.87,68.00,1551310
1-Oct-15,65.60,66.14,64.44,65.91,3470377
30-Sep-15,65.58,66.04,65.28,65.90,2312435
29-Sep-15,64.92,65.09,64.12,64.85,1404888
28-Sep-15,65.51,65.72,64.42,64.79,1464826
25-Sep-15,66.73,67.28,65.44,65.74,1170693
24-Sep-15,66.42,66.70,65.84,66.38,1016856
23-Sep-15,66.72,66.97,66.25,66.82,1102270
22-Sep-15,66.71,67.09,66.40,66.78,1241559
21-Sep-15,67.72,68.11,67.35,67.65,1317898
18-Sep-15,67.80,68.51,67.18,67.36,2357054
17-Sep-15,69.69,69.97,68.80,69.06,1810702
16-Sep-15,68.55,69.99,68.38,69.68,1890866
15-Sep-15,67.50,68.42,67.05,68.21,1138454
14-Sep-15,67.70,67.74,66.83,67.15,808029
11-Sep-15,67.18,67.69,66.89,67.66,743092
10-Sep-15,66.94,67.93,66.60,67.40,922006
9-Sep-15,68.55,68.58,66.94,67.06,826988
8-Sep-15,67.28,68.07,67.07,68.05,813704
4-Sep-15,65.94,66.52,65.65,66.04,1712605
3-Sep-15,66.71,67.52,66.53,66.84,1228431
2-Sep-15,66.01,66.47,65.01,66.46,1300160
1-Sep-15,65.59,66.42,64.80,65.17,1708964
31-Aug-15,67.59,67.95,66.95,66.98,1233288
