Date,Open,High,Low,Close,Volume
28-Apr-17,61.95,62.04,61.35,61.54,3724077
27-Apr-17,62.16,62.25,61.03,61.52,6500695
26-Apr-17,62.10,62.92,61.95,62.43,3559019
25-Apr-17,62.39,62.59,62.07,62.50,3384563
24-Apr-17,62.34,62.51,61.71,62.07,2945205
21-Apr-17,61.78,62.28,61.48,61.86,4400227
20-Apr-17,62.12,62.32,61.80,61.93,4094049
19-Apr-17,62.84,63.12,61.71,61.96,5447455
18-Apr-17,63.82,64.14,62.69,62.70,4404077
17-Apr-17,64.14,64.15,63.63,64.03,4065041
13-Apr-17,64.97,65.10,63.92,64.09,4693006
12-Apr-17,64.94,65.73,64.76,65.06,6533850
11-Apr-17,64.26,65.05,63.90,64.98,4828751
10-Apr-17,63.29,64.44,63.24,64.14,4063136
7-Apr-17,63.40,63.55,62.92,62.99,3871733
6-Apr-17,63.64,63.78,63.17,63.28,4285656
5-Apr-17,64.37,64.87,63.32,63.43,4740765
4-Apr-17,63.72,64.02,62.91,64.01,3051136
3-Apr-17,63.38,63.88,62.71,63.74,4324440
31-Mar-17,64.01,64.32,63.10,63.36,6520820
30-Mar-17,64.05,64.50,63.52,64.27,8501408
29-Mar-17,63.21,63.94,63.04,63.78,4351410
28-Mar-17,62.87,63.62,62.56,63.40,4961358
27-Mar-17,62.15,62.99,62.10,62.87,3350289
24-Mar-17,63.16,63.42,62.43,62.83,4228916
23-Mar-17,63.25,63.72,62.97,63.04,3975466
22-Mar-17,63.28,63.70,62.78,63.51,4984519
21-Mar-17,63.97,64.06,63.27,63.36,6446632
20-Mar-17,63.76,64.06,63.44,63.66,4655581
17-Mar-17,63.99,64.34,63.82,64.09,7553837
16-Mar-17,65.02,65.07,63.72,63.82,5789495
15-Mar-17,64.30,65.21,63.69,65.06,7500332
14-Mar-17,62.36,63.25,61.80,63.04,5747013
13-Mar-17,62.51,63.29,62.50,62.88,6118100
10-Mar-17,63.00,63.05,62.19,62.60,6070041
9-Mar-17,61.87,62.59,61.01,62.50,8182533
8-Mar-17,63.73,63.96,62.01,62.06,7225961
7-Mar-17,64.86,64.97,64.50,64.70,5391588
6-Mar-17,64.82,65.04,64.49,64.73,5100805
3-Mar-17,65.38,65.48,64.64,64.86,5089671
2-Mar-17,65.84,66.14,65.37,65.50,5647005
1-Mar-17,66.21,66.79,65.95,66.24,5277025
28-Feb-17,65.23,65.68,65.04,65.55,5309417
27-Feb-17,64.93,65.70,64.66,65.47,5015678
24-Feb-17,65.03,65.13,64.19,64.89,5286608
23-Feb-17,66.51,66.61,65.08,65.25,6441463
22-Feb-17,66.58,66.96,65.88,65.91,5177711
21-Feb-17,67.00,67.25,66.59,66.98,4796142
17-Feb-17,66.16,66.28,65.39,66.27,5259157
16-Feb-17,67.38,67.38,66.36,66.44,4905177
15-Feb-17,66.87,67.66,66.75,67.21,4673912
14-Feb-17,67.50,67.75,65.71,67.16,8696997
13-Feb-17,67.39,67.71,66.88,67.39,6123996
10-Feb-17,68.57,69.90,68.16,68.47,7394535
9-Feb-17,66.37,68.33,66.16,68.19,6778515
8-Feb-17,66.60,67.20,65.62,66.77,5676701
7-Feb-17,67.91,67.95,66.35,66.82,4857230
6-Feb-17,68.95,69.28,67.98,68.19,3799313
3-Feb-17,68.44,69.84,68.11,69.18,4069430
2-Feb-17,67.60,69.10,67.26,68.50,4889780
1-Feb-17,67.93,68.10,67.02,67.61,3975702
31-Jan-17,68.00,68.09,67.33,67.77,5538449
30-Jan-17,68.53,68.85,67.32,67.88,4550978
27-Jan-17,68.37,68.96,68.14,68.95,3836483
26-Jan-17,68.28,68.57,67.85,68.55,3698706
25-Jan-17,68.10,69.25,67.91,68.13,6147386
24-Jan-17,68.44,68.50,67.61,67.87,4946787
23-Jan-17,68.29,68.58,67.65,67.99,3129426
20-Jan-17,69.35,69.40,68.27,68.59,4239082
19-Jan-17,69.58,69.75,68.38,68.73,3901113
18-Jan-17,69.29,69.88,69.06,69.32,3659302
17-Jan-17,69.74,70.16,69.09,69.73,3776391
13-Jan-17,68.94,69.38,68.66,69.08,3739757
12-Jan-17,69.53,69.64,68.47,69.03,5343581
11-Jan-17,69.40,69.94,68.88,69.35,6423151
10-Jan-17,70.49,70.76,69.29,69.35,3993244
9-Jan-17,70.52,70.81,69.90,70.48,5543707
6-Jan-17,70.62,71.39,70.34,71.08,3935597
5-Jan-17,71.32,71.48,70.54,70.62,4769923
4-Jan-17,71.93,72.20,71.07,71.48,4151373
3-Jan-17,72.27,72.96,71.18,72.27,4393600
30-Dec-16,71.51,71.85,71.02,71.23,2641605
29-Dec-16,71.81,71.95,71.20,71.60,1939727
28-Dec-16,72.33,72.53,71.63,71.87,2373358
27-Dec-16,72.10,72.54,71.81,72.35,2200529
23-Dec-16,72.22,72.51,71.60,72.11,2344256
22-Dec-16,72.08,72.62,71.73,72.36,3700583
21-Dec-16,72.71,72.71,72.04,72.16,2450882
20-Dec-16,72.57,72.87,71.99,72.38,2953084
19-Dec-16,73.21,73.26,72.22,72.47,3490879
16-Dec-16,72.24,73.51,71.69,73.44,9264720
15-Dec-16,70.32,71.64,69.80,71.30,4855325
14-Dec-16,71.72,72.30,70.81,70.96,3741185
13-Dec-16,72.00,72.89,71.45,72.35,4355549
12-Dec-16,72.25,72.47,71.28,71.39,5439494
9-Dec-16,69.48,70.79,69.31,70.58,4563450
8-Dec-16,68.96,69.37,68.12,69.32,6258052
7-Dec-16,69.52,69.75,67.81,68.64,8381761
6-Dec-16,70.48,71.26,70.10,70.41,4643750
5-Dec-16,71.29,72.13,70.94,70.98,4933441
2-Dec-16,71.10,71.54,70.66,70.85,4153338
1-Dec-16,72.90,72.96,71.10,71.27,5690820
30-Nov-16,69.46,72.05,68.97,71.36,9434899
29-Nov-16,67.38,68.00,66.85,67.57,3976060
28-Nov-16,70.18,70.18,68.28,68.39,3836731
25-Nov-16,69.47,69.96,69.27,69.75,1319206
23-Nov-16,68.77,70.13,68.77,69.85,3958455
22-Nov-16,69.83,70.15,68.72,69.29,5663108
