Date,Open,High,Low,Close,Volume
28-Apr-17,17.89,17.91,17.45,17.47,5536573
27-Apr-17,18.01,18.04,17.71,17.84,2404429
26-Apr-17,18.01,18.21,17.89,18.10,2842330
25-Apr-17,18.11,18.14,17.97,17.98,3159564
24-Apr-17,18.00,18.05,17.85,17.92,4268824
21-Apr-17,17.57,17.81,17.50,17.59,4259162
20-Apr-17,17.65,17.82,17.48,17.57,5805451
19-Apr-17,17.50,17.57,17.30,17.54,4376214
18-Apr-17,17.40,17.58,17.24,17.36,3292408
17-Apr-17,17.33,17.52,17.28,17.52,2050393
13-Apr-17,17.61,17.67,17.27,17.29,4196319
12-Apr-17,17.88,17.92,17.62,17.69,2880782
11-Apr-17,17.77,17.90,17.65,17.89,2872789
10-Apr-17,17.85,17.98,17.67,17.80,2199054
7-Apr-17,17.80,17.92,17.72,17.84,2540004
6-Apr-17,17.70,17.96,17.56,17.93,4059937
5-Apr-17,18.13,18.21,17.70,17.72,3105285
4-Apr-17,17.94,18.08,17.91,18.02,4205629
3-Apr-17,18.17,18.21,17.83,18.05,4024366
31-Mar-17,18.34,18.42,18.18,18.20,8969720
30-Mar-17,18.05,18.48,18.03,18.41,2993431
29-Mar-17,18.04,18.17,17.96,18.05,2537119
28-Mar-17,17.78,18.18,17.74,18.09,3202330
27-Mar-17,17.74,17.86,17.49,17.85,3214949
24-Mar-17,17.99,18.07,17.87,18.04,3894906
23-Mar-17,17.72,18.10,17.65,17.88,2475255
22-Mar-17,17.73,17.88,17.47,17.77,3541833
21-Mar-17,18.75,18.75,17.80,17.83,4935824
20-Mar-17,18.81,18.92,18.63,18.64,2668542
17-Mar-17,18.92,19.10,18.68,18.82,6377737
16-Mar-17,18.87,18.99,18.82,18.88,1716472
15-Mar-17,19.00,19.11,18.72,18.78,3013837
14-Mar-17,18.94,18.96,18.53,18.95,1945705
13-Mar-17,18.91,19.05,18.80,18.98,3055770
10-Mar-17,19.10,19.12,18.73,18.94,2534530
9-Mar-17,18.87,19.08,18.84,18.92,2583109
8-Mar-17,19.27,19.29,18.80,18.85,5443996
7-Mar-17,19.18,19.30,19.08,19.09,3949115
6-Mar-17,19.19,19.29,19.04,19.20,2648966
3-Mar-17,19.26,19.40,19.21,19.35,2006827
2-Mar-17,19.75,19.75,19.24,19.25,2520899
1-Mar-17,19.52,19.80,19.45,19.69,3901060
28-Feb-17,19.22,19.27,19.10,19.20,3406890
27-Feb-17,19.26,19.34,19.22,19.27,1664651
24-Feb-17,19.15,19.25,19.08,19.25,2015876
23-Feb-17,19.28,19.31,19.09,19.26,1694059
22-Feb-17,19.19,19.34,19.15,19.25,2118520
21-Feb-17,19.25,19.34,19.20,19.25,2621791
17-Feb-17,19.12,19.24,19.06,19.19,2279024
16-Feb-17,19.12,19.29,19.04,19.28,3961626
15-Feb-17,19.13,19.17,18.95,19.16,3972362
14-Feb-17,18.89,19.12,18.79,19.11,2800409
13-Feb-17,18.85,18.98,18.81,18.86,2413984
10-Feb-17,18.82,18.86,18.70,18.74,2738385
9-Feb-17,18.49,18.77,18.46,18.73,3159876
8-Feb-17,18.55,18.58,18.36,18.47,4109097
7-Feb-17,18.84,18.85,18.60,18.65,4188082
6-Feb-17,18.78,19.04,18.75,18.78,3311222
3-Feb-17,18.77,18.98,18.70,18.88,3253348
2-Feb-17,18.62,18.71,18.49,18.56,2865523
1-Feb-17,18.89,19.11,18.66,18.73,3907565
31-Jan-17,18.69,18.79,18.55,18.75,12742827
30-Jan-17,18.82,18.82,18.50,18.66,4032509
27-Jan-17,19.25,19.31,18.99,19.04,3441392
26-Jan-17,19.11,19.31,19.08,19.28,3842252
25-Jan-17,18.99,19.16,18.91,19.09,5401506
