Date,Open,High,Low,Close,Volume
28-Apr-17,45.02,45.02,44.38,44.49,829803
27-Apr-17,44.64,45.10,44.50,44.73,533761
26-Apr-17,44.40,44.90,44.26,44.58,396495
25-Apr-17,43.80,44.50,43.63,44.23,738046
24-Apr-17,43.77,43.89,43.51,43.75,687986
21-Apr-17,44.18,44.28,43.40,43.52,839472
20-Apr-17,43.87,44.40,43.63,44.27,559189
19-Apr-17,43.88,44.15,43.69,43.82,486113
18-Apr-17,43.62,43.72,43.10,43.70,409544
17-Apr-17,43.68,43.96,43.55,43.88,694877
13-Apr-17,43.83,43.83,43.50,43.55,543799
12-Apr-17,44.16,44.19,43.63,43.90,806472
11-Apr-17,44.27,44.51,44.13,44.30,782729
10-Apr-17,44.37,44.67,44.22,44.44,663594
7-Apr-17,44.60,44.93,44.40,44.51,447196
6-Apr-17,44.30,44.74,44.10,44.68,824638
5-Apr-17,44.96,45.16,44.18,44.22,1170552
4-Apr-17,45.09,45.19,44.78,44.96,533525
3-Apr-17,45.25,45.72,45.00,45.16,791678
31-Mar-17,45.07,45.57,45.07,45.23,694732
30-Mar-17,45.07,45.43,45.07,45.27,420188
29-Mar-17,44.90,45.10,44.78,45.08,597873
28-Mar-17,44.70,45.17,44.58,45.02,650627
27-Mar-17,44.29,44.74,44.29,44.70,696730
24-Mar-17,44.27,44.75,44.27,44.48,527024
23-Mar-17,44.29,44.66,44.13,44.21,717844
22-Mar-17,44.86,44.86,43.92,44.33,1565963
21-Mar-17,45.66,45.92,44.64,44.79,755459
20-Mar-17,45.51,45.74,45.31,45.54,486278
17-Mar-17,45.54,45.76,45.38,45.48,1129897
16-Mar-17,45.92,46.05,45.43,45.54,702310
15-Mar-17,45.24,46.12,45.24,45.80,888429
14-Mar-17,45.16,45.31,44.60,45.18,624322
13-Mar-17,44.63,45.34,44.49,45.25,959964
10-Mar-17,44.59,44.97,44.37,44.57,556993
9-Mar-17,44.48,44.59,44.20,44.41,768318
8-Mar-17,44.26,44.96,44.13,44.37,958854
7-Mar-17,43.83,44.22,43.59,44.15,939566
6-Mar-17,44.85,44.85,43.72,43.82,2161929
3-Mar-17,45.48,45.54,44.84,45.00,1555827
2-Mar-17,45.70,45.85,45.45,45.67,890931
1-Mar-17,45.63,46.02,45.40,45.89,919920
28-Feb-17,45.18,45.64,45.18,45.45,1274435
27-Feb-17,45.25,45.68,45.14,45.32,831712
24-Feb-17,44.49,45.24,44.28,45.22,889288
23-Feb-17,44.73,45.25,43.16,44.60,2751885
22-Feb-17,44.77,45.22,44.47,44.60,1604581
21-Feb-17,44.07,44.93,44.00,44.81,1421570
17-Feb-17,43.76,44.18,43.54,44.08,1516024
16-Feb-17,43.50,43.86,43.40,43.79,803720
15-Feb-17,43.25,43.57,42.68,43.50,1358375
14-Feb-17,43.08,43.60,42.94,43.49,912506
13-Feb-17,43.00,43.19,42.80,43.15,443865
10-Feb-17,42.69,43.08,42.60,42.83,571715
9-Feb-17,42.26,42.91,42.15,42.72,683109
8-Feb-17,42.00,42.27,41.93,42.17,606195
7-Feb-17,42.10,42.49,41.97,42.11,802800
6-Feb-17,42.22,42.27,41.95,42.11,869915
3-Feb-17,42.10,42.30,41.58,42.13,1171677
2-Feb-17,41.73,42.03,41.57,41.85,614347
1-Feb-17,41.81,42.12,41.48,41.92,880446
31-Jan-17,41.20,41.62,40.91,41.61,1306112
30-Jan-17,41.21,41.40,40.68,41.00,1258322
27-Jan-17,41.62,41.82,41.38,41.50,1133288
26-Jan-17,41.77,42.00,41.53,41.77,768712
25-Jan-17,41.43,41.88,41.22,41.77,1978996
24-Jan-17,41.14,41.34,40.76,41.17,1376464
23-Jan-17,41.34,41.45,40.85,41.15,1033606
20-Jan-17,40.73,40.93,40.55,40.84,970123
19-Jan-17,41.26,41.26,40.40,40.69,1157249
18-Jan-17,41.20,41.61,40.75,41.21,878942
17-Jan-17,41.20,41.56,40.60,41.03,920511
13-Jan-17,40.23,41.43,40.23,41.28,1250630
12-Jan-17,40.42,40.42,39.91,40.31,1389542
11-Jan-17,41.35,41.79,40.10,40.47,2461758
10-Jan-17,42.50,42.65,41.66,41.79,2210152
9-Jan-17,42.43,42.83,42.32,42.54,900145
6-Jan-17,42.51,42.62,42.08,42.43,862741
5-Jan-17,42.92,42.93,42.23,42.42,930978
4-Jan-17,42.59,43.11,42.55,42.95,1172493
3-Jan-17,41.71,42.71,41.51,42.55,1792428
30-Dec-16,41.26,41.46,40.92,41.03,932472
29-Dec-16,40.88,41.44,40.80,41.14,1337790
28-Dec-16,41.07,41.29,40.88,40.93,772885
27-Dec-16,40.78,41.17,40.78,40.92,1126916
23-Dec-16,40.86,41.17,40.69,40.85,731654
22-Dec-16,40.49,40.98,40.49,40.83,937367
21-Dec-16,40.38,40.64,40.30,40.60,1132015
20-Dec-16,40.41,40.61,40.21,40.28,1022169
19-Dec-16,40.93,41.25,40.18,40.30,1020651
16-Dec-16,40.43,41.00,40.30,40.95,5379489
15-Dec-16,40.27,40.58,39.95,40.39,901196
14-Dec-16,40.69,40.81,39.91,40.14,1711641
13-Dec-16,40.66,40.86,40.50,40.77,1022621
12-Dec-16,40.39,41.23,40.23,40.58,1431904
9-Dec-16,39.98,40.42,39.87,40.40,1976192
8-Dec-16,39.90,40.02,39.78,39.83,1988653
7-Dec-16,40.36,40.36,39.83,39.93,1783105
6-Dec-16,39.80,40.42,39.76,40.37,2573076
5-Dec-16,39.48,39.66,39.21,39.61,1551302
2-Dec-16,39.04,39.43,38.93,39.20,1708161
1-Dec-16,38.71,39.19,38.69,39.04,2179612
30-Nov-16,38.54,39.27,38.51,38.74,4448787
29-Nov-16,38.69,38.92,38.62,38.87,2411362
28-Nov-16,38.87,39.05,38.24,38.80,2736265
25-Nov-16,39.25,39.33,38.50,39.05,1927006
23-Nov-16,39.61,40.15,38.15,39.26,7456609
22-Nov-16,39.21,40.52,36.46,39.56,14685248
21-Nov-16,46.52,49.26,46.47,47.51,4286950
18-Nov-16,47.75,47.92,46.23,46.49,2349938
17-Nov-16,48.27,48.68,48.14,48.23,820627
16-Nov-16,48.05,48.66,47.91,48.36,939717
15-Nov-16,48.00,48.23,47.63,48.07,1034890
14-Nov-16,47.77,47.99,47.23,47.88,838594
11-Nov-16,47.33,47.88,46.90,47.66,823436
10-Nov-16,47.47,47.92,46.86,47.48,1510176
9-Nov-16,46.89,47.14,46.00,47.01,874435
8-Nov-16,46.57,46.83,46.16,46.67,822539
7-Nov-16,46.46,46.80,46.22,46.67,795220
4-Nov-16,45.38,46.07,45.26,45.76,1009677
3-Nov-16,45.52,46.17,45.28,45.38,1839398
