Date,Open,High,Low,Close,Volume
28-Apr-17,64.41,65.56,63.72,65.13,1441966
27-Apr-17,64.49,65.25,64.46,65.18,1463251
26-Apr-17,64.32,64.73,64.24,64.31,1010383
25-Apr-17,64.50,64.81,64.29,64.35,1166858
24-Apr-17,64.35,64.42,63.68,63.92,1244865
21-Apr-17,62.90,63.19,62.60,62.81,736033
20-Apr-17,62.49,63.23,62.27,62.92,1169022
19-Apr-17,62.93,62.96,62.01,62.08,991167
18-Apr-17,62.04,62.61,61.99,62.39,832435
17-Apr-17,61.82,62.69,61.48,62.63,612999
13-Apr-17,61.73,62.37,61.38,61.51,703279
12-Apr-17,62.90,62.96,61.67,61.93,918189
11-Apr-17,62.44,63.07,62.17,62.90,712381
10-Apr-17,62.64,63.02,62.27,62.67,711253
7-Apr-17,62.20,62.91,62.06,62.57,837114
6-Apr-17,62.12,63.15,61.75,62.73,1029735
5-Apr-17,63.33,63.70,62.10,62.16,1133078
4-Apr-17,62.75,63.14,62.64,62.85,925108
3-Apr-17,63.30,63.47,62.03,63.09,1034849
31-Mar-17,62.73,63.49,62.57,63.11,1152582
30-Mar-17,62.49,63.61,62.24,63.11,1081029
29-Mar-17,62.88,62.88,62.15,62.47,667634
28-Mar-17,62.08,63.41,61.95,63.01,966529
27-Mar-17,60.60,62.21,60.18,62.11,869658
24-Mar-17,62.18,62.86,61.82,62.17,969545
23-Mar-17,61.89,62.84,61.64,62.18,746978
22-Mar-17,60.91,62.05,60.27,61.90,1158101
21-Mar-17,63.56,63.66,61.17,61.26,1435340
20-Mar-17,63.34,63.47,62.87,63.11,574859
17-Mar-17,64.27,64.29,63.38,63.44,1464656
16-Mar-17,64.00,64.65,63.97,64.20,1147293
15-Mar-17,63.14,63.89,63.06,63.83,1256341
14-Mar-17,63.25,63.35,62.74,63.01,904946
13-Mar-17,63.52,63.74,63.36,63.58,945636
10-Mar-17,63.10,63.92,62.90,63.54,914053
9-Mar-17,63.12,63.62,62.81,63.07,961219
8-Mar-17,63.71,63.89,63.00,63.07,857802
7-Mar-17,63.16,63.24,62.78,63.04,1036415
6-Mar-17,63.12,63.61,63.03,63.37,992539
3-Mar-17,62.88,63.71,62.88,63.57,1678112
2-Mar-17,63.43,63.62,62.65,62.71,1461680
1-Mar-17,63.53,64.31,63.49,64.02,1765218
28-Feb-17,62.48,62.69,61.98,62.54,1225280
27-Feb-17,62.68,63.00,62.28,62.78,1103870
24-Feb-17,62.04,62.84,62.04,62.75,1342903
23-Feb-17,62.90,62.97,62.44,62.87,1015518
22-Feb-17,62.13,63.12,61.99,62.83,2041430
21-Feb-17,62.24,62.70,62.15,62.42,883940
17-Feb-17,61.84,62.14,61.43,62.12,990232
16-Feb-17,62.56,62.88,62.33,62.60,1178657
15-Feb-17,62.27,62.78,61.89,62.73,1270517
14-Feb-17,62.01,62.59,61.95,62.06,1277243
13-Feb-17,61.13,62.32,61.07,62.09,1699396
10-Feb-17,60.87,61.05,60.54,60.86,1183072
9-Feb-17,60.04,60.79,59.80,60.58,1329830
8-Feb-17,59.33,59.91,58.94,59.84,1396002
7-Feb-17,59.73,59.87,59.45,59.72,1243773
6-Feb-17,58.87,59.82,58.87,59.47,1205072
3-Feb-17,58.69,59.44,58.63,59.42,1590832
2-Feb-17,56.75,57.86,56.12,57.51,1648440
1-Feb-17,57.65,58.57,56.97,57.20,1940439
31-Jan-17,58.25,58.25,56.34,57.09,2998917
30-Jan-17,57.86,57.86,56.67,57.74,1757301
27-Jan-17,58.57,58.72,57.27,58.00,2334045
26-Jan-17,59.49,59.54,57.62,58.57,1772287
25-Jan-17,59.17,59.77,59.07,59.65,1014237
24-Jan-17,57.96,58.89,57.74,58.58,1596130
23-Jan-17,58.10,58.42,57.56,57.74,1088416
20-Jan-17,58.43,58.94,57.95,58.24,1238684
19-Jan-17,59.53,59.67,58.05,58.30,1517768
18-Jan-17,58.54,59.54,58.09,59.48,987436
17-Jan-17,58.36,58.91,58.00,58.27,1487190
13-Jan-17,59.20,59.63,58.86,59.03,709746
12-Jan-17,58.60,59.04,58.01,58.87,1552795
11-Jan-17,58.58,59.31,58.48,58.98,944746
10-Jan-17,58.36,59.24,58.05,58.65,851538
9-Jan-17,58.45,59.15,58.19,58.19,1177557
6-Jan-17,58.86,59.15,58.57,58.86,1356243
5-Jan-17,59.14,59.31,57.96,58.51,1308307
4-Jan-17,58.84,59.19,58.69,59.11,995223
3-Jan-17,58.61,59.29,58.03,58.58,1276133
30-Dec-16,57.97,58.20,57.62,57.86,806442
29-Dec-16,57.94,58.40,57.63,57.85,646184
28-Dec-16,58.70,58.93,57.99,58.00,727443
27-Dec-16,58.44,58.93,58.44,58.73,525164
23-Dec-16,58.33,58.47,58.04,58.41,474662
22-Dec-16,59.16,59.16,58.10,58.42,953224
21-Dec-16,58.85,59.28,58.46,59.11,1306383
20-Dec-16,58.43,58.88,58.01,58.75,1493405
19-Dec-16,57.91,58.21,57.40,57.84,1782316
16-Dec-16,59.10,59.27,57.74,57.80,2695918
15-Dec-16,58.96,59.57,58.76,59.08,1986327
14-Dec-16,59.15,59.91,58.45,58.72,1984244
13-Dec-16,59.78,59.94,59.08,59.52,1373056
12-Dec-16,60.29,60.39,58.98,59.44,1372401
9-Dec-16,60.71,60.71,60.04,60.30,1544531
8-Dec-16,61.00,61.34,60.20,60.86,1586401
7-Dec-16,59.42,60.69,59.31,60.69,2065067
6-Dec-16,59.60,59.87,59.00,59.42,2500405
5-Dec-16,58.48,59.48,57.79,59.47,2987266
2-Dec-16,58.13,58.15,57.39,57.78,1256606
1-Dec-16,57.75,58.50,57.69,58.31,1622389
30-Nov-16,57.88,58.74,57.56,57.69,2141751
29-Nov-16,57.29,57.47,56.86,57.19,1371581
28-Nov-16,57.71,58.15,57.00,57.06,1247135
25-Nov-16,58.46,58.52,58.02,58.33,401546
23-Nov-16,57.88,58.43,57.74,58.41,1442591
22-Nov-16,58.12,58.12,57.27,57.68,1953223
21-Nov-16,57.85,58.05,57.37,57.80,1191976
18-Nov-16,57.85,57.92,57.07,57.66,1219560
17-Nov-16,57.65,57.90,57.27,57.79,1635463
16-Nov-16,57.10,57.63,56.86,57.12,1226590
15-Nov-16,56.96,57.74,56.64,57.71,1783127
14-Nov-16,57.91,58.85,57.12,57.31,2369914
11-Nov-16,57.40,57.90,56.28,57.30,2623771
10-Nov-16,56.86,58.09,56.62,57.88,3308441
9-Nov-16,55.15,56.20,54.67,56.10,4813235
8-Nov-16,54.29,54.69,53.86,54.49,2560962
7-Nov-16,54.31,54.51,54.15,54.32,2332450
4-Nov-16,53.38,53.68,52.67,53.13,1806176
3-Nov-16,53.80,53.92,53.19,53.33,2121200
2-Nov-16,53.89,54.26,53.30,53.46,1731101
1-Nov-16,54.98,55.00,53.59,54.15,2418072
31-Oct-16,55.73,55.73,54.59,54.60,2194124
28-Oct-16,53.56,56.32,53.30,55.27,3209925
27-Oct-16,53.26,53.76,52.85,53.56,1897372
26-Oct-16,52.57,53.17,52.49,53.01,1624354
25-Oct-16,52.93,53.07,52.54,52.96,1626504
24-Oct-16,53.05,53.20,52.75,53.00,1006030
21-Oct-16,52.27,52.78,52.08,52.62,1151668
20-Oct-16,52.67,52.93,52.42,52.80,1319007
19-Oct-16,53.03,53.03,52.39,52.75,1745311
18-Oct-16,53.00,53.00,52.41,52.63,1498463
17-Oct-16,52.44,52.66,52.18,52.26,730801
14-Oct-16,52.54,53.00,52.27,52.33,959025
13-Oct-16,51.98,52.29,51.25,52.01,1983395
12-Oct-16,52.64,53.11,52.47,52.71,1082507
11-Oct-16,52.61,52.80,52.06,52.50,1854511
10-Oct-16,52.54,52.93,52.44,52.83,1624990
