Date,Open,High,Low,Close,Volume
28-Apr-17,87.52,87.59,87.15,87.33,8295445
27-Apr-17,87.58,88.24,87.23,87.69,8517522
26-Apr-17,89.85,90.00,87.61,87.74,11951322
25-Apr-17,89.58,90.25,89.47,90.00,9088390
24-Apr-17,89.12,89.66,89.01,89.55,8338467
21-Apr-17,89.17,89.28,88.61,88.62,9061218
20-Apr-17,89.70,89.70,89.31,89.33,6983536
19-Apr-17,90.10,90.45,89.50,89.60,6918993
18-Apr-17,90.40,91.13,90.34,90.80,7087796
17-Apr-17,90.23,90.59,90.13,90.39,6931678
13-Apr-17,90.05,90.54,89.79,90.03,5040104
12-Apr-17,89.70,90.42,89.56,90.31,6286312
11-Apr-17,89.66,89.82,89.29,89.80,5185977
10-Apr-17,89.13,89.68,88.75,89.49,5955986
7-Apr-17,89.46,89.61,89.18,89.23,4739140
6-Apr-17,89.77,89.81,89.31,89.40,7231506
5-Apr-17,90.00,90.50,89.76,89.97,6320139
4-Apr-17,89.75,89.96,89.42,89.91,5680764
3-Apr-17,89.86,90.06,89.45,89.68,6967439
31-Mar-17,90.03,90.34,89.84,89.85,6942356
30-Mar-17,90.50,90.57,90.10,90.20,3691926
29-Mar-17,90.56,90.87,90.39,90.60,4252782
28-Mar-17,90.17,91.06,90.13,90.76,11855807
27-Mar-17,90.45,90.72,90.18,90.49,10071996
24-Mar-17,90.77,90.92,90.21,90.57,9251999
23-Mar-17,90.91,91.46,90.60,90.77,6831401
22-Mar-17,91.31,91.80,90.75,90.99,7798024
21-Mar-17,91.30,91.75,91.03,91.19,8210951
20-Mar-17,90.96,91.41,90.94,91.22,7772903
17-Mar-17,91.45,92.00,90.92,91.00,37010081
16-Mar-17,91.44,91.72,91.10,91.44,6601208
15-Mar-17,91.00,91.78,90.73,91.40,7855256
14-Mar-17,91.26,91.59,90.82,91.00,6686388
13-Mar-17,91.06,91.49,90.85,91.31,7397472
10-Mar-17,90.80,91.16,90.65,91.07,6797792
9-Mar-17,90.14,90.49,90.10,90.34,5587379
8-Mar-17,90.02,90.35,89.76,90.14,5513405
