Date,Open,High,Low,Close,Volume
28-Apr-17,40.11,40.11,39.69,39.72,1574224
27-Apr-17,40.07,40.24,39.90,40.10,1991916
26-Apr-17,39.87,40.22,39.83,39.98,1664637
25-Apr-17,39.82,39.96,39.80,39.92,1961930
24-Apr-17,39.93,39.98,39.48,39.71,1653564
21-Apr-17,39.40,39.46,39.16,39.38,3248643
20-Apr-17,38.93,39.52,38.85,39.41,2996476
19-Apr-17,39.13,39.29,38.80,38.87,3923553
18-Apr-17,39.20,39.60,38.61,39.01,7093941
17-Apr-17,39.40,39.59,39.20,39.56,2714459
13-Apr-17,39.29,39.51,39.11,39.29,2706768
12-Apr-17,39.32,39.36,38.93,39.28,2459705
11-Apr-17,39.46,39.52,39.22,39.51,2513507
10-Apr-17,39.56,39.68,39.48,39.61,2023573
7-Apr-17,39.10,39.45,39.06,39.29,3375697
6-Apr-17,39.28,39.46,39.00,39.25,5279465
5-Apr-17,39.45,39.57,39.21,39.25,2324861
4-Apr-17,39.30,39.34,39.04,39.26,2876739
3-Apr-17,39.24,39.37,38.93,39.28,3749537
31-Mar-17,39.38,39.38,38.93,39.18,3413206
30-Mar-17,39.35,39.58,39.29,39.48,2369792
29-Mar-17,39.73,39.73,39.29,39.38,2758805
28-Mar-17,39.39,39.91,39.34,39.85,4823474
27-Mar-17,39.12,39.54,39.06,39.48,2048689
24-Mar-17,39.63,39.86,39.35,39.53,2557911
23-Mar-17,39.75,40.04,39.56,39.57,3769723
22-Mar-17,40.14,40.26,39.66,39.80,2823260
21-Mar-17,40.74,40.74,39.91,40.02,5255787
20-Mar-17,40.61,40.72,39.97,40.22,6642605
17-Mar-17,40.08,40.47,40.00,40.31,3869835
16-Mar-17,40.12,40.32,40.00,40.03,2148086
15-Mar-17,39.86,40.20,39.77,40.16,2558298
14-Mar-17,39.60,39.88,39.53,39.76,2135136
13-Mar-17,39.52,39.69,39.46,39.68,2786232
10-Mar-17,39.54,39.57,39.34,39.54,3515917
9-Mar-17,39.40,39.40,39.24,39.35,2696595
8-Mar-17,39.44,39.46,39.24,39.31,2478969
7-Mar-17,39.45,39.57,39.27,39.32,2215247
6-Mar-17,39.60,39.73,39.40,39.41,2079717
3-Mar-17,39.59,39.84,39.53,39.83,1858994
2-Mar-17,39.83,39.94,39.62,39.68,2345125
1-Mar-17,39.69,39.91,39.52,39.87,4113835
28-Feb-17,38.79,39.26,38.76,39.18,4195047
27-Feb-17,39.11,39.21,38.77,38.90,1663410
24-Feb-17,38.90,39.20,38.82,39.05,1976252
23-Feb-17,38.81,39.21,38.74,39.09,3470815
22-Feb-17,38.74,38.85,38.54,38.84,2127603
21-Feb-17,38.63,38.97,38.59,38.93,2315842
17-Feb-17,38.53,38.60,38.36,38.57,1976978
16-Feb-17,38.41,38.61,38.27,38.61,2445778
15-Feb-17,37.75,38.44,37.75,38.39,4086933
14-Feb-17,37.60,37.61,37.29,37.45,2320373
13-Feb-17,37.72,37.75,37.45,37.60,2515339
10-Feb-17,37.22,37.72,37.22,37.66,2575320
9-Feb-17,37.00,37.36,36.88,37.32,2149441
8-Feb-17,37.01,37.10,36.84,36.97,2070423
7-Feb-17,37.10,37.16,36.78,37.04,2643412
6-Feb-17,36.96,37.18,36.93,37.01,2124869
3-Feb-17,37.41,37.49,36.98,37.13,4121430
2-Feb-17,36.89,37.25,36.78,37.09,3522608
1-Feb-17,36.84,37.25,36.74,36.94,3494555
31-Jan-17,37.50,37.57,37.22,37.44,3354851
30-Jan-17,37.97,37.97,37.41,37.49,3223105
27-Jan-17,38.05,38.17,37.87,38.00,2140888
26-Jan-17,37.87,38.05,37.73,38.04,2772975
25-Jan-17,36.77,37.91,36.67,37.77,5169778
24-Jan-17,36.52,36.66,36.28,36.61,2946465
23-Jan-17,36.52,36.52,36.17,36.44,3011327
20-Jan-17,36.39,36.65,36.37,36.54,2233743
19-Jan-17,36.41,36.46,36.19,36.38,2310121
18-Jan-17,36.12,36.43,35.95,36.35,2113435
17-Jan-17,36.10,36.28,35.85,35.98,2367830
13-Jan-17,36.32,36.50,36.22,36.25,1208163
12-Jan-17,36.30,36.30,35.96,36.20,2388047
11-Jan-17,36.23,36.59,36.22,36.47,3412024
10-Jan-17,35.98,36.50,35.81,36.32,3641700
9-Jan-17,35.98,35.98,35.72,35.72,1876385
6-Jan-17,35.80,36.18,35.76,36.03,2147029
5-Jan-17,35.93,35.95,35.54,35.84,2348829
4-Jan-17,35.63,35.95,35.63,35.85,2915716
3-Jan-17,35.74,35.78,35.23,35.53,2993700
30-Dec-16,35.60,35.62,35.40,35.50,1561439
29-Dec-16,35.50,35.60,35.32,35.51,1318107
28-Dec-16,35.68,35.81,35.45,35.47,1366895
27-Dec-16,35.62,35.78,35.51,35.73,1240134
23-Dec-16,35.65,35.72,35.46,35.60,2689932
22-Dec-16,35.71,35.82,35.56,35.62,2862720
21-Dec-16,35.72,35.94,35.67,35.73,1897676
20-Dec-16,35.74,35.86,35.68,35.74,1962264
