Date,Open,High,Low,Close,Volume
28-Apr-17,162.17,163.00,160.22,160.80,2074861
27-Apr-17,165.51,166.60,159.45,161.98,2452209
26-Apr-17,164.89,165.94,163.55,164.54,1784897
25-Apr-17,161.76,165.60,161.57,165.22,2121778
24-Apr-17,159.00,160.82,158.87,160.61,1319160
21-Apr-17,157.33,157.76,156.00,156.31,1053920
20-Apr-17,156.03,157.74,155.21,157.07,1011246
19-Apr-17,156.56,156.70,154.17,154.82,915717
18-Apr-17,154.55,156.49,154.39,155.76,1155611
17-Apr-17,154.60,155.88,153.65,155.72,1058192
13-Apr-17,154.58,156.08,153.47,153.59,1309947
12-Apr-17,161.14,161.57,155.21,155.42,2024386
11-Apr-17,159.88,160.84,158.75,160.81,945642
10-Apr-17,161.23,162.64,160.28,160.35,1082495
7-Apr-17,160.28,161.62,160.19,161.02,911832
6-Apr-17,160.13,161.41,159.63,160.23,756666
5-Apr-17,160.98,163.14,159.60,159.81,856240
4-Apr-17,159.49,160.93,158.84,160.25,712251
3-Apr-17,160.17,161.30,158.16,159.61,1007657
31-Mar-17,159.35,161.23,159.02,160.32,739624
30-Mar-17,158.73,160.66,158.57,160.05,582838
29-Mar-17,158.55,159.86,157.92,158.97,921038
28-Mar-17,155.57,159.03,155.09,158.43,958728
27-Mar-17,154.86,156.32,152.62,155.65,976323
24-Mar-17,158.03,158.55,156.05,156.69,1111095
23-Mar-17,157.63,158.71,156.70,158.00,872406
22-Mar-17,157.13,157.77,156.10,157.55,1019448
21-Mar-17,159.20,159.69,156.48,156.90,1262438
20-Mar-17,159.18,159.38,157.82,158.24,833700
17-Mar-17,158.35,159.51,157.88,159.10,1806854
16-Mar-17,160.08,160.23,157.71,158.24,1182429
15-Mar-17,157.90,160.08,157.72,159.58,822128
14-Mar-17,157.31,157.76,156.14,157.05,742445
13-Mar-17,157.88,159.07,157.06,158.08,1055574
10-Mar-17,157.75,158.74,156.16,157.32,1392518
9-Mar-17,157.36,158.16,155.24,156.29,879802
8-Mar-17,157.67,159.36,157.56,157.65,1164925
7-Mar-17,158.00,158.43,156.84,157.49,1044375
6-Mar-17,155.94,158.09,155.87,157.93,965269
3-Mar-17,157.01,157.33,155.95,157.06,765980
2-Mar-17,158.31,159.04,156.83,157.09,1159294
1-Mar-17,156.94,159.05,155.03,158.44,1410446
28-Feb-17,155.80,156.62,154.70,154.84,1090318
27-Feb-17,154.84,156.27,154.20,156.14,690805
24-Feb-17,152.51,155.11,151.77,155.04,647660
23-Feb-17,156.48,156.48,152.89,153.70,702170
22-Feb-17,156.49,156.84,155.49,155.86,1058473
21-Feb-17,154.12,155.96,154.00,155.62,921215
17-Feb-17,153.70,154.38,152.53,153.89,1079012
16-Feb-17,155.47,155.75,153.43,154.41,823166
15-Feb-17,153.64,156.44,153.07,155.49,1762902
14-Feb-17,151.95,152.83,150.95,152.63,836285
13-Feb-17,151.01,153.13,151.00,152.46,1625161
10-Feb-17,149.76,150.33,149.05,150.25,1058958
9-Feb-17,147.79,149.52,147.36,149.37,1002748
8-Feb-17,146.89,147.63,145.38,147.45,1372409
7-Feb-17,150.43,150.43,147.59,147.97,1342330
6-Feb-17,149.62,150.11,148.05,148.65,945038
3-Feb-17,150.69,151.15,149.15,150.21,1072979
2-Feb-17,148.98,152.87,148.04,149.75,2040301
1-Feb-17,147.15,148.10,145.09,145.45,1423224
31-Jan-17,146.86,147.52,144.82,147.13,1345900
30-Jan-17,148.90,148.90,145.85,147.33,983040
27-Jan-17,149.53,150.14,148.97,149.27,717201
26-Jan-17,149.07,149.98,148.03,149.10,1117255
25-Jan-17,146.04,149.88,145.79,149.52,1634587
24-Jan-17,142.90,146.17,142.73,145.48,781069
23-Jan-17,142.50,142.82,141.06,142.50,998379
20-Jan-17,144.46,144.50,142.44,142.52,1350264
19-Jan-17,144.39,145.52,143.17,143.75,1174563
18-Jan-17,143.82,145.44,143.64,144.40,801974
17-Jan-17,145.40,145.46,143.55,143.62,1624213
13-Jan-17,144.70,146.34,144.31,146.25,947210
12-Jan-17,144.50,144.61,141.68,143.75,1231389
11-Jan-17,142.01,145.34,141.29,145.21,1441611
10-Jan-17,141.16,142.05,140.74,141.83,721880
9-Jan-17,141.54,142.15,140.37,140.78,519298
6-Jan-17,141.91,142.40,141.06,141.49,727481
5-Jan-17,142.35,142.67,139.92,141.37,557915
4-Jan-17,142.50,143.20,141.90,142.64,637928
3-Jan-17,142.20,144.25,140.83,142.55,1115090
30-Dec-16,140.45,141.15,139.49,140.00,593451
29-Dec-16,140.87,141.55,139.72,140.26,429305
28-Dec-16,143.46,143.76,140.59,140.87,774175
27-Dec-16,142.84,143.50,142.66,143.27,355446
23-Dec-16,142.96,143.25,142.38,142.74,279496
22-Dec-16,142.36,143.39,142.06,142.80,990833
21-Dec-16,143.41,143.82,141.98,142.39,957497
20-Dec-16,143.66,144.54,142.94,143.91,798357
19-Dec-16,142.92,143.44,141.69,142.82,740270
16-Dec-16,143.66,144.44,142.33,142.75,1956375
15-Dec-16,140.30,144.45,139.92,143.00,1485935
