Date,Open,High,Low,Close,Volume
28-Apr-17,22.83,22.86,22.45,22.67,6637263
27-Apr-17,22.75,22.95,22.56,22.87,8270099
26-Apr-17,22.15,22.90,22.11,22.70,10691528
25-Apr-17,22.16,22.37,21.41,22.20,16840784
24-Apr-17,23.61,23.62,22.90,23.08,9886482
21-Apr-17,23.28,23.39,23.09,23.32,5754203
20-Apr-17,24.38,24.43,23.18,23.34,9572658
19-Apr-17,24.27,24.36,24.11,24.19,4227490
18-Apr-17,24.04,24.31,23.83,24.20,4387404
17-Apr-17,23.76,24.15,23.72,24.11,4580458
13-Apr-17,23.76,23.97,23.68,23.71,4503325
12-Apr-17,23.76,23.89,23.57,23.77,3901179
11-Apr-17,23.45,23.83,23.38,23.76,4407819
10-Apr-17,23.28,23.60,23.28,23.46,3311379
7-Apr-17,23.30,23.46,23.24,23.28,7508976
6-Apr-17,23.31,23.62,23.25,23.36,6105190
5-Apr-17,23.45,23.73,23.20,23.29,5344648
4-Apr-17,23.41,23.55,23.31,23.37,3170275
3-Apr-17,23.65,23.72,23.32,23.48,3617919
31-Mar-17,23.78,23.84,23.49,23.55,4572271
30-Mar-17,23.74,23.87,23.64,23.83,2600726
29-Mar-17,23.65,23.83,23.58,23.75,2555368
28-Mar-17,23.40,23.81,23.37,23.73,3967614
27-Mar-17,23.18,23.55,23.13,23.47,3723222
24-Mar-17,23.53,23.66,23.30,23.49,3311575
23-Mar-17,23.37,23.76,23.36,23.42,3601059
22-Mar-17,23.40,23.45,23.09,23.37,7081980
21-Mar-17,23.80,23.88,23.25,23.40,5417642
20-Mar-17,23.70,23.80,23.53,23.74,3593529
17-Mar-17,23.87,23.92,23.57,23.72,8350620
16-Mar-17,23.50,24.05,23.49,23.81,7643299
15-Mar-17,23.28,23.57,23.09,23.43,5107268
14-Mar-17,23.27,23.27,22.87,23.18,6175700
13-Mar-17,23.60,23.64,23.17,23.39,6187726
10-Mar-17,23.41,23.82,23.30,23.53,10823170
9-Mar-17,23.16,23.42,22.89,23.12,8811967
8-Mar-17,22.73,23.25,22.72,23.16,10662912
7-Mar-17,22.46,22.94,22.32,22.79,7282647
6-Mar-17,22.33,22.56,22.20,22.46,6289986
3-Mar-17,22.37,22.56,22.21,22.48,5033427
2-Mar-17,22.51,22.71,22.36,22.42,4941876
1-Mar-17,22.25,22.73,22.21,22.49,7511004
28-Feb-17,22.07,22.19,21.92,22.05,6841553
27-Feb-17,21.65,22.16,21.65,22.10,6539206
24-Feb-17,21.53,21.77,21.31,21.73,4985518
23-Feb-17,21.78,21.79,21.50,21.60,3746198
22-Feb-17,21.93,21.93,21.63,21.71,7004113
21-Feb-17,21.51,21.65,21.39,21.61,4343814
17-Feb-17,21.29,21.41,21.13,21.40,3307660
16-Feb-17,21.61,21.75,21.32,21.34,3727220
15-Feb-17,21.40,21.70,21.28,21.63,4375797
14-Feb-17,21.79,21.88,21.40,21.49,4346309
13-Feb-17,21.70,21.75,21.51,21.52,3116760
10-Feb-17,21.46,21.69,21.40,21.62,3532424
9-Feb-17,21.30,21.46,21.13,21.40,3320694
8-Feb-17,21.14,21.37,21.06,21.27,4153781
7-Feb-17,21.62,21.62,21.14,21.25,5003179
