Date,Open,High,Low,Close,Volume
28-Apr-17,59.92,59.97,59.07,59.41,512950
27-Apr-17,60.00,60.35,59.72,59.91,827197
26-Apr-17,58.79,60.01,58.73,59.98,1145749
25-Apr-17,58.50,59.03,58.03,58.65,500658
24-Apr-17,58.02,58.36,57.88,58.21,361650
21-Apr-17,57.24,57.43,56.98,57.22,648085
20-Apr-17,57.59,57.59,56.97,57.24,909184
19-Apr-17,56.92,57.67,56.21,57.41,632477
18-Apr-17,57.55,57.80,57.03,57.60,528300
17-Apr-17,57.25,57.84,57.11,57.78,496839
13-Apr-17,57.07,57.42,56.91,56.95,501087
12-Apr-17,57.54,57.63,56.98,57.13,589213
11-Apr-17,57.50,57.73,57.09,57.46,363769
10-Apr-17,57.84,58.08,57.59,57.63,313548
7-Apr-17,57.72,58.03,57.61,57.85,463102
6-Apr-17,57.44,57.95,57.08,57.85,403117
5-Apr-17,57.46,57.98,57.22,57.26,677818
4-Apr-17,57.99,58.07,57.35,57.46,531926
3-Apr-17,58.03,58.40,57.84,58.00,689936
31-Mar-17,57.95,58.32,57.67,58.06,443307
30-Mar-17,57.77,58.19,57.77,57.91,381121
29-Mar-17,57.83,58.00,57.56,57.91,327171
28-Mar-17,58.12,58.26,57.58,57.96,679460
27-Mar-17,57.68,58.37,57.24,58.03,1322820
24-Mar-17,57.57,58.08,57.38,57.52,598169
23-Mar-17,57.04,57.88,56.96,57.59,567038
22-Mar-17,57.26,57.47,56.81,57.19,551767
21-Mar-17,57.32,57.70,57.07,57.27,1159092
20-Mar-17,57.27,57.32,56.79,57.14,981808
17-Mar-17,56.24,57.35,56.07,57.27,1139870
16-Mar-17,56.48,56.81,55.55,56.12,940439
15-Mar-17,56.00,56.96,55.92,56.82,794277
14-Mar-17,55.73,55.88,55.41,55.82,437654
13-Mar-17,55.68,55.89,55.22,55.84,666445
10-Mar-17,54.97,55.76,54.88,55.59,843464
9-Mar-17,54.61,55.05,54.43,54.77,444884
8-Mar-17,54.10,54.65,54.01,54.39,383329
7-Mar-17,54.07,54.40,53.97,54.08,383554
6-Mar-17,54.58,54.75,54.24,54.28,587891
3-Mar-17,54.59,54.97,54.53,54.94,469789
2-Mar-17,55.09,55.46,54.57,54.62,715098
1-Mar-17,54.69,55.43,54.62,55.25,942837
28-Feb-17,54.77,54.92,54.21,54.26,587998
27-Feb-17,54.91,55.21,54.82,54.99,565616
24-Feb-17,54.78,55.13,54.66,55.04,971929
23-Feb-17,55.37,55.44,54.62,55.11,554034
22-Feb-17,55.49,55.68,55.18,55.20,425526
21-Feb-17,55.91,56.14,55.40,55.66,592384
17-Feb-17,55.13,55.94,55.13,55.94,405365
16-Feb-17,55.41,55.62,55.06,55.32,701399
15-Feb-17,54.33,55.67,54.25,55.55,1078157
14-Feb-17,54.21,54.48,53.99,54.40,577111
13-Feb-17,54.02,54.54,54.00,54.39,561796
10-Feb-17,53.79,54.12,53.63,53.97,569757
9-Feb-17,53.16,54.18,53.16,53.73,603078
8-Feb-17,52.70,53.56,52.63,53.21,758291
7-Feb-17,52.36,53.05,52.25,52.69,811034
6-Feb-17,52.09,52.46,51.76,52.32,725122
3-Feb-17,51.00,53.67,50.59,52.17,2022490
2-Feb-17,53.56,54.00,53.19,53.85,1032249
1-Feb-17,53.15,53.96,53.10,53.76,742170
31-Jan-17,51.85,53.19,51.74,53.19,607824
30-Jan-17,52.22,52.26,51.42,51.80,588148
27-Jan-17,52.09,52.72,52.01,52.32,468400
26-Jan-17,52.29,52.46,51.72,52.06,437534
