Date,Open,High,Low,Close,Volume
28-Apr-17,54.78,54.78,54.31,54.41,3105859
27-Apr-17,54.55,55.26,54.50,54.90,2375353
26-Apr-17,54.76,54.99,54.30,54.45,2056457
25-Apr-17,54.50,54.89,54.34,54.86,2240808
24-Apr-17,55.01,55.17,53.63,54.34,3960664
21-Apr-17,54.51,54.76,54.22,54.35,2842889
20-Apr-17,54.44,54.56,53.76,54.53,2336611
19-Apr-17,54.51,54.64,53.89,54.30,3160923
18-Apr-17,55.50,55.93,54.48,54.56,4335652
17-Apr-17,54.83,55.29,54.64,55.26,3327451
13-Apr-17,54.96,55.12,54.56,54.57,3119789
12-Apr-17,54.76,55.12,54.55,54.93,3473733
11-Apr-17,54.15,54.72,54.04,54.58,3089459
10-Apr-17,53.65,54.35,53.45,54.20,2683210
7-Apr-17,52.98,54.03,52.98,53.58,3280947
6-Apr-17,52.56,53.18,52.22,53.06,2470775
5-Apr-17,52.60,53.07,52.55,52.67,2389006
4-Apr-17,52.13,52.59,51.91,52.50,2711719
3-Apr-17,51.79,52.39,51.66,52.24,3512527
31-Mar-17,51.12,51.94,50.98,51.88,3736764
30-Mar-17,50.63,51.26,50.36,51.18,1973284
29-Mar-17,50.17,50.65,49.95,50.64,2524921
28-Mar-17,49.90,50.38,49.44,50.30,2949330
27-Mar-17,50.77,51.01,49.75,49.87,2368342
24-Mar-17,50.97,51.25,50.93,51.03,2177004
23-Mar-17,50.24,51.28,50.16,50.86,2754526
22-Mar-17,50.62,50.62,49.94,50.31,2785740
21-Mar-17,51.57,51.80,50.39,50.41,4896828
20-Mar-17,51.05,51.79,50.98,51.51,2634930
17-Mar-17,51.00,51.43,50.80,50.98,5150095
16-Mar-17,50.64,50.92,50.47,50.70,3147337
15-Mar-17,49.55,50.90,49.44,50.70,3437717
14-Mar-17,49.19,49.48,48.80,49.36,2463775
13-Mar-17,49.47,49.58,49.01,49.29,2917115
10-Mar-17,50.08,50.08,48.96,49.40,2367259
9-Mar-17,50.03,50.28,49.19,49.30,1964944
8-Mar-17,50.33,50.40,49.87,49.93,2964305
7-Mar-17,50.60,50.71,50.16,50.55,1689572
6-Mar-17,50.88,50.98,50.25,50.59,2275947
