Date,Open,High,Low,Close,Volume
28-Apr-17,120.69,121.57,119.74,119.75,1865162
27-Apr-17,122.17,122.46,120.14,121.02,1555986
26-Apr-17,121.29,122.99,121.10,122.00,2052154
25-Apr-17,122.06,122.73,121.07,121.11,2955553
24-Apr-17,121.00,121.80,120.17,120.86,2727741
21-Apr-17,118.55,119.47,117.83,118.17,1960568
20-Apr-17,117.31,119.19,116.70,118.83,2053899
19-Apr-17,117.46,118.37,115.97,116.48,2275075
18-Apr-17,117.41,118.43,115.77,116.41,2916001
17-Apr-17,115.98,118.53,115.45,118.41,3241210
13-Apr-17,118.00,120.65,115.60,115.80,5112426
12-Apr-17,116.99,117.70,115.87,116.00,3039142
11-Apr-17,117.44,118.07,116.07,118.03,3339546
10-Apr-17,119.08,119.64,117.89,118.37,2084250
7-Apr-17,118.52,119.84,118.00,119.17,1921633
6-Apr-17,118.25,119.79,117.48,119.26,2072094
5-Apr-17,120.78,121.02,118.14,118.29,1872829
4-Apr-17,119.33,119.99,118.68,119.15,1871660
3-Apr-17,120.65,121.00,118.34,119.84,2124214
31-Mar-17,120.97,121.25,120.16,120.24,2189212
30-Mar-17,119.22,122.00,119.22,121.53,2091810
29-Mar-17,120.07,120.64,119.29,119.34,1758596
28-Mar-17,118.06,120.81,117.72,120.27,2657551
27-Mar-17,116.50,118.44,115.25,118.20,3440326
24-Mar-17,119.90,120.58,118.59,119.40,2425890
23-Mar-17,118.67,121.26,118.15,119.28,4002600
22-Mar-17,117.90,119.30,116.49,118.65,4424006
21-Mar-17,124.13,124.34,118.59,118.70,6316964
20-Mar-17,124.16,125.31,123.74,123.79,2575992
17-Mar-17,125.92,126.21,124.35,124.35,5739019
16-Mar-17,125.77,126.28,124.90,125.72,2413552
15-Mar-17,126.74,126.74,124.62,125.23,2106627
14-Mar-17,125.90,126.42,124.69,126.22,1660623
13-Mar-17,126.65,126.88,125.71,126.40,1815075
10-Mar-17,128.25,128.49,125.44,126.46,3731065
9-Mar-17,128.04,129.29,127.24,127.48,3436263
8-Mar-17,128.92,129.34,127.46,127.55,2258545
7-Mar-17,127.40,128.05,126.40,127.40,1764846
6-Mar-17,126.76,127.93,126.09,127.59,2289926
3-Mar-17,127.41,128.25,126.98,127.83,2493339
2-Mar-17,130.98,131.01,127.39,127.51,2092398
1-Mar-17,130.48,131.83,129.86,130.85,3367209
28-Feb-17,127.36,127.98,126.66,127.23,2343402
27-Feb-17,127.19,128.49,126.80,128.13,1895252
24-Feb-17,126.92,127.42,126.14,126.88,2586302
23-Feb-17,127.84,128.23,126.84,128.14,1221184
22-Feb-17,126.78,128.52,126.69,127.76,1541742
21-Feb-17,127.20,127.84,126.77,127.55,1748584
17-Feb-17,125.73,126.89,125.45,126.86,1733953
16-Feb-17,127.30,127.66,126.00,126.96,1930751
15-Feb-17,126.28,127.92,125.37,127.76,2589522
14-Feb-17,124.54,126.23,123.77,126.10,2420152
13-Feb-17,124.00,125.35,123.62,124.42,1929560
10-Feb-17,123.30,123.54,122.68,123.10,2098991
9-Feb-17,122.10,122.93,121.28,122.39,2076709
8-Feb-17,122.20,122.20,120.50,121.46,2892366
7-Feb-17,122.81,123.25,121.28,121.47,2680907
6-Feb-17,121.61,122.82,121.34,122.41,1563899
3-Feb-17,122.18,122.42,121.06,122.16,1955170
2-Feb-17,120.20,120.76,119.00,120.01,2091268
1-Feb-17,121.66,122.58,121.02,121.14,2673240
31-Jan-17,120.16,121.02,119.59,120.46,2620211
30-Jan-17,120.97,121.11,119.64,120.38,1995378
27-Jan-17,121.34,121.90,120.88,121.64,1609030
