Date,Open,High,Low,Close,Volume
28-Apr-17,85.91,86.06,84.72,85.09,1284801
27-Apr-17,85.37,86.35,85.37,86.10,685467
26-Apr-17,86.16,86.63,85.90,86.25,717914
25-Apr-17,85.84,86.41,85.39,86.36,980517
24-Apr-17,85.86,86.21,85.19,86.18,882815
21-Apr-17,85.27,85.92,85.27,85.83,937113
20-Apr-17,85.47,85.54,84.52,85.32,1489008
19-Apr-17,86.14,86.25,85.16,85.61,870706
18-Apr-17,85.81,86.25,85.70,86.18,917664
17-Apr-17,85.49,85.80,85.26,85.74,801411
13-Apr-17,85.39,85.53,84.28,85.23,690301
12-Apr-17,84.79,85.50,84.35,85.37,886262
11-Apr-17,84.36,85.15,84.18,84.79,656186
10-Apr-17,84.34,84.91,83.98,84.78,690358
7-Apr-17,84.66,85.00,84.10,84.26,1087844
6-Apr-17,83.74,84.66,83.38,84.48,899629
5-Apr-17,83.74,84.15,83.42,84.02,756693
4-Apr-17,83.30,84.00,83.10,83.74,489443
3-Apr-17,83.41,83.54,82.62,83.51,497812
31-Mar-17,83.23,83.87,83.00,83.38,584786
30-Mar-17,83.39,83.62,82.84,83.28,402884
29-Mar-17,84.00,84.00,83.36,83.52,622141
28-Mar-17,83.95,84.41,83.77,84.20,441671
27-Mar-17,84.53,84.72,83.67,84.14,606834
24-Mar-17,83.58,84.48,83.49,84.12,415776
23-Mar-17,83.60,84.44,83.09,83.59,359699
22-Mar-17,84.00,84.43,83.49,83.66,507340
21-Mar-17,82.54,83.78,82.42,83.69,650364
20-Mar-17,83.35,83.66,82.23,82.53,606837
17-Mar-17,82.88,83.71,82.73,83.23,942322
16-Mar-17,83.37,83.38,82.36,82.55,850284
15-Mar-17,82.07,83.92,81.79,83.60,629439
14-Mar-17,81.62,81.92,81.30,81.88,606308
13-Mar-17,81.54,81.84,81.34,81.68,432860
10-Mar-17,81.46,81.68,81.00,81.61,424218
9-Mar-17,80.78,81.41,80.60,80.87,475505
8-Mar-17,81.62,81.99,80.78,80.94,850591
7-Mar-17,82.52,83.09,82.23,82.54,763269
6-Mar-17,82.89,83.44,82.70,82.96,700986
3-Mar-17,83.47,83.47,82.35,83.03,701965
2-Mar-17,82.20,83.77,81.92,83.32,1144622
1-Mar-17,81.37,82.56,80.76,82.40,1420526
28-Feb-17,81.13,82.50,81.08,82.19,1029127
27-Feb-17,81.45,81.51,81.03,81.18,543005
24-Feb-17,80.80,81.84,80.63,81.44,820868
23-Feb-17,80.00,80.87,79.80,80.50,551202
22-Feb-17,79.65,79.93,79.21,79.72,382297
21-Feb-17,78.37,79.91,78.32,79.77,395361
17-Feb-17,78.70,78.83,78.09,78.70,412907
16-Feb-17,78.00,78.56,77.80,78.55,489298
15-Feb-17,77.52,78.00,76.89,78.00,1172678
14-Feb-17,78.61,78.61,77.57,78.09,469279
13-Feb-17,78.65,78.91,78.17,78.72,315360
10-Feb-17,77.78,78.73,77.78,78.67,258544
9-Feb-17,78.45,78.93,78.04,78.13,416152
8-Feb-17,78.00,78.87,78.00,78.57,390247
7-Feb-17,77.87,78.31,77.66,77.92,279667
6-Feb-17,78.25,78.49,77.80,77.85,341862
3-Feb-17,78.02,78.46,77.84,78.03,833013
2-Feb-17,76.73,77.98,76.73,77.79,1004716
1-Feb-17,76.98,77.74,76.47,76.69,699151
31-Jan-17,76.50,77.65,76.24,77.63,631005
30-Jan-17,76.23,76.53,75.79,76.44,519476
27-Jan-17,77.06,77.38,76.68,76.77,363057
26-Jan-17,77.07,77.63,76.60,76.98,387142
25-Jan-17,77.15,77.47,76.85,77.14,482684
24-Jan-17,77.35,77.74,76.86,77.44,607493
23-Jan-17,77.20,77.41,76.99,77.20,521828
20-Jan-17,77.19,77.71,76.64,77.02,612928
19-Jan-17,76.85,77.88,76.85,77.05,377954
18-Jan-17,77.96,78.29,77.43,77.89,315838
17-Jan-17,77.83,78.40,77.50,78.00,577351
13-Jan-17,77.37,77.60,76.88,77.26,418831
12-Jan-17,77.63,78.30,77.14,77.50,641763
11-Jan-17,76.92,77.86,76.92,77.72,549618
10-Jan-17,77.34,77.74,76.84,77.13,899755
9-Jan-17,78.54,78.80,77.18,77.23,464478
6-Jan-17,78.13,78.80,77.80,78.49,724940
5-Jan-17,77.95,78.59,77.09,78.39,1230752
4-Jan-17,77.49,78.00,77.27,77.75,728629
3-Jan-17,77.99,78.02,76.97,77.32,517304
30-Dec-16,78.26,78.51,77.77,78.03,432347
29-Dec-16,77.30,78.38,77.03,78.25,391299
28-Dec-16,77.86,77.86,76.71,76.93,260628
27-Dec-16,77.60,78.10,77.19,77.85,241431
23-Dec-16,77.65,77.85,77.30,77.66,200460
22-Dec-16,77.06,77.84,76.76,77.60,412722
21-Dec-16,77.00,77.65,77.00,77.06,340793
20-Dec-16,76.80,77.30,76.45,77.14,355713
19-Dec-16,77.07,77.28,76.34,77.10,362808
16-Dec-16,76.01,77.29,75.75,76.67,1074506
15-Dec-16,75.59,75.90,74.46,75.85,1333005
14-Dec-16,78.57,78.97,75.93,75.97,742706
13-Dec-16,77.33,78.23,77.33,78.17,607317
12-Dec-16,75.77,77.21,75.64,77.14,663871
9-Dec-16,75.18,76.27,75.16,76.19,488643
8-Dec-16,74.61,75.23,74.07,75.14,642555
7-Dec-16,74.74,75.14,74.50,75.11,633412
6-Dec-16,74.12,74.61,73.74,74.56,1214008
5-Dec-16,73.25,73.82,72.61,73.82,841107
2-Dec-16,73.56,74.39,73.18,73.54,625596
1-Dec-16,73.64,73.77,72.62,73.13,713105
30-Nov-16,75.52,75.58,73.90,73.93,848593
29-Nov-16,76.37,77.34,76.37,76.68,717441
28-Nov-16,75.53,77.01,75.53,76.63,645385
25-Nov-16,74.22,75.47,74.03,75.34,358691
23-Nov-16,74.27,75.02,73.83,73.96,688856
22-Nov-16,74.79,75.35,74.14,75.06,935746
21-Nov-16,73.50,74.27,73.48,74.10,420844
18-Nov-16,73.67,74.31,72.92,73.26,893363
17-Nov-16,73.48,74.36,73.44,73.75,574810
16-Nov-16,74.22,74.44,73.31,73.75,1337039
15-Nov-16,73.40,74.29,73.38,74.06,864664
14-Nov-16,72.98,73.43,72.15,73.08,964925
11-Nov-16,72.85,74.39,72.85,73.44,1622371
10-Nov-16,73.76,73.80,70.86,72.82,1081166
9-Nov-16,74.71,75.05,73.34,73.98,1492361
8-Nov-16,75.23,76.15,75.09,75.74,580353
7-Nov-16,74.56,75.06,73.44,75.05,896994
4-Nov-16,74.65,75.51,73.98,74.11,905067
3-Nov-16,73.76,75.00,73.76,74.22,1063291
2-Nov-16,74.65,74.76,73.48,74.51,772187
1-Nov-16,76.21,76.21,74.60,74.79,636259
