Date,Open,High,Low,Close,Volume
28-Apr-17,38.10,38.22,37.99,38.11,3253957
27-Apr-17,37.93,38.32,37.91,38.08,2067797
26-Apr-17,38.04,38.26,37.93,37.94,2802811
25-Apr-17,37.93,38.16,37.86,38.16,2756173
24-Apr-17,37.98,38.07,37.72,38.00,3471345
21-Apr-17,37.79,38.13,37.75,37.93,3919936
20-Apr-17,37.76,37.86,37.42,37.80,2645458
19-Apr-17,38.00,38.04,37.61,37.77,3175063
18-Apr-17,37.88,38.29,37.88,38.10,4097874
17-Apr-17,37.65,37.93,37.63,37.93,3341667
13-Apr-17,37.73,37.80,37.47,37.58,2756867
12-Apr-17,37.35,37.78,37.22,37.78,3258517
11-Apr-17,37.26,37.45,37.10,37.35,2573911
10-Apr-17,37.25,37.34,37.01,37.28,2472921
7-Apr-17,37.48,37.60,37.25,37.27,2586916
6-Apr-17,37.48,37.50,37.26,37.41,3097144
5-Apr-17,37.30,37.56,37.21,37.51,3362528
4-Apr-17,37.17,37.48,37.08,37.37,3121149
3-Apr-17,37.38,37.38,36.91,37.11,6326907
31-Mar-17,37.29,37.60,37.21,37.39,3518711
30-Mar-17,37.32,37.37,37.09,37.24,2968991
29-Mar-17,37.61,37.61,37.15,37.44,4513179
28-Mar-17,37.40,37.74,37.35,37.70,4009712
27-Mar-17,37.79,37.91,37.38,37.56,3220173
24-Mar-17,37.63,37.83,37.49,37.60,2269041
23-Mar-17,37.60,37.95,37.52,37.64,2901908
22-Mar-17,37.62,37.89,37.48,37.64,3597502
21-Mar-17,36.79,37.62,36.79,37.47,3871361
20-Mar-17,37.02,37.13,36.66,36.80,2548891
17-Mar-17,36.84,37.20,36.77,36.99,5653693
16-Mar-17,36.84,36.85,36.59,36.74,2841519
15-Mar-17,36.49,37.08,36.48,36.90,3548362
14-Mar-17,36.38,36.45,36.24,36.43,1976348
13-Mar-17,36.27,36.46,36.19,36.45,3234187
10-Mar-17,36.22,36.37,36.06,36.32,2789171
9-Mar-17,36.01,36.24,35.95,36.03,3192904
8-Mar-17,36.08,36.14,35.82,36.04,4177443
7-Mar-17,36.76,36.89,36.59,36.79,3334600
6-Mar-17,36.66,36.80,36.44,36.78,2999395
3-Mar-17,36.86,36.87,36.40,36.68,3151787
2-Mar-17,36.57,37.03,36.55,36.84,2655749
1-Mar-17,36.50,36.95,36.33,36.73,3614903
28-Feb-17,36.57,37.01,36.57,36.88,4154334
27-Feb-17,36.83,36.86,36.54,36.57,3024457
24-Feb-17,36.59,36.83,36.43,36.83,3255850
23-Feb-17,36.35,36.65,36.23,36.52,2609592
22-Feb-17,36.06,36.27,35.95,36.20,2367832
21-Feb-17,35.61,36.11,35.48,36.03,2632458
17-Feb-17,35.75,35.79,35.34,35.63,3438736
16-Feb-17,35.38,35.72,35.35,35.72,2694712
15-Feb-17,35.23,35.56,35.08,35.48,2317208
14-Feb-17,35.63,35.68,35.31,35.47,2664037
13-Feb-17,35.54,35.73,35.36,35.73,2262020
10-Feb-17,35.35,35.62,35.34,35.50,3706985
9-Feb-17,35.60,35.70,35.31,35.42,3444333
8-Feb-17,35.31,35.68,35.30,35.65,2601361
7-Feb-17,35.34,35.49,35.23,35.40,2205968
6-Feb-17,35.56,35.63,35.22,35.24,4001895
3-Feb-17,35.33,35.58,35.30,35.46,3200182
2-Feb-17,35.09,35.36,34.89,35.28,3231888
1-Feb-17,34.66,35.39,34.58,34.95,4932307
31-Jan-17,34.40,34.92,34.34,34.84,5204272
30-Jan-17,34.34,34.39,34.08,34.38,3147583
27-Jan-17,34.50,34.54,34.14,34.27,2556072
