Date,Open,High,Low,Close,Volume
28-Apr-17,211.91,212.97,208.46,209.38,1423353
27-Apr-17,221.00,223.84,211.02,213.00,2272411
26-Apr-17,225.62,225.62,223.30,223.93,731934
25-Apr-17,226.47,226.75,224.70,225.54,526442
24-Apr-17,228.93,229.03,222.57,226.47,976356
21-Apr-17,229.28,230.23,228.33,228.37,819809
20-Apr-17,230.24,230.40,228.18,229.40,752881
19-Apr-17,231.68,231.68,229.37,229.99,453783
18-Apr-17,230.08,232.21,228.31,231.18,604326
17-Apr-17,226.96,231.22,225.77,231.19,694614
13-Apr-17,223.51,226.30,223.48,225.97,441147
12-Apr-17,225.46,226.81,223.41,224.30,638251
11-Apr-17,225.99,227.21,225.64,226.37,505439
10-Apr-17,223.61,226.01,223.15,225.84,518890
7-Apr-17,223.06,224.17,222.61,223.60,435228
6-Apr-17,221.83,223.61,221.37,222.64,550537
5-Apr-17,220.01,223.47,219.84,222.29,667120
4-Apr-17,219.26,221.80,217.95,220.31,745131
3-Apr-17,219.00,220.19,216.06,219.31,856764
31-Mar-17,219.49,221.38,218.07,218.91,1004687
30-Mar-17,219.08,220.80,217.19,219.40,923930
29-Mar-17,221.55,221.86,217.71,219.95,703500
28-Mar-17,220.88,222.33,218.86,222.16,760143
27-Mar-17,221.69,224.90,220.50,220.91,576157
24-Mar-17,226.10,227.18,222.82,222.91,635639
23-Mar-17,224.82,227.74,224.44,225.92,843017
22-Mar-17,224.38,226.31,222.38,225.77,759277
21-Mar-17,223.77,225.50,222.76,224.28,954977
20-Mar-17,222.71,224.06,220.65,223.64,721969
17-Mar-17,221.37,225.62,221.04,222.49,1477814
16-Mar-17,222.86,223.44,219.74,220.54,798037
15-Mar-17,219.28,223.69,218.71,223.13,742691
14-Mar-17,217.00,219.85,215.93,219.35,668569
13-Mar-17,218.53,219.41,215.64,217.26,894007
10-Mar-17,223.40,224.77,218.60,220.07,767597
9-Mar-17,224.00,225.40,221.66,222.34,676020
8-Mar-17,227.17,227.17,223.56,223.82,861334
