Date,Open,High,Low,Close,Volume
28-Apr-17,68.67,68.76,67.39,67.91,829822
27-Apr-17,68.04,69.10,67.47,68.63,1033230
26-Apr-17,68.23,68.65,67.25,68.09,1764010
25-Apr-17,72.15,72.49,68.20,68.28,4073274
24-Apr-17,78.88,79.63,78.64,79.28,980845
21-Apr-17,76.38,77.75,76.07,77.65,715036
20-Apr-17,75.62,76.79,75.23,76.63,470033
19-Apr-17,75.28,75.86,74.83,74.96,339201
18-Apr-17,74.57,75.02,74.24,74.78,298475
17-Apr-17,73.86,75.06,73.58,75.01,489378
13-Apr-17,74.36,74.91,73.44,73.60,429757
12-Apr-17,76.55,76.55,74.40,74.51,542935
11-Apr-17,77.15,77.15,75.88,76.69,499996
10-Apr-17,75.84,77.83,75.84,77.45,542037
7-Apr-17,75.90,76.04,75.20,75.43,438892
6-Apr-17,74.98,76.65,74.55,76.09,567697
5-Apr-17,75.10,76.23,74.98,75.11,692556
4-Apr-17,74.42,75.04,73.97,74.76,292861
3-Apr-17,75.48,76.09,74.29,74.45,434696
31-Mar-17,75.29,76.10,75.19,75.44,285286
30-Mar-17,75.22,75.89,75.18,75.58,311772
29-Mar-17,74.66,75.43,74.34,75.14,282215
28-Mar-17,72.64,75.62,72.64,74.97,724858
27-Mar-17,71.09,72.97,70.89,72.91,623208
24-Mar-17,72.84,73.34,71.83,72.39,420572
23-Mar-17,73.01,73.70,72.66,72.84,485593
22-Mar-17,72.69,73.55,72.26,72.99,574023
21-Mar-17,74.52,74.52,71.62,72.66,655023
20-Mar-17,75.29,75.29,73.92,74.15,541417
17-Mar-17,75.85,75.96,74.74,75.23,672448
16-Mar-17,76.51,76.87,75.22,75.64,490624
15-Mar-17,74.88,76.73,74.58,76.36,599479
14-Mar-17,74.67,74.84,73.32,74.65,611890
13-Mar-17,76.17,76.78,74.93,75.17,580355
10-Mar-17,75.64,76.34,75.27,76.17,419755
9-Mar-17,75.55,76.41,74.35,74.99,499517
8-Mar-17,76.37,76.40,75.41,75.63,533812
7-Mar-17,76.35,77.21,76.04,76.07,620040
6-Mar-17,76.07,77.31,76.07,76.81,677998
3-Mar-17,76.29,77.08,75.78,76.86,412187
2-Mar-17,77.56,77.83,76.50,76.62,501204
1-Mar-17,77.07,78.49,77.07,77.79,575656
28-Feb-17,76.32,76.48,75.77,76.15,480328
27-Feb-17,75.87,76.87,75.87,76.40,776099
24-Feb-17,74.02,75.99,73.61,75.87,947856
23-Feb-17,77.55,77.55,73.87,74.99,971599
22-Feb-17,76.40,77.51,76.07,76.77,573767
21-Feb-17,77.37,78.00,76.85,76.99,689469
17-Feb-17,76.73,77.55,76.55,77.17,603695
16-Feb-17,78.57,78.57,76.38,77.27,907389
15-Feb-17,76.78,79.17,76.78,78.46,946499
14-Feb-17,76.77,77.51,76.50,76.60,609561
13-Feb-17,76.54,77.90,76.54,77.17,616237
10-Feb-17,75.96,76.87,75.72,76.49,539037
9-Feb-17,74.62,75.99,74.62,75.46,663541
8-Feb-17,74.15,74.62,72.93,74.31,721993
7-Feb-17,74.43,75.14,73.86,74.33,747286
6-Feb-17,73.39,75.20,73.39,74.23,1118541
3-Feb-17,71.91,74.35,71.85,74.01,1655434
2-Feb-17,74.05,75.00,70.94,71.81,3022644
1-Feb-17,78.00,79.26,76.67,77.84,1008909
31-Jan-17,77.83,78.02,76.39,77.60,564369
30-Jan-17,77.31,78.16,76.55,78.05,748006
27-Jan-17,77.30,78.09,76.64,78.06,315119
26-Jan-17,78.02,78.45,77.06,77.33,429214
25-Jan-17,76.80,78.49,76.80,78.29,590115
24-Jan-17,75.15,76.96,74.65,76.47,567350
