Date,Open,High,Low,Close,Volume
28-Apr-17,63.72,63.72,62.90,63.18,914716
27-Apr-17,65.12,65.12,63.79,63.88,795730
26-Apr-17,64.95,65.18,64.05,64.07,896273
25-Apr-17,65.26,65.63,64.97,65.16,904086
24-Apr-17,68.06,68.06,65.17,65.24,1154222
21-Apr-17,68.39,68.43,67.40,67.47,606863
20-Apr-17,68.53,68.66,67.94,68.44,539550
19-Apr-17,68.28,69.07,68.19,68.49,911445
18-Apr-17,67.85,68.40,67.59,68.31,641655
17-Apr-17,67.53,67.89,67.22,67.83,546683
13-Apr-17,67.39,67.65,66.84,67.31,654415
12-Apr-17,67.24,67.57,66.98,67.35,720475
11-Apr-17,66.72,67.53,66.69,67.21,867652
10-Apr-17,65.97,66.86,65.79,66.69,757651
7-Apr-17,66.03,66.46,65.92,66.07,1001101
6-Apr-17,66.08,66.37,65.73,66.03,1090850
5-Apr-17,66.44,66.64,66.08,66.13,1427272
4-Apr-17,66.49,66.92,66.23,66.35,1212234
3-Apr-17,66.43,67.13,66.15,66.45,1446811
31-Mar-17,66.60,66.84,66.35,66.39,1225089
30-Mar-17,66.39,66.67,65.96,66.50,726436
29-Mar-17,66.51,66.98,66.26,66.47,1112276
28-Mar-17,66.35,66.81,65.57,66.62,818679
27-Mar-17,67.21,67.78,66.15,66.45,979711
24-Mar-17,67.25,67.66,66.99,67.11,814645
23-Mar-17,66.24,67.67,66.19,67.27,1143063
22-Mar-17,66.78,66.82,65.62,66.33,1116831
21-Mar-17,66.90,67.29,66.47,66.70,1660245
20-Mar-17,66.90,67.44,66.62,66.77,1052941
17-Mar-17,66.48,66.93,66.02,66.91,4358355
16-Mar-17,66.59,66.81,66.19,66.48,1089133
15-Mar-17,64.89,67.24,64.56,66.77,2616137
14-Mar-17,63.35,65.17,63.07,64.85,2610220
13-Mar-17,62.59,63.76,62.51,63.72,3215756
10-Mar-17,63.61,63.68,61.90,62.58,2390091
9-Mar-17,64.61,65.04,62.91,62.95,1700475
8-Mar-17,65.20,65.46,63.92,64.78,1839073
7-Mar-17,66.80,67.09,65.49,65.72,1618124
6-Mar-17,67.37,67.50,66.39,66.63,1818358
3-Mar-17,68.59,68.63,66.76,67.74,3126786
2-Mar-17,69.23,69.85,68.40,69.13,3453418
1-Mar-17,69.73,70.56,68.37,68.40,27410591
28-Feb-17,71.47,71.54,69.89,70.35,4661100
27-Feb-17,71.06,72.05,70.73,71.70,1551357
24-Feb-17,70.62,71.45,69.56,71.19,2595742
23-Feb-17,70.32,71.23,69.92,70.95,734554
22-Feb-17,70.02,70.43,69.30,70.01,454783
21-Feb-17,69.65,70.59,69.44,70.51,666138
17-Feb-17,69.65,69.80,68.80,69.75,572895
16-Feb-17,69.18,69.96,69.10,69.52,543939
15-Feb-17,69.79,69.83,68.99,69.24,757644
14-Feb-17,70.90,71.35,70.05,70.12,697416
13-Feb-17,71.50,71.73,70.79,71.24,355665
10-Feb-17,70.66,71.34,70.66,71.30,565908
9-Feb-17,70.64,71.28,70.07,70.91,774748
8-Feb-17,69.57,70.38,69.19,70.04,648709
7-Feb-17,69.58,70.38,69.20,69.30,621978
6-Feb-17,69.94,70.31,69.51,69.89,579020
3-Feb-17,70.07,70.09,69.28,69.85,723646
2-Feb-17,68.85,69.54,68.71,69.49,571509
1-Feb-17,69.64,70.08,68.62,68.69,495293
31-Jan-17,69.16,70.06,68.82,69.73,719370
30-Jan-17,69.36,69.64,68.63,68.95,580648
27-Jan-17,69.95,70.30,69.18,69.45,551360
26-Jan-17,70.35,70.50,69.79,69.88,476973
25-Jan-17,71.11,71.20,69.85,70.15,643888
24-Jan-17,71.07,71.50,70.79,71.14,824570
23-Jan-17,69.85,71.17,69.74,71.01,711429
20-Jan-17,69.24,69.81,68.87,69.76,581539
19-Jan-17,69.59,69.82,68.80,68.91,464256
18-Jan-17,69.66,70.17,69.19,70.01,553143
17-Jan-17,69.08,69.76,68.74,69.71,712621
13-Jan-17,68.97,69.34,68.71,68.88,385608
12-Jan-17,68.19,69.02,67.54,69.00,961244
11-Jan-17,68.76,68.88,68.06,68.18,834203
10-Jan-17,69.08,69.36,68.68,68.70,578168
9-Jan-17,70.34,70.34,69.13,69.33,749080
6-Jan-17,69.86,70.51,69.76,70.30,582887
5-Jan-17,69.40,70.23,68.96,70.15,629336
4-Jan-17,69.12,70.10,68.78,69.99,719587
3-Jan-17,68.96,69.15,68.10,68.89,1011974
30-Dec-16,67.92,69.06,67.78,68.95,786054
29-Dec-16,66.86,68.00,66.63,68.00,669834
28-Dec-16,67.35,67.48,66.53,66.77,462486
27-Dec-16,67.45,67.83,67.16,67.40,329213
23-Dec-16,67.60,67.72,67.12,67.45,471639
22-Dec-16,66.92,67.39,66.02,67.33,734869
21-Dec-16,68.19,68.82,66.96,67.02,629842
20-Dec-16,67.98,68.63,67.74,68.21,590024
19-Dec-16,68.22,68.80,67.98,68.23,763286
16-Dec-16,66.98,68.54,66.82,67.73,1777145
15-Dec-16,67.00,67.82,66.28,66.49,822763
14-Dec-16,68.45,68.58,66.87,66.98,1096828
13-Dec-16,69.35,69.72,67.78,68.48,1140292
12-Dec-16,68.08,69.12,67.74,69.04,1369985
9-Dec-16,67.48,68.28,67.32,67.69,1124575
8-Dec-16,66.87,67.60,66.24,67.57,1131113
7-Dec-16,66.29,67.35,66.17,67.15,1817330
6-Dec-16,66.39,66.85,65.81,66.01,954055
5-Dec-16,65.73,66.24,65.16,66.02,1006168
2-Dec-16,65.73,66.45,65.32,65.81,1104565
1-Dec-16,66.60,66.87,65.38,65.51,838124
30-Nov-16,66.43,67.15,65.58,66.84,2531085
29-Nov-16,66.64,67.34,66.60,66.90,1067857
28-Nov-16,66.61,67.31,66.31,66.69,1044120
25-Nov-16,66.92,67.50,66.55,66.67,475908
23-Nov-16,66.09,66.71,65.89,66.68,712854
22-Nov-16,66.30,67.09,66.28,66.93,854944
21-Nov-16,66.08,66.80,65.96,66.11,845959
18-Nov-16,65.62,66.44,65.62,65.99,1093787
17-Nov-16,66.94,67.45,65.34,65.38,1410583
16-Nov-16,67.00,67.58,66.37,66.84,1589200
15-Nov-16,65.77,69.13,65.31,66.91,3606295
14-Nov-16,68.18,69.86,67.41,69.86,767727
11-Nov-16,68.14,69.97,68.14,68.64,780440
10-Nov-16,68.60,69.46,66.95,68.16,889958
9-Nov-16,68.28,68.93,67.57,68.66,1169960
8-Nov-16,70.04,70.58,69.72,70.29,426327
7-Nov-16,70.49,70.53,69.43,70.03,762543
4-Nov-16,69.56,69.70,68.73,69.32,493287
3-Nov-16,68.91,69.65,68.19,69.49,939512
2-Nov-16,70.10,70.58,68.46,68.81,785730
1-Nov-16,71.73,71.87,69.62,70.33,676311
31-Oct-16,71.47,72.20,70.97,72.07,676219
28-Oct-16,70.92,71.59,70.67,71.04,504912
27-Oct-16,72.47,72.47,70.50,70.74,781312
26-Oct-16,73.22,73.22,72.01,72.76,384920
25-Oct-16,73.69,74.13,73.37,73.65,318659
24-Oct-16,74.73,74.87,73.80,74.14,314024
21-Oct-16,73.55,74.17,73.36,73.76,330178
20-Oct-16,73.91,74.29,73.11,74.04,377039
19-Oct-16,74.10,74.54,73.60,74.05,367807
18-Oct-16,74.78,74.97,74.19,74.23,311501
17-Oct-16,74.69,75.15,74.11,74.16,381409
14-Oct-16,74.59,75.06,73.94,74.45,300575
13-Oct-16,73.72,74.84,73.72,74.64,430097
12-Oct-16,73.99,74.22,73.81,73.97,513441
11-Oct-16,74.27,74.65,73.49,73.80,488386
10-Oct-16,73.99,74.87,73.98,74.68,490183
7-Oct-16,74.01,74.65,73.18,73.92,727229
6-Oct-16,72.82,74.13,72.21,73.68,571796
5-Oct-16,75.00,75.48,73.24,73.40,624462
4-Oct-16,75.54,75.54,74.40,74.91,494596
3-Oct-16,77.25,77.25,75.46,75.50,459290
30-Sep-16,78.35,78.49,77.29,77.49,643810
29-Sep-16,78.97,78.97,77.54,77.86,333875
28-Sep-16,78.90,79.40,78.49,79.33,328445
27-Sep-16,79.94,79.96,78.51,78.61,425290
26-Sep-16,79.00,79.81,78.72,79.49,615451
23-Sep-16,78.92,79.78,78.42,79.31,624066
22-Sep-16,78.76,79.48,78.50,79.35,388416
21-Sep-16,76.97,77.82,75.86,77.76,697491
20-Sep-16,78.21,78.21,76.84,76.90,580967
19-Sep-16,76.52,77.32,76.40,77.11,292186
16-Sep-16,76.09,76.91,75.85,76.49,1365123
15-Sep-16,76.09,76.63,75.76,76.55,375580
14-Sep-16,76.59,76.72,75.98,76.10,463259
13-Sep-16,78.12,78.12,76.15,76.27,335239
12-Sep-16,77.33,78.89,77.33,78.53,530915
9-Sep-16,79.53,79.87,77.37,77.38,712067
8-Sep-16,81.38,81.57,80.50,80.75,383919
7-Sep-16,81.54,82.44,81.00,81.94,503657
6-Sep-16,81.20,81.64,80.70,81.51,523167
2-Sep-16,80.58,82.00,80.35,81.08,479851
1-Sep-16,80.39,80.76,79.86,80.13,366307
31-Aug-16,79.93,80.85,79.64,80.54,749520
30-Aug-16,80.49,80.49,79.43,80.18,304998
29-Aug-16,79.99,80.72,79.82,80.33,396089
26-Aug-16,80.55,80.82,79.07,79.60,349625
25-Aug-16,79.89,80.88,79.70,80.20,481748
24-Aug-16,79.80,80.04,78.95,79.80,261375
23-Aug-16,80.61,80.63,79.70,79.72,293118
22-Aug-16,79.49,80.25,79.45,80.06,374842
19-Aug-16,79.60,80.11,79.08,79.38,255056
18-Aug-16,79.92,80.30,79.41,79.92,510089
17-Aug-16,79.36,80.02,78.75,79.89,519295
16-Aug-16,79.99,80.08,79.05,79.08,250131
15-Aug-16,80.46,80.74,80.05,80.20,547375
12-Aug-16,81.18,81.86,80.33,80.60,676775
11-Aug-16,83.02,83.11,80.84,81.09,574444
10-Aug-16,82.95,83.34,82.64,82.86,402650
9-Aug-16,82.34,82.86,81.80,82.76,343789
8-Aug-16,82.73,82.84,82.19,82.49,322928
5-Aug-16,83.29,83.34,82.51,82.81,429998
4-Aug-16,83.41,83.44,82.85,83.03,519827
3-Aug-16,84.21,84.21,82.69,83.19,685045
2-Aug-16,84.75,85.10,83.83,84.09,766078
1-Aug-16,85.00,85.32,84.69,85.30,658065
29-Jul-16,83.22,85.06,83.22,84.93,1877560
28-Jul-16,81.89,83.94,81.72,83.38,649764
27-Jul-16,81.91,82.13,81.14,81.82,820698
26-Jul-16,82.59,82.68,81.86,81.89,701423
25-Jul-16,82.63,83.07,82.28,82.48,769670
22-Jul-16,81.91,82.95,81.91,82.57,619147
21-Jul-16,81.61,82.14,81.12,82.10,496108
20-Jul-16,81.97,82.00,81.58,81.90,397977
19-Jul-16,81.57,81.96,81.23,81.96,507776
18-Jul-16,81.74,81.74,81.07,81.47,506903
15-Jul-16,81.73,81.81,80.83,81.48,549284
14-Jul-16,82.40,82.40,81.57,81.76,708824
13-Jul-16,82.02,82.57,81.87,82.50,1089196
