Date,Open,High,Low,Close,Volume
28-Apr-17,88.02,88.21,87.23,88.08,1163365
27-Apr-17,87.75,88.53,87.05,88.15,899871
26-Apr-17,87.63,87.98,87.34,87.71,1050504
25-Apr-17,87.80,88.00,87.54,87.59,899860
24-Apr-17,87.96,88.05,87.06,87.44,1626074
21-Apr-17,87.37,87.68,86.94,87.02,941721
20-Apr-17,87.33,87.83,86.38,87.42,1431255
19-Apr-17,86.75,87.46,86.62,87.27,1185549
18-Apr-17,85.75,87.05,85.50,86.74,1401931
17-Apr-17,86.19,86.49,85.97,86.17,2199307
13-Apr-17,85.30,86.41,85.17,85.93,1521490
12-Apr-17,85.00,85.77,84.94,85.43,1959136
11-Apr-17,84.85,85.62,84.36,85.16,957746
10-Apr-17,84.86,85.41,84.76,85.04,1126835
7-Apr-17,84.96,85.37,84.59,84.91,1341378
6-Apr-17,84.72,85.33,84.21,85.00,1824180
5-Apr-17,85.75,85.95,84.48,84.68,2630862
4-Apr-17,86.18,86.60,85.44,85.61,1519006
3-Apr-17,86.56,88.05,85.92,86.48,2448820
31-Mar-17,85.89,86.82,85.66,86.50,2302930
30-Mar-17,86.76,86.94,85.77,85.92,1802828
29-Mar-17,86.57,87.18,86.12,86.73,2370513
28-Mar-17,86.47,87.91,85.80,86.48,8557491
27-Mar-17,82.90,83.10,81.92,82.20,6108243
24-Mar-17,83.01,83.57,82.62,82.96,2286651
23-Mar-17,82.51,83.33,82.19,82.76,1472600
22-Mar-17,81.58,82.70,81.06,82.55,2024178
21-Mar-17,83.96,84.72,81.23,81.31,2677880
20-Mar-17,83.75,84.77,83.64,84.51,1250316
17-Mar-17,84.44,84.63,83.61,83.65,1276330
16-Mar-17,83.67,84.59,83.55,84.10,1705211
15-Mar-17,82.69,83.51,82.51,83.27,917732
14-Mar-17,82.62,82.74,81.65,82.58,923540
13-Mar-17,82.47,83.23,82.35,82.88,1567600
10-Mar-17,82.31,82.87,81.42,82.21,1456117
9-Mar-17,82.00,82.00,80.93,81.56,1268789
8-Mar-17,82.22,82.60,81.87,82.05,1809210
7-Mar-17,82.11,82.83,81.80,81.97,1110779
6-Mar-17,81.86,82.48,81.61,82.03,1873538
3-Mar-17,82.22,82.46,81.55,82.05,1683722
2-Mar-17,82.98,82.99,82.18,82.43,1416521
1-Mar-17,83.47,84.18,82.51,83.24,2871876
28-Feb-17,83.06,83.63,82.17,82.81,2006368
27-Feb-17,84.62,85.01,83.61,83.78,2288296
24-Feb-17,83.69,84.86,83.44,84.86,1571108
23-Feb-17,84.85,85.00,84.24,84.60,1285342
22-Feb-17,83.35,84.77,83.25,84.71,1714058
21-Feb-17,82.50,84.15,82.47,83.75,2124290
17-Feb-17,81.39,82.64,81.21,82.60,1817255
16-Feb-17,81.19,81.55,80.81,81.53,1476658
15-Feb-17,79.93,81.36,79.59,81.05,1845864
14-Feb-17,79.83,80.23,79.36,80.09,1314194
13-Feb-17,79.82,79.93,78.66,79.77,1739336
10-Feb-17,79.62,80.36,78.84,79.25,1991092
9-Feb-17,78.82,79.56,78.62,79.31,2041239
8-Feb-17,78.74,79.18,78.48,78.66,1590783
7-Feb-17,78.46,78.98,78.28,78.86,1154446
6-Feb-17,77.96,78.29,77.40,78.22,1326027
3-Feb-17,77.84,78.49,77.47,78.13,1327735
2-Feb-17,75.67,77.96,75.23,77.71,2069462
1-Feb-17,76.12,76.25,74.66,76.07,2384625
31-Jan-17,75.42,76.09,74.86,75.88,1269123
30-Jan-17,75.20,75.68,73.76,75.51,1813527
27-Jan-17,75.66,75.85,75.12,75.70,1409654
26-Jan-17,77.10,77.18,74.89,75.25,1860076
25-Jan-17,76.00,77.10,75.90,76.43,2016650
24-Jan-17,73.85,75.79,73.82,75.43,1437663
23-Jan-17,74.20,74.34,73.75,74.06,1097167
20-Jan-17,74.15,74.60,73.46,74.20,1839525
19-Jan-17,73.64,74.49,73.64,73.92,2027996
18-Jan-17,72.83,73.62,72.78,73.60,1212451
17-Jan-17,73.30,73.39,72.60,72.77,1337478
13-Jan-17,72.86,73.70,72.84,73.36,1285659
12-Jan-17,72.76,73.14,71.50,73.03,1779414
11-Jan-17,72.24,72.97,71.99,72.33,1710533
10-Jan-17,72.26,72.37,71.20,71.66,2439994
9-Jan-17,73.52,73.76,71.96,72.14,3246562
6-Jan-17,73.31,73.89,72.92,73.80,1687316
5-Jan-17,72.74,73.37,72.35,73.10,2259270
4-Jan-17,71.52,73.77,71.11,73.10,5529026
3-Jan-17,70.12,71.06,69.39,70.12,2187547
30-Dec-16,69.80,70.19,68.95,69.70,1621055
29-Dec-16,69.77,70.48,69.60,69.65,1781674
28-Dec-16,70.27,70.56,69.63,70.02,2289954
27-Dec-16,71.06,71.45,69.95,70.19,2707903
23-Dec-16,69.18,71.18,69.07,71.01,5656346
22-Dec-16,70.30,70.95,68.54,68.71,14673959
21-Dec-16,79.44,79.99,78.39,79.79,2997575
20-Dec-16,80.53,81.08,79.21,79.39,1530789
19-Dec-16,79.92,80.62,79.30,80.47,1295642
16-Dec-16,80.65,80.70,79.52,79.95,1868279
15-Dec-16,78.96,81.14,78.72,80.41,1080175
14-Dec-16,80.58,80.79,78.85,79.08,1923285
13-Dec-16,78.95,81.13,78.50,80.55,1679031
12-Dec-16,78.20,78.80,77.76,78.41,1658589
9-Dec-16,79.03,79.74,78.16,78.65,838342
8-Dec-16,78.75,79.14,78.10,78.88,992227
7-Dec-16,77.88,79.14,77.10,78.92,1059177
6-Dec-16,77.72,78.01,76.66,77.93,766290
5-Dec-16,76.69,78.30,76.67,77.72,1257188
2-Dec-16,74.00,76.29,73.35,76.08,2033210
1-Dec-16,79.17,79.49,75.01,75.19,1551815
30-Nov-16,80.14,80.14,78.78,79.11,2002388
29-Nov-16,78.25,80.49,78.25,80.00,1647282
28-Nov-16,78.80,78.93,78.14,78.38,1469956
25-Nov-16,79.01,79.01,78.40,78.81,256446
23-Nov-16,78.86,79.03,78.41,78.75,817831
22-Nov-16,79.64,79.65,78.18,79.13,1079653
21-Nov-16,79.52,80.00,79.16,79.65,775086
18-Nov-16,79.96,79.96,78.77,79.03,956968
17-Nov-16,78.54,79.96,77.84,79.82,1269139
16-Nov-16,76.70,78.88,76.41,78.64,1360070
15-Nov-16,75.81,77.44,75.81,76.81,1168734
14-Nov-16,77.38,77.50,75.25,75.50,1234363
11-Nov-16,76.79,77.18,76.17,77.05,679370
10-Nov-16,77.04,78.20,75.83,76.93,1146896
9-Nov-16,75.20,76.97,74.90,76.79,865950
8-Nov-16,76.57,77.41,76.08,76.67,704381
7-Nov-16,75.60,76.73,75.56,76.67,1171206
4-Nov-16,74.89,75.29,74.44,74.45,978710
3-Nov-16,75.00,75.49,74.44,74.74,1520194
2-Nov-16,76.53,76.68,74.73,74.77,1629196
1-Nov-16,77.45,77.54,76.17,76.66,738342
31-Oct-16,77.33,77.83,76.80,77.45,1070758
28-Oct-16,77.05,77.94,76.87,77.11,667633
27-Oct-16,77.64,78.19,76.70,76.91,943813
26-Oct-16,76.98,77.79,76.98,77.03,635148
25-Oct-16,78.00,78.30,77.24,77.35,632052
24-Oct-16,77.44,78.64,77.42,78.21,1046903
21-Oct-16,77.27,77.42,76.62,76.96,1206160
20-Oct-16,78.01,78.01,77.06,77.58,1095831
19-Oct-16,77.45,78.33,77.32,78.27,1493637
18-Oct-16,77.10,77.52,76.81,77.50,1194756
17-Oct-16,77.24,77.52,76.15,76.19,793725
14-Oct-16,77.26,77.93,76.78,77.20,1184225
13-Oct-16,76.46,77.08,75.73,76.83,870522
12-Oct-16,76.47,77.60,76.45,77.18,1433851
11-Oct-16,77.91,77.96,76.47,76.75,992048
10-Oct-16,78.38,78.87,77.95,77.99,1220877
7-Oct-16,78.42,78.72,77.63,77.80,1636617
6-Oct-16,79.56,79.62,78.48,78.59,1441224
5-Oct-16,79.65,79.95,79.10,79.43,1308247
4-Oct-16,80.18,80.31,79.43,79.65,1249191
3-Oct-16,80.50,80.90,79.83,80.20,1415227
30-Sep-16,80.22,81.18,80.03,80.83,1678171
29-Sep-16,80.08,80.97,79.92,80.16,1859103
28-Sep-16,79.26,80.62,79.14,80.56,2186265
