Date,Open,High,Low,Close,Volume
28-Apr-17,74.85,75.00,74.12,74.52,935910
27-Apr-17,75.81,76.76,73.52,74.90,1288236
26-Apr-17,75.22,76.26,75.05,75.74,722874
25-Apr-17,75.89,76.00,75.09,75.19,560788
24-Apr-17,75.14,75.46,74.72,75.08,751198
21-Apr-17,74.00,74.49,72.89,73.21,681700
20-Apr-17,73.45,74.29,72.49,74.16,1336094
19-Apr-17,73.81,74.26,72.71,72.82,1468454
18-Apr-17,73.06,73.98,72.18,73.07,648363
17-Apr-17,72.87,73.79,72.34,73.72,452863
13-Apr-17,73.26,74.07,72.60,72.62,972370
12-Apr-17,74.70,74.85,73.55,73.76,791466
11-Apr-17,74.80,75.06,73.72,74.75,822654
10-Apr-17,75.74,76.22,74.70,75.36,533745
7-Apr-17,75.07,76.24,74.63,75.82,891860
6-Apr-17,74.65,75.94,73.87,75.64,645530
5-Apr-17,76.60,76.81,74.41,74.51,897677
4-Apr-17,76.01,76.55,75.65,75.92,733454
3-Apr-17,76.29,76.56,75.07,76.26,1163491
31-Mar-17,75.98,76.76,75.68,76.26,950013
30-Mar-17,74.75,76.12,74.75,76.09,583719
29-Mar-17,75.07,75.15,74.24,74.94,595395
28-Mar-17,73.59,75.59,73.59,75.11,651309
27-Mar-17,72.86,73.83,72.13,73.76,1006185
24-Mar-17,75.02,75.51,74.13,74.68,885865
23-Mar-17,74.20,75.61,74.17,74.85,1079629
22-Mar-17,73.25,74.75,72.71,74.31,1066469
21-Mar-17,77.88,77.88,73.70,73.91,1269577
20-Mar-17,77.90,78.53,77.00,77.65,1886073
17-Mar-17,77.77,78.03,77.13,77.90,23045057
16-Mar-17,77.60,78.45,77.19,77.91,1389876
15-Mar-17,78.56,78.71,76.73,77.21,1655685
14-Mar-17,78.83,78.88,77.28,78.23,841372
13-Mar-17,80.15,80.39,78.95,79.07,1608685
10-Mar-17,79.15,79.71,78.36,79.30,511046
9-Mar-17,79.06,79.62,78.76,79.22,415430
8-Mar-17,79.84,80.10,78.64,78.67,427099
7-Mar-17,79.13,79.32,78.44,78.69,481801
6-Mar-17,79.10,79.66,78.69,79.17,457503
3-Mar-17,79.47,80.09,78.94,79.79,375439
2-Mar-17,81.13,81.13,79.40,79.51,522775
1-Mar-17,80.35,81.92,79.81,81.04,862640
28-Feb-17,79.15,79.20,77.59,78.56,679740
27-Feb-17,78.50,79.43,78.04,79.41,400647
24-Feb-17,77.57,78.77,77.57,78.49,544915
23-Feb-17,79.59,79.59,78.30,78.53,624320
22-Feb-17,78.66,80.05,78.66,79.65,560413
21-Feb-17,79.16,79.42,78.80,79.24,500919
17-Feb-17,78.16,78.94,77.91,78.86,403466
16-Feb-17,79.27,79.27,78.41,79.07,519478
15-Feb-17,78.77,79.22,78.19,79.06,349925
14-Feb-17,77.28,78.64,77.09,78.27,882274
13-Feb-17,77.48,78.08,77.43,77.58,528825
10-Feb-17,78.00,78.00,76.88,76.90,411158
9-Feb-17,76.95,77.74,76.61,77.55,412859
8-Feb-17,76.38,76.53,75.33,76.45,539783
7-Feb-17,76.96,77.25,76.52,76.90,749855
6-Feb-17,75.82,76.84,75.78,76.57,499241
3-Feb-17,75.40,76.72,75.22,76.35,506862
2-Feb-17,74.50,75.24,73.84,74.43,780556
1-Feb-17,75.83,76.90,75.05,75.48,575331
31-Jan-17,75.32,75.72,74.10,74.93,681887
30-Jan-17,75.66,75.69,73.95,75.56,706651
27-Jan-17,77.37,77.44,75.59,75.99,906842
26-Jan-17,74.62,77.79,74.62,77.16,953088
25-Jan-17,75.24,75.67,74.69,75.61,857736
24-Jan-17,73.09,74.63,72.96,74.25,682964
23-Jan-17,72.11,73.04,72.00,72.93,399146
20-Jan-17,72.21,72.74,71.96,72.70,332151
