Date,Open,High,Low,Close,Volume
28-Apr-17,82.26,82.26,80.46,80.72,688894
27-Apr-17,81.50,82.57,80.74,82.42,995953
26-Apr-17,80.80,81.87,80.61,81.18,868806
25-Apr-17,79.75,80.60,79.38,80.57,890997
24-Apr-17,79.80,80.10,79.26,79.61,1442185
21-Apr-17,79.67,79.67,78.29,78.92,1363405
20-Apr-17,79.30,80.32,79.10,79.72,1329936
19-Apr-17,79.85,80.50,79.26,80.00,1390231
18-Apr-17,79.52,79.98,79.36,79.53,432272
17-Apr-17,79.21,80.05,78.90,80.00,505441
13-Apr-17,80.42,80.50,78.96,79.15,660524
12-Apr-17,80.35,80.68,79.86,80.18,732809
11-Apr-17,80.62,80.95,79.20,80.33,638940
10-Apr-17,79.50,81.76,79.50,80.53,1126670
7-Apr-17,80.46,80.50,79.13,79.28,1421473
6-Apr-17,79.85,82.31,79.85,80.71,1536922
5-Apr-17,77.93,80.41,77.87,79.52,2002512
4-Apr-17,81.00,81.37,76.69,77.74,2182929
3-Apr-17,81.83,82.08,80.97,81.37,1475001
31-Mar-17,82.02,82.28,81.27,81.62,990726
30-Mar-17,82.75,83.58,81.68,81.90,1071755
29-Mar-17,80.88,83.26,80.88,82.97,1278051
28-Mar-17,80.41,81.92,80.17,81.65,846342
27-Mar-17,78.93,80.52,78.78,80.42,878155
24-Mar-17,79.17,80.18,78.92,79.74,1069422
23-Mar-17,79.57,79.96,78.72,79.22,1027909
22-Mar-17,77.92,78.38,77.39,78.21,907722
21-Mar-17,79.76,79.87,77.47,78.23,1440073
20-Mar-17,80.71,80.71,79.21,79.46,1021806
17-Mar-17,81.25,81.34,79.96,80.70,1586419
16-Mar-17,80.96,81.65,80.63,81.04,610224
15-Mar-17,79.99,81.57,79.99,81.25,1041144
14-Mar-17,79.69,80.34,79.22,80.03,702378
13-Mar-17,80.43,80.68,78.87,79.59,1052725
10-Mar-17,79.81,80.70,79.57,80.30,778150
9-Mar-17,80.26,80.37,79.41,79.68,978682
8-Mar-17,79.33,80.69,79.12,80.43,1323279
7-Mar-17,79.30,79.58,78.37,79.14,1437348
6-Mar-17,79.79,80.03,79.00,79.73,1130600
3-Mar-17,80.65,81.19,79.25,79.79,1227685
2-Mar-17,80.15,81.08,79.85,80.71,1757260
1-Mar-17,80.06,80.60,78.92,80.57,1550944
28-Feb-17,79.78,79.83,78.90,79.33,1821326
27-Feb-17,79.08,79.99,78.77,79.79,1019915
24-Feb-17,78.62,79.93,78.37,79.21,1075121
23-Feb-17,78.69,79.35,78.11,78.65,1476645
22-Feb-17,77.82,78.17,76.75,78.11,2068558
21-Feb-17,78.81,79.22,78.08,78.19,2495540
17-Feb-17,78.06,79.09,78.06,78.39,1802185
16-Feb-17,79.25,79.90,78.36,78.47,2069514
15-Feb-17,79.68,79.99,78.74,79.17,1761467
14-Feb-17,78.97,80.25,78.91,79.49,1848969
13-Feb-17,80.04,80.16,79.28,79.34,1648964
10-Feb-17,78.50,80.13,78.40,79.61,2330145
9-Feb-17,77.70,78.29,77.54,77.98,1604288
8-Feb-17,76.28,77.67,75.80,77.50,3074548
7-Feb-17,77.01,77.14,75.92,75.98,2082280
6-Feb-17,76.18,77.23,75.62,76.53,5378267
3-Feb-17,75.96,77.62,75.90,76.17,6439942
2-Feb-17,80.51,81.00,76.18,76.61,17508098
1-Feb-17,88.12,88.47,86.53,87.37,2174739
31-Jan-17,86.76,88.66,85.91,88.43,2011008
30-Jan-17,87.70,88.83,87.28,88.44,939022
27-Jan-17,90.46,90.63,87.81,87.97,1088398
26-Jan-17,90.77,91.25,89.49,90.01,860298
25-Jan-17,90.67,92.10,90.57,91.15,1375414
24-Jan-17,89.77,90.50,89.43,90.11,638037
23-Jan-17,88.46,89.40,87.49,89.29,800624
20-Jan-17,88.38,89.46,87.71,88.90,926314
19-Jan-17,89.38,90.31,87.67,88.20,973211
18-Jan-17,89.57,89.61,87.76,89.29,1400974
17-Jan-17,87.00,90.13,86.83,89.58,2393579
13-Jan-17,86.75,87.36,85.79,86.32,806306
12-Jan-17,86.08,86.91,85.90,86.39,877705
11-Jan-17,87.75,88.29,85.95,86.64,1111417
10-Jan-17,87.91,88.84,87.51,87.94,1723000
9-Jan-17,88.94,88.94,87.22,87.25,975644
6-Jan-17,89.27,89.45,87.55,88.58,1699690
5-Jan-17,88.62,89.12,87.07,89.05,2110534
4-Jan-17,91.00,92.49,90.15,90.62,1528624
3-Jan-17,91.27,93.05,90.56,90.63,1434366
30-Dec-16,90.75,91.47,90.07,90.32,932434
29-Dec-16,89.90,91.07,89.90,90.74,963328
28-Dec-16,89.90,90.39,89.30,89.98,746480
27-Dec-16,89.97,91.12,89.62,90.10,954650
23-Dec-16,91.00,92.34,89.24,89.45,985632
22-Dec-16,92.75,92.88,90.01,90.73,1145397
21-Dec-16,92.69,93.31,92.27,92.81,568250
20-Dec-16,93.32,94.06,92.54,92.92,1029508
19-Dec-16,94.35,95.34,93.00,93.24,1127992
16-Dec-16,97.07,97.10,93.46,94.75,1806898
15-Dec-16,101.60,101.67,95.67,96.93,2450481
14-Dec-16,103.19,103.86,101.17,101.75,1167676
13-Dec-16,104.11,104.90,103.54,103.76,881973
12-Dec-16,108.38,108.91,103.24,103.77,1044440
9-Dec-16,108.83,109.74,108.44,109.00,488162
8-Dec-16,109.40,110.42,108.23,108.88,603341
7-Dec-16,106.98,109.32,106.90,108.96,631498
6-Dec-16,108.09,108.28,106.95,107.42,558689
5-Dec-16,106.64,108.74,105.94,108.19,523277
2-Dec-16,105.18,107.25,104.16,105.72,726882
1-Dec-16,105.05,106.51,104.14,104.37,905663
30-Nov-16,107.98,108.87,104.38,104.61,1583266
29-Nov-16,110.48,110.87,108.09,108.61,1033584
28-Nov-16,111.63,112.13,109.87,110.91,593289
25-Nov-16,112.54,113.06,111.96,112.17,114981
23-Nov-16,112.82,114.00,111.70,112.52,560513
22-Nov-16,111.33,113.75,110.49,113.68,486520
21-Nov-16,110.29,111.74,110.14,110.57,494543
18-Nov-16,112.89,113.27,110.15,110.28,693280
17-Nov-16,112.73,113.67,111.70,113.57,858454
16-Nov-16,111.71,113.68,111.71,111.92,856336
15-Nov-16,111.59,113.59,110.48,113.17,1575196
14-Nov-16,107.15,112.39,106.93,111.59,1683714
11-Nov-16,106.84,108.88,103.72,107.10,1251875
10-Nov-16,103.27,110.45,103.10,106.26,2007438
9-Nov-16,97.08,103.00,96.10,102.15,1619566
8-Nov-16,99.64,100.00,98.14,98.91,752754
7-Nov-16,100.09,100.41,99.26,99.83,817351
4-Nov-16,97.95,100.13,97.95,98.59,625624
3-Nov-16,98.14,98.32,97.35,97.64,531414
2-Nov-16,97.96,99.31,97.29,97.76,452178
